TIPO_DE_ELECCIÓN:,PRESIDENTE Y VICEPRESIDENTE
25 junio 2023 20:54 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
24585,2314,9.4122,2311,9.4000,3,890962,476417,53.4722

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,AZUL,VALOR UNIONISTA,CABAL,TODOS,VAMOS,PHG,PR,PIN,ELEFANTE,VICTORIA,SEMILLA,FCN-NACION,PPN,UR,URNG-MAIZ WINAQ,CREO,BIEN,VIVA,MI FAMILIA,CAMBIO,VOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,PRES-VOTAR,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
34,"Distrito Central",0,"Guatemala",1,4,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
35,"Distrito Central",0,"Guatemala",1,4,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
36,"Distrito Central",0,"Guatemala",1,4,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
37,"Distrito Central",0,"Guatemala",1,4,400,10,2,34,26,0,5,0,4,0,3,2,81,0,0,4,7,2,19,4,5,1,33,242,23,0,265,--,265,0,403,138,265,242,265,265,Algún campo sin dato,1,9401ccb57ae97b9854af5cf341841638a31399d307a69ce38eedec9d04a6b896,25/06/2023 20:03:19,ESCANER
38,"Distrito Central",0,"Guatemala",1,4,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
39,"Distrito Central",0,"Guatemala",1,4,400,9,4,40,16,1,3,0,6,1,4,1,66,2,0,0,4,2,10,7,4,0,23,203,24,1,228,0,228,--,400,172,228,203,228,228,Algún campo sin dato,1,f7681bd518510e6d6d7fb2e7ec4a65bec52d0bfcd7df1d19673ba9477d99bb92,25/06/2023 20:44:16,ESCANER
40,"Distrito Central",0,"Guatemala",1,4,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
41,"Distrito Central",0,"Guatemala",1,4,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
42,"Distrito Central",0,"Guatemala",1,4,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
43,"Distrito Central",0,"Guatemala",1,4,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
44,"Distrito Central",0,"Guatemala",1,4,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
45,"Distrito Central",0,"Guatemala",1,4,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
46,"Distrito Central",0,"Guatemala",1,5,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
47,"Distrito Central",0,"Guatemala",1,5,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
48,"Distrito Central",0,"Guatemala",1,5,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
49,"Distrito Central",0,"Guatemala",1,5,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
50,"Distrito Central",0,"Guatemala",1,5,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
51,"Distrito Central",0,"Guatemala",1,5,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
52,"Distrito Central",0,"Guatemala",1,5,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
53,"Distrito Central",0,"Guatemala",1,5,400,16,4,30,16,0,7,1,4,0,4,1,67,0,0,2,6,3,13,9,4,0,43,230,22,1,253,0,253,--,400,147,253,230,253,253,Algún campo sin dato,1,b6009f8a253a226dd631a1b301bb8206c3710de11b7b485bcedcce8151410d27,25/06/2023 20:52:19,ESCANER
54,"Distrito Central",0,"Guatemala",1,5,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
55,"Distrito Central",0,"Guatemala",1,5,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
56,"Distrito Central",0,"Guatemala",1,5,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
57,"Distrito Central",0,"Guatemala",1,5,400,10,8,33,21,0,6,0,6,1,1,3,63,0,0,5,7,3,15,8,7,1,28,226,20,1,247,0,247,--,400,153,247,226,247,247,Algún campo sin dato,1,15ee07cfc53174af889968ff9ff63b6ad08345e9124927a88cae0821f205143a,25/06/2023 20:34:14,ESCANER
58,"Distrito Central",0,"Guatemala",1,5,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
59,"Distrito Central",0,"Guatemala",1,5,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
60,"Distrito Central",0,"Guatemala",1,5,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
61,"Distrito Central",0,"Guatemala",1,5,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
62,"Distrito Central",0,"Guatemala",1,5,400,17,4,22,15,0,6,1,4,1,1,1,66,0,1,2,7,1,10,8,2,1,22,192,30,0,222,0,222,0,400,178,222,192,222,222,,1,aa9b90010425829bce4b09d293107f87d66ab2fb3367a6c99fa61b71a3378be7,25/06/2023 19:39:06,ESCANER
63,"Distrito Central",0,"Guatemala",1,5,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
64,"Distrito Central",0,"Guatemala",1,6,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
65,"Distrito Central",0,"Guatemala",1,6,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
66,"Distrito Central",0,"Guatemala",1,6,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
67,"Distrito Central",0,"Guatemala",1,6,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
68,"Distrito Central",0,"Guatemala",1,6,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
69,"Distrito Central",0,"Guatemala",1,6,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
70,"Distrito Central",0,"Guatemala",1,6,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
71,"Distrito Central",0,"Guatemala",1,6,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
72,"Distrito Central",0,"Guatemala",1,6,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
73,"Distrito Central",0,"Guatemala",1,6,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
74,"Distrito Central",0,"Guatemala",1,6,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
75,"Distrito Central",0,"Guatemala",1,6,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
