TIPO_DE_ELECCIÓN:,DIPUTADOS DISTRITALES
26 junio 2023 00:28 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
922,420,45.5531,420,45.5531,0,154345,99799,64.6596

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,UNIONISTA,CABAL,AZUL,URNG-MAIZ WINAQ,VAMOS,PHG,VICTORIA,MLP,PR,P A N,UR,PIN,BIEN,VALOR,UNE,PPN,FCN-NACION,VIVA,ELEFANTE,CREO,CAMBIO,PODEMOS,MI FAMILIA,SEMILLA,VOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
5982,"Chimaltenango",3,"Chimaltenango",1,630,380,8,4,8,6,8,21,2,1,4,2,0,3,1,5,4,13,5,10,28,2,3,7,0,5,22,13,185,45,19,249,0,249,--,379,131,185,249,249,Algún campo sin dato,1,bb6b2f6b19659a39957d5c403f49b92707a4cf815ad68df081f0ab89055273a4,25/06/2023 23:29:52,ESCANER
5983,"Chimaltenango",3,"Chimaltenango",1,630,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5984,"Chimaltenango",3,"Chimaltenango",1,630,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5985,"Chimaltenango",3,"Chimaltenango",1,630,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5986,"Chimaltenango",3,"Chimaltenango",1,630,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5987,"Chimaltenango",3,"Chimaltenango",1,630,380,9,10,15,5,13,16,4,1,3,0,2,3,3,1,6,16,5,9,25,0,0,13,1,3,19,23,205,44,8,257,0,257,--,380,123,205,257,257,Algún campo sin dato,1,3db4300ffbbffd72820b297d239da5cb64e7970245a3491e68e201bb056d02b8,26/06/2023 00:20:50,ESCANER
5988,"Chimaltenango",3,"Chimaltenango",1,631,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5989,"Chimaltenango",3,"Chimaltenango",1,631,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5990,"Chimaltenango",3,"Chimaltenango",1,631,380,10,4,11,7,16,17,4,4,6,0,0,1,0,2,5,5,4,14,28,0,0,8,5,4,24,15,194,30,9,233,0,233,--,377,144,194,233,233,Algún campo sin dato,1,294ccc69056eeb184d5b2eebb26990a95906f1500bd3a3fc9bad8cf25f244186,25/06/2023 22:17:39,ESCANER
5991,"Chimaltenango",3,"Chimaltenango",1,631,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5992,"Chimaltenango",3,"Chimaltenango",1,631,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5993,"Chimaltenango",3,"Chimaltenango",1,631,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5994,"Chimaltenango",3,"Chimaltenango",1,632,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5995,"Chimaltenango",3,"Chimaltenango",1,632,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5996,"Chimaltenango",3,"Chimaltenango",1,632,380,7,3,4,5,8,27,4,9,2,1,1,0,2,2,4,4,5,4,16,2,0,6,5,2,34,15,172,20,4,196,0,196,--,381,185,172,196,196,Algún campo sin dato,1,fce5bd3c26d6ee388f84436947cb2940f11de443292b5759beac4f414ea61c99,25/06/2023 23:48:54,ESCANER
5997,"Chimaltenango",3,"Chimaltenango",1,632,380,13,6,5,8,9,13,0,3,2,1,1,4,0,1,8,6,3,10,11,4,1,6,4,2,51,13,185,17,6,208,0,208,--,380,172,185,208,208,Algún campo sin dato,1,1cd1bd803b1e2437772634f5d2eb36c61134893763c8746e60e55d0f623bdbd5,25/06/2023 23:15:53,ESCANER
5998,"Chimaltenango",3,"Chimaltenango",1,632,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5999,"Chimaltenango",3,"Chimaltenango",1,632,247,8,1,4,0,4,11,1,2,3,1,0,1,0,1,4,2,4,2,11,0,0,3,0,1,19,10,93,19,4,116,0,116,--,247,131,93,116,116,Algún campo sin dato,1,db7f21ade6625bb95a41a6cbdefbaa65dbf5a6b851fe1bc676b402142a6c08f1,25/06/2023 23:11:13,ESCANER
6000,"Chimaltenango",3,"Chimaltenango",1,632,247,8,1,3,6,1,13,--,2,1,--,1,--,--,1,2,4,8,3,6,1,0,7,1,2,10,7,88,9,5,102,--,102,--,247,145,88,102,102,Algún campo sin dato,1,ccbfd88bc6693edf9c9f0efaba963acfe4237799988e3dd2dc6af00a9a636e74,25/06/2023 21:16:08,ESCANER
6001,"Chimaltenango",3,"Chimaltenango",1,633,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6002,"Chimaltenango",3,"Chimaltenango",1,633,192,7,0,7,7,8,13,11,1,4,9,0,0,1,1,4,4,1,7,11,1,1,6,1,1,20,10,118,14,4,137,1,137,--,194,57,136,154,155,Sumas Asentadas sin cuadrar,1,07faace6054ff2701ba42302d5c94274a667dd3279c23bad0d600de71855dd39,25/06/2023 23:46:54,ESCANER
6003,"Chimaltenango",3,"Chimaltenango",1,633,191,3,1,8,6,6,8,5,2,2,0,0,0,2,0,7,4,2,8,8,1,0,4,0,2,35,11,125,8,1,134,0,134,0,191,57,125,134,134,,1,4050e94b2294ac39937565596bf0a73811cf73b1b35373a0f56b9c9a37de1173,26/06/2023 00:23:13,ESCANER
6004,"Chimaltenango",3,"Chimaltenango",1,634,380,15,6,10,7,11,12,1,4,4,0,3,2,1,7,9,9,3,4,23,6,0,17,2,7,21,8,192,38,18,248,0,248,--,376,128,192,248,248,Algún campo sin dato,1,f67ba20ddefe7f3af558aaaa6544ae3c79b532376074aea43146b6ccb1a59285,26/06/2023 00:15:50,ESCANER
6005,"Chimaltenango",3,"Chimaltenango",1,634,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6006,"Chimaltenango",3,"Chimaltenango",1,634,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6007,"Chimaltenango",3,"Chimaltenango",1,634,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6008,"Chimaltenango",3,"Chimaltenango",1,634,380,9,7,8,7,4,8,2,12,1,1,1,2,0,2,13,20,4,3,20,5,2,12,0,8,23,8,182,32,9,223,0,223,0,380,157,182,223,223,,1,a66f387669352cb827456b722ba4e42ec3961c71e1d65919462f748058e3416f,25/06/2023 23:29:48,ESCANER
6009,"Chimaltenango",3,"Chimaltenango",1,634,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6010,"Chimaltenango",3,"Chimaltenango",1,634,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6011,"Chimaltenango",3,"Chimaltenango",1,634,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6012,"Chimaltenango",3,"Chimaltenango",1,634,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6013,"Chimaltenango",3,"Chimaltenango",1,634,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6014,"Chimaltenango",3,"Chimaltenango",1,634,230,7,5,2,3,3,8,0,1,0,1,0,2,3,1,6,13,1,4,14,0,0,7,0,6,6,6,109,11,3,123,107,230,--,230,107,99,113,220,Sumas Asentadas sin cuadrar,1,1eae50424c358948bf4ab47ebef50e5e3be48c8c119b09bbd4b79533f975b35a,25/06/2023 22:38:12,ESCANER
6015,"Chimaltenango",3,"Chimaltenango",1,634,230,4,4,7,5,3,5,0,3,0,0,0,0,0,1,2,7,0,0,9,3,2,4,2,2,19,7,89,7,1,97,0,97,0,230,133,89,97,97,,1,683207603a204abc15decbd90f11167278ce5416a7b7c30a177c9ce38717aacf,25/06/2023 21:27:57,ESCANER
6016,"Chimaltenango",3,"Chimaltenango",1,635,380,4,3,4,6,11,20,1,11,0,0,5,3,0,3,7,19,6,1,45,1,3,7,2,5,18,6,191,22,17,230,0,230,--,380,150,191,230,230,Algún campo sin dato,1,427095338bc0e19968b7587e328f24b5c430ece5254f4732b15e911e74cea156,25/06/2023 23:42:26,ESCANER
6017,"Chimaltenango",3,"Chimaltenango",1,635,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6018,"Chimaltenango",3,"Chimaltenango",1,635,343,0,1,4,6,7,12,1,4,1,0,1,1,1,3,6,14,3,2,33,2,1,6,0,1,31,10,151,16,5,172,0,172,--,343,171,151,172,172,Algún campo sin dato,1,b617e6d807d04e765a2d74ec38b324701b45e580aefda8caadbc720782a733ed,25/06/2023 23:57:23,ESCANER
6019,"Chimaltenango",3,"Chimaltenango",1,636,380,30,2,7,2,5,22,0,6,1,1,3,3,2,3,2,38,1,16,56,0,1,12,6,23,4,13,259,25,16,300,0,300,0,380,80,259,300,300,,1,768b1d08c8aa641b09a9b01cff2811bc5a898463e1a6209e513881f233618233,25/06/2023 23:58:33,ESCANER
6020,"Chimaltenango",3,"Chimaltenango",1,636,380,30,2,3,3,4,32,2,3,1,0,2,3,0,1,3,44,3,12,38,0,2,12,2,17,8,7,234,24,17,275,0,275,0,380,104,234,275,275,,1,edc1fe35ce6b87b27178b150a52e2f7e9284154057d8a01ea27d3652a579478a,25/06/2023 23:49:26,ESCANER
6021,"Chimaltenango",3,"Chimaltenango",1,636,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6022,"Chimaltenango",3,"Chimaltenango",1,636,267,14,1,4,2,4,15,4,0,1,1,1,0,1,1,2,25,1,8,23,0,0,10,0,13,9,2,142,8,7,157,0,157,--,267,110,142,157,157,Algún campo sin dato,1,fc03444bf2609526da63a45fbe4b54e0513889788724302829b6f4c44d268fa3,25/06/2023 23:27:55,ESCANER
6023,"Chimaltenango",3,"Chimaltenango",1,637,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6024,"Chimaltenango",3,"Chimaltenango",1,637,374,8,1,56,1,5,20,1,4,0,1,0,1,0,1,1,43,1,7,16,1,2,6,1,1,4,6,188,16,8,212,--,--,--,371,159,188,212,212,Algún campo sin dato,1,46fb30d2244b0a844f76f7ea1833176985ad5a0ac4fb1fa54db2c96ff2b21404,25/06/2023 23:10:57,ESCANER
6025,"Chimaltenango",3,"Chimaltenango",1,638,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6026,"Chimaltenango",3,"Chimaltenango",1,638,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6027,"Chimaltenango",3,"Chimaltenango",1,638,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6028,"Chimaltenango",3,"Chimaltenango",1,638,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6029,"Chimaltenango",3,"Chimaltenango",1,638,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6030,"Chimaltenango",3,"Chimaltenango",1,638,194,12,1,3,2,3,16,1,7,0,0,1,2,0,2,5,7,2,2,12,3,0,8,3,3,10,6,111,10,1,122,1,123,--,196,72,111,122,123,Algún campo sin dato,1,86aaa4747e5c499cbeb144a365b6041684f107c9e6bf888f1125c757fe2f654d,25/06/2023 23:46:49,ESCANER
6031,"Chimaltenango",3,"Chimaltenango",1,638,193,6,1,9,3,2,7,0,0,0,0,0,0,1,3,6,8,0,6,12,0,1,1,2,0,4,4,76,14,6,96,0,96,--,193,97,76,96,96,Algún campo sin dato,1,e2a09ff2231fb0448abe18943ace14e4c39d0771c4538d92438db16a3b9e8dbb,25/06/2023 23:43:15,ESCANER
6032,"Chimaltenango",3,"Chimaltenango",1,639,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6033,"Chimaltenango",3,"Chimaltenango",1,639,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6034,"Chimaltenango",3,"Chimaltenango",1,640,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6035,"Chimaltenango",3,"Chimaltenango",1,640,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6036,"Chimaltenango",3,"Chimaltenango",1,640,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6037,"Chimaltenango",3,"Chimaltenango",1,640,453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6038,"Chimaltenango",3,"Chimaltenango",1,640,452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6039,"Chimaltenango",3,"San José Poaquil",2,641,400,1,0,111,1,1,52,8,3,0,1,1,1,0,4,2,12,7,2,12,7,0,1,8,1,3,24,263,33,45,341,0,341,--,400,59,263,341,341,Algún campo sin dato,1,4f2f6023e073531c4c4db5e65fcecaa5cf9da5ee7a1a4636183290b4b10ce6fa,25/06/2023 22:55:48,ESCANER
6040,"Chimaltenango",3,"San José Poaquil",2,641,400,1,1,71,2,1,85,11,0,2,0,0,4,0,3,3,14,9,1,17,3,0,0,5,1,3,27,264,32,52,348,0,348,--,400,52,264,348,348,Algún campo sin dato,1,5bf12008f0d5453c4ac151cd82b8a546a6fa00e2513188167e1dd61476b345c1,25/06/2023 23:52:01,ESCANER
6041,"Chimaltenango",3,"San José Poaquil",2,641,400,0,2,83,1,9,73,6,1,3,1,0,0,1,0,0,4,11,0,15,5,0,4,7,2,4,21,253,28,38,319,0,319,--,400,81,253,319,319,Algún campo sin dato,1,0980fdfce7b279976ee78cd610474490b565f7f7a7c8d1efcc468fa2d0d23ccc,25/06/2023 22:38:38,ESCANER
6042,"Chimaltenango",3,"San José Poaquil",2,641,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6043,"Chimaltenango",3,"San José Poaquil",2,641,400,0,1,86,0,6,59,13,1,3,0,1,0,0,3,3,3,21,0,13,15,0,4,15,0,6,18,271,38,25,334,0,334,--,401,67,271,334,334,Algún campo sin dato,1,c1796b692d96afd3a0cfc8096e8c097f2f2bae6ea345dcc179f70ad476b7db63,25/06/2023 23:32:19,ESCANER
6044,"Chimaltenango",3,"San José Poaquil",2,641,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6045,"Chimaltenango",3,"San José Poaquil",2,641,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6046,"Chimaltenango",3,"San José Poaquil",2,641,400,2,3,118,1,5,41,13,2,1,0,0,0,0,2,1,9,20,0,16,1,0,1,10,1,6,25,278,34,32,344,0,344,--,400,56,278,344,344,Algún campo sin dato,1,2cfa61dd1c2ac35cc71b016fcfe140acf98cf16eb5a9c817b78833389e093d25,26/06/2023 00:16:20,ESCANER
6047,"Chimaltenango",3,"San José Poaquil",2,641,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6048,"Chimaltenango",3,"San José Poaquil",2,642,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6049,"Chimaltenango",3,"San José Poaquil",2,642,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6050,"Chimaltenango",3,"San José Poaquil",2,642,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6051,"Chimaltenango",3,"San José Poaquil",2,643,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6052,"Chimaltenango",3,"San José Poaquil",2,643,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6053,"Chimaltenango",3,"San José Poaquil",2,643,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6054,"Chimaltenango",3,"San José Poaquil",2,644,400,0,0,73,0,4,42,9,0,3,0,1,0,0,2,2,7,21,1,19,4,0,1,9,11,8,33,250,23,22,295,0,295,--,400,105,250,295,295,Algún campo sin dato,1,d3b2efe046938a958e5442955ba7bf333712d7c61b231f8e36b89354da9be92f,25/06/2023 23:49:52,ESCANER
6055,"Chimaltenango",3,"San José Poaquil",2,644,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6056,"Chimaltenango",3,"San José Poaquil",2,644,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6057,"Chimaltenango",3,"San José Poaquil",2,644,400,1,1,72,0,8,26,41,3,1,2,0,1,0,1,5,2,27,0,4,2,1,0,11,1,19,35,264,21,15,300,0,300,--,400,100,264,300,300,Algún campo sin dato,1,e93f881d022c73a96d7c5de7bfed3011c42c8d1231f8c90e63a6eedee58866a4,25/06/2023 23:13:47,ESCANER
6058,"Chimaltenango",3,"San José Poaquil",2,644,400,2,0,53,1,4,30,22,1,2,0,0,0,1,1,6,3,17,2,7,2,0,0,7,0,26,55,242,29,10,281,0,281,--,400,119,242,281,281,Algún campo sin dato,1,003e175ceffccf6dcf6a15420b17855964d815c61cad994d24193f0a0b45b3b0,26/06/2023 00:15:35,ESCANER
6059,"Chimaltenango",3,"San José Poaquil",2,644,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6060,"Chimaltenango",3,"San José Poaquil",2,644,400,0,0,94,0,3,64,14,1,3,0,1,1,0,2,1,6,11,0,15,3,2,4,7,1,6,22,261,24,13,298,0,298,--,400,102,261,298,298,Algún campo sin dato,1,8f0bb489e73a63e302bb32f92af51f996bf4ca4cd24216c5f8fbe0be2478e7e9,25/06/2023 22:23:38,ESCANER
6061,"Chimaltenango",3,"San José Poaquil",2,644,400,1,1,111,1,4,37,27,0,2,0,0,0,0,0,1,7,12,0,12,9,0,2,5,0,16,25,273,27,10,310,0,310,--,401,91,273,310,310,Algún campo sin dato,1,028dc0855885f75c687cd82e623307fb1101508db142ff518538998bdbb690d8,25/06/2023 23:07:10,ESCANER
6062,"Chimaltenango",3,"San José Poaquil",2,644,361,0,0,102,0,2,60,17,3,0,0,0,1,0,0,2,4,12,0,2,7,0,7,5,0,11,21,256,14,14,284,0,284,--,361,77,256,284,284,Algún campo sin dato,1,8db2e38cdf59a6a13f58961a563f13f13bd632dc93ad6aa14a325904c4630ff5,25/06/2023 23:55:59,ESCANER
6063,"Chimaltenango",3,"San José Poaquil",2,644,360,1,0,68,0,0,44,16,2,1,0,2,1,0,2,0,3,18,1,7,1,1,4,3,1,2,17,195,18,28,241,0,241,--,360,119,195,241,241,Algún campo sin dato,1,6750e36777cf961dbc55789b4e4e2583e80b652bbd4cb20b81c316269098ef38,25/06/2023 23:28:08,ESCANER
6064,"Chimaltenango",3,"San José Poaquil",2,645,380,0,0,86,2,1,66,11,1,2,0,0,2,0,1,0,16,8,1,4,4,0,1,10,0,1,19,236,32,41,309,0,309,--,380,71,236,309,309,Algún campo sin dato,1,ff207dbd94770bd3efe1459e6a59e8f99f23faa576f46688fbd8a44e2b3058fb,26/06/2023 00:18:40,ESCANER
6065,"Chimaltenango",3,"San José Poaquil",2,645,380,0,0,85,0,5,64,10,2,1,1,1,1,0,0,0,14,6,0,3,2,0,1,13,1,1,18,229,25,45,299,0,299,--,380,81,229,299,299,Algún campo sin dato,1,8b408b8103cad11287919ca78b8d9812c5798a23a9e3ba2ddbf06a696b295151,25/06/2023 23:54:24,ESCANER
6066,"Chimaltenango",3,"San José Poaquil",2,645,380,2,1,101,2,6,70,5,1,2,1,1,0,0,1,0,22,7,1,8,2,1,1,8,0,4,21,268,21,34,323,0,323,--,380,57,268,323,323,Algún campo sin dato,1,47fbc01a3449e8a7de4380cb331047f3d75088c30f0cde2035c9ba4056cba399,25/06/2023 23:50:15,ESCANER
6067,"Chimaltenango",3,"San José Poaquil",2,645,380,2,2,102,3,10,62,6,2,1,0,2,2,0,0,3,18,9,2,10,6,1,3,12,0,1,26,285,18,24,327,0,327,--,380,53,285,327,327,Algún campo sin dato,1,f1e102fb8448cad513c81a8810f468d38f5aebbeaea8b335951206efbc48b2af,25/06/2023 22:41:16,ESCANER
6068,"Chimaltenango",3,"San José Poaquil",2,645,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6069,"Chimaltenango",3,"San José Poaquil",2,645,380,1,1,94,2,2,64,7,2,2,0,0,0,0,1,1,23,20,0,15,1,0,1,15,2,1,19,274,22,48,344,0,344,--,380,36,274,344,344,Algún campo sin dato,1,3f37a0ef746359006e2a629e0811c34327dfaa4a536f37f80c1e77ca7f5ff708,25/06/2023 23:39:27,ESCANER
6070,"Chimaltenango",3,"San José Poaquil",2,645,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6071,"Chimaltenango",3,"San José Poaquil",2,645,380,2,0,94,0,3,65,4,0,1,0,0,0,0,1,4,13,17,1,17,3,0,0,11,1,1,35,273,35,27,335,0,335,--,380,45,273,335,335,Algún campo sin dato,1,8d6e8bab6db778b671da2c81aeaf765e3f7d66d1d1b5f6e3777c2f8d8fc2632b,26/06/2023 00:12:21,ESCANER
6072,"Chimaltenango",3,"San José Poaquil",2,645,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6073,"Chimaltenango",3,"San José Poaquil",2,645,380,0,0,76,0,5,58,17,2,2,1,2,2,0,1,1,9,9,0,14,0,0,1,9,1,1,21,232,23,15,270,0,270,0,380,110,232,270,270,,1,c69b040a8a6d1bec27daee5664b568a74b0c8a2fb1003ac46b4eccaca8d10096,25/06/2023 22:51:52,ESCANER
6074,"Chimaltenango",3,"San José Poaquil",2,646,380,0,1,90,0,3,53,13,1,1,0,0,0,0,0,3,16,7,0,8,2,0,0,14,0,3,12,227,15,19,261,--,--,--,380,116,227,261,261,Algún campo sin dato,1,ab89cb0b8d91dd619fe54ca211505740addfe595d76c2ba54b65a17d611b2de5,25/06/2023 23:44:06,ESCANER
6075,"Chimaltenango",3,"San José Poaquil",2,646,380,2,0,69,1,4,75,8,0,1,0,0,1,0,0,0,8,15,1,14,0,0,1,14,0,4,18,236,18,12,266,0,266,--,380,114,236,266,266,Algún campo sin dato,1,94001f4bc2873a16534648ebbb4d16f2a4dfee9a0ff89dc09f504959f2be7d1d,25/06/2023 23:19:12,ESCANER
6076,"Chimaltenango",3,"San José Poaquil",2,646,380,1,0,89,0,2,52,5,2,1,0,2,0,0,1,1,11,12,0,6,0,0,1,11,0,9,27,233,32,29,294,0,294,--,380,86,233,294,294,Algún campo sin dato,1,6618708a93f68d6c0cd3a7beca8dc0acfca47ba25fcd1167050a7305d3aed82d,25/06/2023 23:29:18,ESCANER
6077,"Chimaltenango",3,"San José Poaquil",2,646,290,1,0,65,0,3,41,6,0,1,0,0,0,0,1,1,3,10,0,14,2,0,2,12,0,3,9,174,11,19,204,0,204,--,290,86,174,204,204,Algún campo sin dato,1,7662b6aff321f83424458cac40b8cec60696c5c35e5009a5a540176848ee60a4,25/06/2023 22:00:26,ESCANER
6078,"Chimaltenango",3,"San José Poaquil",2,646,289,1,1,64,0,3,43,8,0,1,0,0,0,0,1,3,10,8,1,6,2,0,1,11,0,1,13,178,21,10,209,0,209,--,289,80,178,209,209,Algún campo sin dato,1,cd1ad90192c4f14a70b43a63c08823a5a6518bc8500910aca0d0db54c80b7c24,26/06/2023 00:02:00,ESCANER
6079,"Chimaltenango",3,"San José Poaquil",2,647,346,1,0,64,0,3,38,8,3,1,0,4,1,0,0,0,13,7,1,6,1,0,2,11,1,2,11,178,18,33,229,0,229,--,346,117,178,229,229,Algún campo sin dato,1,8c2499d893ad5581b970c7c24d460e157286bc28f3b0fd8eeb1e4d3521cd1308,25/06/2023 23:41:33,ESCANER
6080,"Chimaltenango",3,"San José Poaquil",2,647,346,3,2,45,3,3,25,6,0,1,0,2,0,0,2,1,7,2,0,7,2,0,1,5,0,1,16,134,19,15,168,0,168,--,346,178,134,168,168,Algún campo sin dato,1,572d61d86f578ea44d679c6f0aa9cd846d1f3e0d06eaad24e777959911d92d6b,25/06/2023 22:39:16,ESCANER
6081,"Chimaltenango",3,"San Martín Jilotepeque",3,648,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6082,"Chimaltenango",3,"San Martín Jilotepeque",3,648,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6083,"Chimaltenango",3,"San Martín Jilotepeque",3,648,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6084,"Chimaltenango",3,"San Martín Jilotepeque",3,648,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6085,"Chimaltenango",3,"San Martín Jilotepeque",3,648,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6086,"Chimaltenango",3,"San Martín Jilotepeque",3,648,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6087,"Chimaltenango",3,"San Martín Jilotepeque",3,648,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6088,"Chimaltenango",3,"San Martín Jilotepeque",3,648,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6089,"Chimaltenango",3,"San Martín Jilotepeque",3,648,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6090,"Chimaltenango",3,"San Martín Jilotepeque",3,648,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6091,"Chimaltenango",3,"San Martín Jilotepeque",3,648,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6092,"Chimaltenango",3,"San Martín Jilotepeque",3,648,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6093,"Chimaltenango",3,"San Martín Jilotepeque",3,648,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6094,"Chimaltenango",3,"San Martín Jilotepeque",3,648,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
