TIPO_DE_ELECCIÓN:;PRESIDENTE Y VICEPRESIDENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03 junio 2023 09:43 (UTC -6);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACTAS_ESPERADAS;ACTAS_CAPTURADAS;PORCENTAJE_ACTAS_CAPTURADAS;ACTAS_CONTABILIZADAS;PORCENTAJE_ACTAS_CONTABILIZADAS;ACTAS_NO_CONTABILIZADAS;LISTA_NOMINAL_ACTAS_CONTABILIZADAS;VOTOS_EMITIDOS_CONTABILIZADAS;PORCENTAJE_PARTICIPACIÓN_CIUDADANA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24585;0;0;0;0;0;0;0;--.----;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MESA;DEPARTAMENTO;ID_DEPARTAMENTO;MUNICIPIO;ID_MUNICIPIO;CENTRO_DE_VOTACIÓN;PADRÓN;CUARENTA Y UNO ;QUINCE ;TREINTA Y DOS ;TREINTA Y TRES ;VEINTITRES ;TREINTA Y SEIS ;VEINTIOCHO ;TREINTA ;TREINTA Y CUATRO ;DIECIOCHO ;TRECE ;TREINTA Y OCHO ;TREINTA Y SIETE ;ONCE ;DIECISEIS ;VEINTINUEVE ;CINCUENTA Y SIETE ;DIECISIETE ;VEINTISEIS ;TREINTA Y UNO ;TREINTA Y CINCO ;VEINTE ;DOCE ;VÁLIDOS;NULOS;BLANCO;EMITIDOS;INVÁLIDOS;TOTAL;IMPUGNACIONES;PRES-VOTAR;VALIDOS_CALCULADO;EMITIDOS_CALCULADO;TOTAL_CALCULADO;OBSERVACIONES;CONTABILIZADA;CÓDIGO_INTEGRIDAD;FECHA_HORA_PUBLICACIÓN;DIGITALIZACIÓN
36;Distrito Central;0;Guatemala;1;4;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
37;Distrito Central;0;Guatemala;1;4;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
38;Distrito Central;0;Guatemala;1;4;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
39;Distrito Central;0;Guatemala;1;4;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
40;Distrito Central;0;Guatemala;1;4;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
41;Distrito Central;0;Guatemala;1;4;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
42;Distrito Central;0;Guatemala;1;4;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
43;Distrito Central;0;Guatemala;1;4;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
44;Distrito Central;0;Guatemala;1;4;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
45;Distrito Central;0;Guatemala;1;4;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
46;Distrito Central;0;Guatemala;1;5;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
47;Distrito Central;0;Guatemala;1;5;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
48;Distrito Central;0;Guatemala;1;5;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
49;Distrito Central;0;Guatemala;1;5;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
50;Distrito Central;0;Guatemala;1;5;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
51;Distrito Central;0;Guatemala;1;5;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
52;Distrito Central;0;Guatemala;1;5;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
53;Distrito Central;0;Guatemala;1;5;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
54;Distrito Central;0;Guatemala;1;5;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
55;Distrito Central;0;Guatemala;1;5;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
56;Distrito Central;0;Guatemala;1;5;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
57;Distrito Central;0;Guatemala;1;5;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
58;Distrito Central;0;Guatemala;1;5;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
59;Distrito Central;0;Guatemala;1;5;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
60;Distrito Central;0;Guatemala;1;5;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
61;Distrito Central;0;Guatemala;1;5;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
62;Distrito Central;0;Guatemala;1;5;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
63;Distrito Central;0;Guatemala;1;5;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
64;Distrito Central;0;Guatemala;1;6;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
65;Distrito Central;0;Guatemala;1;6;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
66;Distrito Central;0;Guatemala;1;6;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
67;Distrito Central;0;Guatemala;1;6;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
68;Distrito Central;0;Guatemala;1;6;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
69;Distrito Central;0;Guatemala;1;6;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
70;Distrito Central;0;Guatemala;1;6;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
71;Distrito Central;0;Guatemala;1;6;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
72;Distrito Central;0;Guatemala;1;6;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
73;Distrito Central;0;Guatemala;1;6;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
74;Distrito Central;0;Guatemala;1;6;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
75;Distrito Central;0;Guatemala;1;6;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
76;Distrito Central;0;Guatemala;1;6;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
77;Distrito Central;0;Guatemala;1;6;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
78;Distrito Central;0;Guatemala;1;6;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
79;Distrito Central;0;Guatemala;1;6;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
80;Distrito Central;0;Guatemala;1;6;218;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
81;Distrito Central;0;Guatemala;1;6;217;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
82;Distrito Central;0;Guatemala;1;7;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
83;Distrito Central;0;Guatemala;1;7;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
84;Distrito Central;0;Guatemala;1;7;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
85;Distrito Central;0;Guatemala;1;7;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
86;Distrito Central;0;Guatemala;1;7;273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
87;Distrito Central;0;Guatemala;1;7;272;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
88;Distrito Central;0;Guatemala;1;8;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
89;Distrito Central;0;Guatemala;1;8;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
90;Distrito Central;0;Guatemala;1;8;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
91;Distrito Central;0;Guatemala;1;8;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
92;Distrito Central;0;Guatemala;1;8;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
93;Distrito Central;0;Guatemala;1;8;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
94;Distrito Central;0;Guatemala;1;8;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
95;Distrito Central;0;Guatemala;1;8;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
96;Distrito Central;0;Guatemala;1;8;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
97;Distrito Central;0;Guatemala;1;8;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
98;Distrito Central;0;Guatemala;1;8;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
99;Distrito Central;0;Guatemala;1;8;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
100;Distrito Central;0;Guatemala;1;8;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
101;Distrito Central;0;Guatemala;1;8;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
102;Distrito Central;0;Guatemala;1;8;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
103;Distrito Central;0;Guatemala;1;8;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
104;Distrito Central;0;Guatemala;1;8;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
105;Distrito Central;0;Guatemala;1;8;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
106;Distrito Central;0;Guatemala;1;8;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
107;Distrito Central;0;Guatemala;1;8;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
108;Distrito Central;0;Guatemala;1;8;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
109;Distrito Central;0;Guatemala;1;8;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
110;Distrito Central;0;Guatemala;1;8;359;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
111;Distrito Central;0;Guatemala;1;8;358;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
112;Distrito Central;0;Guatemala;1;9;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
113;Distrito Central;0;Guatemala;1;9;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
114;Distrito Central;0;Guatemala;1;9;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
115;Distrito Central;0;Guatemala;1;9;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
116;Distrito Central;0;Guatemala;1;9;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
117;Distrito Central;0;Guatemala;1;9;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
118;Distrito Central;0;Guatemala;1;9;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
119;Distrito Central;0;Guatemala;1;9;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
120;Distrito Central;0;Guatemala;1;9;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
121;Distrito Central;0;Guatemala;1;9;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
122;Distrito Central;0;Guatemala;1;9;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
123;Distrito Central;0;Guatemala;1;9;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
124;Distrito Central;0;Guatemala;1;9;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
125;Distrito Central;0;Guatemala;1;9;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
126;Distrito Central;0;Guatemala;1;9;344;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
127;Distrito Central;0;Guatemala;1;9;344;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
128;Distrito Central;0;Guatemala;1;10;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
129;Distrito Central;0;Guatemala;1;10;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
130;Distrito Central;0;Guatemala;1;10;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
