TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
52,52,100.0000,52,100.0000,0,19901,9143,45.9424

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,BIEN,C.C.T.,FCN-NACION,PODEMOS,AZUL,VIVA,PHG,CABAL,VOS,SEMILLA,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
13845,"San Marcos",12,"Tejutla",10,1936,261,27,8,23,27,0,2,3,1,0,10,2,2,0,105,3,1,109,0,109,--,261,152,105,109,109,Algún campo sin dato,1,44112c453c66f00bd5cc217a15652f5d7e9eb5b3debebf8b47667bde5c3faa92,25/06/2023 21:56:24,ESCANER
13846,"San Marcos",12,"Tejutla",10,1936,260,11,10,11,11,0,1,5,0,0,4,1,1,0,55,3,1,59,0,59,--,260,201,55,59,59,Algún campo sin dato,1,851bc4c38b44f5243d71b92720424a86d6badd115c386ec1ef4e2ef86313de5e,25/06/2023 20:58:51,ESCANER
13847,"San Marcos",12,"Tejutla",10,1937,380,52,15,17,90,0,2,1,4,0,4,0,1,2,188,17,7,212,0,212,--,380,168,188,212,212,Algún campo sin dato,1,a75e96aba2be64e8e0e984ee1da467ec921d0a3a4aa1705073032448bb4e7142,26/06/2023 01:05:20,ESCANER
13848,"San Marcos",12,"Tejutla",10,1937,380,62,15,12,121,1,2,0,4,0,7,7,0,0,231,13,5,249,0,249,--,380,131,231,249,249,Algún campo sin dato,1,773964c76b4c89b14c42f1c1018381376f063277be63d5cd80932bfb8f3aac12,26/06/2023 00:34:42,ESCANER
13849,"San Marcos",12,"Tejutla",10,1937,380,40,15,11,150,0,1,1,2,1,6,3,2,0,232,16,4,252,0,252,--,379,127,232,252,252,Algún campo sin dato,1,4436952171279e7cbaddfcfe065b74c2888af446340f0e42fc4e4458c241572c,26/06/2023 00:50:12,ESCANER
13850,"San Marcos",12,"Tejutla",10,1937,380,34,14,13,118,1,1,1,2,1,5,1,3,1,195,24,4,223,157,380,--,380,157,195,223,380,Algún campo sin dato,1,9344c3a8c95a8cf6a228da766069d2ac22567d18d06f2353766e4e832b7b4795,26/06/2023 01:17:55,ESCANER
13851,"San Marcos",12,"Tejutla",10,1937,380,55,7,23,116,0,3,1,2,0,4,0,0,0,211,8,0,219,0,219,--,381,162,211,219,219,Algún campo sin dato,1,f4aff98b6dc73d0a7eeaa0f2810ad73daa3ec3a3349d17be92cf850cfbb64f1a,26/06/2023 01:28:31,ESCANER
13852,"San Marcos",12,"Tejutla",10,1938,380,47,9,17,92,0,1,2,0,1,8,1,3,0,181,13,3,197,0,197,--,380,183,181,197,197,Algún campo sin dato,1,596c40c72acaac74e5d715c32e48d6cbd6f9d862880dc109917d0f6f27e41a34,26/06/2023 00:42:27,ESCANER
13853,"San Marcos",12,"Tejutla",10,1938,380,39,5,14,87,0,0,1,0,0,3,2,0,0,151,4,0,155,0,155,--,380,225,151,155,155,Algún campo sin dato,1,cc0a53f26793fa46242f114b3ed4959a76a0a038b805ef1b770e27fd2e5e986a,26/06/2023 00:00:09,ESCANER
13854,"San Marcos",12,"Tejutla",10,1938,285,28,7,8,84,0,1,0,2,0,2,2,0,1,135,2,0,137,0,137,--,285,148,135,137,137,Algún campo sin dato,1,d96c18aa665e3a00f318a9688ed351773e5faa74d7cf92f0f6108f46b8247809,25/06/2023 23:50:10,ESCANER
