TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
49,49,100.0000,49,100.0000,0,18190,13802,75.8768

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,BIEN,UNE,CABAL,VIVA,SEMILLA,U R N G - MAIZ,UR,CAMBIO,VICTORIA,AZUL,MLP,VALOR,PODEMOS,WINAQ,TODOS,PPN,VAMOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
10111,"Totonicapán",8,"San Andrés Xecul",4,1311,400,36,26,3,2,12,2,3,2,1,0,0,91,2,0,11,4,45,240,13,4,257,0,257,0,400,143,240,257,257,,1,51c8728753804f0d5815e990ec2c84b4ea318e0d72794d49bf3d51eccfc39f25,25/06/2023 20:53:14,ESCANER
10112,"Totonicapán",8,"San Andrés Xecul",4,1311,400,50,34,12,5,12,2,4,3,4,0,1,65,4,0,10,1,45,252,6,2,260,0,260,0,400,140,252,260,260,,1,969606c147dee9c4c68959e608515fce67f9c4edb6f859f8d33c7493667ed9e7,25/06/2023 22:44:50,ESCANER
10113,"Totonicapán",8,"San Andrés Xecul",4,1311,362,42,30,5,1,12,0,3,1,0,0,0,83,6,0,23,2,51,259,3,5,267,0,267,0,362,96,259,267,267,,1,3ff5e943d0ecbe61403c556c1241babcb6d6afedfd7fc38353b1171d1fb72fa5,25/06/2023 23:22:08,ESCANER
10114,"Totonicapán",8,"San Andrés Xecul",4,1311,362,38,22,11,3,9,0,1,3,1,0,0,83,3,0,11,0,39,224,6,5,235,0,235,0,362,127,224,235,235,,1,bc9074eb9fbb084a15cc20854058bad639ba7418ea7df4676a8eeb0863823cc1,25/06/2023 22:05:16,ESCANER
10115,"Totonicapán",8,"San Andrés Xecul",4,1312,380,24,65,32,7,2,1,1,3,2,4,2,0,105,1,14,5,29,297,13,9,319,0,319,0,380,61,297,319,319,,1,08752e8860bf5af3be612b72dcedf3f7ee7bcecbac333ec87cb77e2d28f4a19d,26/06/2023 00:43:11,ESCANER
10116,"Totonicapán",8,"San Andrés Xecul",4,1312,380,22,75,39,10,3,3,1,10,1,4,1,1,95,0,18,2,36,321,9,5,335,0,335,0,380,45,321,335,335,,1,e7fcabd7a1f8fb2033045891104f82d5152745b0b928d6c950ea8ff2e9d081a3,25/06/2023 23:54:59,ESCANER
10117,"Totonicapán",8,"San Andrés Xecul",4,1312,380,20,64,64,10,2,1,1,3,1,2,0,1,89,0,18,4,48,328,14,7,349,0,349,0,380,31,328,349,349,,1,987a6c4ba415ad9b6c3cd12b3ca22d2ff9696de48368aa049907a5a6088630ea,26/06/2023 01:12:08,ESCANER
10118,"Totonicapán",8,"San Andrés Xecul",4,1312,380,24,83,33,5,7,1,0,8,1,4,0,3,70,0,21,4,39,303,10,13,326,0,326,0,380,54,303,326,326,,1,5f6d441b140ede42a72b91bda84601f5589337ca11ecdd4fd89b6d6182fb7ac4,26/06/2023 01:05:14,ESCANER
10119,"Totonicapán",8,"San Andrés Xecul",4,1312,380,23,96,20,5,1,1,0,4,0,2,1,3,72,0,14,2,34,278,2,3,283,0,283,0,380,97,278,283,283,,1,a51feb79ac9b29c6304913d2bfb50a92134cef37d8d339763154c116472de194,26/06/2023 00:27:04,ESCANER
10120,"Totonicapán",8,"San Andrés Xecul",4,1313,380,26,72,39,4,2,1,1,1,2,1,0,2,80,0,12,2,33,278,9,8,295,0,295,0,380,85,278,295,295,,1,36564347a918bdf3d086894d4c2027143645385ba7596d54cd66af6b511be4cc,25/06/2023 23:36:17,ESCANER
