TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
53,53,100.0000,53,100.0000,0,20428,12618,61.7681

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,AZUL,CAMBIO,VALOR,CABAL,VAMOS,VICTORIA,SEMILLA,PPN,CCM,WINAQ,P A N,BIEN,UNE,UR,PHG,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
23486,"Jalapa",21,"Monjas",6,3689,220,4,2,32,27,20,4,8,0,22,0,0,4,6,1,1,131,2,1,134,0,134,--,220,86,131,134,134,Algún campo sin dato,1,4ab1deec7921734315ba896632b21ca35b2e8a96b76194beecf80a95a573481b,25/06/2023 21:35:17,ESCANER
23487,"Jalapa",21,"Monjas",6,3689,219,5,1,13,19,14,3,5,1,30,0,0,4,5,0,2,102,7,4,113,0,113,0,219,106,102,113,113,,1,2cced9db864956a083f63efbc26d56c609cd57c09eee72ce6221ecf9bbfb04f5,25/06/2023 20:44:50,ESCANER
23488,"Jalapa",21,"Monjas",6,3690,400,6,6,25,34,85,11,5,5,32,0,1,17,4,0,3,234,20,9,263,0,263,--,400,137,234,263,263,Algún campo sin dato,1,b3c77262d5549265553549c836bf092bae32ce24c00f50e6ecd09bef165e4ec2,26/06/2023 00:57:21,ESCANER
23489,"Jalapa",21,"Monjas",6,3690,400,4,7,35,34,108,8,4,2,37,1,0,9,4,2,2,257,14,5,276,0,276,--,396,120,257,276,276,Algún campo sin dato,1,2023368c9eb86248bd96fe00a72d3954a19942a873dfba2f8ffdc980ceb1c58e,26/06/2023 01:17:45,ESCANER
23490,"Jalapa",21,"Monjas",6,3690,400,5,6,31,34,97,9,6,1,34,1,1,12,9,1,0,247,11,6,264,0,264,1,400,136,247,264,264,,1,bc15c4360c09a308603f7e5fc395258fe46b9d0c24ece32f0f45aea695a3d74f,26/06/2023 03:02:48,ESCANER
23491,"Jalapa",21,"Monjas",6,3690,400,5,5,30,39,82,18,13,5,24,0,1,22,7,1,2,254,16,10,280,0,280,--,400,120,254,280,280,Algún campo sin dato,1,d0bdfc58292638b33bd38ca3ed6372e6ce1a2c14bf1b505181bc13938c9f94ff,26/06/2023 01:08:28,ESCANER
23492,"Jalapa",21,"Monjas",6,3690,400,2,2,43,21,68,5,15,2,23,0,1,7,1,2,0,192,13,4,209,0,209,--,400,191,192,209,209,Algún campo sin dato,1,5d9884184f83c24fc22830f21848de145cc7517233aede51fafd1d54dc7ef17b,26/06/2023 00:55:56,ESCANER
23493,"Jalapa",21,"Monjas",6,3690,400,6,3,34,35,80,6,3,3,33,0,0,10,4,0,1,218,19,3,240,0,240,--,--,--,218,240,240,Algún campo sin dato,1,849f1353d3407e482d9cc2ef0635358ab9a35b48ee746ef9fb7f7a26dac0d17b,25/06/2023 23:33:02,ESCANER
23494,"Jalapa",21,"Monjas",6,3690,400,2,6,33,31,79,11,4,1,37,1,0,25,9,1,4,244,11,3,258,0,258,--,400,142,244,258,258,Algún campo sin dato,1,0155a4104940704a65228bb8d779246f02ac89c133d627884f75fc4f1f7eb631,26/06/2023 02:04:39,ESCANER
23495,"Jalapa",21,"Monjas",6,3690,400,7,4,28,47,80,11,5,3,35,1,1,8,4,1,0,235,9,3,247,0,247,--,400,150,235,247,247,Algún campo sin dato,1,a75ed13daa8cb1d663db63e48a5ea0711ae9c814e13f4af6a5129a62d37ea3e6,26/06/2023 00:26:51,ESCANER
23496,"Jalapa",21,"Monjas",6,3690,400,7,7,49,23,97,6,11,3,35,1,0,10,9,1,1,260,7,1,268,0,268,--,400,132,260,268,268,Algún campo sin dato,1,e0fe258fc5dd8d12093da2594624c5b746fbc4458d0e6abb79955287ba6d020d,26/06/2023 00:11:03,ESCANER
23497,"Jalapa",21,"Monjas",6,3690,346,2,3,43,24,79,6,12,2,25,0,0,7,7,0,2,212,5,0,217,0,217,--,346,129,212,217,217,Algún campo sin dato,1,57958754190fcb0d4bbbb86212ba6441df7c899f5fae6cc71d9d582fc53d2b8f,26/06/2023 00:35:47,ESCANER
23498,"Jalapa",21,"Monjas",6,3690,345,0,2,28,12,77,8,0,1,17,2,1,8,1,0,1,158,5,0,163,0,163,--,345,182,158,163,163,Algún campo sin dato,1,e84fe9f33fb651bee9295d93e7350e479a7e9d06fbabb3f1a50a1eaa0f3cacd0,25/06/2023 23:58:11,ESCANER
23499,"Jalapa",21,"Monjas",6,3691,600,6,7,11,26,37,7,11,1,40,1,2,11,13,0,1,174,8,6,188,0,188,--,600,412,174,188,188,Algún campo sin dato,1,ae10bf91ce7eaaefa28f80127f94bd913f0e2b0ce067e1225402ebe423822c0b,26/06/2023 02:23:01,ESCANER
23500,"Jalapa",21,"Monjas",6,3691,508,4,1,6,11,21,2,1,0,22,2,0,5,4,1,0,80,4,8,92,0,92,--,508,416,80,92,92,Algún campo sin dato,1,d3eda5185a7c579b82741d3812e2625aaf872592c551d1354062d677b1ff0e09,26/06/2023 00:37:50,ESCANER
23501,"Jalapa",21,"Monjas",6,3691,507,3,4,3,4,10,0,0,0,9,0,0,0,1,0,0,34,1,0,35,0,35,--,507,472,34,35,35,Algún campo sin dato,1,03a5efe81f154c9f43fab1e7fe9a42fe1ff75184622b8a6d95c953a753f72515,25/06/2023 22:32:52,ESCANER
