TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
77,77,100.0000,77,100.0000,0,29314,18036,61.5269

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VIVA,VAMOS,CABAL,PODEMOS,UNE,U R N G - MAIZ,TODOS,VALOR,PHG,P A N,AZUL,BIEN,CAMBIO,MLP,ELEFANTE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
12161,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1645,400,--,80,1,69,16,35,13,3,6,8,4,--,1,2,3,240,22,6,266,--,266,--,400,266,241,269,269,Sumas Asentadas sin cuadrar,1,38b0e1a694bc655cb6dd5e6a561664be7fc2509d6661f25e044cacdbd6cc2a29,26/06/2023 03:13:50,ESCANER
12162,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1646,400,10,73,4,54,22,29,2,3,12,2,0,1,1,0,2,215,12,5,232,0,232,--,400,168,215,232,232,Algún campo sin dato,1,1e4c8541726bc66e562c7d001ffbb3239464dd0d2a2558fe8af87f625dcfd0e9,26/06/2023 01:02:39,ESCANER
12163,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1646,400,11,90,8,45,25,24,0,3,10,3,1,1,0,2,2,225,14,2,241,0,225,--,400,159,225,241,241,Sumas Asentadas sin cuadrar,1,a1dfdb9c69e0b9bb43421ca8f7fab5f50025213de049fa4dbe4ae2a8276ed34e,25/06/2023 23:25:25,ESCANER
12164,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1646,400,4,95,7,63,17,22,0,4,4,1,4,0,2,3,1,227,11,2,240,0,240,--,400,160,227,240,240,Algún campo sin dato,1,e952c8b33145f814b690d53be2da3fdf28e77c7328dcb462aac83421f8cb5634,26/06/2023 00:33:51,ESCANER
12165,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1646,400,5,91,2,43,10,46,1,3,9,3,2,1,0,1,3,220,4,1,225,0,225,1,399,174,220,225,225,,1,8f99aa45683b74c3a15d870b1124fd1983d404ae106e5bbdf84d7422f426220d,26/06/2023 01:01:48,ESCANER
12166,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1646,260,7,43,2,40,9,17,1,2,6,0,2,0,0,0,5,134,4,0,138,0,138,--,260,122,134,138,138,Algún campo sin dato,1,f9a843d736e3036973f1a1ffd1647e1f1b4b387e84e1d7beb2a84503528ef751,25/06/2023 22:18:19,ESCANER
12167,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1646,259,6,45,2,26,18,18,4,0,1,0,1,0,0,0,2,123,4,2,129,0,129,--,259,130,123,129,129,Algún campo sin dato,1,a7d768b7651f7785fba97ef295fb2a5047750325fb893ea28aa9d919f8ed08c1,25/06/2023 23:35:23,ESCANER
12168,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1647,400,24,96,28,32,9,49,1,0,2,1,6,3,2,1,2,256,15,5,276,0,276,--,400,124,256,276,276,Algún campo sin dato,1,edfb54e7bc2b972ab322e12664a8a0b737792c46bbb1b1500807d65d48b9a7a8,26/06/2023 00:30:02,ESCANER
12169,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1647,400,38,73,28,29,15,64,0,2,3,0,4,0,0,0,0,256,16,3,275,0,275,--,400,125,256,275,275,Algún campo sin dato,1,17ff9960a922dd7fbfe4c20213efcabe61b56bc576460a03fc1bf7cc86185c51,25/06/2023 23:58:44,ESCANER
12170,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1647,400,49,89,8,33,21,30,0,2,0,0,7,0,0,0,2,241,25,3,269,0,269,--,400,131,241,269,269,Algún campo sin dato,1,3bf3783a5ef986529e9d21ef813cf2d30be4dedec0152401c04c3b20bf594d4b,26/06/2023 00:13:38,ESCANER
