TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
71,71,100.0000,71,100.0000,0,25460,19807,77.7965

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,MLP,PPN,UNE,VIVA,VAMOS,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
16997,"Quiché",14,"Chajul",5,2564,380,18,1,13,48,135,32,135,252,0,3,255,0,0,--,368,112,382,385,385,Sumas Asentadas sin cuadrar,1,44a871ce1056b1d9681d8a9132263cc6eaa1c47d37a2e7870e316052cb61ce86,26/06/2023 05:50:28,MOVIL
16998,"Quiché",14,"Chajul",5,2564,380,23,0,13,44,4,41,138,263,0,6,269,0,269,0,368,99,263,269,269,,1,27c1af6a850a34a68496ec2a6be5adc14b1ddec9c0b750cd467f654ddfb11f21,26/06/2023 00:16:19,ESCANER
16999,"Quiché",14,"Chajul",5,2564,380,30,0,24,57,3,24,162,300,1,2,303,0,303,--,365,62,300,303,303,Algún campo sin dato,1,be98196f956578809fdd49a35e8afb901fd04e872f33744582d79b8d3b461122,25/06/2023 22:50:40,MOVIL
17000,"Quiché",14,"Chajul",5,2564,238,13,0,7,31,1,17,102,171,1,2,174,0,174,--,238,64,171,174,174,Algún campo sin dato,1,cd2e781b4983f5de4ef51a3df2b1728acb6ab8e98da92aa25720ea38dc4e0777,26/06/2023 01:12:44,ESCANER
17001,"Quiché",14,"Chajul",5,2564,238,16,0,3,19,5,29,77,156,2,5,163,0,322,--,338,82,149,156,156,Sumas Asentadas sin cuadrar,1,93daaf06137d070d952ed34fab7aa0f625e8d31ab0d2fb2c278805a8074830f2,26/06/2023 00:43:48,ESCANER
17002,"Quiché",14,"Chajul",5,2565,380,45,2,2,77,4,11,149,290,5,13,308,0,308,0,366,58,290,308,308,,1,799cc5bbaa2299eb11f7cfab7100484a95316452608f7c72184a2f6df9f06085,26/06/2023 00:09:25,MOVIL
17003,"Quiché",14,"Chajul",5,2565,380,30,3,1,84,8,10,149,285,9,9,303,0,303,--,365,62,285,303,303,Algún campo sin dato,1,119b9be6129537ae473edabd734440f329c0ef92999073326ad8108944081978,26/06/2023 00:49:30,MOVIL
17004,"Quiché",14,"Chajul",5,2566,380,30,2,7,62,11,11,139,262,3,12,277,0,277,--,370,88,262,277,277,Algún campo sin dato,1,00ad1ad2007bee78fc3e4d01b152f83e8b78e092330df576efc79c0e524fc1d7,25/06/2023 22:31:25,MOVIL
17005,"Quiché",14,"Chajul",5,2566,243,19,0,1,30,4,8,114,176,9,1,186,0,186,--,240,54,176,186,186,Algún campo sin dato,1,9e0a3f770ca2c6f81887c52f0b3de40e4014494604b6feacc6e7aea0a7ddb34d,25/06/2023 22:28:47,MOVIL
17006,"Quiché",14,"Chajul",5,2566,242,13,0,2,38,4,6,111,174,2,4,180,0,180,--,242,62,174,180,180,Algún campo sin dato,1,f6445895de3bc31968837f24861382a6e6a883f524c92796bc33bbdca89502e3,25/06/2023 22:25:32,MOVIL
17007,"Quiché",14,"Chajul",5,2567,363,67,0,4,131,2,17,83,362,4,4,360,312,360,--,360,48,304,312,624,Sumas Asentadas sin cuadrar,1,3de5027a74879f60926694eddfd38f2ff1e64608e3bef0d4ff0ac2b05c08b4da,26/06/2023 05:45:35,ESCANER
17008,"Quiché",14,"Chajul",5,2567,362,51,0,2,100,1,40,100,294,0,4,298,0,298,--,359,61,294,298,298,Algún campo sin dato,1,a59e3cef1b554b4b83130ab46c1ee45dd7d1174e08d00488cb708f5364ace412,26/06/2023 05:43:02,ESCANER
17009,"Quiché",14,"Chajul",5,2568,380,93,2,7,13,1,26,83,225,29,8,262,0,262,--,367,105,225,262,262,Algún campo sin dato,1,bac9d95fdf64fe186d19c2448fbba3ebdd98f4ed63496834e8e6503421d8cf80,25/06/2023 22:59:35,MOVIL
17010,"Quiché",14,"Chajul",5,2568,200,44,0,4,5,3,24,49,129,2,3,134,0,134,--,200,66,129,134,134,Algún campo sin dato,1,86b67f28da2aa3170b61351f2e7deb39e23624970b5718ad5b8b6767512fd8a5,26/06/2023 06:21:32,MOVIL
17011,"Quiché",14,"Chajul",5,2568,200,33,1,4,6,0,16,74,134,2,4,140,0,140,--,198,57,134,140,140,Algún campo sin dato,1,8ef761834bdf86d6f9f4f80cbd2887d9a7a2ea22143a8529c9f8ed0c54d808b5,26/06/2023 06:23:48,MOVIL
17012,"Quiché",14,"Chajul",5,2569,380,43,0,7,107,1,6,104,268,14,7,--,--,--,--,365,97,268,289,289,Algún campo sin dato,1,ede6d5d7915078ed849c4e3b5f59f418719597276713c0a36cf5e3d3538daf2e,26/06/2023 01:31:30,ESCANER
17013,"Quiché",14,"Chajul",5,2569,301,36,2,3,75,1,6,77,200,5,6,211,0,211,--,298,87,200,211,211,Algún campo sin dato,1,f83703a74861ceacdfce0164a2e3da3d7a9a64021e829252309eeb28d99966c0,25/06/2023 23:12:01,ESCANER
17014,"Quiché",14,"Chajul",5,2569,300,32,1,5,81,0,6,80,205,3,4,212,0,212,--,297,85,205,212,212,Algún campo sin dato,1,bd287afc165d742dd0dc2002cab92b3ac6f2556414e45f0a4b67ae3595359baa,25/06/2023 22:51:42,ESCANER
17015,"Quiché",14,"Chajul",5,2570,219,10,0,3,20,1,9,34,77,4,4,81,0,81,--,219,136,77,85,85,Sumas Asentadas sin cuadrar,1,d1b482f71772546b58b9cf2e633ae0a27e9355b794ab465c6fa6bf426ee220a1,26/06/2023 01:47:27,ESCANER
