TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
68,68,100.0000,68,100.0000,0,25029,13946,55.7193

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VIVA,CABAL,CAMBIO,UNE,MLP,VALOR UNIONISTA,AZUL,VAMOS,PPN,TODOS,BIEN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20389,"Petén",17,"Flores",1,3174,380,10,38,51,26,7,2,4,40,1,7,3,189,19,5,213,0,213,--,380,167,189,213,213,Algún campo sin dato,1,8919875c18af8c8c432c121119d1294b2e23e3d8e1cb652de04793deccb580a6,26/06/2023 01:23:44,ESCANER
20390,"Petén",17,"Flores",1,3174,380,3,35,42,20,7,3,13,33,1,0,6,163,21,4,188,0,0,--,380,189,163,188,188,Algún campo sin dato,1,16bdaa995f3c979096fc8d23d18d64391298c99fb7c054ef8c07ad9adba18f73,26/06/2023 01:27:05,ESCANER
20391,"Petén",17,"Flores",1,3174,380,6,40,64,41,1,2,9,37,0,2,2,204,5,1,210,0,210,0,380,170,204,210,210,,1,3980d1408f47190f336462e6916124514a40983239b3b0b285323a4912fed550,26/06/2023 01:02:57,ESCANER
20392,"Petén",17,"Flores",1,3174,380,4,43,61,56,6,1,9,28,0,0,8,216,4,0,220,0,0,--,380,160,216,220,220,Algún campo sin dato,1,3bfbc6a0cc5242f2bcac215639cda4a73a1070cd6262be7d54cea5e0c2dc871b,26/06/2023 00:31:35,ESCANER
20393,"Petén",17,"Flores",1,3174,302,3,43,58,28,1,1,9,24,1,0,1,169,5,1,175,0,175,--,302,127,169,175,175,Algún campo sin dato,1,9e17d9f074da09f7d4349be1b40910456503c9ce7a40625e6801e8d705290c1d,25/06/2023 22:59:30,ESCANER
20394,"Petén",17,"Flores",1,3174,301,2,26,42,28,3,0,1,18,1,2,8,131,8,2,141,0,141,--,298,157,131,141,141,Algún campo sin dato,1,2ff946fde80fcf262f4f05dafe2158fef2ae46d4c8abe7d88006c85edc10b043,25/06/2023 23:03:10,ESCANER
20395,"Petén",17,"Flores",1,3175,214,3,9,19,5,0,2,0,34,2,1,1,76,5,3,84,0,84,--,214,130,76,84,84,Algún campo sin dato,1,157ebd332fafd99c554bfdcddf991a805f0569eefcf0170f3d4b3314f312249c,25/06/2023 22:10:03,ESCANER
20396,"Petén",17,"Flores",1,3175,214,2,17,12,2,0,4,0,13,0,0,0,50,11,3,64,0,64,--,214,150,50,64,64,Algún campo sin dato,1,129f0ca105539c9b44539e9969d36a807236b2ea77e4f8a625f2322dc7d3f6af,25/06/2023 20:59:39,ESCANER
20397,"Petén",17,"Flores",1,3176,380,5,40,76,47,4,6,2,63,0,1,5,249,19,7,275,0,275,--,377,102,249,275,275,Algún campo sin dato,1,dcc876f4a4c906079f863cb1262d23fe8067cc2c594d95ef97041c5c654e1a7a,26/06/2023 02:44:18,ESCANER
20398,"Petén",17,"Flores",1,3176,380,0,40,71,39,2,3,1,44,1,0,5,206,15,6,227,0,227,--,380,153,206,227,227,Algún campo sin dato,1,8d992c869576e1a6ff25859715dfdd5696fbb2ad1d3b0d050953e60f89f998bb,26/06/2023 01:27:32,ESCANER
20399,"Petén",17,"Flores",1,3176,380,1,44,68,44,1,4,1,61,4,2,3,233,19,1,253,0,253,1,380,127,233,253,253,,1,368b4a01a5eaee62f6526f2c33b7af4f348c43792e26869944e32cac010968ea,26/06/2023 01:58:21,ESCANER
20400,"Petén",17,"Flores",1,3176,325,0,29,61,27,2,5,2,37,4,2,4,173,12,1,186,1,187,1,325,138,173,186,187,,1,97c4f16b1f8696585d19dffa4ec95fd2b604361ee3553aa7f6af4327a772bbdf,26/06/2023 01:37:00,ESCANER
20401,"Petén",17,"Flores",1,3176,325,1,28,64,24,0,2,1,41,2,0,3,166,9,0,175,0,175,--,325,150,166,175,175,Algún campo sin dato,1,9a487320bcaa6b71fe053409684168bc1c9f815a0689d0a3d38f77b5e6154cc5,26/06/2023 02:06:06,ESCANER
20402,"Petén",17,"Flores",1,3177,291,4,52,34,19,0,5,0,38,3,3,2,160,9,7,176,0,176,--,291,115,160,176,176,Algún campo sin dato,1,b8d2aa26f68f825013cd0f5aff3e41c07b642aae4d54e131e4ebd2e37a37922d,25/06/2023 22:40:07,ESCANER
20403,"Petén",17,"Flores",1,3177,290,3,49,42,16,0,0,1,28,3,0,3,145,9,2,156,0,156,--,287,131,145,156,156,Algún campo sin dato,1,7f9de889e06c41f3e69feaa9b0b311c5b11b8ef66535f28748e817a1b7f51457,25/06/2023 23:45:20,ESCANER
20404,"Petén",17,"Flores",1,3178,600,6,30,36,55,2,10,1,36,3,1,4,184,21,2,207,0,207,--,600,393,184,207,207,Algún campo sin dato,1,7d733d2359f08265a0f53b171154755811cf91af51b296b12c7b241e4b90f375,26/06/2023 01:42:59,ESCANER
20405,"Petén",17,"Flores",1,3178,535,4,30,33,74,3,9,2,27,0,0,4,186,15,1,202,0,202,--,535,333,186,202,202,Algún campo sin dato,1,4b75b9c84367957bdb804050e3a05a1e82eac75f11922e1d7cdf1ae36d281a95,26/06/2023 01:18:04,ESCANER
20406,"Petén",17,"Flores",1,3178,534,5,7,8,18,1,4,1,13,0,0,0,64,6,1,64,0,64,0,534,470,57,64,64,Sumas Asentadas sin cuadrar,1,63038fd77cba93585bfb794ae37dc5c6be73088e544f23440b2267577d6d50c2,25/06/2023 21:38:53,ESCANER
