TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
87,87,100.0000,87,100.0000,0,32804,19741,60.1786

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,CABAL,CAMBIO,VAMOS,AZUL,BIEN,TODOS,MLP,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20486,"Petén",17,"San Benito",3,3191,400,105,10,3,115,2,3,--,6,1,245,16,4,265,7,272,--,400,128,245,265,272,Algún campo sin dato,1,06e49ae13b28d0cd318dfc125615477ac3f09505f3a93cd9e8ee0c0e6b2038c6,26/06/2023 03:17:06,ESCANER
20487,"Petén",17,"San Benito",3,3191,400,96,5,9,114,4,2,2,5,6,264,17,4,264,0,264,1,400,136,243,264,264,Sumas Asentadas sin cuadrar,1,7e6bd47a3de949dd297a90117d5d0bf815b598573d5f4288acae4432160691cd,25/06/2023 23:00:21,ESCANER
20488,"Petén",17,"San Benito",3,3191,400,102,5,6,111,6,2,0,6,0,238,8,4,250,0,250,--,397,147,238,250,250,Algún campo sin dato,1,a5e4bee60bd54249608f69fd2ab1848a5ea4eb627efaa89ae718e00fa64aa6b1,26/06/2023 03:08:17,ESCANER
20489,"Petén",17,"San Benito",3,3191,400,100,7,5,102,2,2,1,1,1,221,19,3,243,0,243,--,400,157,221,243,243,Algún campo sin dato,1,1321b28884bfe4e8111f41b059facef733350bedcfdf358c6dcdd95daddec07a,26/06/2023 02:54:44,ESCANER
20490,"Petén",17,"San Benito",3,3191,400,101,7,5,126,5,2,2,5,1,254,14,2,270,0,270,--,400,130,254,270,270,Algún campo sin dato,1,78c495e4c454bcdee96eac1db41f01efc56d2f31e30b5975cbd325a1aaf40c99,26/06/2023 01:42:02,ESCANER
20491,"Petén",17,"San Benito",3,3191,400,93,13,10,105,1,2,0,11,2,237,17,0,254,0,254,--,399,145,237,254,254,Algún campo sin dato,1,cf62ef5abd189e2f20cdec19117bd440f43799189f2f701ecb36be7f8caa1d0e,26/06/2023 02:39:23,ESCANER
20492,"Petén",17,"San Benito",3,3191,400,95,9,3,91,2,1,2,4,1,208,37,5,250,1,251,1,400,149,208,250,251,,1,633c8431c345177d6f82e99755019c3d3f49e67bd6228a65caa39b66239db32f,26/06/2023 02:58:51,ESCANER
20493,"Petén",17,"San Benito",3,3191,400,93,3,9,110,2,2,2,2,0,223,10,2,235,0,235,--,400,165,223,235,235,Algún campo sin dato,1,9633906847a9b51481de121d22ca79fa30779cc749c9be30d3214064e9e6e600,26/06/2023 02:32:45,ESCANER
20494,"Petén",17,"San Benito",3,3191,400,115,5,8,94,3,2,0,4,0,231,9,0,240,0,240,--,380,160,231,240,240,Algún campo sin dato,1,ceed23e9ab2c27220b253b144dea38c15acc6f9c52d77deffa61a2a1e96a52cb,26/06/2023 01:53:14,ESCANER
20495,"Petén",17,"San Benito",3,3191,400,99,4,4,105,1,2,0,3,1,219,7,0,226,0,226,--,400,174,219,226,226,Algún campo sin dato,1,a87b2235bb211b9586fb42e259bdee20a9fed29e96a2bd6b14fda06f0bd54ceb,26/06/2023 01:20:24,ESCANER
20496,"Petén",17,"San Benito",3,3191,228,56,3,5,60,0,3,1,0,0,128,4,0,132,0,132,--,228,96,128,132,132,Algún campo sin dato,1,8f8a64a4ad04f08e76bcfb05616e4357892b348a9a893702a8483768c8accee7,25/06/2023 21:19:06,ESCANER
20497,"Petén",17,"San Benito",3,3191,227,52,5,1,49,--,--,--,1,2,110,6,2,118,0,118,--,225,107,110,118,118,Algún campo sin dato,1,1d15eb0917fbd139adaa0bb055af5013d711b302f69faf102d3c663659065d68,25/06/2023 22:47:05,ESCANER
20498,"Petén",17,"San Benito",3,3192,380,122,6,1,73,2,1,2,2,8,218,22,6,246,0,218,1,380,134,217,245,245,Sumas Asentadas sin cuadrar,1,5d55d054a38e6ff3f5e3683399400823e82337c6646951f4212fe5c4f775420c,26/06/2023 01:44:49,ESCANER
20499,"Petén",17,"San Benito",3,3192,380,128,6,0,86,2,4,0,0,5,231,12,5,248,0,248,--,380,132,231,248,248,Algún campo sin dato,1,bd6678b9ed5ed85a306e856167bab47c95634d45bd79d1d56db1394ec26025d0,26/06/2023 00:19:51,ESCANER
20500,"Petén",17,"San Benito",3,3192,380,137,6,3,59,3,5,0,0,3,216,17,4,237,0,237,--,380,143,216,237,237,Algún campo sin dato,1,6d346a8528b14231e3836ba41e220654247c99fc28cb8e44c662ce0cf127988f,26/06/2023 01:18:29,ESCANER
20501,"Petén",17,"San Benito",3,3192,380,125,5,3,60,0,0,1,0,2,196,23,5,224,0,224,--,376,152,196,224,224,Algún campo sin dato,1,e8da51ec81fd0ba4174a794b13527ad00b574ae51f760bda161fd81f09f70830,26/06/2023 01:00:35,ESCANER
20502,"Petén",17,"San Benito",3,3192,380,134,5,3,77,0,0,1,0,1,221,2,4,227,0,227,--,379,152,221,227,227,Algún campo sin dato,1,b839aa11bd94e7acdbac378ce5d92ca1d806135314a30944c99e16b6dbd3792e,26/06/2023 00:05:29,ESCANER
20503,"Petén",17,"San Benito",3,3192,300,113,1,2,51,0,0,0,0,2,169,5,2,176,0,176,--,300,124,169,176,176,Algún campo sin dato,1,7fde09ececa27c9d19b3c91448af78f30b2be0a9bc7af939d0aa8aa1238f9b76,25/06/2023 23:24:37,ESCANER
20504,"Petén",17,"San Benito",3,3192,299,115,1,1,36,2,0,0,1,2,158,5,5,168,0,168,--,299,131,158,168,168,Algún campo sin dato,1,a72297873ae5fb335105b45f8261f26d97ed247c0d8d6c7ae7b63cbf78a98e9e,25/06/2023 23:17:06,ESCANER
20505,"Petén",17,"San Benito",3,3193,600,61,7,7,95,4,0,3,2,7,186,12,1,199,0,199,--,599,401,186,199,199,Algún campo sin dato,1,230eaa7029c12b5d8ac539f91e2e10750bd387949d7c714e1f99db74c7b6f9cc,26/06/2023 02:00:15,ESCANER
20506,"Petén",17,"San Benito",3,3193,332,25,3,6,41,0,1,0,1,0,77,3,2,82,0,82,--,332,249,77,82,82,Algún campo sin dato,1,19662f9d7535d0ccfa60b31be7f974feb71f125f0fa076882b4024c91c719213,26/06/2023 03:10:04,ESCANER
20507,"Petén",17,"San Benito",3,3193,332,6,2,1,14,0,0,0,0,2,25,0,0,25,1,25,--,332,307,25,25,26,Sumas Asentadas sin cuadrar,1,401d86e85b83b0c315cd5f068691de403071d58b92a5c7d9f3d0a770481f2f11,25/06/2023 22:40:14,ESCANER
