TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
87,87,100.0000,87,100.0000,0,32804,19741,60.1786

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,CABAL,CAMBIO,VAMOS,AZUL,BIEN,TODOS,MLP,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20439,"Petén",17,"San Benito",3,3185,340,79,5,2,101,0,3,0,3,1,194,9,1,204,0,204,--,340,136,194,204,204,Algún campo sin dato,1,eed6fe2dd89b5d327a283084d3c8555397cabceb48f8758c2132cfcc9778933e,26/06/2023 01:34:23,ESCANER
20440,"Petén",17,"San Benito",3,3185,340,71,11,5,92,0,1,0,1,0,181,4,2,187,0,187,--,339,149,181,187,187,Algún campo sin dato,1,21dfd3ee7f87216dfac434f4a8b9a71a43daa621eb0d54bdeb8fdccab9679f8c,26/06/2023 00:10:27,ESCANER
20441,"Petén",17,"San Benito",3,3186,400,96,5,8,106,6,2,2,0,3,228,16,2,246,0,246,--,400,154,228,246,246,Algún campo sin dato,1,f6763ee4bd3acaf79fbe0f1f504a445c4f3a98a887a579496f518692b65d682c,26/06/2023 01:17:15,ESCANER
20442,"Petén",17,"San Benito",3,3186,400,107,8,6,112,10,3,1,4,3,254,13,3,270,0,270,--,397,127,254,270,270,Algún campo sin dato,1,5323e141b3d239d76beaf5a0a0a5bdf7f643ad99c67ec5ac8e5775d432998c0c,26/06/2023 03:11:22,ESCANER
20443,"Petén",17,"San Benito",3,3186,400,113,1,11,108,9,2,3,5,3,255,9,2,265,1,267,--,399,132,255,266,267,Sumas Asentadas sin cuadrar,1,889ca681e051e869f169924003ad321fe58b149afc0ba35d8dcc3e6b65256a98,26/06/2023 03:18:14,ESCANER
20444,"Petén",17,"San Benito",3,3186,400,76,5,9,106,9,4,0,2,1,212,15,0,227,1,228,--,399,171,212,227,228,Algún campo sin dato,1,ce15cc91a044dda8468eb2f5d14beabf62e6465a19606c64956c1531fa6364aa,26/06/2023 01:28:08,ESCANER
20445,"Petén",17,"San Benito",3,3186,400,106,4,9,127,7,1,4,2,2,262,8,1,271,0,271,--,400,129,262,271,271,Algún campo sin dato,1,99500bfe5e09fc65565db0bc90c9b9294abcfb48efe65b729d6f1c78788ee821,26/06/2023 02:17:51,ESCANER
20446,"Petén",17,"San Benito",3,3186,400,91,6,7,110,7,4,2,1,3,231,15,0,246,0,246,--,400,154,231,246,246,Algún campo sin dato,1,129109bcbe89fe8206f92c969eb678b7b8f8f4bcd8ddb071fdee3d1ec088864b,26/06/2023 03:07:31,ESCANER
20447,"Petén",17,"San Benito",3,3186,400,115,6,3,104,0,1,2,1,2,234,10,1,245,0,245,--,400,155,234,245,245,Algún campo sin dato,1,7c4d2706fd5eb57c818b43dfff162f4bce27cc0276e0e4e34120a5d08313830a,26/06/2023 03:03:24,ESCANER
20448,"Petén",17,"San Benito",3,3186,275,72,5,6,74,0,5,0,3,3,168,4,0,172,0,172,--,275,103,168,172,172,Algún campo sin dato,1,6135ea4158ca084dee8d902a45caa0e648ef8cc5f13eff0b5a9edf1048aab116,26/06/2023 00:17:54,ESCANER
