TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
61,61,100.0000,60,98.3606,1,22293,15150,67.9585

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,VICTORIA,PPN,WINAQ,CABAL,AZUL,VOS,BIEN,VAMOS,UNE,PHG,PIN,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
11145,"Quetzaltenango",9,"Cantel",14,1496,380,42,5,16,4,44,12,6,45,63,1,2,1,37,278,15,3,296,0,296,--,380,84,278,296,296,Algún campo sin dato,1,11003f40e389b0079a2dc711232d62517696d9523bca9e88657a7e7181915715,25/06/2023 23:56:20,ESCANER
11146,"Quetzaltenango",9,"Cantel",14,1496,380,43,3,18,2,45,7,3,27,76,2,0,0,43,269,3,6,278,0,278,--,380,102,269,278,278,Algún campo sin dato,1,d0a103278acad8153dc2e39fda9fc0ee2126623bab8cdc9063d80c57ea90f514,26/06/2023 04:20:59,ESCANER
11147,"Quetzaltenango",9,"Cantel",14,1496,380,59,3,21,1,43,7,1,36,62,0,4,2,34,273,12,2,287,0,287,--,380,93,273,287,287,Algún campo sin dato,1,54e0a569d9f79918a3ff670b8f56b3989415bd9c8e2af21793095b82bf1e6702,26/06/2023 01:24:24,ESCANER
11148,"Quetzaltenango",9,"Cantel",14,1496,380,51,4,8,2,47,4,0,29,67,2,4,1,41,260,16,3,279,0,279,--,380,101,260,279,279,Algún campo sin dato,1,715fa805df7ddca0506382301f0e1382701158c7e83d4e61fcc55e3efafb6778,26/06/2023 00:55:32,ESCANER
11149,"Quetzaltenango",9,"Cantel",14,1496,380,58,5,15,1,49,1,2,34,79,1,0,1,38,284,9,6,299,0,299,--,380,81,284,299,299,Algún campo sin dato,1,c44a538c14fb98a33736e4bd58a6c81194bf62eb3a2e4baade48d67d05b3d258,26/06/2023 03:56:32,ESCANER
11150,"Quetzaltenango",9,"Cantel",14,1496,380,48,1,8,3,68,2,3,26,76,0,1,0,34,270,6,4,280,0,280,--,380,100,270,280,280,Algún campo sin dato,1,83453a4a5c1ca43fb1cedd7254d0341c25a47bb1b7187a91772460bd2a6233ff,26/06/2023 04:28:31,ESCANER
11151,"Quetzaltenango",9,"Cantel",14,1496,380,54,4,14,1,44,5,0,27,71,1,3,1,39,264,9,1,274,0,274,--,380,106,264,274,274,Algún campo sin dato,1,e127a7478cc627deba447aef207e89332179f15c4f8cfc879bb1ae3f08f48d79,26/06/2023 00:38:54,ESCANER
11152,"Quetzaltenango",9,"Cantel",14,1496,380,57,6,16,4,49,4,0,23,59,0,4,2,37,261,5,1,267,0,267,--,380,113,261,267,267,Algún campo sin dato,1,238eff47e511c92d1109d3012647a00c922b64fdfe9f973c1652230056647445,26/06/2023 02:04:52,ESCANER
11153,"Quetzaltenango",9,"Cantel",14,1496,380,45,2,8,2,43,3,2,29,76,0,0,0,41,251,9,3,263,0,263,--,380,117,251,263,263,Algún campo sin dato,1,02c98152c0a7db9b5a0a5d59604200930881e09b9fe778fbb17b5df714a58fcb,26/06/2023 01:05:12,ESCANER
11154,"Quetzaltenango",9,"Cantel",14,1496,380,46,3,18,5,39,2,2,25,63,1,0,1,41,246,6,4,256,0,256,--,377,121,246,256,256,Algún campo sin dato,1,ebf966cd03a82a552cf00c87206fb4e169bcc9c29d4f12fa2e76b2919e07c08a,26/06/2023 04:38:06,ESCANER
