TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
41,41,100.0000,41,100.0000,0,14485,9815,67.7597

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,CABAL,UNE,MI FAMILIA,MLP,TODOS,BIEN,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
10881,"Quetzaltenango",9,"Cabricán",6,1449,286,114,0,0,58,0,0,0,3,175,2,0,177,0,177,--,286,109,175,177,177,Algún campo sin dato,1,9ab12944a5637252947d3a2bdd471cfcd3786491600699fc94b94a9ef2f48393,25/06/2023 22:25:21,ESCANER
10882,"Quetzaltenango",9,"Cabricán",6,1450,380,116,3,2,172,0,1,0,11,305,5,5,315,0,315,--,380,62,305,315,315,Algún campo sin dato,1,da3108ba45689ab2d6368b27eafecca42c2e8a8e29122e51701f5f998a27cb5d,25/06/2023 23:59:06,ESCANER
10883,"Quetzaltenango",9,"Cabricán",6,1450,380,120,0,2,165,0,0,0,5,292,12,1,305,0,305,--,380,75,292,305,305,Algún campo sin dato,1,59f746745fe36a9d4861df5daa5de6b6eb37ae1c189108549f2967a6b553547a,26/06/2023 01:07:08,ESCANER
10884,"Quetzaltenango",9,"Cabricán",6,1450,275,75,0,1,84,1,0,0,10,171,7,2,180,0,180,--,275,95,171,180,180,Algún campo sin dato,1,14ca44e6cd6174377355c0c24d7e0adf41ed6c7e2949156fa0516d1407b36fb6,26/06/2023 00:03:37,ESCANER
10885,"Quetzaltenango",9,"Cabricán",6,1450,274,66,0,0,104,0,1,1,9,181,1,1,183,0,183,--,274,91,181,183,183,Algún campo sin dato,1,4d7a5e216ad2aa82c419c50cbfedf6590d1a9143f168514cce70a9ea0fd013d9,26/06/2023 00:04:13,ESCANER
10886,"Quetzaltenango",9,"Cabricán",6,1451,380,123,4,5,120,0,1,1,17,271,19,8,298,0,298,--,380,82,271,298,298,Algún campo sin dato,1,71a070c4a970ac44d1b4752540273e0424a9859ac29e6e96b06ec8dabdc6e80f,25/06/2023 23:50:45,ESCANER
10887,"Quetzaltenango",9,"Cabricán",6,1451,380,155,1,3,117,0,1,1,17,295,12,11,318,0,318,--,380,62,295,318,318,Algún campo sin dato,1,4eea7b7e090f127a9f79daf536430d975d0e4db7e10a0f309847892b995fd7a1,25/06/2023 23:16:49,ESCANER
10888,"Quetzaltenango",9,"Cabricán",6,1451,380,131,1,2,85,0,0,1,12,232,19,2,21,0,253,--,380,127,232,253,253,Sumas Asentadas sin cuadrar,1,f56b4ede45250c38a983d9e364a2a5a32cd9384e821ebda8da0b1afdad94ffb7,25/06/2023 22:13:34,ESCANER
10889,"Quetzaltenango",9,"Cabricán",6,1451,287,79,0,1,67,1,0,1,12,161,8,2,171,0,171,--,289,118,161,171,171,Algún campo sin dato,1,f7964c15631d5d350650714f826fef2c216ddda010e301b482e34bfe2a59a970,25/06/2023 22:23:16,ESCANER
10890,"Quetzaltenango",9,"Cabricán",6,1451,287,93,2,2,62,0,0,0,6,165,5,0,170,0,170,--,289,119,165,170,170,Algún campo sin dato,1,6259e08576854796063338c5e0fc6d7cc4df7c704582924603f0173ba05d0830,25/06/2023 22:37:29,ESCANER
10891,"Quetzaltenango",9,"Cabricán",6,1452,598,49,1,1,36,1,0,4,10,102,1,3,106,0,106,--,598,492,102,106,106,Algún campo sin dato,1,b07f27adfe35367c801e3dbd64c5ea32a9263da3710b2228dd3afd2fe634593a,25/06/2023 22:45:56,ESCANER
