TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
113,113,100.0000,113,100.0000,0,41492,29457,70.9944

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,UNE,VAMOS,U R N G - MAIZ,MLP,TODOS,VICTORIA,VIVA,CCN,WINAQ,UR,PR,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
17638,"Quiché",14,"Nebaj",13,2681,380,38,135,47,1,8,22,0,9,2,0,1,0,0,263,9,8,280,0,280,--,380,100,263,280,280,Algún campo sin dato,1,a983895bf0a38fab49340197d15f85d512a702ff6232e003da7452dad9fae4ae,26/06/2023 01:31:49,ESCANER
17639,"Quiché",14,"Nebaj",13,2681,380,44,140,43,2,9,10,0,11,3,1,0,0,1,264,12,4,280,0,280,--,380,100,264,280,280,Algún campo sin dato,1,bc12572dfaf5b950399ef3e3e0e7de91e5e72335d05f2940d7239522abcfb390,26/06/2023 01:02:37,ESCANER
17640,"Quiché",14,"Nebaj",13,2681,380,42,150,45,1,6,23,0,17,5,0,0,1,1,291,4,9,246,0,304,--,380,76,291,304,304,Sumas Asentadas sin cuadrar,1,2b40739bdcd6956190252169e57d512a19041ae1d598d4d7f79b9fe3715c670a,26/06/2023 04:42:32,ESCANER
17641,"Quiché",14,"Nebaj",13,2681,380,24,142,48,1,6,22,1,11,5,0,0,0,0,260,5,10,275,0,275,0,380,105,260,275,275,,1,4e6f20487d0445b67f4b327fb7430817cb7f0ab0b48a23c7ec55ba76f0ad4716,25/06/2023 22:28:49,ESCANER
17642,"Quiché",14,"Nebaj",13,2681,380,50,151,39,0,2,35,2,10,2,2,1,0,2,296,3,9,308,0,377,--,377,69,296,308,308,Sumas Asentadas sin cuadrar,1,a575fd3981b6be73757953d4987fca6523b6268a6584a15212d861e5bf6ac655,26/06/2023 02:53:40,ESCANER
17643,"Quiché",14,"Nebaj",13,2681,380,35,145,65,0,2,23,1,12,2,1,0,0,0,286,8,11,305,0,305,0,380,75,286,305,305,,1,96f215245c043e95b274c9171fd4cbdab36cea8575f1dca07dad778d18652bf0,26/06/2023 01:17:27,ESCANER
17644,"Quiché",14,"Nebaj",13,2681,380,44,91,78,1,1,40,1,33,1,0,0,0,0,290,12,10,312,0,312,0,380,68,290,312,312,,1,7128fc56de3ebd06873adbbe3d99f062d94527e463ded9220b35ba831a699fe3,26/06/2023 01:55:06,ESCANER
17645,"Quiché",14,"Nebaj",13,2681,380,26,122,34,0,4,21,1,12,3,1,0,0,1,225,10,0,235,0,235,0,356,121,225,235,235,,1,f9b46e1bd1a13994bd90cb45f6f628e6c345df81bf771f881cb1e0dca38a7bba,26/06/2023 00:23:00,ESCANER
17646,"Quiché",14,"Nebaj",13,2681,380,37,123,38,1,4,26,1,13,6,1,0,0,1,251,8,7,266,0,266,0,380,114,251,266,266,,1,bc1800753882cb4714975dbb77da70d8954ebc691523debee486c52c83bbdc0c,26/06/2023 02:03:01,ESCANER
17647,"Quiché",14,"Nebaj",13,2681,380,32,113,39,2,7,35,0,11,4,0,0,0,1,244,3,8,255,0,255,0,380,125,244,255,255,,1,8544adb33cec4a10987253cf237925cddcbfbe1d63a1ee9ad0852d4d290d90f6,26/06/2023 02:18:39,ESCANER
17648,"Quiché",14,"Nebaj",13,2681,380,40,104,47,0,3,32,1,13,8,0,0,0,0,248,4,8,260,0,260,--,380,120,248,260,260,Algún campo sin dato,1,cf0885fd682dbfc0a6c312375597a61602ccb32a06bfc2a27c98304905a42609,26/06/2023 01:07:51,ESCANER
17649,"Quiché",14,"Nebaj",13,2681,380,39,115,29,1,0,25,0,8,0,0,0,0,1,218,5,9,232,0,232,--,380,148,218,232,232,Algún campo sin dato,1,156a537955665918d627930defc3b65b5912af6994d3758c90c9cf38bee15ee6,26/06/2023 00:59:17,ESCANER
17650,"Quiché",14,"Nebaj",13,2681,380,33,112,43,0,2,25,1,22,4,0,0,0,0,242,2,2,246,0,246,0,380,134,242,246,246,,1,f7005c3733a8d46cd8fe96ac9a4439d7b3b2821d6e7ab096bfe228486c237cab,26/06/2023 01:46:39,ESCANER
17651,"Quiché",14,"Nebaj",13,2681,354,33,119,38,0,2,23,1,20,4,0,0,0,0,240,0,0,240,0,240,0,354,114,240,240,240,,1,9bd1c354d03b9b8ec34790f1e8be87ec3b42d8ed0bd0fda4a7f859e26e1d52cd,26/06/2023 01:54:21,ESCANER
17652,"Quiché",14,"Nebaj",13,2681,354,32,91,24,0,1,22,0,13,1,0,1,0,1,186,0,2,188,0,188,0,354,166,186,188,188,,1,a7f9dd38ed32d9484fbffe6fdd3d99d9d8c5898f4b45ab4c2f9fc75d92b3351c,26/06/2023 01:31:43,ESCANER
17653,"Quiché",14,"Nebaj",13,2682,380,31,159,30,3,10,18,0,20,0,0,1,0,7,279,3,10,292,0,292,--,380,88,279,292,292,Algún campo sin dato,1,a07b2c6892313cd2c24ef4da7d41c0959768cd90e8b4eae42ebd6990b86586af,26/06/2023 00:59:51,ESCANER
17654,"Quiché",14,"Nebaj",13,2682,380,40,150,27,1,4,26,1,17,0,1,0,1,8,276,11,11,298,0,298,0,380,82,276,298,298,,1,3d0bee31efce50585b0ab52f9ad5de52593808872eed32c9de827b677e020deb,25/06/2023 23:01:31,ESCANER
17655,"Quiché",14,"Nebaj",13,2682,380,22,145,62,1,9,25,0,29,2,0,0,0,5,300,3,7,310,0,310,0,380,70,300,310,310,,1,204b5e07da78cb4140d6b16b7b5f6f099d1af0d8931881ca5f29b4a99c091ace,26/06/2023 00:25:27,ESCANER
17656,"Quiché",14,"Nebaj",13,2682,380,26,172,59,0,11,19,0,23,2,0,0,0,2,314,8,6,328,0,328,0,380,52,314,328,328,,1,503de7317781239dbdae120da92a169f2079f7fa4cc159b3e3a74bfeb183c2ff,26/06/2023 00:46:41,ESCANER
17657,"Quiché",14,"Nebaj",13,2682,380,14,152,58,1,5,21,1,26,2,0,1,0,3,284,4,3,291,0,291,0,380,89,284,291,291,,1,44439611246aedf39cf4cba2857f1967ed54ffe064372b7dd4a0dbb2442e829c,26/06/2023 00:11:36,ESCANER
17658,"Quiché",14,"Nebaj",13,2682,380,20,139,36,1,8,16,1,21,1,1,1,0,1,246,11,1,258,0,258,--,380,122,246,258,258,Algún campo sin dato,1,56c69dca08b3cbf0f6fac5ae3692b118f41415e4c96b3c840b9d09772fe145f3,25/06/2023 21:48:39,ESCANER
17659,"Quiché",14,"Nebaj",13,2682,380,34,148,26,4,6,14,0,15,1,0,0,0,2,250,9,5,264,0,264,0,380,116,250,264,264,,1,bc8a947850737284fd00b95e61c5586956b7c2a79abf796004f59b69dc688a13,25/06/2023 22:30:09,ESCANER
17660,"Quiché",14,"Nebaj",13,2682,380,28,130,22,0,4,23,0,23,1,0,0,0,2,233,3,7,243,0,243,0,380,137,233,243,243,,1,c6a22b0096e3eb04b420c3da84e2167d7828bb5d29287662f1e206166e413ee7,25/06/2023 22:06:45,ESCANER
17661,"Quiché",14,"Nebaj",13,2682,280,12,107,25,0,3,19,0,25,0,0,0,0,2,193,1,1,195,0,195,0,280,85,193,195,195,,1,0831e40d3a9ea73c10477caf222d3637a7c84542f369cbecd6c2a8f5b0ac56c4,26/06/2023 00:50:15,ESCANER
17662,"Quiché",14,"Nebaj",13,2682,280,13,109,18,0,3,21,0,13,0,0,0,0,4,181,0,1,182,0,182,0,280,98,181,182,182,,1,cb1129758592d0e8aa2984d73575258248068d83f1828cd70a573a324a964eb8,26/06/2023 00:26:19,ESCANER
17663,"Quiché",14,"Nebaj",13,2683,380,7,102,35,0,1,14,1,39,1,2,2,0,0,204,13,10,227,0,227,--,380,153,204,227,227,Algún campo sin dato,1,f1cb2c586ff0bd9b9696b7b6bbb03b4456513f0f88fc1a133424bf13a03fc5a4,26/06/2023 02:36:43,ESCANER
17664,"Quiché",14,"Nebaj",13,2683,380,25,103,30,0,2,8,0,26,0,0,3,0,0,197,8,15,220,0,220,--,380,160,197,220,220,Algún campo sin dato,1,9fe4cd5c32cb0c0e3506f0c94e67f36d070e1bf7100de9a02bcf0f6034cf04e9,26/06/2023 01:42:42,ESCANER
17665,"Quiché",14,"Nebaj",13,2683,380,25,57,52,1,2,0,1,38,1,0,0,0,0,177,12,9,198,0,198,--,380,182,177,198,198,Algún campo sin dato,1,0d7ebc5f122f05e3f89371e5849b11c55e5a6c3d183297b9dc53529151a26ce9,26/06/2023 01:04:48,ESCANER
17666,"Quiché",14,"Nebaj",13,2683,380,24,70,44,0,0,5,0,30,0,0,0,0,0,173,6,9,188,0,188,--,380,192,173,188,188,Algún campo sin dato,1,d122187063f02863017a020cf1740f1a5bcd14451c1a001ab0e96ff44c73ed6f,26/06/2023 00:24:54,ESCANER
17667,"Quiché",14,"Nebaj",13,2683,199,7,34,16,0,0,2,1,18,2,1,1,0,0,82,3,0,85,0,85,0,200,115,82,85,85,,1,2debfe90412bdcc0b85ed6cb7b55c488def7768adb14eb24c5c02e0885781b17,25/06/2023 23:03:15,ESCANER
17668,"Quiché",14,"Nebaj",13,2683,198,7,28,17,0,0,1,0,22,1,0,0,0,0,76,3,3,82,0,82,--,198,116,76,82,82,Algún campo sin dato,1,9552c4a84ed7ce848cb9d2bcec1a39139b68eda0bf1e476ed285fd668d075e1b,25/06/2023 22:27:46,ESCANER
17669,"Quiché",14,"Nebaj",13,2684,379,27,68,15,0,1,30,1,6,5,3,1,0,0,157,7,5,169,0,169,--,275,206,157,169,169,Algún campo sin dato,1,2b4ead6fb59f32ae7a0d56b0e1cfdf765cfdf9194b9c5acd2679ae3820d2252c,25/06/2023 23:51:15,ESCANER
17670,"Quiché",14,"Nebaj",13,2684,378,17,41,12,0,0,13,1,3,3,0,0,0,3,93,3,4,100,0,100,0,378,278,93,100,100,,1,701c5dc459acfa092fc77491563ea4deddae2c5b92b1611276219c59423b1571,25/06/2023 22:31:17,ESCANER
