TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
113,113,100.0000,113,100.0000,0,41492,29457,70.9944

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,UNE,VAMOS,U R N G - MAIZ,MLP,TODOS,VICTORIA,VIVA,CCN,WINAQ,UR,PR,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
17576,"Quiché",14,"Nebaj",13,2671,400,29,104,70,3,1,50,3,9,9,2,0,0,4,284,3,3,290,0,290,0,400,110,284,290,290,,1,64d9a462de6a1bf2e414e3bade48aa86ff19464f6eb861a19f589012bdaa6728,25/06/2023 22:16:01,ESCANER
17577,"Quiché",14,"Nebaj",13,2671,400,51,123,59,3,--,46,2,11,--,4,--,--,--,313,3,4,--,--,322,--,--,--,299,306,306,Sumas Asentadas sin cuadrar,1,9e958f734bd41417d0418472cb1ce6d463c54b7b094844c31f33c155538c4e3b,26/06/2023 04:46:56,ESCANER
17578,"Quiché",14,"Nebaj",13,2672,400,54,113,70,0,0,41,4,8,9,1,5,0,6,311,2,2,315,0,315,0,400,85,311,315,315,,1,cc7971b8161292dad25e0e9748c8420de1f70e79d8644d0ea2b22366299d62ea,25/06/2023 23:23:14,ESCANER
17579,"Quiché",14,"Nebaj",13,2672,400,59,86,74,0,1,39,4,13,8,1,0,1,3,289,4,2,295,0,295,--,400,105,289,295,295,Algún campo sin dato,1,344b6ad057e062475371a5ebcea33a3954596b19e7400f3b45b6f94ec35c1075,26/06/2023 00:45:26,ESCANER
17580,"Quiché",14,"Nebaj",13,2672,400,49,110,63,2,0,39,3,8,7,3,0,0,5,289,3,8,300,0,300,0,397,97,289,300,300,,1,198d73102025ec88269ef91c0ce13e5f31f26e9b37adf5b8c0b8084acea3bfcb,26/06/2023 03:19:50,ESCANER
17581,"Quiché",14,"Nebaj",13,2672,400,49,84,60,4,0,32,4,15,14,0,1,1,3,267,6,9,282,0,282,--,400,118,267,282,282,Algún campo sin dato,1,e62c757156c3980d2381bff974cdd66b130faa599a347ed7afaa6036063acc1c,26/06/2023 01:36:17,ESCANER
17582,"Quiché",14,"Nebaj",13,2672,400,54,91,63,2,2,39,4,11,5,2,0,1,8,282,3,3,288,0,288,--,400,112,282,288,288,Algún campo sin dato,1,82dc0a1f39ec99086a7ce693c8830ea7b321fe4dad6fd810181904659f00a9da,25/06/2023 22:45:12,ESCANER
17583,"Quiché",14,"Nebaj",13,2672,400,34,96,57,0,0,51,2,8,5,0,0,0,3,256,2,5,263,0,263,0,397,134,256,263,263,,1,2e0b52fd1186bac720d7c8f39fc63450028dfc4c9a8028fdd053a2f54e8780f7,26/06/2023 01:59:27,ESCANER
17584,"Quiché",14,"Nebaj",13,2673,400,32,106,67,0,0,45,1,10,4,1,0,0,2,268,3,1,272,0,272,0,400,128,268,272,272,,1,9af00b1ed62e769e24ac771b821b503587e4f2a619a611a4bea92178e89a5cc0,26/06/2023 02:17:55,ESCANER
17585,"Quiché",14,"Nebaj",13,2673,400,34,89,50,2,0,52,1,7,8,3,0,0,3,249,0,5,254,0,254,0,400,146,249,254,254,,1,4d6e7ef04bc8412beb58fecfebf337df975d581094eeadfa991bc0f3df7d6fb1,26/06/2023 00:24:17,ESCANER
17586,"Quiché",14,"Nebaj",13,2673,400,61,67,55,1,0,45,6,9,13,2,1,0,0,260,1,1,262,0,262,0,400,138,260,262,262,,1,2219c7b91b6c37404ef7ed5a653d4c4c35fc366c283dbe523625210573a14e51,26/06/2023 00:18:15,ESCANER
17587,"Quiché",14,"Nebaj",13,2673,400,52,87,65,2,0,56,2,11,8,1,1,0,2,287,0,1,288,0,288,0,400,112,287,288,288,,1,cc76401c9c6afb0bbe5bc31fd3b025d6ca9558e4e231b921d6e20b3c5d809f1b,26/06/2023 00:26:42,ESCANER
17588,"Quiché",14,"Nebaj",13,2673,400,48,93,47,2,1,46,2,8,9,0,0,0,2,258,4,1,263,0,263,0,400,137,258,263,263,,1,69b8f651883988c54a2bfbbcef60e9c3ff5eb8ecc96e420e0b48b94833ef89f0,25/06/2023 23:30:28,ESCANER
17589,"Quiché",14,"Nebaj",13,2673,400,42,101,54,3,1,65,6,18,5,0,1,0,3,299,2,2,303,0,303,0,400,97,299,303,303,,1,62b453b01f774c18333c03f697c2755d19dfa9989a4f6a046eadc26784f7a71f,25/06/2023 23:00:30,ESCANER
17590,"Quiché",14,"Nebaj",13,2673,400,36,112,54,2,3,58,1,13,3,2,0,0,3,287,1,0,288,0,288,--,400,112,287,288,288,Algún campo sin dato,1,883104a10242703fbd0557c773b64b02c643d30a9c61ff682a6dbb5c08960a6f,26/06/2023 00:18:30,ESCANER
17591,"Quiché",14,"Nebaj",13,2673,400,30,92,42,1,1,60,3,9,9,1,1,0,5,254,3,0,257,0,257,0,400,143,254,257,257,,1,ae178aaec53d7c8e93c0ea264fc80a4e3dfb27e092f356a3e035d357558657f1,25/06/2023 23:15:29,ESCANER
17592,"Quiché",14,"Nebaj",13,2673,400,32,96,61,1,1,51,0,9,12,0,0,2,2,267,0,1,268,0,268,0,400,132,267,268,268,,1,9864f691918bf3ac96cf7cf7faf0ea87b21f5913015b48640f377ae467445728,25/06/2023 22:32:19,ESCANER
