TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
63,63,100.0000,63,100.0000,0,23399,13836,59.1307

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,COCIECH,UNE,COCIEC,COCERNA,VALOR UNIONISTA,COCIEAR,CABAL,MLP,U R N G - MAIZ,VICTORIA,VOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
18322,"Baja Verapaz",15,"Rabinal",3,2803,344,50,57,16,11,6,25,0,5,0,0,0,170,9,0,179,0,179,--,344,165,170,179,179,Algún campo sin dato,1,1599d0f4aacb5ee4afdd22e9212e37afb80fadd78e9f60ac1549849e43b4f9de,26/06/2023 02:36:15,ESCANER
18323,"Baja Verapaz",15,"Rabinal",3,2804,380,132,23,1,4,1,52,0,1,0,0,1,215,16,2,233,0,233,--,392,159,215,233,233,Algún campo sin dato,1,50e890180fc453140b3fc90df7ba8c592293efaba8c3c73747318e5efee34460,26/06/2023 00:29:07,ESCANER
18324,"Baja Verapaz",15,"Rabinal",3,2804,380,134,20,1,5,0,52,2,0,0,0,0,214,28,7,249,0,249,--,368,119,214,249,249,Algún campo sin dato,1,a7307135e8f020d4a7aa087e44cfeca4b059fce6e826b0ebc1e0741028861977,26/06/2023 00:40:29,ESCANER
18325,"Baja Verapaz",15,"Rabinal",3,2804,380,143,55,2,3,0,22,2,1,1,0,0,229,26,6,261,0,261,--,385,124,229,261,261,Algún campo sin dato,1,eae73e8abb074a731407bcec305784cb69c0186329eb0768db0705aae218f606,26/06/2023 00:34:06,ESCANER
18326,"Baja Verapaz",15,"Rabinal",3,2804,380,135,32,1,2,3,33,3,0,1,1,1,212,11,1,224,0,224,--,380,156,212,224,224,Algún campo sin dato,1,3ef4b4a90bb0c2a5f366f885a6b3c1262b9146155a3832ac0deb05eb208f2b32,26/06/2023 00:03:22,ESCANER
18327,"Baja Verapaz",15,"Rabinal",3,2804,278,60,17,1,0,0,17,1,0,0,0,0,96,6,1,103,0,103,--,278,175,96,103,103,Algún campo sin dato,1,138cca799c7c07cde0a3e66d8761055c2622e74f7f82f0f288fe3c1f8aaebc55,25/06/2023 23:55:37,ESCANER
18328,"Baja Verapaz",15,"Rabinal",3,2804,277,66,12,2,0,1,17,0,0,1,0,0,99,1,0,100,0,100,--,277,177,99,100,100,Algún campo sin dato,1,ef11c042928902d0ea49a4e4c975b4aacc20d619fe5fc1fcd1b0a94d16b49493,25/06/2023 23:32:26,ESCANER
18329,"Baja Verapaz",15,"Rabinal",3,2805,380,107,33,3,5,2,49,2,2,2,0,1,206,12,6,224,0,224,--,380,156,206,224,224,Algún campo sin dato,1,8056be084492af0efb7d4ae7c60181d75607298f44543dd8dfe769c1637ade48,25/06/2023 21:57:02,ESCANER
18330,"Baja Verapaz",15,"Rabinal",3,2805,380,102,65,7,3,1,61,2,0,2,2,0,245,21,4,270,0,270,--,380,110,245,270,270,Algún campo sin dato,1,acbff5cf27b7ec2c1059d1928d90660ca30df2c740f95802fbe3bf45f378e12f,26/06/2023 00:22:11,ESCANER
18331,"Baja Verapaz",15,"Rabinal",3,2805,380,88,58,14,5,1,82,1,1,1,0,1,252,23,3,278,0,278,--,380,102,252,278,278,Algún campo sin dato,1,d805c6eea10d34f587104984b8f7c496c1a63aa167d2a725156ff3cc6633ae11,25/06/2023 22:04:41,ESCANER
18332,"Baja Verapaz",15,"Rabinal",3,2805,380,92,55,9,3,7,53,2,0,0,0,2,223,19,4,246,0,246,--,380,134,223,246,246,Algún campo sin dato,1,3d2ad8fbb26dced867190b59c187ee6e399c1062e135ae4a4a580fc8afb83bb8,25/06/2023 22:58:00,ESCANER
