TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
133,133,100.0000,132,99.2481,1,49066,30260,61.6720

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,UNE,VIVA,VAMOS,VALOR UNIONISTA,WINAQ,URNG-MAIZ SEMILLA,TODOS,UR,PPN,PR,MLP,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
16706,"Quiché",14,"Santa Cruz Del Quiché",1,2501,400,21,56,34,108,3,6,10,3,0,2,1,3,247,18,2,267,0,267,--,400,133,247,267,267,Algún campo sin dato,1,5603a64b26f2173699722defad0ebd371160393c943ec5a33184bb62f1ea86bc,26/06/2023 03:49:48,ESCANER
16707,"Quiché",14,"Santa Cruz Del Quiché",1,2501,400,34,60,36,99,2,5,5,3,1,1,0,1,247,12,0,259,0,259,--,400,141,247,259,259,Algún campo sin dato,1,f952affa930cbd7802bb388cd5de10a29f601d5347955f03c3d615e29e81319a,25/06/2023 23:11:11,ESCANER
16708,"Quiché",14,"Santa Cruz Del Quiché",1,2501,400,24,43,34,106,4,5,11,0,2,0,0,3,232,10,2,244,0,244,--,396,152,232,244,244,Algún campo sin dato,1,21ee49533bc6f50c68e5ad4d6ab340154b5afdac50212a9e99134384e0f27af9,25/06/2023 23:47:08,ESCANER
16709,"Quiché",14,"Santa Cruz Del Quiché",1,2502,400,29,58,29,89,3,2,9,4,1,0,2,4,230,8,0,238,0,238,--,400,162,230,238,238,Algún campo sin dato,1,730e13bb11511f7b9d64fb4da17b1e7d76519b80ddd0ec403cbf756bdc12db7d,26/06/2023 00:53:54,ESCANER
16710,"Quiché",14,"Santa Cruz Del Quiché",1,2502,400,28,45,38,83,1,6,13,1,2,4,0,1,222,6,1,222,0,229,0,400,171,222,229,229,Sumas Asentadas sin cuadrar,1,46d5a8925e1812b261f084ee6b1dd266fd5d89bf324548b04448278c6bb70131,26/06/2023 02:43:27,ESCANER
16711,"Quiché",14,"Santa Cruz Del Quiché",1,2502,400,22,56,34,94,2,3,14,1,2,1,0,1,230,5,0,235,0,235,--,400,165,230,235,235,Algún campo sin dato,1,66124c08b4e746cc4d726f40dd97daef72f72c575f07f7bd8afd0f1ed70e5e0f,25/06/2023 22:28:57,ESCANER
16712,"Quiché",14,"Santa Cruz Del Quiché",1,2502,243,14,32,17,51,2,2,7,2,1,2,0,0,130,1,0,131,0,131,--,243,112,130,131,131,Algún campo sin dato,1,80a019b3f4284cd61f39cf534c78a1de8ca6f358683378b731053966f09b2658,25/06/2023 23:14:33,ESCANER
16713,"Quiché",14,"Santa Cruz Del Quiché",1,2502,242,18,20,14,58,1,1,3,1,0,0,0,0,116,6,2,124,0,124,--,242,118,116,124,124,Algún campo sin dato,1,6920a41a7fc7639983edd1990dcc955f84893a4db29dae569739be4c121e37ae,25/06/2023 22:44:45,ESCANER
16714,"Quiché",14,"Santa Cruz Del Quiché",1,2503,400,30,40,10,125,1,3,7,0,0,0,0,0,216,21,18,255,0,255,--,400,145,216,255,255,Algún campo sin dato,1,07339eecd140d40bab20df6bd1086047486ec862b0e019dcc197cf7d6034791c,25/06/2023 22:35:45,ESCANER
16715,"Quiché",14,"Santa Cruz Del Quiché",1,2503,400,26,70,24,84,0,2,3,4,0,2,1,0,216,24,7,247,0,247,--,400,153,216,247,247,Algún campo sin dato,1,c4fc225ab7e716ab1ff6813053e26af8bc3f0d37acf33b473326162a40e8004a,26/06/2023 02:19:04,ESCANER
16716,"Quiché",14,"Santa Cruz Del Quiché",1,2503,400,27,62,21,107,0,3,9,5,0,1,0,0,235,14,3,252,0,252,--,400,148,235,252,252,Algún campo sin dato,1,e333ba693f77b04dd83d566f677a548694340ef6f0fcfb879f36e8d9544c2a8b,26/06/2023 01:37:10,ESCANER
16717,"Quiché",14,"Santa Cruz Del Quiché",1,2504,400,25,41,14,103,0,1,4,7,1,3,1,3,203,19,4,226,0,226,--,396,170,203,226,226,Algún campo sin dato,1,bb71c5bd5ab0ac8aa5ad69b5daa3d78561ed80f62e2b3ccf7d10384f03765303,26/06/2023 00:38:40,ESCANER
16718,"Quiché",14,"Santa Cruz Del Quiché",1,2504,400,35,47,21,93,1,3,0,0,0,0,0,2,162,21,7,190,21,211,--,--,--,202,230,251,Sumas Asentadas sin cuadrar,1,1e7ce8a38c2bbf7f700b06e2ebe0ffb99ad3dff24bd0619a9abe1cd19882ded9,26/06/2023 00:33:45,ESCANER
16719,"Quiché",14,"Santa Cruz Del Quiché",1,2504,311,11,33,19,74,0,3,4,0,0,1,1,2,148,9,4,161,0,161,--,311,150,148,161,161,Algún campo sin dato,1,47c980e01ce16272d183adc81d40b18ab2be6af763ff098414acd6e87a273150,26/06/2023 00:51:20,ESCANER
16720,"Quiché",14,"Santa Cruz Del Quiché",1,2504,310,21,27,18,64,2,0,7,2,0,1,0,2,144,2,2,148,0,148,--,310,162,144,148,148,Algún campo sin dato,1,dcedbbf130fc9a25e59ed878e0e00489965351b605b2bf8d42270914aed64ccc,25/06/2023 22:15:46,ESCANER
16721,"Quiché",14,"Santa Cruz Del Quiché",1,2505,356,20,70,12,66,2,2,4,1,2,0,1,1,181,11,3,195,0,195,--,356,161,181,195,195,Algún campo sin dato,1,bb06aa070ce74eb9518fb4d0e043d69aa894be5800be01c650bd0ccce2f73dee,26/06/2023 00:27:50,ESCANER
16722,"Quiché",14,"Santa Cruz Del Quiché",1,2506,400,41,73,29,69,1,5,12,4,7,2,2,1,181,13,4,255,0,255,--,--,--,246,263,263,Sumas Asentadas sin cuadrar,1,1a912af6a8e745f29f109ad5324440c2ebe2d6e437b5579273e5027396a01d79,26/06/2023 04:57:25,ESCANER
16723,"Quiché",14,"Santa Cruz Del Quiché",1,2506,400,38,72,39,62,3,6,13,2,2,4,2,2,245,17,2,264,--,264,--,400,136,245,264,264,Algún campo sin dato,1,41a7b90a3cf501de453dccec110314a5bb619e7e6d6baae4a058bdc4d5ba30ac,25/06/2023 23:33:49,ESCANER
16724,"Quiché",14,"Santa Cruz Del Quiché",1,2506,400,38,76,43,84,3,14,--,8,6,--,1,1,274,18,3,295,105,400,--,400,105,274,295,400,Algún campo sin dato,1,e485d9694a6183d8a5aeebe339e864de0f22a981eca018b07bb306c751fd8d9f,26/06/2023 00:41:50,ESCANER
16725,"Quiché",14,"Santa Cruz Del Quiché",1,2506,400,45,70,40,79,3,7,10,3,5,4,1,3,270,14,0,284,0,284,--,400,116,270,284,284,Algún campo sin dato,1,78b7d1483a32ae8c3a77a8a98166940a94f5fa75952364e10beaf83364050b3e,25/06/2023 22:46:56,ESCANER
16726,"Quiché",14,"Santa Cruz Del Quiché",1,2506,400,39,80,40,76,7,7,12,2,3,0,0,2,270,14,1,285,0,285,--,410,112,268,283,283,Sumas Asentadas sin cuadrar,1,9ab98619d997959856a6c301e5f95537ea4572580cc15e514d80059805a0ce3a,26/06/2023 04:45:21,ESCANER
16727,"Quiché",14,"Santa Cruz Del Quiché",1,2506,400,32,73,60,91,2,4,9,--,1,2,3,2,279,18,--,297,--,297,--,400,103,279,297,297,Algún campo sin dato,1,5b47a2d3fb00ac36039cbf2079f2b340166190f59befdf42680408f356b24a21,26/06/2023 02:45:20,ESCANER
16728,"Quiché",14,"Santa Cruz Del Quiché",1,2506,400,35,78,49,88,4,14,6,10,1,3,2,0,290,11,0,301,0,301,--,400,99,290,301,301,Algún campo sin dato,1,a40c702417e2db37b6a12b85afccb951326762c20af6c82ea6daf80bd47a14e4,25/06/2023 23:16:06,ESCANER
16729,"Quiché",14,"Santa Cruz Del Quiché",1,2507,400,27,67,30,80,5,6,8,3,1,1,1,3,232,12,0,244,0,244,--,400,156,232,244,244,Algún campo sin dato,1,5755ab9975ddb9b6a7546cecc0959a423182434e120300fb48dc52d1574978c3,26/06/2023 00:11:17,ESCANER
16730,"Quiché",14,"Santa Cruz Del Quiché",1,2507,400,33,58,32,85,1,5,4,5,1,2,0,4,230,15,8,253,0,253,--,400,144,230,253,253,Algún campo sin dato,1,ee883912cf34c0419b3bb5ce6e8c6d23d5404710a6fb6afaa131a2267fce3d4a,26/06/2023 00:18:46,ESCANER
16731,"Quiché",14,"Santa Cruz Del Quiché",1,2507,400,40,60,51,74,2,14,7,1,--,4,--,2,255,12,1,268,--,268,--,396,128,255,268,268,Algún campo sin dato,1,f8ab3ca08bac17603d5d81f819b911be04a7c2e2a23ac5767e8c1de9be27004a,26/06/2023 05:38:18,ESCANER
