TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
133,133,100.0000,132,99.2481,1,49066,30260,61.6720

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,UNE,VIVA,VAMOS,VALOR UNIONISTA,WINAQ,URNG-MAIZ SEMILLA,TODOS,UR,PPN,PR,MLP,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
16752,"Quiché",14,"Santa Cruz Del Quiché",1,2511,380,30,69,25,65,3,0,3,4,1,0,1,1,202,17,13,232,0,232,--,380,148,202,232,232,Algún campo sin dato,1,562b22b54f52dfb967961057c9717e7fce44073968c42213f3ba8a5c7772c9a5,26/06/2023 00:10:07,ESCANER
16753,"Quiché",14,"Santa Cruz Del Quiché",1,2511,380,35,51,23,62,2,1,0,1,0,0,1,1,177,24,6,207,0,207,--,380,173,177,207,207,Algún campo sin dato,1,9097bf1aa32bc41d36dee4fd4742e8a603266dcd848e29b33d71533acc8a703c,25/06/2023 21:57:23,ESCANER
16754,"Quiché",14,"Santa Cruz Del Quiché",1,2511,380,44,57,15,69,2,0,5,2,1,1,0,0,196,24,11,231,0,231,--,380,149,196,231,231,Algún campo sin dato,1,a3c85f762e6cc50c67afc3702e5e149eeeb3bff2295c2a5a6c986eb92713a7c8,26/06/2023 00:47:27,ESCANER
16755,"Quiché",14,"Santa Cruz Del Quiché",1,2511,380,35,70,11,55,1,0,2,2,0,3,0,2,181,20,15,216,0,216,--,380,164,181,216,216,Algún campo sin dato,1,dbe6f2cc01234510bf9fc29398b5a756897f93003dc382877274cc57c3638097,26/06/2023 00:14:49,ESCANER
16756,"Quiché",14,"Santa Cruz Del Quiché",1,2511,380,31,63,11,58,1,0,2,0,2,1,0,0,169,21,9,199,0,199,--,380,181,169,199,199,Algún campo sin dato,1,c0819c2b060bda6c6ec012332d20c4b87c5699edf2e527327692122907ee9323,25/06/2023 22:43:25,ESCANER
16757,"Quiché",14,"Santa Cruz Del Quiché",1,2511,298,20,34,13,37,0,1,0,1,0,0,0,0,106,12,1,119,0,119,--,298,176,106,119,119,Algún campo sin dato,1,a7022f04178122844e29649dcb187273ac1934ee99c872ddcd7f13d4e7363a00,25/06/2023 22:28:55,ESCANER
16758,"Quiché",14,"Santa Cruz Del Quiché",1,2511,298,16,36,5,35,0,2,1,0,0,1,0,0,96,5,2,103,0,103,--,298,195,96,103,103,Algún campo sin dato,1,a762e11e1e5d4d10bd719b6e37d162b19100b4ae42ee592b0737ea1fae871c6e,25/06/2023 23:48:02,ESCANER
16759,"Quiché",14,"Santa Cruz Del Quiché",1,2512,380,27,64,7,125,0,6,0,0,0,0,0,3,232,20,6,258,127,385,1,385,127,232,258,385,,1,30e215d0e6ea53943294e35135375f5b55f7c1b405ce137560b297a12ef6a47c,25/06/2023 23:41:11,ESCANER
16760,"Quiché",14,"Santa Cruz Del Quiché",1,2512,380,52,71,10,115,0,3,0,4,2,0,0,0,257,17,10,284,0,284,--,380,96,257,284,284,Algún campo sin dato,1,93f41f1d1922482ce39d063fb7f9c00f21b7ed86df25d7d9206e8e6b3cfbe227,26/06/2023 00:19:13,ESCANER
16761,"Quiché",14,"Santa Cruz Del Quiché",1,2512,380,56,56,8,89,4,2,6,4,2,0,0,0,227,15,5,247,0,247,--,391,144,227,247,247,Algún campo sin dato,1,97859867cf6d9a837d2c4c0010df78c2a0c71978222e2561bb6044284b6f9978,26/06/2023 03:02:44,ESCANER
16762,"Quiché",14,"Santa Cruz Del Quiché",1,2512,380,42,55,2,117,4,3,4,0,0,4,0,0,231,17,8,256,0,512,--,379,22,231,256,256,Sumas Asentadas sin cuadrar,1,c534f464b887b6ca7ceae272787e105ad1791e926b7406d34db3d425cffa11c4,26/06/2023 02:24:47,ESCANER
16763,"Quiché",14,"Santa Cruz Del Quiché",1,2512,380,35,48,11,94,2,3,0,1,0,0,0,2,196,16,3,215,0,215,--,380,165,196,215,215,Algún campo sin dato,1,8a18887573e0dd6aaee4d64ad9844982ac22dcc6d8d102696bec7633c43b6ac3,25/06/2023 22:53:45,ESCANER
16764,"Quiché",14,"Santa Cruz Del Quiché",1,2512,312,35,45,4,80,0,1,2,1,0,1,0,0,169,7,1,177,0,177,--,309,132,169,177,177,Algún campo sin dato,1,beaa2689cf797e7e4b190c4ce10c0c7912a445333fcd48440a0234cb94d87c30,26/06/2023 00:47:54,ESCANER
16765,"Quiché",14,"Santa Cruz Del Quiché",1,2512,311,35,28,6,69,0,1,1,0,1,2,1,0,144,8,0,152,0,152,--,311,159,144,152,152,Algún campo sin dato,1,2a4d872a2a438be3bfadf45b0c08850176dce6d42fa28d99bdc2ff6b2a8c7749,26/06/2023 00:02:46,ESCANER
16766,"Quiché",14,"Santa Cruz Del Quiché",1,2513,380,14,18,7,204,0,8,2,0,0,0,1,3,257,15,4,276,0,276,--,380,104,257,276,276,Algún campo sin dato,1,3e142f9980e19754d607d4c505e5f98a8a74585c9881f52ca16f9481d1e523fe,25/06/2023 23:14:21,ESCANER
16767,"Quiché",14,"Santa Cruz Del Quiché",1,2513,261,14,10,9,139,1,4,0,0,0,0,0,1,178,5,0,183,0,183,--,261,75,178,183,183,Algún campo sin dato,1,8012c3d70f7b499e8db56288f092f3ba54a862844926e45cf29ae674c2a5717d,25/06/2023 22:30:21,ESCANER
16768,"Quiché",14,"Santa Cruz Del Quiché",1,2513,260,11,10,6,122,1,4,0,1,0,0,0,1,156,3,1,160,0,160,--,260,100,156,160,160,Algún campo sin dato,1,08f48f17269e31f6a8e24cf91ea3cad877926819ba4af158ab08082f86b803f3,25/06/2023 23:00:58,ESCANER
16769,"Quiché",14,"Santa Cruz Del Quiché",1,2514,380,27,73,18,150,1,2,0,0,0,4,0,3,278,12,8,298,0,298,--,380,82,278,298,298,Algún campo sin dato,1,db7cdf9439527a7881b59407334047695b0c050b0071ad3d87e03987207620b3,26/06/2023 00:25:50,ESCANER
16770,"Quiché",14,"Santa Cruz Del Quiché",1,2514,380,22,76,23,131,2,1,1,2,0,1,0,9,268,8,4,280,0,280,--,380,100,268,280,280,Algún campo sin dato,1,f4e95d37c7d8f3d81ec73b649751857765e1162be9a5c9328cdf881b1686f5ba,26/06/2023 04:57:32,ESCANER
16771,"Quiché",14,"Santa Cruz Del Quiché",1,2514,380,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,Acta ilegible,0,03274620cb07953191acf0e3120fc34e5f87a6d9d0465137c401df1483fcbaf0,26/06/2023 00:12:19,ESCANER
16772,"Quiché",14,"Santa Cruz Del Quiché",1,2514,380,21,55,36,129,1,1,0,2,0,1,0,6,252,7,6,269,0,269,5,380,110,252,265,265,Sumas Asentadas sin cuadrar,1,bcdb8c127818a4933ee4fd19ce2637d89a952dffb15ddb2eb3dd7dd3f9282f06,26/06/2023 00:41:19,ESCANER
16773,"Quiché",14,"Santa Cruz Del Quiché",1,2514,295,21,48,17,95,0,1,3,0,0,0,0,4,189,4,0,193,0,193,--,295,102,189,193,193,Algún campo sin dato,1,dae8720426fd3f950b4095572c01a475a1de2de0a8c7b769dde30afde5460d1b,25/06/2023 23:17:57,ESCANER
16774,"Quiché",14,"Santa Cruz Del Quiché",1,2514,295,14,35,16,80,0,1,3,0,0,1,0,5,155,4,1,160,0,160,--,295,135,155,160,160,Algún campo sin dato,1,d6343389c78aaa8588f060c2e06d3471eb775fbd8d1fc69b990efd2adb065e36,26/06/2023 00:10:56,ESCANER
16775,"Quiché",14,"Santa Cruz Del Quiché",1,2515,380,55,54,22,85,1,3,2,0,1,0,0,1,224,13,6,243,0,243,--,380,137,224,243,243,Algún campo sin dato,1,47839dfa8f2e0ab668e65f2438fbcc8e3c972f9d7f5e4d3602aa5e074c3e7770,26/06/2023 00:47:56,ESCANER
16776,"Quiché",14,"Santa Cruz Del Quiché",1,2515,380,48,78,21,105,2,4,2,2,0,0,0,1,263,16,12,291,0,291,--,380,89,263,291,291,Algún campo sin dato,1,eca5bba6e20dd98a8ac3560a1466e949fd5cdc672d6f88475864d2a933b3025e,26/06/2023 01:41:47,ESCANER
16777,"Quiché",14,"Santa Cruz Del Quiché",1,2515,380,48,77,15,105,2,4,7,0,0,1,2,0,261,12,10,283,0,283,--,377,94,261,283,283,Algún campo sin dato,1,f6a4b747cbd4ed7876c708025876ab7ae1d34ad3e44b8ff87904bd6562795fb9,25/06/2023 21:42:30,ESCANER
16778,"Quiché",14,"Santa Cruz Del Quiché",1,2515,380,37,60,14,107,4,3,6,1,1,0,1,3,237,18,7,262,0,262,--,380,118,237,262,262,Algún campo sin dato,1,9d9742877f7d9de90c8d686574be4bff03bff1ff218385fad2857834db23a253,25/06/2023 22:52:01,ESCANER
16779,"Quiché",14,"Santa Cruz Del Quiché",1,2515,380,33,54,17,93,0,3,7,1,0,0,1,3,212,10,6,228,--,228,--,379,151,212,228,228,Algún campo sin dato,1,574f26016fbd826a207eec6ee7ba9ed35e2241044326c61094a828030abd563d,25/06/2023 22:10:22,ESCANER
16780,"Quiché",14,"Santa Cruz Del Quiché",1,2515,380,39,44,22,101,1,10,6,2,0,1,0,0,226,22,3,251,0,251,--,377,126,226,251,251,Algún campo sin dato,1,647ae0cc4e14f6eb3d5b866acc0fb98d5eeae49f30d2a4eff2891db3e15c58a7,25/06/2023 22:48:57,ESCANER
16781,"Quiché",14,"Santa Cruz Del Quiché",1,2515,380,48,39,14,86,6,3,9,1,0,0,1,3,210,9,4,223,0,223,--,--,--,210,223,223,Algún campo sin dato,1,397f2d1afdd55b178658aa306c7319dcd05e339f0b73670be7a87e7c320d875a,26/06/2023 00:53:38,ESCANER
16782,"Quiché",14,"Santa Cruz Del Quiché",1,2515,380,26,44,22,90,1,0,0,0,2,0,0,2,187,19,174,380,0,380,--,380,174,187,380,380,Algún campo sin dato,1,e8cea6f709574bd82843f3d7ba37e57515044cda54149bdf2f94a3693996e389,25/06/2023 21:47:14,ESCANER
16783,"Quiché",14,"Santa Cruz Del Quiché",1,2515,380,39,44,22,106,2,2,6,1,0,0,0,5,227,5,1,233,--,233,--,375,132,227,233,233,Algún campo sin dato,1,b0e2e7f2c62ae5a81a4961575bf6281056abcf2908dc24b0ceac2bc280ccfc07,26/06/2023 00:27:20,ESCANER
16784,"Quiché",14,"Santa Cruz Del Quiché",1,2515,237,32,25,10,62,2,4,7,0,0,0,1,0,143,3,0,146,0,146,--,234,88,143,146,146,Algún campo sin dato,1,63babcbc2ef920254593a806586d1226d89055ca3489591cc010b67480bcafdb,25/06/2023 20:44:58,ESCANER
16785,"Quiché",14,"Santa Cruz Del Quiché",1,2515,236,22,24,9,48,0,3,0,0,0,0,0,3,113,3,0,113,0,113,--,236,123,109,112,112,Sumas Asentadas sin cuadrar,1,204ca09d9e9c8dc69642dcaa9346c550539fc365737bdb7f82eb127e699c9aee,25/06/2023 22:46:34,ESCANER
16786,"Quiché",14,"Santa Cruz Del Quiché",1,2516,380,7,124,4,166,0,0,1,1,1,0,0,0,304,10,9,323,0,323,--,380,57,304,323,323,Algún campo sin dato,1,10871a5d65c0241b885f1811e7f401eb2bd0730378336f08877edea93aa9f81b,26/06/2023 00:50:42,ESCANER
16787,"Quiché",14,"Santa Cruz Del Quiché",1,2516,380,4,119,4,157,0,1,0,0,1,0,0,1,291,13,7,311,0,311,--,382,71,287,307,307,Sumas Asentadas sin cuadrar,1,b5381e0b616e7790fba595f5f67f7364edf4b94f60e18ee213c94647c909281a,26/06/2023 02:22:07,ESCANER
16788,"Quiché",14,"Santa Cruz Del Quiché",1,2516,380,3,120,7,148,1,2,1,0,1,0,1,0,284,6,3,293,0,293,--,380,84,284,293,293,Algún campo sin dato,1,f1a9a24c231651d7bb0d5fe34b4ad02c324b05c746735ba2fd266d81ff70639f,26/06/2023 02:36:02,ESCANER
16789,"Quiché",14,"Santa Cruz Del Quiché",1,2516,196,4,58,0,70,0,1,0,0,0,0,0,0,133,3,2,138,0,138,--,196,58,133,138,138,Algún campo sin dato,1,ef20ad0fc0a3e910a1053261884983e7e7e32883ca3e9bff4e9102538df65b02,26/06/2023 00:44:36,ESCANER
16790,"Quiché",14,"Santa Cruz Del Quiché",1,2516,195,3,58,6,65,0,0,0,0,0,0,0,0,132,3,0,135,0,135,--,195,60,132,135,135,Algún campo sin dato,1,47105f724760cfb251384fc84c4b44ceb6dcda511cd8f4bbae5940f69a3e994d,26/06/2023 00:17:19,ESCANER
16791,"Quiché",14,"Santa Cruz Del Quiché",1,2517,380,11,10,10,113,1,1,2,2,1,0,0,0,231,34,9,274,--,--,--,350,106,151,194,194,Sumas Asentadas sin cuadrar,1,db9ddd883d8d7e9c38a954a5f3fffd4fbefc708b1bd7d2f0d1a8400e1eddff84,26/06/2023 00:39:24,ESCANER
16792,"Quiché",14,"Santa Cruz Del Quiché",1,2517,380,12,81,13,117,2,5,9,5,0,0,0,0,244,13,19,276,0,276,0,380,104,244,276,276,,1,2a35f3cedd62ba9c13497655f130bbf2f5aec96c265e5aa5cd245eba30009b04,25/06/2023 23:32:04,ESCANER
16793,"Quiché",14,"Santa Cruz Del Quiché",1,2517,380,13,77,13,115,1,1,12,1,1,0,0,4,238,23,8,269,0,269,--,--,108,238,269,269,Algún campo sin dato,1,0e842537f38557c54b46fe424382ad39f3247aadf91ecf6509332e478405bccc,26/06/2023 00:28:42,ESCANER
16794,"Quiché",14,"Santa Cruz Del Quiché",1,2517,380,14,87,10,130,0,3,2,1,0,2,0,0,249,25,9,283,0,283,--,380,94,249,283,283,Algún campo sin dato,1,d9a4f6a1fa3b13af02caa01345b2f943e26c2fdedb9ef9231ad62ed264f39cfb,26/06/2023 00:22:45,ESCANER
16795,"Quiché",14,"Santa Cruz Del Quiché",1,2517,380,16,82,11,137,2,0,7,1,0,0,1,2,259,17,9,285,0,285,--,375,90,259,285,285,Algún campo sin dato,1,a6da09f97ab815ecdd8c1214c2504b8fd5dac5aa0f0e7907d459fc1b221fd6a4,25/06/2023 23:18:13,ESCANER
16796,"Quiché",14,"Santa Cruz Del Quiché",1,2517,380,17,88,18,105,0,6,9,1,0,0,0,2,246,26,11,283,0,283,--,380,97,246,283,283,Algún campo sin dato,1,f06968df2e3397f8ea5a1f7282e9a10967aa2757af85d6a453bdf92c872b9ddf,26/06/2023 00:12:30,ESCANER
16797,"Quiché",14,"Santa Cruz Del Quiché",1,2517,380,15,74,19,121,1,4,4,2,2,0,1,1,244,17,6,267,--,--,--,380,113,244,267,267,Algún campo sin dato,1,5ee52a9553d31b13abfded23b02b827ae0388cd2e671a9328c1ca28ca24694f9,26/06/2023 00:09:28,ESCANER
16798,"Quiché",14,"Santa Cruz Del Quiché",1,2517,380,15,69,11,101,0,2,3,0,1,3,0,0,132,14,4,150,0,150,--,339,154,205,223,223,Sumas Asentadas sin cuadrar,1,ee1567801513a7afba2b3e7b1def9c15b3d6788cc156ff614bfde65c94e4ccea,26/06/2023 00:44:18,ESCANER
16799,"Quiché",14,"Santa Cruz Del Quiché",1,2517,380,16,74,20,98,1,1,5,1,1,1,0,1,219,11,7,237,0,219,1,388,151,219,237,237,Sumas Asentadas sin cuadrar,1,69e395ebac59656311f19449a0db24cd44542c977d9983ff6feebb246b675f46,25/06/2023 23:56:50,ESCANER
16800,"Quiché",14,"Santa Cruz Del Quiché",1,2517,380,10,79,12,86,2,4,4,0,1,1,0,2,201,12,9,222,0,222,--,375,153,201,222,222,Algún campo sin dato,1,df058cf982f4baf53ce2626d30136e1d4c6cf7db590042905bdc33cfdc01517c,26/06/2023 01:03:16,ESCANER
16801,"Quiché",14,"Santa Cruz Del Quiché",1,2517,380,15,74,15,109,1,1,3,0,1,3,0,0,222,11,3,236,144,380,--,380,144,222,236,380,Algún campo sin dato,1,930eccbc897aaeb40b1437bfa0ade68c349986ba6862b7644e27d85e183e5cf1,26/06/2023 01:24:57,ESCANER
16802,"Quiché",14,"Santa Cruz Del Quiché",1,2517,380,15,68,16,91,1,0,3,0,1,3,0,0,198,5,3,206,0,206,--,380,174,198,206,206,Algún campo sin dato,1,dfea3544347c24ae5b493ebf660d28410c59e1b477e7a9b03f3d82fc8976e410,25/06/2023 23:20:22,ESCANER
16803,"Quiché",14,"Santa Cruz Del Quiché",1,2517,352,15,76,10,70,0,0,2,0,0,0,0,2,175,3,1,179,0,179,--,349,170,175,179,179,Algún campo sin dato,1,da8db8eeedde215bff9ce0b9f8ac194710a95cc2afa744a640c69fee5de85ddd,26/06/2023 00:34:03,ESCANER
16804,"Quiché",14,"Santa Cruz Del Quiché",1,2517,351,11,53,17,88,1,--,4,1,--,1,--,2,178,4,2,184,0,184,--,348,164,178,184,184,Algún campo sin dato,1,0ccf73ba704db408cd3176f1c33b43c16e70d0c17b237b4d869a94ab54758e41,25/06/2023 22:40:34,ESCANER
16805,"Quiché",14,"Santa Cruz Del Quiché",1,2518,380,7,45,10,180,0,1,11,1,0,0,0,1,256,21,19,296,0,296,--,--,--,256,296,296,Algún campo sin dato,1,bd426112c06357672becad75f18c9dc90e7638853e1129cc2b1c2d938fe1d0e8,26/06/2023 02:19:53,ESCANER
16806,"Quiché",14,"Santa Cruz Del Quiché",1,2518,380,10,73,10,122,3,3,7,0,0,0,1,3,232,16,11,259,0,259,--,380,122,232,259,259,Algún campo sin dato,1,19c096d1868e75dcf31f9f495fcf56bb033b3e57ca258f691e6f09ef740b8a57,26/06/2023 02:43:27,ESCANER
16807,"Quiché",14,"Santa Cruz Del Quiché",1,2518,380,13,57,7,138,4,1,6,2,0,1,2,1,232,16,13,261,0,261,--,380,119,232,261,261,Algún campo sin dato,1,d297d11a305720e80b308a8d35fd33e437a5fe8bd891371b570bd438dc72f5a3,26/06/2023 01:59:14,ESCANER
16808,"Quiché",14,"Santa Cruz Del Quiché",1,2518,380,11,63,4,111,4,1,2,0,0,1,1,1,200,15,9,224,--,224,--,400,176,199,223,223,Sumas Asentadas sin cuadrar,1,1dac7f6d3279191ab463765652c57384f27bae398051630c744dbdb938c515a7,26/06/2023 02:19:13,ESCANER
16809,"Quiché",14,"Santa Cruz Del Quiché",1,2518,228,5,46,6,67,0,0,3,0,0,0,0,0,127,3,1,131,0,131,--,228,97,127,131,131,Algún campo sin dato,1,7b46cc148b3c81e154b684e9890ecf18a9a7fd32570e6979ee5e6f320267f922,26/06/2023 02:23:00,ESCANER
16810,"Quiché",14,"Santa Cruz Del Quiché",1,2518,228,3,28,4,87,1,1,2,0,0,0,0,0,126,4,0,130,0,130,--,228,98,126,130,130,Algún campo sin dato,1,036f20b864dda59ee256d939fcb5f4f1fcd6f4934c4d975699f7b2c252ed5848,26/06/2023 02:35:16,ESCANER
16811,"Quiché",14,"Santa Cruz Del Quiché",1,2519,380,20,39,9,51,9,2,2,0,0,3,2,1,138,14,10,162,0,162,--,380,218,138,162,162,Algún campo sin dato,1,6ff21588b219c739f121632523d7b61b9a4b69545ec8f9e2e8aebad37ccc32de,26/06/2023 00:27:22,ESCANER
16812,"Quiché",14,"Santa Cruz Del Quiché",1,2519,380,22,30,12,102,1,1,6,1,0,0,0,0,175,30,9,214,0,214,--,396,182,175,214,214,Algún campo sin dato,1,3633e7073c9513106500b9b555821043aafcdd04594c21dab06957d1333eb4e4,26/06/2023 01:14:11,ESCANER
16813,"Quiché",14,"Santa Cruz Del Quiché",1,2519,380,11,40,3,101,1,0,1,1,0,1,0,1,160,10,8,178,0,178,--,380,202,160,178,178,Algún campo sin dato,1,36688e9834173894a32c5bcf87a67594e27c7e96b2040ef25476f7a7227d7ce8,25/06/2023 23:24:46,ESCANER
16814,"Quiché",14,"Santa Cruz Del Quiché",1,2520,380,31,48,8,63,1,0,3,1,0,1,0,0,157,17,7,181,0,181,--,380,199,156,180,180,Sumas Asentadas sin cuadrar,1,439cc44a0e97aeff81d3b60bfd9cf0d1f9126cbe43f6110adaf922b098b07b18,25/06/2023 22:39:52,ESCANER
16815,"Quiché",14,"Santa Cruz Del Quiché",1,2520,380,37,44,5,63,5,1,3,4,0,2,0,0,164,24,10,198,0,198,--,380,182,164,198,198,Algún campo sin dato,1,5a97dd3eec5776e9515c1b8a1f297f8184b4837b7ce01d93c0b9cc223c78e992,25/06/2023 23:40:35,ESCANER
16816,"Quiché",14,"Santa Cruz Del Quiché",1,2520,380,22,48,7,77,1,1,0,0,1,1,0,0,160,14,2,176,0,176,--,400,224,158,174,174,Sumas Asentadas sin cuadrar,1,e1a1197276485659ab34b15c90d1484cfdd040e442e6f551fcd7b5e539e34713,25/06/2023 23:02:07,ESCANER
16817,"Quiché",14,"Santa Cruz Del Quiché",1,2520,316,20,22,5,50,0,0,1,1,0,1,0,1,101,3,6,110,0,110,--,316,206,101,110,110,Algún campo sin dato,1,bdee025949d34d08e0ecc2985eccb72178a62aac5e25c4abffbaeeee310f8bdd,25/06/2023 21:59:49,ESCANER
16818,"Quiché",14,"Santa Cruz Del Quiché",1,2520,315,12,18,2,52,1,0,1,0,0,0,0,0,86,7,4,97,0,97,--,315,218,86,97,97,Algún campo sin dato,1,3b60b34b0ab574fce869d59f75abb11b2cf489c18c245fab4e8e3b8e0270376c,25/06/2023 21:44:31,ESCANER
16819,"Quiché",14,"Santa Cruz Del Quiché",1,2521,600,18,32,24,63,4,2,8,5,0,0,1,2,159,20,9,188,0,188,--,600,412,159,188,188,Algún campo sin dato,1,7f19b4c1fab158651da553e713d3ba850a240810e8ec642257baf1b64cc69a0a,26/06/2023 01:01:22,ESCANER
16820,"Quiché",14,"Santa Cruz Del Quiché",1,2521,600,16,58,25,67,0,5,4,3,1,4,0,4,187,10,8,205,0,205,--,600,395,187,205,205,Algún campo sin dato,1,bcf3f0087cbf4afae6588a49dbb3dd700eba998bd22c7d252ab0f49ff13e6190,26/06/2023 00:51:32,ESCANER
16821,"Quiché",14,"Santa Cruz Del Quiché",1,2521,567,16,46,20,67,2,5,5,5,1,1,1,0,168,7,1,176,0,176,--,564,388,169,177,177,Sumas Asentadas sin cuadrar,1,599069fea3c101b14fedd5e1d3e50ad2c9273fb0babaa5e59fd4e2895904c9e9,25/06/2023 23:54:36,ESCANER
16822,"Quiché",14,"Santa Cruz Del Quiché",1,2521,567,10,16,10,27,1,3,2,2,0,1,0,1,73,7,1,81,0,81,--,567,486,73,81,81,Algún campo sin dato,1,89057e59b8184802cd510d9e8a353f8e8113842da49eed27a661123dbde04b2c,25/06/2023 22:19:12,ESCANER
