TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
57,57,100.0000,57,100.0000,0,22037,11358,51.5405

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CCC,UNE,MLP,VIVA,FCN-NACION,PODEMOS,BIEN,VOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
14318,"San Marcos",12,"Ayutla",17,2007,380,88,100,1,3,3,0,7,1,203,4,0,207,0,207,0,380,173,203,207,207,,1,536371c1db7e7926ecd09d2a2d39bd9882ba4841a0e81425eeddf54fe6f07465,25/06/2023 23:11:56,ESCANER
14319,"San Marcos",12,"Ayutla",17,2007,247,70,48,2,2,4,0,2,0,128,4,0,132,0,132,--,244,112,128,132,132,Algún campo sin dato,1,eb5edaf54e5bf43c46403ff5cd81eb635ae929b2999cb2981e95a4b41c7b2d2f,25/06/2023 21:49:51,ESCANER
14320,"San Marcos",12,"Ayutla",17,2007,246,44,52,2,2,2,1,0,0,103,2,3,108,0,108,--,246,138,103,108,108,Algún campo sin dato,1,e99636afdb23bb16fa382f342c99a83bc131323368672e92cba84dea6d4606c7,25/06/2023 22:41:55,ESCANER
14321,"San Marcos",12,"Ayutla",17,2008,380,137,50,3,1,5,1,5,1,203,23,1,227,0,227,--,380,153,203,227,227,Algún campo sin dato,1,791aa2317263a9a2d9031bd2f9c85c1549f26115a87f4cfbad6e18ed13b4737e,25/06/2023 23:45:35,ESCANER
14322,"San Marcos",12,"Ayutla",17,2008,380,162,57,0,2,4,0,4,1,230,15,0,245,1,246,1,380,133,230,245,246,,1,196789817c23a92bc9b617edf65eca30f6c4d02905d5565daf19e0935ac4d95f,25/06/2023 23:55:39,ESCANER
14323,"San Marcos",12,"Ayutla",17,2008,380,142,58,3,3,3,0,0,0,209,14,2,225,0,225,0,377,152,209,225,225,,1,992fa02f361dc28d9b5d4ec5fa0b352cba0ea511af386d6ae7200625d442b673,26/06/2023 00:38:15,ESCANER
14324,"San Marcos",12,"Ayutla",17,2008,380,123,20,4,2,2,0,1,2,184,8,3,195,0,195,--,380,185,154,165,165,Sumas Asentadas sin cuadrar,1,6421f82449d5f136bc76b8947b32b8af3dd2176cd2689dfbc6377773b8bfe111,26/06/2023 01:07:41,ESCANER
14325,"San Marcos",12,"Ayutla",17,2008,380,141,57,2,1,2,2,0,0,205,11,3,219,0,219,0,380,161,205,219,219,,1,52a9d965db9f0043e090abac4b800e5e8a2e1505e99b99e679feaf9f7a805bd6,26/06/2023 01:27:35,ESCANER
14326,"San Marcos",12,"Ayutla",17,2008,370,137,24,2,0,4,0,2,0,169,1,0,170,0,170,--,366,196,169,170,170,Algún campo sin dato,1,94ffceb7158aeaf28dc326bb835f4a1ca8f633bfce3aadbcf808d7b7027482f2,26/06/2023 01:29:55,ESCANER
14327,"San Marcos",12,"Ayutla",17,2008,369,124,28,1,0,1,0,1,1,156,2,2,160,2,162,--,369,207,156,160,162,Algún campo sin dato,1,999bb7a89bedcfc36cd46935598aea51f23fb3d6562dea1c60ba9de5a6cd2ad0,26/06/2023 01:33:57,ESCANER
14328,"San Marcos",12,"Ayutla",17,2009,380,94,85,0,0,2,3,3,0,187,3,1,191,16,207,--,380,173,187,191,207,Algún campo sin dato,1,1c6ab51300950a4ac96c0c0928a08a1b65693a00231244439438d82ec1003343,26/06/2023 01:28:03,ESCANER
14329,"San Marcos",12,"Ayutla",17,2009,380,109,91,3,2,0,1,13,2,221,18,1,240,0,240,--,380,140,221,240,240,Algún campo sin dato,1,20632c4ffed0e558864b097c0d73d3e0a418803f487017eab5c47ddb31eda38d,25/06/2023 23:37:33,ESCANER
14330,"San Marcos",12,"Ayutla",17,2009,380,110,86,7,1,3,0,3,4,214,12,1,227,0,227,--,380,153,214,227,227,Algún campo sin dato,1,4a234c85af23a6d1de9f2921d3be9373ac881930aaaf96d494edf56b61bb5f76,26/06/2023 00:43:04,ESCANER
14331,"San Marcos",12,"Ayutla",17,2009,380,111,69,1,0,1,1,3,0,186,13,1,200,0,200,--,380,180,186,200,200,Algún campo sin dato,1,11e58d44f03fe47e3f697beb9826bf522612d01e9714898a1760c25572ac63fe,26/06/2023 00:03:01,ESCANER
14332,"San Marcos",12,"Ayutla",17,2009,380,118,64,7,2,4,2,9,3,209,11,1,221,0,221,--,380,159,209,221,221,Algún campo sin dato,1,5bbdb0e3b237455b1a7d29b3aaee50153eb8b2dc0f5460bef6d3e01afbe2bbf9,26/06/2023 01:23:46,ESCANER
14333,"San Marcos",12,"Ayutla",17,2009,380,108,67,4,0,3,0,5,1,188,8,1,197,0,197,0,380,183,188,197,197,,1,6eecf40d1e288f71119bfcc25dc6e4ee9a3df85b821c0bbdc5bcc6004045443d,25/06/2023 23:15:04,ESCANER
14334,"San Marcos",12,"Ayutla",17,2009,329,108,57,1,0,2,0,7,2,179,2,0,179,0,179,--,--,--,177,179,179,Sumas Asentadas sin cuadrar,1,d657f4ba3a39ff9eabd2340cc24dd1e608c7102e0231f687164f7716921fbfa0,26/06/2023 01:28:27,ESCANER
14335,"San Marcos",12,"Ayutla",17,2009,328,90,26,3,2,0,0,8,0,129,1,0,130,0,130,--,328,198,129,130,130,Algún campo sin dato,1,203da1b6f142d38aeaa9b5099a999d8185f8949b7e02f0d2c64e8bc7b68bce4c,25/06/2023 23:40:40,ESCANER
14336,"San Marcos",12,"Ayutla",17,2010,600,74,81,3,0,0,3,6,1,168,15,3,186,0,186,0,600,414,168,186,186,,1,588841dbf1097d30a2b76cf32b70729bc7d2b653871c86aafb875a8a9ffae0a1,25/06/2023 23:39:14,ESCANER
14337,"San Marcos",12,"Ayutla",17,2010,522,59,85,3,3,3,2,5,1,161,7,7,175,0,175,--,522,347,161,175,175,Algún campo sin dato,1,3e3c128d9fd3f3df71cdeba8497ed181577a335fba55e74de82e1caeaa43e2be,25/06/2023 22:23:01,ESCANER
14338,"San Marcos",12,"Ayutla",17,2010,521,18,22,1,3,4,0,2,2,52,2,1,55,0,55,--,521,466,52,55,55,Algún campo sin dato,1,2cd35d4bb96f369172c77e0d65a233c2df68b1d15dc3c0d63a64ac14b5429c62,25/06/2023 21:26:05,ESCANER
