TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
56,56,100.0000,56,100.0000,0,21017,11315,53.8373

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,MLP,PODEMOS,VAMOS,UNE,VOS,AZUL,BIEN,ELEFANTE,TODOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
11995,"Suchitepéquez",10,"Santo Domingo Suchitepéquez",6,1614,400,70,62,65,15,0,10,3,1,4,230,8,2,240,0,240,1,400,160,230,240,240,,1,e51eb8c4478a4922d0ba6410938f693500241a5d59b99313f9b018d43f428d0b,25/06/2023 22:57:04,ESCANER
11996,"Suchitepéquez",10,"Santo Domingo Suchitepéquez",6,1614,400,73,54,65,18,1,8,4,3,3,229,26,4,259,0,259,--,400,141,229,259,259,Algún campo sin dato,1,cfef33d1dd0949a217f129f6f73c9fbe083e4f4720f55ff679b859bbfb5be343,26/06/2023 01:08:14,ESCANER
11997,"Suchitepéquez",10,"Santo Domingo Suchitepéquez",6,1614,400,70,44,58,9,2,5,2,3,5,198,14,5,218,0,218,1,400,182,198,217,217,Sumas Asentadas sin cuadrar,1,223b17d8d97f6860d5ad643c4135293c15c724e6576b81f98206c9d0f288b020,26/06/2023 01:59:00,ESCANER
11998,"Suchitepéquez",10,"Santo Domingo Suchitepéquez",6,1614,400,62,63,64,13,0,8,3,2,6,221,12,2,235,0,235,--,401,166,221,235,235,Algún campo sin dato,1,6acb93017d152299613ca47071c5379d1c9e68474c5df98e57633773d8a72a95,26/06/2023 00:35:30,ESCANER
11999,"Suchitepéquez",10,"Santo Domingo Suchitepéquez",6,1615,400,65,60,70,5,2,7,1,7,5,222,5,1,228,0,228,--,397,169,222,228,228,Algún campo sin dato,1,8ec1cc832bf83e477af156383b1dd7f12a5aa7deaffa2ef152e4d308dceffbf4,26/06/2023 00:07:59,ESCANER
12000,"Suchitepéquez",10,"Santo Domingo Suchitepéquez",6,1615,400,64,64,57,5,1,9,1,2,5,208,5,3,216,0,216,--,400,184,208,216,216,Algún campo sin dato,1,f4aa6d6a02ec824c7cbf40f679847357d4663a792d9ec624f4b2439b00ed6973,25/06/2023 22:57:48,ESCANER
12001,"Suchitepéquez",10,"Santo Domingo Suchitepéquez",6,1615,288,45,35,55,8,0,3,2,3,8,159,3,0,162,0,162,--,288,126,159,162,162,Algún campo sin dato,1,1fe95501a7768bb3ae6e94bf169a2c19e0ecf8250ee18b6eb22c851824d87916,25/06/2023 22:05:53,ESCANER
12002,"Suchitepéquez",10,"Santo Domingo Suchitepéquez",6,1615,287,35,33,30,5,1,5,0,5,6,120,4,1,125,0,125,--,287,162,120,125,125,Algún campo sin dato,1,64a6b2e2b95245357d721fb162f0730bca6b1fb73d81619632c18f8f2c13a191,25/06/2023 22:11:50,ESCANER
12003,"Suchitepéquez",10,"Santo Domingo Suchitepéquez",6,1616,380,54,29,55,23,3,9,10,0,6,189,21,9,219,0,--,--,380,161,189,219,219,Algún campo sin dato,1,c2cae3e2048308cecf7081023c5f5404670921d04c421e9b53f24c5bdb6be27a,25/06/2023 22:26:54,ESCANER
12004,"Suchitepéquez",10,"Santo Domingo Suchitepéquez",6,1616,380,63,30,59,15,2,3,9,0,5,186,17,11,214,0,214,--,380,166,186,214,214,Algún campo sin dato,1,83dd8b8ded4c8c40780edf52c420effe4f71141c11e623a9771bee093e5301c2,25/06/2023 22:56:00,ESCANER
