TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
38,38,100.0000,38,100.0000,0,14683,10277,69.9925

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VALOR,AZUL,BIEN,PIN,VAMOS,UNE,U R N G - MAIZ,PODEMOS,PPN,SEMILLA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
12859,"Retalhuleu",11,"San Felipe",5,1755,400,33,57,10,75,0,53,3,4,0,9,3,247,18,2,267,0,267,--,400,133,247,267,267,Algún campo sin dato,1,bf4ae005c1e7de7245eafa2981c4f6e05f84b4095fb35de7eb7aa948699209eb,26/06/2023 01:04:19,ESCANER
12860,"Retalhuleu",11,"San Felipe",5,1755,400,36,54,4,82,1,73,2,1,2,5,4,264,11,1,276,0,276,4,400,120,264,276,276,,1,8cde3ab2f44adda12d489c58a334fee666500c900545a63757c9446c9ad110d7,26/06/2023 01:56:17,ESCANER
12861,"Retalhuleu",11,"San Felipe",5,1755,400,32,52,1,92,2,59,3,4,3,6,6,260,12,1,273,0,273,--,400,127,260,273,273,Algún campo sin dato,1,a482c9a08e3e0cec59f4007912875f662791151e5e5b60269b3b799c0a851139,25/06/2023 23:46:43,ESCANER
12862,"Retalhuleu",11,"San Felipe",5,1755,400,47,58,5,89,1,54,3,1,3,6,7,274,4,1,279,0,279,--,400,121,274,279,279,Algún campo sin dato,1,e39fa90258d89ad8257d648d2e508eac9852e1e573b3ece07096ef873c39269a,25/06/2023 23:36:17,ESCANER
12863,"Retalhuleu",11,"San Felipe",5,1755,400,50,62,9,109,3,41,5,2,1,10,4,296,2,0,298,0,298,--,400,102,296,298,298,Algún campo sin dato,1,6aa7f715826a12a89c19d56ca9f90278bbea67f016968cb1a6e8d25a2fc49de1,25/06/2023 23:40:02,ESCANER
12864,"Retalhuleu",11,"San Felipe",5,1755,400,56,59,5,96,3,61,2,1,0,6,9,298,4,1,303,0,303,--,400,97,298,303,303,Algún campo sin dato,1,bfd19648f050e95332d16e4c455aa365d0f8b577543c3c642199c083c16699ff,26/06/2023 02:15:16,ESCANER
12865,"Retalhuleu",11,"San Felipe",5,1755,400,54,61,4,90,0,55,1,4,2,3,8,282,5,2,289,0,289,--,400,111,282,289,289,Algún campo sin dato,1,deae6e00cc0e7fa6570e2dfb6b18a63d59d0b327cdb0f2c01907d6f78b68f18d,26/06/2023 04:35:16,ESCANER
12866,"Retalhuleu",11,"San Felipe",5,1755,237,23,27,2,44,0,36,1,1,1,3,7,145,7,0,152,1,153,1,237,84,145,152,153,,1,95136bdf396a8a3a9598de9bb77e4e6bf72cf950b9ebc4bc6f9c323b5b97f2b4,26/06/2023 01:14:02,ESCANER
12867,"Retalhuleu",11,"San Felipe",5,1755,237,13,27,2,47,1,26,0,0,0,3,1,120,9,1,130,0,130,2,239,109,120,130,130,,1,ea8958a4f5f62241b4b930ecdeac13f67a18e857275f87c46c7fc0d521a29381,25/06/2023 23:01:32,ESCANER
12868,"Retalhuleu",11,"San Felipe",5,1756,380,27,69,4,124,1,54,4,3,0,5,8,299,22,6,327,0,327,--,380,53,299,327,327,Algún campo sin dato,1,ff679638df9b38843b4927b91f3c6a7e7541b54ff10828c942cc7d39e93ba80c,26/06/2023 01:17:20,ESCANER
