TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
209,209,100.0000,209,100.0000,0,79314,41849,52.7636

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,TODOS,UR,AZUL,MLP,CAMBIO,VAMOS,VALOR,VIVA,UNE,SEMILLA,BIEN,PPN,VICTORIA,PHG,FCN-NACION,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
23066,"Jalapa",21,"Jalapa",1,3626,400,53,22,2,1,1,3,34,70,5,22,8,2,1,8,0,1,233,16,1,250,0,250,--,400,150,233,250,250,Algún campo sin dato,1,59fa4b5697a95b971249eb9f48b86b1ed761da37ce94079eaedca46d71ea5380,26/06/2023 02:59:29,ESCANER
23067,"Jalapa",21,"Jalapa",1,3626,400,40,30,1,5,2,4,35,76,5,17,10,5,3,10,0,0,243,14,2,259,0,259,--,400,141,243,259,259,Algún campo sin dato,1,3d45a11574a39812761ffedd4ed7fe2fb35aa5c3b69afdf990a20faace6d74f6,26/06/2023 01:31:07,ESCANER
23068,"Jalapa",21,"Jalapa",1,3626,400,35,35,1,10,2,2,33,74,6,19,11,2,1,9,2,0,242,13,1,256,0,256,--,400,141,242,256,256,Algún campo sin dato,1,9e2ecc6118291108b46100289cdc1b9c23513ef80090dc964eabcf01fd7eacf7,26/06/2023 00:39:29,ESCANER
23069,"Jalapa",21,"Jalapa",1,3626,400,38,21,1,2,0,1,50,64,7,26,14,0,1,8,0,1,234,12,7,253,0,253,--,400,147,234,253,253,Algún campo sin dato,1,9aec26083f02fcf07d59ba4226e548f0370f887f58be4fc3bcc7b6e201c59d24,26/06/2023 00:25:23,ESCANER
23070,"Jalapa",21,"Jalapa",1,3627,400,33,26,6,1,2,5,28,64,2,20,7,3,0,4,1,1,203,7,5,215,0,215,0,400,185,203,215,215,,1,34d71a0c86dd41ce932269d9095694b9f7b45c241eed9b87349aecbf36974912,26/06/2023 01:12:13,ESCANER
23071,"Jalapa",21,"Jalapa",1,3627,400,43,35,1,3,1,8,36,74,3,22,15,3,1,5,0,0,250,8,1,259,0,259,--,400,141,250,259,259,Algún campo sin dato,1,842829a7c339df154ffd01a828423448bd9e0599de181c148c4dde1bac4fb7d2,26/06/2023 01:50:00,ESCANER
23072,"Jalapa",21,"Jalapa",1,3627,400,35,16,3,5,0,0,30,70,5,10,22,3,2,8,0,1,210,8,1,219,2,221,2,400,179,210,219,221,,1,2ce0b9a306c29fbc471df786d0ec313d3814bd1625f18997fa7b4aa459c18185,26/06/2023 00:15:29,ESCANER
23073,"Jalapa",21,"Jalapa",1,3627,400,42,27,1,0,1,3,38,95,2,11,17,2,0,3,0,0,242,6,1,249,--,--,--,400,151,242,249,249,Algún campo sin dato,1,a7c57621f7860616964a964059baf689ab7cea556ab771e896756ffb4e970b28,26/06/2023 00:22:25,ESCANER
23074,"Jalapa",21,"Jalapa",1,3627,322,46,15,2,4,0,1,27,67,1,11,4,3,0,3,1,0,185,3,1,189,0,189,--,322,133,185,189,189,Algún campo sin dato,1,517b5000ee0ff0d0bb06c8e595a1596b6a06a1e7ad2d3d5048adefb035b5e3df,25/06/2023 22:43:19,ESCANER
23075,"Jalapa",21,"Jalapa",1,3627,321,20,15,4,1,0,3,23,36,4,12,8,1,0,4,0,0,137,4,2,137,1,138,--,318,180,131,137,138,Sumas Asentadas sin cuadrar,1,976a32c4bce456b179358a2f3a9bbba47bfea368c46ccb245b3266cda91003a6,25/06/2023 23:41:37,ESCANER
23076,"Jalapa",21,"Jalapa",1,3628,400,42,14,5,5,1,2,36,70,5,25,15,4,1,6,2,0,233,17,3,253,0,253,--,400,147,233,253,253,Algún campo sin dato,1,ff5a19f5ab552223240652cdb8aea204698544fa0c70ee3ad72fdd1836ede5a3,26/06/2023 00:45:13,ESCANER
23077,"Jalapa",21,"Jalapa",1,3628,400,46,11,5,7,1,5,28,59,10,27,16,5,2,9,1,0,232,24,4,260,0,260,--,500,240,232,260,260,Algún campo sin dato,1,7b74f3a61f1b1df4d81ff0fd352cebfae5af356dc10420b084c47c6e6a49964d,25/06/2023 23:58:49,ESCANER
23078,"Jalapa",21,"Jalapa",1,3628,400,31,13,3,2,6,3,26,66,0,20,8,4,2,6,1,1,192,26,5,223,0,223,--,400,177,192,223,223,Algún campo sin dato,1,4f807c1d317fd89d024e78ab3244f9c62f7881a09b29ac3df150340e1301ba29,25/06/2023 22:52:48,ESCANER
23079,"Jalapa",21,"Jalapa",1,3628,400,40,12,8,5,7,8,47,51,5,31,13,5,2,4,3,0,241,23,8,272,0,272,--,400,128,241,272,272,Algún campo sin dato,1,d6d0c79b133c9bd3b9f4039b1da69af533489dfc62acd888d430131babfd79ae,26/06/2023 01:37:11,ESCANER
23080,"Jalapa",21,"Jalapa",1,3628,400,33,8,7,4,12,2,37,58,5,29,12,5,2,5,1,0,220,29,4,253,0,253,--,400,147,220,253,253,Algún campo sin dato,1,850d0daa63cc8a55e4ade1dfb449200e762307f81133d9e3192accc552095067,26/06/2023 02:32:49,ESCANER
23081,"Jalapa",21,"Jalapa",1,3628,400,50,15,13,3,10,3,38,40,5,27,10,4,4,2,1,0,225,32,12,269,0,269,--,400,131,225,269,269,Algún campo sin dato,1,601ea9fe40096917bb8d2099c0376566d270167c2346a8387fff221b2f16e543,25/06/2023 23:33:21,ESCANER
23082,"Jalapa",21,"Jalapa",1,3628,400,27,17,4,4,4,5,43,74,4,35,18,4,1,8,0,0,248,25,6,279,0,279,--,400,121,248,279,279,Algún campo sin dato,1,de9e5b39eb2cd162e2eec07b405f7ce570a69f936da600f5ec3e6ba82331d389,26/06/2023 00:10:21,ESCANER
23083,"Jalapa",21,"Jalapa",1,3628,400,25,20,2,8,4,3,44,76,4,32,9,3,2,3,1,0,236,20,7,263,0,263,--,400,137,236,263,263,Algún campo sin dato,1,3b60b264525d3c278f792602ee5f8f4b7ad7023fa5f131429908655a08655ccb,26/06/2023 00:33:51,ESCANER
23084,"Jalapa",21,"Jalapa",1,3629,400,35,20,6,8,3,3,36,76,10,26,15,3,5,7,0,0,253,18,5,276,0,276,--,400,124,253,276,276,Algún campo sin dato,1,a2e957fa7996be729dd58099ca3c380affc7e5cf07d404cf9ba640a2c62135f8,26/06/2023 00:47:24,ESCANER
23085,"Jalapa",21,"Jalapa",1,3629,400,38,16,4,4,4,3,45,58,9,32,8,4,5,15,0,0,245,22,8,275,0,275,0,400,125,245,275,275,,1,7378085b055c55dd9e38107dd09d2e48f5c5a3d7759419686d0270b40b85b36f,25/06/2023 23:59:27,ESCANER
23086,"Jalapa",21,"Jalapa",1,3629,400,31,15,2,0,2,3,38,75,2,26,13,10,1,9,1,0,228,16,18,262,0,262,--,400,138,228,262,262,Algún campo sin dato,1,cca6cbd8b11a8d117f2d0b6b0a2b0212fa965b324d33727cb3bfccd48d182718,26/06/2023 02:03:48,ESCANER
23087,"Jalapa",21,"Jalapa",1,3629,400,32,16,3,2,3,1,37,70,3,28,6,7,5,5,0,0,218,6,0,224,0,224,--,399,175,218,224,224,Algún campo sin dato,1,b6e08c43e91e608353ef5c6d788532e1e19e017e79d857002120bf3725482857,26/06/2023 01:00:15,ESCANER
23088,"Jalapa",21,"Jalapa",1,3629,400,23,18,2,2,4,4,35,64,5,19,16,9,0,6,0,0,207,12,0,219,0,219,--,400,181,207,219,219,Algún campo sin dato,1,c4ba0aea2617a191827a972aea7fe04f0c5db5cc342f1cd300e993338a6c81c6,26/06/2023 00:12:25,ESCANER
23089,"Jalapa",21,"Jalapa",1,3629,400,31,15,1,3,1,4,39,67,9,23,8,6,4,8,1,0,220,15,4,239,0,239,--,400,161,220,239,239,Algún campo sin dato,1,1c359cd484f13a26e092b8cdcf12dc8d04b72c81e8f56d3ea1966be69789749c,25/06/2023 22:32:23,ESCANER
23090,"Jalapa",21,"Jalapa",1,3629,400,42,16,5,5,3,0,22,91,6,19,6,2,2,5,0,0,224,11,1,236,0,236,--,400,164,224,236,236,Algún campo sin dato,1,42d3ae8bebfbd07b82f8bfc2626a1fca34546f01abe217f41fcbe3903b7c0e71,26/06/2023 01:33:44,ESCANER
23091,"Jalapa",21,"Jalapa",1,3629,400,44,20,4,7,0,2,37,64,8,24,8,4,2,8,0,3,235,15,4,254,0,254,--,400,146,235,254,254,Algún campo sin dato,1,d0251dd3f52948579c1e3613265a0d168cac860c0d59514d9061ab9b415b63ff,26/06/2023 00:00:58,ESCANER
23092,"Jalapa",21,"Jalapa",1,3629,400,37,23,4,0,2,4,31,81,3,25,6,5,2,6,0,1,230,6,16,252,0,252,0,400,148,230,252,252,,1,03fb7bbd19b04e046162c4be4ffa9ef2c44020270fb873b33b5d66423b118b64,26/06/2023 00:25:10,ESCANER
23093,"Jalapa",21,"Jalapa",1,3629,400,38,17,2,2,2,1,29,85,2,21,17,7,2,7,2,0,234,20,2,256,0,256,1,380,124,234,256,256,,1,377663449c7bce5968da3318d31de3d2922f07115410b76300114a96b1ea3286,26/06/2023 01:53:57,ESCANER
23094,"Jalapa",21,"Jalapa",1,3630,400,41,28,4,8,2,3,35,50,6,26,15,5,6,10,1,0,240,14,4,258,0,258,--,400,142,240,258,258,Algún campo sin dato,1,21e01563eaa49eef6c4285e706954b913b085eae2a1a9b4361f52c54ffb2d290,26/06/2023 00:04:30,ESCANER
23095,"Jalapa",21,"Jalapa",1,3630,400,38,25,2,2,1,2,39,62,4,25,11,6,5,3,0,0,225,7,2,234,8,242,--,400,158,225,234,242,Algún campo sin dato,1,ae514348629669ffea2a72a2babfe6ccfa4485ba4fc1524c0fd2894909df7d40,26/06/2023 01:16:08,ESCANER
23096,"Jalapa",21,"Jalapa",1,3630,400,35,21,2,5,1,3,32,61,5,22,12,1,2,5,0,0,207,15,3,227,0,227,2,400,173,207,225,225,Sumas Asentadas sin cuadrar,1,5b8fbd29c8c3a24c0fad17f6818f73171ddb4541a13c2d95f7377dfba9bc263b,25/06/2023 23:59:52,ESCANER
23097,"Jalapa",21,"Jalapa",1,3630,400,42,23,1,1,1,3,30,51,9,25,13,4,2,9,1,0,215,15,2,232,0,232,--,400,165,215,232,232,Algún campo sin dato,1,286cf1b642078dbcc45fbf9fcdfa4f19f01efdef91cb89f6b296ed6b0244d84c,26/06/2023 00:47:18,ESCANER
23098,"Jalapa",21,"Jalapa",1,3630,400,23,19,2,3,2,5,22,62,7,13,5,5,0,3,1,2,174,16,4,194,0,194,--,400,206,174,194,194,Algún campo sin dato,1,0ecd7e48b973777b4f015eea67ea72d62c604c663088c49e36923a893e3a75a0,25/06/2023 23:44:33,ESCANER
23099,"Jalapa",21,"Jalapa",1,3630,400,37,11,3,2,4,2,33,80,5,19,5,2,2,8,1,0,214,13,0,227,0,227,--,400,173,214,227,227,Algún campo sin dato,1,4a239076e3b932f01846ef0943c95dc78482e117d163677d008e4a03fce58f7c,26/06/2023 00:18:53,ESCANER
23100,"Jalapa",21,"Jalapa",1,3631,400,20,16,2,2,1,3,40,63,4,17,13,4,0,3,0,1,189,4,1,194,0,194,--,400,206,189,194,194,Algún campo sin dato,1,1cd515e97d0bab3be8acb3e947ff70c925cb5bb2691f860a5bc4ac15a53f7b77,25/06/2023 22:49:19,ESCANER
