TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
41,41,100.0000,41,100.0000,0,15419,10759,69.7775

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,CAMBIO,MILPA,CABAL,VALOR,ELEFANTE,TODOS,FCN-NACION,UNE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
24238,"Jutiapa",22,"Conguaco",13,3809,380,77,13,5,94,3,1,25,1,7,226,19,8,253,0,253,0,380,127,226,253,253,,1,1364e7348300583f667ee822afb0e4d8e9d743f49b05702ab27c7ac3365c8efa,26/06/2023 01:19:25,ESCANER
24239,"Jutiapa",22,"Conguaco",13,3809,380,95,11,5,118,7,2,27,0,6,271,15,3,289,0,289,0,380,91,271,289,289,,1,bcba76df60d74a53dd4e4b515ccb9b6db5e4e0ecd67ce1cc46b0daf4cc59d700,26/06/2023 02:25:38,ESCANER
24240,"Jutiapa",22,"Conguaco",13,3809,380,100,11,7,125,3,1,35,2,6,290,14,4,308,0,308,0,380,72,290,308,308,,1,bb3252e59e33351bdf806205f3316b3fd3f8c4b1a7453c9e4b59af37803ffd03,26/06/2023 01:39:01,ESCANER
24241,"Jutiapa",22,"Conguaco",13,3809,380,113,12,4,95,5,5,28,2,6,270,11,12,293,0,293,0,377,84,270,293,293,,1,516278c2c42321cbddc52865f18e578b6237ffb0aa65ce5c344d62cea06272e3,26/06/2023 03:41:05,ESCANER
24242,"Jutiapa",22,"Conguaco",13,3809,380,104,13,10,117,4,0,25,2,5,280,30,2,312,0,312,0,380,68,280,312,312,,1,c923ef8baba613ba23c2ef7593c6b6d1e6b80d3706623e44c81e207436b0cbea,26/06/2023 02:16:12,ESCANER
24243,"Jutiapa",22,"Conguaco",13,3809,380,105,20,3,116,0,2,33,2,12,293,24,5,322,0,322,1,380,58,293,322,322,,1,4d8df00792a2cb644d2f2ea190fcd1e90b5547b693fdce22d6124dc88843864b,26/06/2023 03:40:26,ESCANER
24244,"Jutiapa",22,"Conguaco",13,3809,380,94,16,6,129,2,0,34,0,4,285,18,4,307,0,307,0,380,73,285,307,307,,1,f8d361323d087a409965b1066e262f0b582700aacdfe4f76eb9c43b2732205f8,26/06/2023 02:50:56,ESCANER
24245,"Jutiapa",22,"Conguaco",13,3809,380,91,19,9,115,3,0,29,6,6,278,17,6,301,0,301,0,382,81,278,301,301,,1,be7b79ad41b248abe71f8160ed07858262aa293d91bb9c382f923e08c9143bfb,26/06/2023 03:03:16,ESCANER
24246,"Jutiapa",22,"Conguaco",13,3809,380,117,11,5,87,2,5,53,2,2,284,20,3,307,0,307,0,380,73,284,307,307,,1,2ade873c6290e463e89c337ee87670b0614465bdf5df04781675678979deea1c,26/06/2023 03:07:48,ESCANER
24247,"Jutiapa",22,"Conguaco",13,3809,380,84,11,3,83,1,3,48,0,0,233,10,5,248,0,233,0,0,0,233,248,248,Sumas Asentadas sin cuadrar,1,b2b2ab34854dbdda7b077db005e971d462bb211fccdf12e69ce2ca5f2dc27985,26/06/2023 02:10:13,ESCANER
24248,"Jutiapa",22,"Conguaco",13,3809,380,94,13,4,85,1,0,24,0,4,225,6,3,234,0,234,0,377,143,225,234,234,,1,0a2eb53ed659443835e82a8073b80373bde05547b8c37477a7d4eb63b9aea80d,26/06/2023 02:58:08,ESCANER
24249,"Jutiapa",22,"Conguaco",13,3809,380,70,13,4,77,0,1,33,1,0,199,17,5,221,0,221,0,0,0,199,221,221,,1,6eb6e45946cfbddb29dca200cde7e94ccbd2cf8c580fd42fbad7bd8ef89bef97,26/06/2023 01:52:28,ESCANER
24250,"Jutiapa",22,"Conguaco",13,3809,380,75,11,4,107,5,3,25,3,7,261,12,9,261,0,261,--,--,--,240,261,261,Sumas Asentadas sin cuadrar,1,8caeba8f82c13271c1dba0158e508bcc42067f889a0b8ee0da41d2897a340ede,26/06/2023 03:35:30,ESCANER
24251,"Jutiapa",22,"Conguaco",13,3810,380,93,16,4,80,5,2,22,0,3,225,6,7,238,0,238,0,380,142,225,238,238,,1,f9f4004cb0bd7d3cbc66c3f0da123f38cc21ec101dc988c854d459b65ea97bc6,26/06/2023 00:22:13,ESCANER
24252,"Jutiapa",22,"Conguaco",13,3810,380,83,7,4,104,6,1,25,1,6,237,22,2,261,0,261,0,380,119,237,261,261,,1,4db1a81089209e340499d462ed822b854cc52fd4688baea47cad8588165094ad,26/06/2023 00:40:17,ESCANER
24253,"Jutiapa",22,"Conguaco",13,3810,380,89,15,4,88,4,3,17,0,0,220,8,2,230,0,230,0,379,144,220,230,230,,1,d668033c0fbdda45e2ef59a8417a2990ae6570291bdaae84109d5d238048969d,26/06/2023 01:50:38,ESCANER
24254,"Jutiapa",22,"Conguaco",13,3810,380,72,8,4,104,0,2,29,0,2,221,1,3,225,0,225,0,380,155,221,225,225,,1,3abb2594aa885c0fcaadb7ed6be6b774ed7a9ccbc73e5fa2e680d123af4e45c6,26/06/2023 00:11:01,ESCANER
24255,"Jutiapa",22,"Conguaco",13,3810,380,82,17,4,103,0,0,22,2,3,233,5,2,240,0,240,0,380,140,233,240,240,,1,b17f92972aa1ea9c0efe573035a1b4cd7bb99c74232d6ae76fb39e40a678142d,26/06/2023 00:52:50,ESCANER
24256,"Jutiapa",22,"Conguaco",13,3810,380,103,12,1,92,5,2,41,2,1,259,6,1,266,0,266,0,380,114,259,266,266,,1,db4d66f291593bf934c4bf0d3a854590b26a04e4834431299b5663d4bb713832,26/06/2023 00:16:22,ESCANER
24257,"Jutiapa",22,"Conguaco",13,3810,380,76,15,1,122,0,1,29,1,1,246,4,2,252,0,252,0,380,128,246,252,252,,1,d0e259411fbb80de435bc5b793bc4531d1c2867b90ea43904747899c2e9b564a,26/06/2023 01:06:21,ESCANER
24258,"Jutiapa",22,"Conguaco",13,3811,376,94,11,0,89,0,1,27,0,3,225,5,3,233,0,233,0,376,143,225,233,233,,1,fdf189572758801cdee154503d779152c4f49e11fc4012264c8f21f92b8a04dd,26/06/2023 01:37:20,ESCANER
24259,"Jutiapa",22,"Conguaco",13,3811,375,68,9,2,84,2,0,22,0,1,188,3,3,194,0,194,0,375,181,188,194,194,,1,fee675724401c49b38ee4d016450f825c509bc5b9597ae0d8090870fb15d141f,25/06/2023 23:36:39,ESCANER
24260,"Jutiapa",22,"Conguaco",13,3812,399,21,4,3,28,0,2,9,0,2,69,1,1,71,0,71,0,396,325,69,71,71,,1,e14b68a317cf4e49ed3a69f64203824f8eeb4b85e717d67dcaf23d0027db9d0a,25/06/2023 22:04:56,ESCANER
