TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
89,89,100.0000,89,100.0000,0,32958,15234,46.2224

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,MLP,CABAL,BIEN,UR,AZUL,TODOS,PHG,CAMBIO,VIVA,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
16511,"Huehuetenango",13,"Aguacatán",27,2455,278,15,37,9,13,2,26,0,10,0,0,7,0,119,5,3,127,0,127,--,278,151,119,127,127,Algún campo sin dato,1,1cb97de32a2d495b4243acd7f944e43ca647ad6cb5fd58a5568e84763cb677d8,26/06/2023 00:14:10,ESCANER
16512,"Huehuetenango",13,"Aguacatán",27,2456,400,43,71,9,29,5,14,0,10,1,0,26,1,209,16,6,231,1,232,--,400,168,209,231,232,Algún campo sin dato,1,3df2a25c0d2b996dbb3cb511121ddaa796bba663d8bc4fc720e091c75c4bf22b,26/06/2023 01:38:38,ESCANER
16513,"Huehuetenango",13,"Aguacatán",27,2456,400,33,50,9,21,3,17,3,12,3,0,40,0,191,18,9,218,0,218,--,400,182,191,218,218,Algún campo sin dato,1,4a5a2b6cd32bb8013d7497025f8bd20c2381c52abc86fc17de0d53bf8b8ca0c6,26/06/2023 01:47:28,ESCANER
16514,"Huehuetenango",13,"Aguacatán",27,2456,400,51,71,4,26,6,11,1,13,0,0,12,0,195,11,5,211,0,211,--,400,186,195,211,211,Algún campo sin dato,1,70ce002362aed9684c5e690b4f3a49f3ca0a2663e162553663b19aef59890294,26/06/2023 00:03:05,ESCANER
16515,"Huehuetenango",13,"Aguacatán",27,2456,400,53,76,0,39,3,6,1,9,0,0,8,1,196,7,6,209,0,209,--,400,191,196,209,209,Algún campo sin dato,1,e3c37b0b97e17d1d2a4637b90f3ab08598bf5a658eb8c50b166fcca0babde055,25/06/2023 22:58:51,ESCANER
16516,"Huehuetenango",13,"Aguacatán",27,2456,400,27,68,2,50,7,13,3,12,0,1,15,1,199,9,11,219,0,219,--,400,181,199,219,219,Algún campo sin dato,1,7a97d7d052f3dceb7b9cc71708af6175f9e6cf380d54980682b13a0c7a8ddfbc,26/06/2023 01:37:22,ESCANER
16517,"Huehuetenango",13,"Aguacatán",27,2456,400,44,75,6,34,1,19,4,6,1,0,21,4,215,7,7,229,0,229,--,400,171,215,229,229,Algún campo sin dato,1,a9389b963c9989ab48aee0207ab1fa7f60355f326a508ff83adc99c70605f1ed,26/06/2023 02:04:36,ESCANER
16518,"Huehuetenango",13,"Aguacatán",27,2456,400,54,73,4,25,3,21,1,10,0,0,18,0,209,8,4,221,0,221,--,400,179,209,221,221,Algún campo sin dato,1,1ab4a0cc53aa7333dfb352b8c816c300ffdaf29c83f7df21df6ace77d6879128,26/06/2023 01:29:38,ESCANER
16519,"Huehuetenango",13,"Aguacatán",27,2456,400,28,63,4,15,5,4,0,5,2,0,13,2,141,15,8,164,0,164,--,400,236,141,164,164,Algún campo sin dato,1,8e2d8754bd55ac5dd0de227fa859dd4b42fb7c0a782a37021a3ed8465c3fdce9,26/06/2023 00:53:18,ESCANER
16520,"Huehuetenango",13,"Aguacatán",27,2457,400,39,58,13,22,6,14,6,1,1,1,24,2,187,9,7,203,0,400,--,400,--,187,203,203,Sumas Asentadas sin cuadrar,1,a46f7c811086229b3b2dd4d91b422d3c898856a1f88b561a844a24fb81936def,26/06/2023 02:50:44,ESCANER
