TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
42,42,100.0000,42,100.0000,0,16379,12176,74.3390

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VALOR,UNE,CABAL,PHG,PODER,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
8038,"Escuintla",5,"Iztapa",10,923,400,202,117,6,0,4,329,2,0,331,0,331,0,400,69,329,331,331,,1,f0b0c1dfbd871abb1d131644aefea1ab152627fc17dbd6f264729b2717f6982f,26/06/2023 01:21:52,ESCANER
8039,"Escuintla",5,"Iztapa",10,923,399,168,146,2,0,1,317,0,1,318,0,318,0,399,81,317,318,318,,1,a9e39fc4e73648c28e4d8fc4fceb0858de11b4f25698e9ca690195d5dfbaa0bc,26/06/2023 01:12:16,ESCANER
8040,"Escuintla",5,"Iztapa",10,923,399,158,102,5,0,0,265,8,0,273,0,273,1,399,125,265,273,273,,1,14c6497209cd53654adfc27b064a1b0aa7cc38c2a7b194f83bf8bcdecb7408a4,26/06/2023 01:04:53,ESCANER
8041,"Escuintla",5,"Iztapa",10,924,400,159,135,19,1,5,319,12,7,338,63,401,--,401,63,319,338,401,Algún campo sin dato,1,672fb35abd54de6893cd8806809ad261f161ba3a4d8357733c03a706676b9885,26/06/2023 01:10:38,ESCANER
8042,"Escuintla",5,"Iztapa",10,924,400,161,128,13,0,6,308,5,2,315,0,315,--,--,--,308,315,315,Algún campo sin dato,1,3caa94bc71ec936543febbb985a418d53773a87b2dffa6831442a8c927e415b3,26/06/2023 01:22:41,ESCANER
8043,"Escuintla",5,"Iztapa",10,925,385,138,110,15,0,4,267,13,3,283,0,283,--,382,99,267,283,283,Algún campo sin dato,1,8514bbcc7aa65ea78202d1e8bb23d3f3573e3312936427ca3dd49b2915671f8b,26/06/2023 00:47:16,ESCANER
8044,"Escuintla",5,"Iztapa",10,925,384,178,97,17,0,4,296,8,0,304,0,304,--,384,80,296,304,304,Algún campo sin dato,1,3a16d10faf435183a50170c6534fb65b500b8aebb4bf41bf06a45d9b9a143ab9,25/06/2023 21:51:32,ESCANER
8045,"Escuintla",5,"Iztapa",10,926,400,140,130,10,2,2,284,10,6,300,0,300,--,397,97,284,300,300,Algún campo sin dato,1,0f69593d7493aaa44ec03eff8941258d83962edd658116b62c9f6d96f40ac581,25/06/2023 23:57:27,ESCANER
8046,"Escuintla",5,"Iztapa",10,926,400,126,142,14,2,0,284,9,3,296,0,0,0,398,102,284,296,296,,1,4bab8ff14809a8e5c40fdeba296c20af0491ec0ae0205ee8c7a88c2b4bf04176,26/06/2023 00:19:28,ESCANER
8047,"Escuintla",5,"Iztapa",10,926,400,146,97,11,1,1,296,11,2,296,0,270,1,400,130,256,269,269,Sumas Asentadas sin cuadrar,1,91e24cde14d3a824ef753e1d9457eb7b689984eae33950dd1d27354a6f24063e,26/06/2023 04:56:06,ESCANER
8048,"Escuintla",5,"Iztapa",10,926,400,159,101,8,3,0,271,15,2,288,0,288,0,400,112,271,288,288,,1,ec64592cbbeff15821c38887487555fb8fb93432eeb1e4f6616aa0fc386880b9,25/06/2023 22:31:20,ESCANER
8049,"Escuintla",5,"Iztapa",10,926,400,148,113,12,0,2,275,11,4,290,0,--,2,--,--,275,290,290,Algún campo sin dato,1,2bde62025b792024e5c88b3f1444c60617c9ecaf327f17765b2e5800f336c998,26/06/2023 01:19:12,ESCANER
8050,"Escuintla",5,"Iztapa",10,926,400,155,95,11,1,2,264,9,2,275,125,400,0,400,125,264,275,400,,1,d4fb443dd95885782f611bfa6cf9d18f36d21711cd1cac90ebf806084b2c45cc,26/06/2023 00:26:22,ESCANER
8051,"Escuintla",5,"Iztapa",10,926,339,168,85,8,1,1,263,4,1,268,0,0,3,339,68,263,268,268,,1,ae4faa5956d9c915877f2cd642f22a80723e443cbd2c40d825046244752de6b5,26/06/2023 01:35:08,ESCANER
8052,"Escuintla",5,"Iztapa",10,926,339,150,81,10,0,1,242,6,2,250,0,250,0,339,89,242,250,250,,1,167028d264df4b88e757f8d6e43c3c4ae88bc53b94c95820c9a6171f58d053c9,26/06/2023 00:27:03,ESCANER
8053,"Escuintla",5,"Iztapa",10,927,380,57,196,10,0,1,264,10,5,0,0,279,--,380,101,264,279,279,Algún campo sin dato,1,7c1dc4dc3ee87c9ee920f0aa89a3ac3e0708d41615b3e9fa64860f4d2db51aae,26/06/2023 00:20:19,ESCANER
8054,"Escuintla",5,"Iztapa",10,927,380,53,248,9,1,2,313,9,8,330,0,330,--,377,50,313,330,330,Algún campo sin dato,1,4cc5dd134c3c88e45bd7f3e4310201c651c76563b48775fd0c0fc9599a9c3628,26/06/2023 00:10:47,ESCANER
8055,"Escuintla",5,"Iztapa",10,927,380,64,235,12,1,0,312,10,2,324,0,324,--,380,56,312,324,324,Algún campo sin dato,1,04b5f1fc3967a2ce6f1c7d27a67e221008033fe9cddceeb9e2f870fac95b9951,25/06/2023 22:59:30,ESCANER
8056,"Escuintla",5,"Iztapa",10,927,380,61,187,16,0,0,264,0,1,265,4,269,0,380,111,264,265,269,,1,3244c680ad5136b59eeab84f210d09a6cca71e2c6d5f5c86c966997203b0a57f,25/06/2023 23:03:32,ESCANER
8057,"Escuintla",5,"Iztapa",10,927,380,51,193,4,0,1,249,13,0,262,0,262,--,380,118,249,262,262,Algún campo sin dato,1,11e384ad547d9cc13aa2f79ed87acd8204e80d196399d1531c1ac2026f324d51,25/06/2023 23:21:07,ESCANER
8058,"Escuintla",5,"Iztapa",10,927,380,47,191,9,0,2,249,3,3,255,0,255,0,380,125,249,255,255,,1,1701982e0ebdb17363f677233504e41821c0a021e845ee2c7d95a9483db2903e,25/06/2023 22:47:04,ESCANER
8059,"Escuintla",5,"Iztapa",10,927,346,49,196,4,--,1,250,1,2,--,--,253,--,343,90,250,253,253,Algún campo sin dato,1,1afe1d6bbe9edea16fcd299ac63fe63c7dd97fb8642f5e4c033e26c212b3fa4b,25/06/2023 21:57:25,ESCANER
8060,"Escuintla",5,"Iztapa",10,927,346,54,181,2,0,3,240,10,0,250,0,250,--,343,93,240,250,250,Algún campo sin dato,1,383a2c97257fac9bcbdc9c5ca2a0d5c921889ba0505c2764838404ba44e8fc79,25/06/2023 22:36:56,ESCANER
8061,"Escuintla",5,"Iztapa",10,928,362,41,40,2,1,3,87,8,1,96,0,96,--,363,267,87,96,96,Algún campo sin dato,1,911e8341530b3be0e316a75aa1a98e31d59b1f103f8c63fd30cb9186f1b7c659,25/06/2023 22:17:40,ESCANER
