TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
39,39,100.0000,39,100.0000,0,14365,8424,58.6425

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,UNE,VAMOS,MLP,VICTORIA,U R N G - MAIZ,ELEFANTE,MI FAMILIA,CABAL,PHG,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
18515,"Baja Verapaz",15,"San Jerónimo",7,2844,286,34,15,50,0,6,7,1,3,4,0,16,136,5,0,141,0,141,0,286,145,136,141,141,,1,308fc33f24fd72f0a788820d85a2988fc89ece71200c4519e233acbd40b7a1f2,25/06/2023 23:53:54,ESCANER
18516,"Baja Verapaz",15,"San Jerónimo",7,2845,380,59,11,109,1,14,13,4,3,6,8,21,249,22,3,274,0,274,--,380,106,249,274,274,Algún campo sin dato,1,63d2d1532b1a962909ed102bbc7ba571781ccce84121c000fa7f3f69a505abc9,26/06/2023 03:42:38,ESCANER
18517,"Baja Verapaz",15,"San Jerónimo",7,2845,380,55,14,106,6,7,19,3,0,9,7,17,243,18,6,267,0,267,1,380,113,243,267,267,,1,8329f7daf418a6edb7a1b394d5298483c48642b832957d0e659ea702aa08b045,26/06/2023 04:27:27,ESCANER
18518,"Baja Verapaz",15,"San Jerónimo",7,2845,380,48,12,77,1,16,34,2,1,9,9,15,224,28,7,259,0,259,--,380,121,224,259,259,Algún campo sin dato,1,1c61b8c0f4a9ce278ae4a401da95640237ed1f8d666441216e82f63fcf1cdda0,26/06/2023 03:01:38,ESCANER
18519,"Baja Verapaz",15,"San Jerónimo",7,2845,268,20,10,62,0,8,19,2,1,4,8,13,147,12,1,160,0,160,--,268,108,147,160,160,Algún campo sin dato,1,735d0ee30777c0bef700f3d62fff9c09c5715f973b34b410c010de5b03cef9a0,26/06/2023 00:22:57,ESCANER
18520,"Baja Verapaz",15,"San Jerónimo",7,2845,268,21,4,61,1,8,15,2,0,4,7,11,134,7,0,141,0,141,--,268,127,134,141,141,Algún campo sin dato,1,0df39d61ff6c983312c9aa98b1e8afc3809eec671da20aa87d93c048552e34e0,26/06/2023 00:28:57,ESCANER
18521,"Baja Verapaz",15,"San Jerónimo",7,2846,380,33,61,29,1,45,19,7,3,4,1,5,208,26,9,243,0,243,--,380,137,208,243,243,Algún campo sin dato,1,1da801629f07d0284ab57e335d2aa7cbd6519e022615ef0ed321f5521ad7340e,26/06/2023 01:38:21,ESCANER
18522,"Baja Verapaz",15,"San Jerónimo",7,2846,380,31,56,45,1,47,15,5,3,5,1,6,215,23,8,246,0,246,--,380,134,215,246,246,Algún campo sin dato,1,09be539b08f4e2e5d28a3f7069ffecf400cc4359779efc92e4bfbc766fe0b635,26/06/2023 01:57:03,ESCANER
18523,"Baja Verapaz",15,"San Jerónimo",7,2846,380,31,50,53,1,45,19,6,6,1,2,6,220,26,4,250,0,250,--,380,130,220,250,250,Algún campo sin dato,1,f10df3a09fb2f5592cd2aabc35b39b6aa8e8767591061be253c9953a7588da9f,25/06/2023 23:01:43,ESCANER
18524,"Baja Verapaz",15,"San Jerónimo",7,2846,380,47,57,37,3,35,7,8,5,9,0,10,218,15,10,243,0,243,--,380,137,218,243,243,Algún campo sin dato,1,23c70345cdb1e919c59bc94cccda8d300c374728479a969f4887aa61fcc409ac,26/06/2023 01:53:09,ESCANER
