TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
40,40,100.0000,40,100.0000,0,15087,7879,52.2237

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,MLP,AZUL,VAMOS,UNE,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
8558,"Santa Rosa",6,"Casillas",4,1010,380,29,4,2,165,27,0,227,14,3,244,0,244,--,380,136,227,244,244,Algún campo sin dato,1,3537ab109d0b01ee5a7714ee3ed2299598891cea4d3dd5a33d19ffda6c20a2f8,26/06/2023 01:49:36,ESCANER
8559,"Santa Rosa",6,"Casillas",4,1010,380,39,6,0,157,27,0,229,22,8,259,0,259,--,380,121,229,259,259,Algún campo sin dato,1,da9caecbe8ff85f35d7121428c8f3b734c2692b327cb32cc48e582a0617cac20,25/06/2023 23:06:18,ESCANER
8560,"Santa Rosa",6,"Casillas",4,1010,380,42,4,1,154,21,2,224,18,6,248,0,248,--,380,132,224,248,248,Algún campo sin dato,1,53707b525d9b98f8258803afd827fb5fb5ddab5e959613ade31a1444092cfac2,26/06/2023 01:41:30,ESCANER
8561,"Santa Rosa",6,"Casillas",4,1010,380,26,1,2,162,14,2,207,20,2,229,0,229,--,380,151,207,229,229,Algún campo sin dato,1,efd3d704ee5657799e0884f783c0eb6b27dd8893b31168494e99c7dc66d8ca29,26/06/2023 00:44:03,ESCANER
8562,"Santa Rosa",6,"Casillas",4,1010,380,24,4,0,138,12,0,178,11,1,190,0,190,--,376,186,178,190,190,Algún campo sin dato,1,92cb11907ec80589461748c29237a8e311dacd81bf4c998addb892cc724f3ea1,25/06/2023 23:17:22,ESCANER
8563,"Santa Rosa",6,"Casillas",4,1010,380,36,5,1,144,19,0,205,19,3,227,0,227,--,380,153,205,227,227,Algún campo sin dato,1,b9364f51e521a85f6219759384fb49af7c6520597ed7b5d74f97d5d1877c5c68,26/06/2023 00:05:13,ESCANER
8564,"Santa Rosa",6,"Casillas",4,1011,380,23,2,2,156,9,1,193,12,0,205,0,205,--,380,175,193,205,205,Algún campo sin dato,1,d675f14c256a43f92b626cb1bb22e6cc0bc1e26e2faf08c3f3dc5f05c350bbe8,26/06/2023 00:18:36,ESCANER
8565,"Santa Rosa",6,"Casillas",4,1011,380,24,0,0,146,14,0,184,9,2,195,0,195,--,381,186,184,195,195,Algún campo sin dato,1,0a64728a2f293b3514d441973d12ba82d8d625c8a567ee49cfb6aa2043f2a23d,25/06/2023 22:55:27,ESCANER
8566,"Santa Rosa",6,"Casillas",4,1011,380,20,0,4,156,13,1,194,8,0,202,0,202,--,380,178,194,202,202,Algún campo sin dato,1,71c977e6a50e05b4d463c619d923ea51d3538f6e38adb66b0ffa571daea9caa1,25/06/2023 23:59:47,ESCANER
8567,"Santa Rosa",6,"Casillas",4,1011,308,23,1,2,115,4,0,145,3,1,149,0,149,--,308,159,145,149,149,Algún campo sin dato,1,532a016378111d19db8f4c12d56ff3532f2ebea38145ae7db0f7611c6f541efb,25/06/2023 21:50:51,ESCANER
