TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
112,112,100.0000,112,100.0000,0,40118,21953,54.7210

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VIVA,UNE,CABRA,MLP,VAMOS,CABAL,TODOS,PPN,PHG,PODEMOS,CAMBIO,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20954,"Petén",17,"Sayaxché",10,3258,380,8,23,62,4,29,7,10,0,0,0,0,0,143,1,5,149,22,171,--,380,209,143,149,171,Algún campo sin dato,1,fee91656f461829d74162fd564f7b00b10e1ef0e552b2bd056045ec810e4225f,26/06/2023 01:14:11,ESCANER
20955,"Petén",17,"Sayaxché",10,3258,380,10,23,78,4,44,3,8,0,1,0,0,0,171,10,5,186,0,186,0,380,194,171,186,186,,1,bf417ea0d032c2b84a55babf4b119d353988213fc6b3da270f2ad6d6e9400c7b,25/06/2023 23:27:11,ESCANER
20956,"Petén",17,"Sayaxché",10,3258,380,2,21,92,3,42,9,7,1,0,0,0,0,177,10,7,194,0,194,--,377,183,177,194,194,Algún campo sin dato,1,6a682de35a08db4506717f9dccc874989c57418beba4440b39d090ef87fcfecd,25/06/2023 23:44:15,ESCANER
20957,"Petén",17,"Sayaxché",10,3258,215,6,18,40,2,11,8,3,1,0,0,0,0,89,4,0,93,0,93,--,215,122,89,93,93,Algún campo sin dato,1,c0f07e9974f6c87940637ce417b66f19b9e89c582f3638ad66e11b5acc0aed1b,25/06/2023 23:58:42,ESCANER
20958,"Petén",17,"Sayaxché",10,3258,215,7,12,21,1,16,5,6,1,0,0,0,0,69,6,3,78,0,78,--,--,--,69,78,78,Algún campo sin dato,1,5a01582a2ab5394eaa4c8d04d3766909cef6ee0024f6cfa53b8aa6d3f5bb808c,25/06/2023 20:56:31,ESCANER
20959,"Petén",17,"Sayaxché",10,3259,380,74,24,18,0,52,1,22,3,2,0,0,0,213,13,4,213,0,213,--,380,167,196,213,213,Sumas Asentadas sin cuadrar,1,f4251bdb8d55c2df1d9a435e68c532c7a1d7a1543efa2c3bcb7b99aecbf7c692,26/06/2023 02:06:42,ESCANER
20960,"Petén",17,"Sayaxché",10,3259,380,69,18,23,0,35,1,29,0,0,1,0,1,177,6,0,183,0,183,0,380,197,177,183,183,,1,7bfb610b557c202143f89f140c5dcd1f30a25b97b3cf5abb5a047dbbb22d1a4a,25/06/2023 23:47:52,ESCANER
20961,"Petén",17,"Sayaxché",10,3259,380,67,7,19,0,44,5,18,0,1,0,0,0,173,10,2,173,0,173,--,380,207,161,173,173,Sumas Asentadas sin cuadrar,1,a015a51256bee6155cea9f7013ca145efeeb92c9c4de25227963b667fc0980a7,25/06/2023 22:24:11,ESCANER
20962,"Petén",17,"Sayaxché",10,3259,209,46,4,12,0,32,0,10,1,2,0,0,0,107,2,1,110,0,110,--,209,99,107,110,110,Algún campo sin dato,1,7c7958c343d428e669c5aed0c377af359062c6efd0ba1cf61f1c76c70d4da7dd,25/06/2023 21:21:22,ESCANER
20963,"Petén",17,"Sayaxché",10,3259,208,47,6,11,0,26,1,10,0,0,0,0,0,101,6,5,112,0,112,0,208,93,101,112,112,,1,83495edcb3272238e96eeb919da2df669e0766a275b38a9cd0acefd233d0523b,25/06/2023 23:04:07,ESCANER
20964,"Petén",17,"Sayaxché",10,3260,380,18,34,44,0,179,0,1,0,1,1,1,0,279,30,12,321,0,321,--,377,56,279,321,321,Algún campo sin dato,1,be23765cc5c672c7ee8c9de7be6bb38c09b46433c307b2c754e49e9bb63e74ad,26/06/2023 01:34:10,ESCANER
20965,"Petén",17,"Sayaxché",10,3260,380,20,19,58,0,191,0,4,3,1,0,0,0,296,19,8,323,0,323,--,380,57,296,323,323,Algún campo sin dato,1,8127d6a91390702081585bcc6187f7fd1847d64bed6e525a65cd31ca2398e521,26/06/2023 02:31:24,ESCANER
20966,"Petén",17,"Sayaxché",10,3260,380,14,21,48,0,186,0,95,0,1,0,0,0,275,15,10,300,0,300,--,380,80,365,390,390,Sumas Asentadas sin cuadrar,1,893e41c02315120d563c676c09884ebdd606639c8baffd852b7a95341c26e0e3,26/06/2023 05:21:34,ESCANER
20967,"Petén",17,"Sayaxché",10,3260,380,25,28,51,0,169,0,6,4,0,0,0,1,284,12,5,301,0,301,--,377,76,284,301,301,Algún campo sin dato,1,d05b935d58a20e77bd9c3b11837386d623604a353edb306608b4725d14ce1828,26/06/2023 03:27:07,ESCANER
20968,"Petén",17,"Sayaxché",10,3260,380,32,34,54,0,150,0,4,0,1,0,0,0,275,13,8,296,0,296,--,380,84,275,296,296,Algún campo sin dato,1,86fe9687e793215c4425e831505df4ad421e635ee553b883b631706f70f5b518,26/06/2023 02:33:55,ESCANER
20969,"Petén",17,"Sayaxché",10,3260,380,18,22,58,0,156,0,6,0,1,1,0,0,262,5,4,271,0,271,--,380,109,262,271,271,Algún campo sin dato,1,6e003d46dee78003d22b22e19733a8945c7ddaf7fb6ade5088282a343b090124,26/06/2023 01:42:18,ESCANER
20970,"Petén",17,"Sayaxché",10,3260,248,7,9,37,0,111,0,5,0,1,0,0,0,170,7,0,177,0,177,--,248,71,170,177,177,Algún campo sin dato,1,d7e7f678a01cac22d05a5e989268cb1d37e09676611f5dccf2b706d572bbd792,26/06/2023 03:29:37,ESCANER
20971,"Petén",17,"Sayaxché",10,3260,248,14,10,39,0,107,0,2,0,0,0,0,0,172,7,3,182,0,182,--,248,66,172,182,182,Algún campo sin dato,1,db13bca8d5e3944a98eea21482e26d1c43f49d9e2bc9d2b0ab9721c33255173a,25/06/2023 22:53:57,ESCANER
20972,"Petén",17,"Sayaxché",10,3261,380,12,95,16,9,9,1,11,2,6,3,0,0,164,24,7,195,0,195,0,380,185,164,195,195,,1,52a73d0e8f94883f6f1a96511729dabdb92af6bf4899db25fd53d50deb96f509,25/06/2023 23:42:09,ESCANER
20973,"Petén",17,"Sayaxché",10,3261,271,10,50,15,9,5,0,6,2,2,1,0,0,100,10,7,117,0,117,--,271,154,100,117,117,Algún campo sin dato,1,cd8565392792fc74889da00d027178837f05ccd255d30f235b9a1ad3d42966a5,25/06/2023 20:38:36,ESCANER
20974,"Petén",17,"Sayaxché",10,3261,271,8,67,10,3,8,0,6,5,7,3,1,1,119,7,2,128,0,128,--,271,143,119,128,128,Algún campo sin dato,1,97f2aff5504eee93033f533e62c4d22eb49306e05626afe140f3c6ff7167d2b9,25/06/2023 23:48:57,ESCANER
20975,"Petén",17,"Sayaxché",10,3262,380,2,66,57,1,77,1,7,1,5,0,0,1,218,29,13,260,0,260,--,380,120,218,260,260,Algún campo sin dato,1,68c4a9cab3561817806d9d68cda08aab7d33272c4e32e540af0a676f8d37bd49,26/06/2023 01:47:15,ESCANER
20976,"Petén",17,"Sayaxché",10,3262,380,6,78,69,0,60,2,6,1,3,0,0,0,225,33,6,264,0,264,--,377,116,225,264,264,Algún campo sin dato,1,57f553b32b60b58425db126d7ae652dd3204729d4e1acf33d70c6fe44fbe577e,26/06/2023 02:33:36,ESCANER
20977,"Petén",17,"Sayaxché",10,3262,380,4,75,61,1,64,2,3,3,4,0,1,0,218,28,8,36,0,254,--,377,123,218,254,254,Sumas Asentadas sin cuadrar,1,32f13fe042ad37983e04e4be6d4132cb87ee933c5777d6af179d60f2fd74bb0b,26/06/2023 00:49:58,ESCANER
20978,"Petén",17,"Sayaxché",10,3262,380,2,72,58,0,75,2,8,1,6,0,3,0,227,22,1,250,0,250,--,380,130,227,250,250,Algún campo sin dato,1,00ea013a66c6fc5238b0d6f3034fa0d3b1e5811c7644595ff83cde87e57a0e9a,26/06/2023 02:28:20,ESCANER
20979,"Petén",17,"Sayaxché",10,3262,380,7,59,60,0,60,2,2,2,7,0,1,2,202,24,5,231,0,231,--,377,146,202,231,231,Algún campo sin dato,1,a83cff7efa31fb757ebc3bff74ce6d828a86ff67edd3e2429b5f5c5651d30560,26/06/2023 03:11:35,ESCANER
20980,"Petén",17,"Sayaxché",10,3262,363,4,63,74,1,57,3,6,0,7,0,3,0,218,8,2,228,0,228,--,363,135,218,228,228,Algún campo sin dato,1,485588e6e3b759141c2fdd2a782e42d84c88472b651d91e67aa5bd45e9151125,26/06/2023 02:17:12,ESCANER
20981,"Petén",17,"Sayaxché",10,3262,363,5,80,57,0,48,0,3,1,6,0,0,2,202,7,3,212,0,--,--,363,151,202,212,212,Algún campo sin dato,1,3b43abe59f0d54b3d25fb58e396e8283178ce9180f4f88e66f2e0f038f07c793,25/06/2023 23:47:04,ESCANER
20982,"Petén",17,"Sayaxché",10,3263,380,33,31,56,0,38,2,28,0,0,0,0,0,188,16,5,209,0,209,0,380,171,188,209,209,,1,ee2c98dbe82df7e0bf2f4e9ca0dd8f16fc02ba1b4a1c5aadd829bcd773a474bd,26/06/2023 00:54:25,ESCANER
20983,"Petén",17,"Sayaxché",10,3263,380,32,39,47,2,24,5,19,2,0,2,0,1,173,18,1,192,0,192,--,376,184,173,192,192,Algún campo sin dato,1,db9e0ebf70f1ce378a2ac232d827159e8e6ad7ba0be46b7682f5bbab4f5be0f4,25/06/2023 23:46:50,ESCANER
20984,"Petén",17,"Sayaxché",10,3263,328,32,24,41,1,23,2,14,0,2,0,0,0,139,15,4,158,0,158,--,328,167,139,158,158,Algún campo sin dato,1,df2a25c40fe9fe99dbc5d6b690743592890b2a7b8bb7e51e25e954d687a12256,25/06/2023 22:58:12,ESCANER
20985,"Petén",17,"Sayaxché",10,3263,328,22,24,27,1,21,0,19,0,1,0,0,0,115,9,2,129,3,129,--,328,199,115,126,129,Sumas Asentadas sin cuadrar,1,dbb9966f15d51017969b1ab9a8aa449629363cd5317ba8bd5534194b7a72a208,25/06/2023 23:15:01,ESCANER
20986,"Petén",17,"Sayaxché",10,3264,380,5,52,75,0,35,2,10,3,7,2,0,0,191,30,7,228,0,228,--,380,152,191,228,228,Algún campo sin dato,1,4696ae9e5f0a639341270668dd0c74f7cdfcc9036d38827e4e71a5c0083a0758,26/06/2023 03:24:54,ESCANER
20987,"Petén",17,"Sayaxché",10,3264,380,9,57,66,0,42,2,3,2,4,2,0,0,187,26,5,218,0,218,--,379,161,187,218,218,Algún campo sin dato,1,504c3d63637af9954bf08e1a33d7bdf7e96f5aba5f78e28a30d5bad3c8e48003,26/06/2023 01:26:52,ESCANER
20988,"Petén",17,"Sayaxché",10,3264,380,6,44,64,0,50,4,6,3,8,0,0,0,185,34,6,225,155,380,0,380,155,185,225,380,,1,38d3804a533ba50b30e4eed9ca16ad8a7d6d70a21b51f1a13c863fa7232c96f8,26/06/2023 05:17:48,ESCANER
20989,"Petén",17,"Sayaxché",10,3264,380,7,51,61,1,38,6,6,3,2,1,0,1,177,25,3,205,0,205,0,380,175,177,205,205,,1,fb0675821442a4048e0f4e4f1a686380343d14c6252e8da785ab569d193ac352,26/06/2023 02:51:39,ESCANER
20990,"Petén",17,"Sayaxché",10,3264,207,4,34,45,0,18,1,0,2,1,0,0,0,105,7,0,112,0,112,--,207,95,105,112,112,Algún campo sin dato,1,841c7ccd1d2e827dded55b0e97dcb3800a57167af8380d51cc5fbbed1cae4399,26/06/2023 01:09:19,ESCANER
20991,"Petén",17,"Sayaxché",10,3264,206,9,32,23,0,23,2,0,1,4,0,0,0,94,11,2,107,0,--,--,206,99,94,107,107,Algún campo sin dato,1,a51ddd93c692c1f385ae1409a52991811f04c4f90d275d4231b5c122c7b5d674,26/06/2023 01:17:20,ESCANER
20992,"Petén",17,"Sayaxché",10,3265,380,7,44,44,6,13,1,76,1,8,1,2,0,203,23,4,230,0,230,--,380,151,203,230,230,Algún campo sin dato,1,34201cfc033ee010d1209872d6acc910f0c1c058341bffd8de0d4ffcdd0feb41,26/06/2023 00:25:30,ESCANER
20993,"Petén",17,"Sayaxché",10,3265,380,8,29,39,2,19,2,72,2,8,2,1,0,184,18,3,205,0,205,--,380,175,184,205,205,Algún campo sin dato,1,9de601d179c97b9cac10aad01985b640d3444ccf8b4a0c893fb262832dc10a57,26/06/2023 01:40:09,ESCANER
20994,"Petén",17,"Sayaxché",10,3265,299,10,14,34,2,8,1,58,3,6,2,0,2,140,17,8,165,0,165,--,299,134,140,165,165,Algún campo sin dato,1,252f281099d8a56b98e77c42171bbdb2b0121c3b8f4e2968ee91801e6bb5dbe2,26/06/2023 01:36:30,ESCANER
20995,"Petén",17,"Sayaxché",10,3265,299,8,29,35,3,10,0,66,0,5,0,0,1,157,4,1,162,0,162,--,296,134,157,162,162,Algún campo sin dato,1,f31d7a4752cafc8096e2f4ed0c4bbd3e2fd7f2c360f1a17e6cabcb122ef24734,25/06/2023 22:27:10,ESCANER
20996,"Petén",17,"Sayaxché",10,3266,380,4,55,116,0,53,4,1,1,0,0,1,0,235,42,5,282,0,282,--,380,98,235,282,282,Algún campo sin dato,1,60960d7214f0d4f842e53ed8a7606071ccce6cf9a5008e59f1d19a94a686bf2f,26/06/2023 00:59:14,ESCANER
20997,"Petén",17,"Sayaxché",10,3266,263,1,36,75,0,40,1,1,0,1,0,0,0,155,15,8,178,0,178,--,263,85,155,178,178,Algún campo sin dato,1,f769d5fff1e80650054c01b9434b5a6b11e6785655e6f77e457bec7349531231,25/06/2023 23:46:23,ESCANER
20998,"Petén",17,"Sayaxché",10,3266,263,1,37,80,1,27,0,3,0,1,0,0,0,150,3,1,154,0,154,--,260,106,150,154,154,Algún campo sin dato,1,0a4d53bd094efb7033cc90ce2b615897e81d764b24f984a9a5d1c95b379a7c25,25/06/2023 21:18:14,ESCANER
20999,"Petén",17,"Sayaxché",10,3267,600,12,18,26,1,21,2,10,1,4,2,2,0,99,10,3,112,0,112,--,600,488,99,112,112,Algún campo sin dato,1,855ab499ea049ca2eb9672edc1b3454af503420db78fafb3b36674dee757a9ed,25/06/2023 21:18:51,ESCANER
21000,"Petén",17,"Sayaxché",10,3267,355,2,7,16,1,9,2,4,0,6,1,0,0,48,6,1,55,0,55,--,355,300,48,55,55,Algún campo sin dato,1,b27aad7525d219cc0a1c76ca135130c0c4fe2dac5638331633f03d47a19a4097,25/06/2023 21:00:47,ESCANER
21001,"Petén",17,"Sayaxché",10,3267,355,0,5,12,0,9,0,2,1,0,1,0,0,30,5,0,35,0,35,0,355,320,30,35,35,,1,b48f3d79bed84ebcd1458b20662a9b03f2a9331c3f275be5af3242c530776a64,25/06/2023 19:46:47,ESCANER
