TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
71,71,100.0000,71,100.0000,0,25822,13287,51.4561

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CREO,PHG,UNE,CABAL,TODOS,AZUL,VICTORIA,VIVA,PODEMOS,PPN,VALOR,WINAQ,UR,MLP,ELEFANTE,BIEN,PODER,VAMOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
13772,"San Marcos",12,"Tajumulco",9,1919,374,8,2,20,67,20,1,6,0,2,3,0,0,1,1,0,3,0,8,142,6,2,150,0,150,--,374,224,142,150,150,Algún campo sin dato,1,237c2fdc9d44dfaeef2ee3a6ec12bcbfd0921fa9adc7681632a53cce2797248a,26/06/2023 02:30:59,ESCANER
13773,"San Marcos",12,"Tajumulco",9,1919,374,7,4,18,75,14,2,19,1,1,2,2,0,0,1,1,5,1,12,165,6,7,178,0,178,--,376,198,165,178,178,Algún campo sin dato,1,6ba6efc0540141fb81c9963df387b4baed108b27479b42de2ecf41c424cfb5ea,26/06/2023 01:55:38,ESCANER
13774,"San Marcos",12,"Tajumulco",9,1920,380,9,12,70,58,32,0,5,32,3,0,1,0,1,0,0,3,2,30,258,14,7,279,0,279,--,380,101,258,279,279,Algún campo sin dato,1,bbdc3017060293836a09d0d28c7efad8a241970a7d8a6937f2b7f7b892a1e3f2,26/06/2023 02:32:34,ESCANER
13775,"San Marcos",12,"Tajumulco",9,1920,380,6,7,50,59,29,1,2,42,5,1,2,0,2,1,0,1,1,16,225,10,6,241,0,241,--,377,136,225,241,241,Algún campo sin dato,1,0a178c58b35fb036fa2283b1aef496ef96f9c5b9b90f47a1e7ca2a149fc01eed,26/06/2023 02:35:24,ESCANER
13776,"San Marcos",12,"Tajumulco",9,1920,380,5,10,50,62,29,0,5,35,2,0,1,1,0,1,0,2,2,23,228,5,0,233,0,233,--,380,147,228,233,233,Algún campo sin dato,1,d42539e5a9467d0e1a0ec2929026ad6062fc682a87a56b62469828dbb19102ab,26/06/2023 00:29:34,ESCANER
13777,"San Marcos",12,"Tajumulco",9,1920,380,10,13,49,57,24,1,3,37,1,0,1,0,1,1,0,0,1,18,217,12,9,238,0,238,--,380,42,217,238,238,Algún campo sin dato,1,d6ba11cf1f6fafdeb556176cd65f4f3fc450bca48f5603ace280e2be5b27bb61,26/06/2023 01:42:36,ESCANER
13778,"San Marcos",12,"Tajumulco",9,1920,255,9,5,19,29,14,0,3,32,1,0,0,0,0,0,0,0,1,13,126,3,2,131,0,126,--,255,124,126,131,131,Sumas Asentadas sin cuadrar,1,205f809e7cfe7d0c664cf7273143c65959319b7546697e4f879adb310169325a,26/06/2023 01:10:20,ESCANER
13779,"San Marcos",12,"Tajumulco",9,1920,255,8,6,24,20,15,0,1,23,2,0,0,0,0,0,0,1,2,12,114,7,2,123,0,123,--,255,132,114,123,123,Algún campo sin dato,1,4133fc9106658cdf675a3e27e132c57ab686cc7b573c1f579b5c3d859442b0d4,26/06/2023 00:22:17,ESCANER
13780,"San Marcos",12,"Tajumulco",9,1921,380,31,11,32,27,5,1,30,4,3,6,--,--,1,1,2,1,--,15,170,17,5,--,--,192,--,380,188,170,192,192,Algún campo sin dato,1,4790f520a4f2072797b9b22e17baa0157e51e723b001821bef4ecab2606af60c,26/06/2023 05:55:06,MOVIL
13781,"San Marcos",12,"Tajumulco",9,1921,380,27,7,31,25,7,1,34,0,3,5,2,0,0,0,1,1,0,6,150,17,5,172,--,--,0,381,209,150,172,172,Algún campo sin dato,1,16ba253442f7652e315ede95941a7753fbf32a73e96c8d6213fb5a7cc44f4169,26/06/2023 05:17:19,MOVIL
13782,"San Marcos",12,"Tajumulco",9,1921,380,23,8,21,38,8,0,36,1,2,5,0,0,2,0,0,0,0,5,149,20,6,175,0,175,0,380,205,149,175,175,,1,46093c97239dc0da6eb87b8424f8aa16c549182eca33d8180e00feb6f517c5ce,26/06/2023 05:44:55,MOVIL
13783,"San Marcos",12,"Tajumulco",9,1922,282,28,2,13,22,8,2,18,0,2,7,0,0,0,0,0,0,0,5,107,7,11,125,18,125,0,279,154,107,125,143,Sumas Asentadas sin cuadrar,1,af90593ab91ae2df178ed50637db8516fef8bfbefee7bcadd07206d64879c88a,26/06/2023 05:12:50,MOVIL
13784,"San Marcos",12,"Tajumulco",9,1922,281,14,5,19,15,3,0,22,0,0,1,1,0,0,0,0,0,0,4,84,2,2,88,--,88,0,278,190,84,88,88,Algún campo sin dato,1,ce5b2354f6b1547d012fbdb80c4ee4b8a6bc1b790996d9983e81486cdf87a5a7,26/06/2023 05:31:20,MOVIL
13785,"San Marcos",12,"Tajumulco",9,1923,380,17,1,35,57,14,2,4,0,2,4,1,0,2,1,15,1,0,15,171,10,9,190,0,190,--,380,190,171,190,190,Algún campo sin dato,1,f7b36c91a2989c553fc45142d4d01ca72506cceb1a0d6c5c02f9b2c867d46d65,26/06/2023 05:48:00,ESCANER
13786,"San Marcos",12,"Tajumulco",9,1923,246,10,2,28,20,8,0,6,0,0,6,1,0,0,0,8,0,0,6,95,14,6,115,0,115,--,243,128,95,115,115,Algún campo sin dato,1,c77aee8c12615dd921f86d3a3ef84caeda2efd4c602248c009a664ca73c479b1,26/06/2023 05:56:01,ESCANER
13787,"San Marcos",12,"Tajumulco",9,1923,246,9,5,21,21,10,0,10,0,1,3,1,0,0,0,7,0,0,1,89,3,9,101,0,101,--,246,145,89,101,101,Algún campo sin dato,1,e52ae51f9a1c5d4668fa17b9ee46c1a97a3727661d420f3091b09e6e12f2b608,26/06/2023 05:46:53,ESCANER
13788,"San Marcos",12,"Tajumulco",9,1924,380,11,1,50,39,18,3,17,8,13,3,0,0,0,0,0,0,0,1,164,19,5,--,--,--,--,--,--,164,188,188,Algún campo sin dato,1,bc7a55a0023a882861a3ac1c71633e14d563a52971ec5dc34302f99eb0555744,26/06/2023 03:31:24,ESCANER
13789,"San Marcos",12,"Tajumulco",9,1924,380,4,1,48,41,26,2,16,0,13,8,2,0,2,0,0,0,0,2,165,18,6,189,0,189,--,380,191,165,189,189,Algún campo sin dato,1,6af211a131c0171fb6a42063c129ea3d6d449a8b4797e1afd53c776baede25c4,26/06/2023 03:41:32,ESCANER
13790,"San Marcos",12,"Tajumulco",9,1925,330,4,0,26,28,16,1,9,2,17,7,4,0,1,0,0,0,2,1,118,7,13,138,0,138,--,330,192,118,138,138,Algún campo sin dato,1,d50ca6026a48d4bc3342486c2b7317cab6aa16a79ac1283e5c0a5f9ae4e67efa,26/06/2023 04:03:14,ESCANER
13791,"San Marcos",12,"Tajumulco",9,1925,329,7,0,28,25,20,0,12,1,2,4,1,0,0,0,0,0,0,1,101,9,0,110,0,110,--,326,216,101,110,110,Algún campo sin dato,1,53925293cdf3609ed18d2e850ca448a43cf6d25939f62e8178ac2f24aac98623,26/06/2023 03:42:02,ESCANER
13792,"San Marcos",12,"Tajumulco",9,1926,380,54,2,52,22,4,2,7,2,4,3,1,0,0,0,3,2,0,4,162,28,12,202,0,202,--,380,178,162,202,202,Algún campo sin dato,1,03ec65f233a77e1f654240b7d5bfe310be180ee391312c64c78f1222a6d0c311,26/06/2023 06:16:07,ESCANER
13793,"San Marcos",12,"Tajumulco",9,1926,380,36,0,36,23,11,3,3,4,2,1,0,0,1,1,3,1,0,9,134,21,9,164,0,164,--,380,216,134,164,164,Algún campo sin dato,1,09eebce86fb3fdfe4175a6af6e29f7f7c54bdd5dc8ba84df6fef1b11f0d24e7c,26/06/2023 05:53:24,ESCANER
