TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
113,112,99.1150,112,99.1150,0,41406,28682,69.2701

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,FCN-NACION,AZUL,PHG,CABAL,MLP,VIVA,VAMOS,ELEFANTE,U R N G - MAIZ,TODOS,UNE,SEMILLA,PPN,VOS,VALOR,CREO,P A N,BIEN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
19940,"Alta Verapaz",16,"Cahabón",12,3071,380,20,1,21,2,0,12,67,1,2,1,80,7,1,0,16,0,2,1,234,16,8,258,--,--,--,380,122,234,258,258,Algún campo sin dato,1,9e817b9ac7e3b787eecd601d781a642df57fefcadce09fa035609218b0ff2590,27/06/2023 13:38:48,ESCANER
19941,"Alta Verapaz",16,"Cahabón",12,3072,380,17,2,41,3,0,15,58,0,2,0,80,2,0,1,18,0,0,1,240,10,8,258,0,258,0,381,123,240,258,258,,1,880880193cf81860e31bff793c849f896a9ed4ea6ec9b8cdccc9d32d7c9bb1ed,26/06/2023 06:41:19,MOVIL
19942,"Alta Verapaz",16,"Cahabón",12,3072,380,24,1,27,0,0,16,55,1,0,0,67,2,0,0,17,0,0,0,210,18,7,235,0,235,0,380,145,210,235,235,,1,e801cd07f84a2e88bc0ad9c26af33fefa7811628f82bf7c023be7cce024808e3,26/06/2023 06:46:16,MOVIL
19943,"Alta Verapaz",16,"Cahabón",12,3073,380,18,2,35,2,0,13,52,1,0,0,80,8,1,0,8,0,0,2,222,2,3,227,2,229,0,380,151,222,227,229,,1,97b2ee493d3e57b4d75ea7463535924156754a989b8f1a49f4386d36aef5a743,27/06/2023 22:33:42,ESCANER
19944,"Alta Verapaz",16,"Cahabón",12,3073,380,25,2,35,0,2,17,54,0,1,0,70,6,1,1,8,2,0,0,224,4,0,228,0,228,0,380,152,224,228,228,,1,f75e484eacfdbd4ecf6c9ecef58e4385f6be98808eae098ade3cfba3b45f34c6,27/06/2023 22:38:45,ESCANER
19945,"Alta Verapaz",16,"Cahabón",12,3074,207,24,0,8,2,0,5,26,0,0,0,58,4,0,0,7,0,0,0,134,2,0,136,0,136,--,207,71,134,136,136,Algún campo sin dato,1,6fc06cc96547d794bbdb48c5471f30e0f712e2c43562eb3a438ab5b671e7b0a2,27/06/2023 11:13:59,MOVIL
19946,"Alta Verapaz",16,"Cahabón",12,3074,207,11,2,21,1,0,7,36,2,1,0,39,1,2,0,6,0,0,0,129,8,1,138,0,138,--,204,66,129,138,138,Algún campo sin dato,1,0e5886c17dea8ed604526de006790b8319e6a9a774cb42fc6824764f85ec3a83,27/06/2023 15:54:08,MOVIL
19947,"Alta Verapaz",16,"Cahabón",12,3075,380,11,4,31,5,0,36,39,1,2,1,111,19,1,0,15,0,1,0,277,24,6,307,0,307,--,377,70,277,307,307,Algún campo sin dato,1,ca5761d24fa8bc2441d1935d6a48af5f4bdf2359d23efa76e2b2ba9812a32b9d,27/06/2023 10:44:25,MOVIL
19948,"Alta Verapaz",16,"Cahabón",12,3075,380,5,6,25,2,0,21,61,0,6,0,109,23,1,1,17,1,0,4,282,10,8,300,1,301,--,377,75,282,300,301,Algún campo sin dato,1,f9dc7e675c316b83b3c0268b22f75d0dfd876391bc0736c01ab44494dbd51f4b,26/06/2023 12:21:25,MOVIL
19949,"Alta Verapaz",16,"Cahabón",12,3075,380,8,3,34,11,0,29,42,0,0,0,106,20,3,1,15,0,0,2,274,8,12,294,0,294,--,380,86,274,294,294,Algún campo sin dato,1,2f096e21c6fa58d28537c0512127ee51a68cf0ed54b18a892fe8b4cd63808382,27/06/2023 11:10:13,MOVIL
19950,"Alta Verapaz",16,"Cahabón",12,3076,380,18,0,28,14,1,17,48,0,1,1,91,27,0,0,11,0,0,2,259,21,5,285,0,285,--,380,95,259,285,285,Algún campo sin dato,1,c36d2f8398562054feaf08fd307c8c4a0fc8a558ea8eb1264dbef9a2a74c8d23,26/06/2023 12:17:57,MOVIL
19951,"Alta Verapaz",16,"Cahabón",12,3077,380,10,5,24,7,3,10,58,0,2,2,102,40,0,0,3,0,2,4,272,1,5,278,16,294,--,380,86,272,278,294,Algún campo sin dato,1,7244039e45134971fa04728829bf09ccf012029fa58694910e53d93a0685ad51,28/06/2023 11:11:54,ESCANER
19952,"Alta Verapaz",16,"Cahabón",12,3077,380,8,0,41,12,0,28,31,0,2,0,76,25,0,2,17,0,0,1,243,15,9,267,0,267,--,380,113,243,267,267,Algún campo sin dato,1,919f6f0f41612423d83e07d1912c26f03affcac75d9c1f945e99a6ad5541886a,26/06/2023 18:23:57,MOVIL
19953,"Alta Verapaz",16,"Cahabón",12,3078,380,5,3,42,6,0,31,36,0,2,0,93,30,0,0,5,0,0,0,253,4,5,262,0,262,--,380,118,253,262,262,Algún campo sin dato,1,1c67781b7ef9d28e3dc3260f213c9f5838b62f436afab79269b8b5effdc35d19,27/06/2023 10:37:02,MOVIL
19954,"Alta Verapaz",16,"Cahabón",12,3078,288,8,2,30,8,0,14,30,0,0,0,43,13,0,1,22,0,0,0,171,2,3,176,0,176,--,288,112,171,176,176,Algún campo sin dato,1,6be510b0891f9c8290cef683b6b20f860dd905b7fb3cf73fe8952fbe07927884,26/06/2023 22:18:02,MOVIL
19955,"Alta Verapaz",16,"Cahabón",12,3078,287,10,4,23,4,0,11,41,0,0,0,82,9,0,0,8,0,0,1,193,1,7,201,0,201,--,284,83,193,201,201,Algún campo sin dato,1,a27d0c1beb3064a4a594b93ae91768f951e073d5dc0cfdfcc8752d21be0b0f0b,28/06/2023 08:25:13,ESCANER
19956,"Alta Verapaz",16,"Cahabón",12,3079,380,9,7,54,8,0,72,85,0,1,1,33,7,3,0,4,0,0,1,285,20,12,317,0,317,1,380,63,285,317,317,,1,8178385ab5f664e8b2db959b773ca7cbf1ab1dda067b69d459b98bf73b5a1040,26/06/2023 06:43:00,ESCANER
19957,"Alta Verapaz",16,"Cahabón",12,3079,380,9,3,59,1,1,75,71,1,0,0,56,7,3,0,8,0,1,0,295,12,12,319,0,319,--,377,58,295,319,319,Algún campo sin dato,1,142249dc6555f77c46c071cf2da64d6025d3fc755c38c238dcc2c755612f2693,26/06/2023 06:47:44,ESCANER
19958,"Alta Verapaz",16,"Cahabón",12,3080,380,4,1,62,1,1,87,62,0,0,2,43,11,3,0,9,0,4,1,291,11,9,311,0,311,--,377,66,291,311,311,Algún campo sin dato,1,712b0ec70673d5ea74e9361014b0f1ddbe9eb0b908c96fd5bda4bb6a0938ae70,26/06/2023 06:40:40,ESCANER
19959,"Alta Verapaz",16,"Cahabón",12,3081,380,3,3,72,5,2,71,63,1,0,0,39,2,1,0,13,0,1,0,276,6,8,290,0,290,--,380,90,276,290,290,Algún campo sin dato,1,79ee240da70d3ff58a31add0d52cd15db985fda83a628153009e9c696214ed8d,26/06/2023 06:48:21,ESCANER
19960,"Alta Verapaz",16,"Cahabón",12,3082,380,3,3,41,1,0,75,58,0,0,0,51,4,2,0,5,0,1,0,244,13,8,265,0,265,--,380,115,244,265,265,Algún campo sin dato,1,52f0a2bd52def354260453f7d45593f58fb4b29ee5c45be8f8d52e35c0a68953,28/06/2023 11:46:56,ESCANER
19961,"Alta Verapaz",16,"Cahabón",12,3083,380,3,3,52,1,0,94,43,0,0,0,29,2,2,0,4,0,1,0,234,3,4,241,0,241,--,380,139,234,241,241,Algún campo sin dato,1,68ff5d8b63257f2b1d106364dd570c1c75ddf552dd80f60b5a44f751c7fb8664,26/06/2023 00:19:58,ESCANER
19962,"Alta Verapaz",16,"Cahabón",12,3083,304,1,1,46,2,0,46,46,0,0,0,16,2,0,0,5,0,0,0,165,3,4,172,0,172,--,304,132,165,172,172,Algún campo sin dato,1,d6891ba262ec6561f1b8a8a55997ef658fe4fe321b0c633ba29a241328a4adea,26/06/2023 00:26:23,ESCANER
19963,"Alta Verapaz",16,"Cahabón",12,3084,304,5,3,32,3,0,38,49,0,0,0,31,1,4,0,3,0,1,0,170,2,3,175,0,175,--,304,129,170,175,175,Algún campo sin dato,1,1b679a1974f441cd1cc85a034409b8bc8bca665020fbdc82ad4194d613a36bb4,25/06/2023 23:55:03,ESCANER
19964,"Alta Verapaz",16,"Cahabón",12,3085,380,7,1,35,4,3,19,102,0,1,0,53,4,3,2,45,0,1,1,281,24,17,322,0,322,--,380,58,281,322,322,Algún campo sin dato,1,009822021ffac5be9601adaa07aed48ed43a3c6696627481b6cc2c5f06ed1bd5,26/06/2023 04:26:20,ESCANER
19965,"Alta Verapaz",16,"Cahabón",12,3085,380,8,3,31,3,1,21,77,0,2,0,71,17,6,2,36,1,0,1,280,25,13,318,0,318,--,380,62,280,318,318,Algún campo sin dato,1,66cc48c6039d1a0895c4cad081b32f816bcc71775929a54af70dd6cef7a3a013,26/06/2023 03:06:39,ESCANER
19966,"Alta Verapaz",16,"Cahabón",12,3085,380,3,7,43,4,1,12,77,0,0,0,50,3,3,6,57,1,1,1,269,20,8,297,0,297,--,380,83,269,297,297,Algún campo sin dato,1,ff00bcff885837a2afdbf5faff2549c4b2033b0823453f7455c7dc184cb8a5d1,26/06/2023 04:42:16,ESCANER
19967,"Alta Verapaz",16,"Cahabón",12,3085,380,9,1,27,3,2,19,80,0,1,0,58,1,10,6,51,0,0,1,269,20,8,297,0,297,--,377,80,269,297,297,Algún campo sin dato,1,bb5ad17b56052951b8895a2884c7f9a38eb3209645d97b8bcc855b0462882bb5,26/06/2023 02:22:58,ESCANER
19968,"Alta Verapaz",16,"Cahabón",12,3085,380,10,0,28,9,15,29,91,0,1,2,46,0,20,3,32,0,0,0,286,24,10,320,0,320,--,380,60,286,320,320,Algún campo sin dato,1,037a879f358ad4cbaf2e0b1df205098d99878b175615791a4b99250ad6b454f7,26/06/2023 02:02:36,ESCANER
19969,"Alta Verapaz",16,"Cahabón",12,3085,380,3,2,37,5,6,23,73,0,1,1,40,4,8,3,49,0,0,2,257,25,8,290,0,290,--,380,90,257,290,290,Algún campo sin dato,1,c789d297b590743e1b7e7b6e20c39ab137f097eaf119ddecbfe4f968804b5302,26/06/2023 08:59:54,ESCANER
19970,"Alta Verapaz",16,"Cahabón",12,3085,380,8,1,36,5,1,24,60,0,0,0,39,5,4,6,26,0,0,0,215,9,1,225,0,225,--,380,155,215,225,225,Algún campo sin dato,1,1f9814c17077653611c918f233b9aebe7342b1c62364dae6ed3e5fe44c6c1050,26/06/2023 07:42:25,ESCANER
19971,"Alta Verapaz",16,"Cahabón",12,3086,380,3,0,25,3,3,20,74,0,0,0,49,5,5,1,28,0,0,0,216,6,0,222,0,222,--,380,158,216,222,222,Algún campo sin dato,1,4fca12f4919395abfe70ea14ca0853126c3f0585d8da407471f3f49d11dc1092,26/06/2023 04:36:27,ESCANER
19972,"Alta Verapaz",16,"Cahabón",12,3087,380,3,2,29,1,3,16,73,0,0,0,23,1,7,3,53,0,0,0,214,4,3,221,0,221,--,380,159,214,221,221,Algún campo sin dato,1,25c47d2da3f51fc2a5b6f5fd48221162feed22883060a492a6ca4bbe81eb4a7c,26/06/2023 02:38:07,ESCANER
19973,"Alta Verapaz",16,"Cahabón",12,3087,204,1,0,20,2,1,8,28,0,0,0,22,1,5,0,31,0,0,0,119,7,3,129,0,129,--,204,75,119,129,129,Algún campo sin dato,1,cb8320260462afbf0edbbab3df0f8a47d36b1028d31cfba4a3cab46882b60d3a,26/06/2023 02:03:26,ESCANER
19974,"Alta Verapaz",16,"Cahabón",12,3088,204,6,0,18,2,1,9,43,0,0,0,28,3,2,1,12,0,0,0,125,4,2,131,0,131,--,204,73,125,131,131,Algún campo sin dato,1,3393bda48406b4a1ffd1749406e0faf94ee8bf62de5f88a320c229c782aebcb5,26/06/2023 02:01:56,ESCANER
19975,"Alta Verapaz",16,"Cahabón",12,3089,380,21,2,24,4,1,14,55,0,0,0,98,8,3,0,31,0,0,3,264,24,7,295,0,295,--,380,85,264,295,295,Algún campo sin dato,1,77104b026d62d04e35a3ff72b1cd20e42ca6b093fb74fb8e12ce96b6138c17b1,27/06/2023 15:35:08,MOVIL
19976,"Alta Verapaz",16,"Cahabón",12,3089,380,14,0,32,2,1,18,55,0,1,0,75,7,3,1,49,0,0,0,258,16,10,284,0,284,--,--,96,258,284,284,Algún campo sin dato,1,8d1af56400b75c25404e1aa93842e3971273e65c33628c202c28758201600801,27/06/2023 15:51:48,MOVIL
19977,"Alta Verapaz",16,"Cahabón",12,3090,380,9,0,26,6,0,20,52,0,5,0,42,2,4,0,58,1,0,1,226,22,14,262,0,262,--,380,118,226,262,262,Algún campo sin dato,1,cbcd45c25c171a84f2bc885a4eac182a99e7c16a5ac036960206a74aa9b061bf,27/06/2023 15:59:10,MOVIL
19978,"Alta Verapaz",16,"Cahabón",12,3090,380,14,0,15,1,0,25,47,0,1,0,57,8,2,0,53,0,0,0,223,10,5,238,0,238,--,380,139,223,238,238,Algún campo sin dato,1,d50f380ca9de33084053911ef9840f421a04931d41bd8e98df334dc450859f78,27/06/2023 16:05:30,MOVIL
19979,"Alta Verapaz",16,"Cahabón",12,3091,235,6,0,20,0,0,7,40,0,1,1,29,7,3,0,22,0,0,0,136,2,0,138,0,138,--,235,97,136,138,138,Algún campo sin dato,1,2be82530ed679e44038da53f00a39260c2ebcf67d9644cbe152ecfc564751da9,26/06/2023 18:29:25,MOVIL
19980,"Alta Verapaz",16,"Cahabón",12,3091,234,13,0,18,2,0,6,30,0,1,0,40,5,1,0,20,0,0,0,136,2,5,143,0,143,--,234,91,136,143,143,Algún campo sin dato,1,4500e92e995dabecf17ee186a234c51267bcede4a06dfa4b8b6756987eef4300,26/06/2023 18:36:51,MOVIL
19981,"Alta Verapaz",16,"Cahabón",12,3092,315,1,4,10,2,0,1,5,0,0,0,5,0,1,0,3,0,0,0,32,0,1,33,0,33,--,315,282,32,33,33,Algún campo sin dato,1,a55ba2254d5629338d01518da7971f7241646bc6bcbbff53f58a4674f931ed0b,25/06/2023 21:30:16,ESCANER
