TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
113,112,99.1150,112,99.1150,0,41406,28682,69.2701

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,FCN-NACION,AZUL,PHG,CABAL,MLP,VIVA,VAMOS,ELEFANTE,U R N G - MAIZ,TODOS,UNE,SEMILLA,PPN,VOS,VALOR,CREO,P A N,BIEN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
19901,"Alta Verapaz",16,"Cahabón",12,3060,400,3,3,90,16,0,11,121,0,0,0,44,1,3,2,25,0,0,4,323,8,5,336,0,336,--,--,--,323,336,336,Algún campo sin dato,1,510922de152a3d8d11d381d7d689e4f267954a78f57c9dabc57547c63506b35b,26/06/2023 04:32:57,ESCANER
19902,"Alta Verapaz",16,"Cahabón",12,3061,400,4,3,82,19,0,16,65,0,0,0,45,2,3,0,39,0,0,0,278,8,2,288,0,288,--,400,112,278,288,288,Algún campo sin dato,1,824a4b2e5f9134f75a4ca102ca644ed611f66323108baf3d914e76d5d7b309e8,26/06/2023 02:08:52,ESCANER
19903,"Alta Verapaz",16,"Cahabón",12,3061,400,3,7,61,19,0,9,60,0,0,0,45,1,1,0,31,0,0,0,237,12,4,253,0,253,--,400,147,237,253,253,Algún campo sin dato,1,736447b2466b9da632be3322ebe66d96447a79c6d569afd0b99153ff53824c5c,26/06/2023 02:16:27,ESCANER
19904,"Alta Verapaz",16,"Cahabón",12,3061,400,6,3,71,18,0,16,61,0,0,1,46,2,3,0,38,0,0,2,267,7,10,284,0,284,--,400,116,267,284,284,Algún campo sin dato,1,db88f839e913ef39f5f06614f84f208e50e2d70db731b68836cf145d12885e76,26/06/2023 02:06:50,ESCANER
19905,"Alta Verapaz",16,"Cahabón",12,3062,400,10,4,84,21,0,15,57,0,0,1,35,1,3,0,25,0,0,2,258,1,2,261,0,261,--,400,139,258,261,261,Algún campo sin dato,1,fbb58c6328ed7b173cbe8300230b39fb6be516c6c7c72950fdadc1fbb8d04f86,26/06/2023 00:53:04,ESCANER
19906,"Alta Verapaz",16,"Cahabón",12,3062,400,5,7,86,22,0,15,51,0,0,1,25,0,2,0,29,0,0,0,243,3,6,252,0,252,--,400,148,243,252,252,Algún campo sin dato,1,758a926899cf07377911c56fd1f271c56531c1ea7a7bcf5220a6242c7093a9df,26/06/2023 01:05:57,ESCANER
19907,"Alta Verapaz",16,"Cahabón",12,3062,400,3,0,78,22,1,9,57,0,0,0,48,0,3,0,23,0,0,0,244,6,4,254,1,255,--,400,145,244,254,255,Algún campo sin dato,1,3c689f6314b754bf8c6757e6b04750c1c3fe43ad6b1a3d143748e758014daa17,26/06/2023 02:51:38,ESCANER
19908,"Alta Verapaz",16,"Cahabón",12,3062,268,3,1,61,22,0,8,35,0,0,1,23,1,0,0,18,0,0,0,173,2,7,182,0,182,--,268,86,173,182,182,Algún campo sin dato,1,bfe46b2374820a48d17147d08ca95bd23ad475b3b92f442a79d89f5c632d5ea5,26/06/2023 00:40:17,ESCANER
19909,"Alta Verapaz",16,"Cahabón",12,3062,267,2,3,40,6,0,9,33,0,0,0,36,0,3,0,16,0,0,1,149,2,4,155,0,155,--,267,112,149,155,155,Algún campo sin dato,1,188a79be20dfd5fc158f766786cca680be0e76ceba07c4ae1d77adfecce158b8,26/06/2023 00:48:06,ESCANER
19910,"Alta Verapaz",16,"Cahabón",12,3063,380,27,25,39,5,2,13,84,0,0,0,42,6,1,4,10,0,0,0,258,17,14,289,0,289,--,380,91,258,289,289,Algún campo sin dato,1,26745af90c49a1c2c79ff8943e3f301b490645b00fde474181cf9965657a0ecb,26/06/2023 11:59:57,MOVIL
