TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
55,55,100.0000,55,100.0000,0,21354,15123,70.8204

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,MLP,VALOR,UNE,VAMOS,PPN,CABAL,VIVA,CAMBIO,TODOS,VOS,PHG,CREO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
19070,"Alta Verapaz",16,"Tactic",4,2923,400,1,27,25,71,133,5,2,8,1,3,0,3,279,14,1,294,0,294,--,407,113,279,294,294,Algún campo sin dato,1,6b0ec3426156756157bca4bebbac7c056d3139a1bed1c522fa8023404a265178,26/06/2023 02:29:05,ESCANER
19071,"Alta Verapaz",16,"Tactic",4,2924,400,1,35,25,79,83,3,8,11,1,3,0,5,245,14,11,270,0,270,--,405,135,254,279,279,Sumas Asentadas sin cuadrar,1,c78967f57f58f1ec17d0f4b5d6e3975e1e35d3d2bb30dc1d4976160a5648e60e,26/06/2023 02:17:31,ESCANER
19072,"Alta Verapaz",16,"Tactic",4,2924,400,2,19,22,78,101,3,2,13,2,4,1,5,252,9,0,261,4,265,--,407,142,252,261,265,Algún campo sin dato,1,75c1db9f8b2d333a7522bd2ef9e869351f165cf9674824f21fc9aabd88dcbaa7,26/06/2023 02:23:12,ESCANER
19073,"Alta Verapaz",16,"Tactic",4,2924,400,3,19,28,63,110,4,4,10,2,5,2,2,253,10,2,264,1,265,--,407,142,252,264,265,Sumas Asentadas sin cuadrar,1,4c4b78bfc60e40e141975b20dab52780f1aff58799b9072747661e07b33450f8,26/06/2023 01:26:02,ESCANER
19074,"Alta Verapaz",16,"Tactic",4,2924,400,5,29,39,63,75,1,5,11,1,3,2,0,234,14,0,248,0,248,--,407,159,234,248,248,Algún campo sin dato,1,a7ac395b35d954959e0f098f6ba5970d994ece46921bec4b471b8686da59e1e8,26/06/2023 01:32:10,ESCANER
19075,"Alta Verapaz",16,"Tactic",4,2924,400,5,18,19,63,100,1,2,12,3,3,2,0,228,4,0,232,0,232,--,400,168,228,232,232,Algún campo sin dato,1,2a8f4326a18cf2cfb046fb733721898731b07161c75173865ae6cdf94fc1da1a,26/06/2023 01:09:55,ESCANER
19076,"Alta Verapaz",16,"Tactic",4,2924,400,0,26,26,64,105,5,0,6,1,5,1,1,240,5,0,245,0,245,--,404,159,240,245,245,Algún campo sin dato,1,f13e434ed5029e98affe500fdfc59a1813f0296bba12d1286385dfe1cbf562fb,26/06/2023 01:56:21,ESCANER
19077,"Alta Verapaz",16,"Tactic",4,2925,400,2,53,17,53,95,0,3,12,2,2,3,0,242,5,0,247,0,247,1,400,152,242,247,247,,1,db993a002357def2bf021ed698ff63936eb952496b3d9efff1fa9de96255bc6b,26/06/2023 01:27:41,ESCANER
19078,"Alta Verapaz",16,"Tactic",4,2925,400,1,37,31,69,93,4,1,14,3,5,0,1,259,3,1,263,0,263,--,408,145,259,263,263,Algún campo sin dato,1,61b16cd6881492baa6bd35ae968bb86833dfa0de6b289d153a7aae4341901c52,28/06/2023 10:20:10,ESCANER
19079,"Alta Verapaz",16,"Tactic",4,2925,400,5,49,20,75,102,0,1,12,1,4,0,0,269,6,1,276,0,276,--,400,124,269,276,276,Algún campo sin dato,1,5eaf23e5d5170063577bf0c0af68cda7a8456111dd381eb46f09040a96068111,26/06/2023 01:01:25,ESCANER
