TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
48,48,100.0000,48,100.0000,0,18126,10667,58.8491

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,FCN-NACION,PPN,TODOS,UNE,AZUL,VAMOS,VICTORIA,ELEFANTE,WINAQ,CABAL,VALOR,VIVA,P A N,CREO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20307,"Alta Verapaz",16,"Raxruhá",17,3158,400,0,9,5,71,39,36,41,0,10,2,5,1,3,1,223,14,2,239,0,239,--,397,155,223,239,239,Algún campo sin dato,1,c2a148a8d14c94ab72576443388fa98307b76cd855a446735e388f1e3efc6c1d,26/06/2023 03:03:02,ESCANER
20308,"Alta Verapaz",16,"Raxruhá",17,3158,400,1,19,1,64,57,40,44,0,9,0,2,0,3,0,240,20,8,268,0,268,--,400,132,240,268,268,Algún campo sin dato,1,bacdffd89d2be8db915a02a7ea6ec89a91677ec18861c6b0fd0ad314826e3d4b,26/06/2023 01:16:28,ESCANER
20309,"Alta Verapaz",16,"Raxruhá",17,3158,400,1,19,5,58,39,38,51,0,7,2,3,0,0,0,223,35,7,265,--,265,--,397,131,223,265,265,Algún campo sin dato,1,31f1a2df6d5e989d2065911fe352e48e4a56083af7eaecb04034974fad129542,26/06/2023 03:22:14,ESCANER
20310,"Alta Verapaz",16,"Raxruhá",17,3159,400,0,0,1,63,34,26,59,1,11,1,6,2,2,1,219,28,10,257,0,257,1,400,143,207,245,245,Sumas Asentadas sin cuadrar,1,7723834ae13e1e91c567c987da9b511172e584b96fd0cecee5f44c45c8cba950,26/06/2023 01:49:46,ESCANER
20311,"Alta Verapaz",16,"Raxruhá",17,3159,400,0,10,3,55,37,28,53,2,11,2,1,0,0,0,202,8,3,213,0,213,--,400,187,202,213,213,Algún campo sin dato,1,d4f9831db82b7b5ff70ceb102ec60cff093b78830ca6dca6826703a7048174f8,26/06/2023 04:41:16,ESCANER
20312,"Alta Verapaz",16,"Raxruhá",17,3159,390,0,7,0,57,48,47,56,0,5,1,0,0,1,0,222,1,1,224,0,224,--,390,166,222,224,224,Algún campo sin dato,1,6986237aacb5f0891580b3c82e1510009703f48b3862aee4f6d3b2e1edd94a7c,26/06/2023 02:53:39,ESCANER
20313,"Alta Verapaz",16,"Raxruhá",17,3159,389,0,9,2,41,61,38,47,2,7,1,2,1,0,0,211,9,1,221,0,0,--,389,168,211,221,221,Algún campo sin dato,1,daa05864bc81dbd5f4aa5ddf5dffeb70830d1082c43faa3da612a954bc47bc2b,26/06/2023 03:27:01,ESCANER
20314,"Alta Verapaz",16,"Raxruhá",17,3160,380,9,9,3,59,26,16,76,0,4,1,2,0,1,1,207,16,6,229,5,234,--,380,143,207,229,234,Algún campo sin dato,1,f89a184636c9a4aa1dc3a4928eb9821c1ccd92b2b96cf6a2dd24b9e77c4a8725,26/06/2023 02:33:44,ESCANER
20315,"Alta Verapaz",16,"Raxruhá",17,3160,380,19,8,4,40,30,12,95,1,3,1,7,0,2,0,222,2,3,227,25,252,--,380,128,222,227,252,Algún campo sin dato,1,903f4e4c053e785f341e74bb5ce8fd31cbc99ef846509e65b72d1468f16aad46,26/06/2023 01:41:24,ESCANER
20316,"Alta Verapaz",16,"Raxruhá",17,3160,380,8,11,4,28,27,6,94,0,0,1,4,1,0,0,184,15,0,199,0,199,--,376,177,184,199,199,Algún campo sin dato,1,389dc42f7543a16d6542338b4f65d25895562c93eb14769888632e0117d645ca,26/06/2023 02:08:31,ESCANER
20317,"Alta Verapaz",16,"Raxruhá",17,3160,380,7,14,2,47,20,18,75,1,3,1,2,2,1,0,193,12,4,209,0,209,--,380,171,193,209,209,Algún campo sin dato,1,a9ac486ce52fdc830abeaa8db5ca7c75ac03102a85c8dc24ff4633d1df742d6a,26/06/2023 01:09:07,ESCANER
20318,"Alta Verapaz",16,"Raxruhá",17,3161,380,15,18,1,39,21,10,74,0,1,1,2,0,0,0,182,32,3,217,0,217,--,380,163,182,217,217,Algún campo sin dato,1,a786cd04805e3dda2465e1d85c5f2640c70bd2eb866fe8af86e09b809c26afba,25/06/2023 22:19:03,ESCANER
