TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
117,117,100.0000,116,99.1452,1,43667,31646,72.4712

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VIVA,MLP,VALOR,UNE,CABAL,PODEMOS,WINAQ,UR,VAMOS,P A N,VOS,PHG,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20042,"Alta Verapaz",16,"Chisec",13,3105,380,38,9,26,31,2,89,1,0,2,2,0,0,200,36,2,238,0,238,--,380,142,200,238,238,Algún campo sin dato,1,3297b8aaebce4aebc0c5bfbf958fcc9486e50c0448c476995bb4877b58f35bc7,26/06/2023 00:47:09,ESCANER
20043,"Alta Verapaz",16,"Chisec",13,3105,380,42,12,28,28,1,79,3,1,10,5,1,0,210,26,17,253,0,253,--,383,130,210,253,253,Algún campo sin dato,1,2af52ffbb784f8d96680f73d9f3abd7e155dfc92cf0580b0d55ab8fd9c5e5c76,25/06/2023 23:56:14,ESCANER
20044,"Alta Verapaz",16,"Chisec",13,3105,380,42,5,26,28,0,75,1,0,12,10,1,0,200,28,7,235,0,235,--,376,141,200,235,235,Algún campo sin dato,1,c1d5106f232cf8ed14d4f42c08316c7133545285f085337ae2e7f3d47c15b846,25/06/2023 22:48:20,ESCANER
20045,"Alta Verapaz",16,"Chisec",13,3106,380,35,6,29,19,1,105,6,0,7,1,0,0,209,15,5,229,0,229,0,380,151,209,229,229,,1,fd17f70bb2b230f112439f5e6fa305b6d4358fa1784336e4cee53dc842caf133,26/06/2023 01:34:59,ESCANER
20046,"Alta Verapaz",16,"Chisec",13,3106,380,25,8,20,29,1,104,6,2,4,3,0,0,202,25,5,232,0,232,--,380,148,202,232,232,Algún campo sin dato,1,be69aa3e64b40fca5a91e25ea338ec3ca6d80a50832baab959c5f9350fa1f86a,25/06/2023 21:48:59,ESCANER
20047,"Alta Verapaz",16,"Chisec",13,3106,380,36,5,23,17,0,94,3,1,6,3,0,1,189,16,4,209,0,209,0,380,171,189,209,209,,1,2209b7123502c26f47f96a82a32f0b9717de04b4b2436e38e0bdedd8524c67f0,26/06/2023 00:30:55,ESCANER
20048,"Alta Verapaz",16,"Chisec",13,3106,380,34,6,25,28,2,72,3,0,9,0,0,0,179,29,3,211,0,211,0,381,170,179,211,211,,1,120f118c3b859a4c3be56d7ad7fd265f58a27fa1b1e168ab1394d07d7c654771,25/06/2023 23:11:35,ESCANER
20049,"Alta Verapaz",16,"Chisec",13,3106,380,32,4,24,36,0,76,1,0,8,6,0,0,187,2,6,195,10,205,0,380,175,187,195,205,,1,d70a7e1520640da4f8cde9e43d460bc041f0884c50d8f35e188dc6cb47a27e9c,25/06/2023 23:26:26,ESCANER
20050,"Alta Verapaz",16,"Chisec",13,3106,380,39,0,28,44,0,114,1,0,9,4,0,0,239,13,1,253,1,254,0,380,126,239,253,254,,1,da4e9eb294a379c539faa98289b746a1aabc1d8222a640a0ecd7cfd91d347786,25/06/2023 22:04:09,ESCANER
20051,"Alta Verapaz",16,"Chisec",13,3107,320,32,7,10,23,0,92,2,0,13,2,0,0,181,8,1,190,0,190,--,317,127,181,190,190,Algún campo sin dato,1,c1d5209cce7ca9a6329d0d6d52f0cc8d1f1346c2554c3d01dbf2d43c6ab1cabc,26/06/2023 00:36:01,ESCANER
20052,"Alta Verapaz",16,"Chisec",13,3107,320,19,3,21,15,0,91,0,0,3,2,0,0,154,11,2,167,0,167,--,320,153,154,167,167,Algún campo sin dato,1,8b9bf16107f70464894611d91f46032e6b31b46ae907f0627de2457500fbf2ac,25/06/2023 22:59:05,ESCANER
20053,"Alta Verapaz",16,"Chisec",13,3108,380,76,3,33,22,0,84,0,0,4,8,2,0,232,11,8,251,24,275,0,381,106,232,251,275,,1,df9f6c4173cb8e8bb3812e70b00d2cb407045168cce9a365845562e549d84adb,26/06/2023 04:23:47,ESCANER
20054,"Alta Verapaz",16,"Chisec",13,3108,380,81,2,47,15,0,70,2,0,1,7,0,1,269,36,7,269,0,269,--,380,111,226,269,269,Sumas Asentadas sin cuadrar,1,e8b8fa5b68e05d3d959edc111466ce3487013e20101575e8c69b79b3b483e90d,26/06/2023 00:25:34,ESCANER
20055,"Alta Verapaz",16,"Chisec",13,3108,380,73,5,30,13,1,97,0,1,4,9,1,0,234,29,4,267,0,267,--,380,115,234,267,267,Algún campo sin dato,1,507cf1f80f41a05955bd83eb9a19aa4e2c31f8a877def567e2599509f9e2326a,26/06/2023 03:50:41,ESCANER
20056,"Alta Verapaz",16,"Chisec",13,3108,380,69,0,41,11,1,107,2,0,1,6,1,0,239,7,8,254,18,272,--,380,108,239,254,272,Algún campo sin dato,1,81a3729668b549856133fa885545f60a6392793a3a6adf38b21b116e6b8be694,26/06/2023 01:53:22,ESCANER
20057,"Alta Verapaz",16,"Chisec",13,3108,380,73,3,47,15,0,77,1,0,3,0,1,0,220,19,3,242,1,243,--,380,137,220,242,243,Algún campo sin dato,1,56d53d54e61ecb67e07eeb1ed942b884c96e1026c47c71252ac984e92a0608e8,26/06/2023 00:54:12,ESCANER
20058,"Alta Verapaz",16,"Chisec",13,3108,380,74,3,46,14,0,89,0,0,5,10,0,0,241,35,5,281,0,--,--,381,97,241,281,281,Algún campo sin dato,1,3a7553da3250df68ddd377f756e7426d946298732af86bec6e297762366cffae,26/06/2023 00:02:29,ESCANER
20059,"Alta Verapaz",16,"Chisec",13,3108,380,78,2,41,17,0,80,1,0,7,6,0,0,233,21,10,265,1,265,--,380,115,232,263,264,Sumas Asentadas sin cuadrar,1,172ade12d6c66332a9cd1c06099b71356ff15a31adf2d8e8a1bb3790c0b76b24,26/06/2023 03:41:13,ESCANER
20060,"Alta Verapaz",16,"Chisec",13,3108,380,61,2,32,17,0,77,1,0,3,5,0,0,198,26,4,228,0,228,--,376,148,198,228,228,Algún campo sin dato,1,78e73e83e51b555f8fc78adc29da094debe8cece145e955d094f1b55da08d4e7,26/06/2023 00:33:15,ESCANER
20061,"Alta Verapaz",16,"Chisec",13,3109,380,83,2,37,9,1,100,0,0,3,5,0,0,240,13,4,380,0,380,--,380,123,240,257,257,Sumas Asentadas sin cuadrar,1,0100b132755c30fee58faabc22ccaf49dcf38fe166bcd26b818a3e0b10f12174,26/06/2023 01:34:31,ESCANER
20062,"Alta Verapaz",16,"Chisec",13,3109,380,78,0,58,8,0,108,0,0,0,0,0,0,252,15,0,267,0,267,--,378,111,252,267,267,Algún campo sin dato,1,550af49db3fffdb8428f17bb440a7b0912b57afb0ae2a7cfb673696eac27c6ca,25/06/2023 23:57:44,ESCANER
20063,"Alta Verapaz",16,"Chisec",13,3109,215,41,5,41,5,0,47,0,0,1,4,0,0,144,8,1,153,0,153,0,215,62,144,153,153,,1,23805d45ca9dd06d97e28c982f8a7d5ffe224bbdbfd2499a7d5f4af89cf464fe,25/06/2023 23:37:48,ESCANER
20064,"Alta Verapaz",16,"Chisec",13,3109,215,39,1,19,6,--,50,--,--,1,3,1,--,120,7,--,127,1,128,--,212,84,120,127,128,Algún campo sin dato,1,6326ecc46a7b8ac96711e674c9b8ad4da55ef35dda8a3053b020cf1a6c4e7bca,25/06/2023 23:19:19,ESCANER
20065,"Alta Verapaz",16,"Chisec",13,3110,380,87,1,73,21,0,64,1,0,11,15,2,0,275,26,14,315,0,315,--,380,65,275,315,315,Algún campo sin dato,1,aab8d32fb7aad56fffe19ebd426e04f00528bedeaa3e0add6daf78463280725c,26/06/2023 04:38:51,ESCANER
20066,"Alta Verapaz",16,"Chisec",13,3111,380,72,3,64,36,0,81,3,0,1,4,0,0,264,2,2,268,31,299,--,378,79,264,268,299,Algún campo sin dato,1,7cfe78f0ca5b1664832314261676bbb42d6d539f7a5e82c09d2c42e46a67db69,26/06/2023 05:54:21,ESCANER
20067,"Alta Verapaz",16,"Chisec",13,3111,380,73,0,58,20,0,90,2,0,2,8,1,0,254,24,6,284,0,284,--,380,96,254,284,284,Algún campo sin dato,1,132b4102ff0728696a0998bb1a6cbe3d1b1f9d05d5fd117b2d14393aec0f1f84,26/06/2023 04:53:38,ESCANER
20068,"Alta Verapaz",16,"Chisec",13,3111,380,47,1,57,31,0,76,0,1,4,8,0,0,225,38,4,268,0,268,1,380,112,225,267,267,Sumas Asentadas sin cuadrar,1,643d5d3baa681c5bc720fa4eedcbc9dbfa4d9c4e261b858eeb30bc9c25be671e,26/06/2023 05:02:21,ESCANER
20069,"Alta Verapaz",16,"Chisec",13,3111,380,64,0,69,35,1,87,0,1,4,4,0,0,265,28,2,295,0,295,0,380,85,265,295,295,,1,0c78488b828b188bc75a2395c5d11ed61c91b0e47c91142fc29449401874d99f,26/06/2023 04:50:05,ESCANER
20070,"Alta Verapaz",16,"Chisec",13,3111,380,76,0,46,32,0,97,0,0,2,8,0,0,261,23,2,286,1,287,--,382,92,261,286,287,Algún campo sin dato,1,8b9f2df8be7d78327150fa5e43b3755acee346c7bded045f229090ad495a0847,26/06/2023 05:54:59,ESCANER
20071,"Alta Verapaz",16,"Chisec",13,3111,380,77,0,58,33,2,65,0,0,3,7,0,0,245,30,9,284,0,284,--,380,96,245,284,284,Algún campo sin dato,1,3d7a686cd8215a8ca06335b119cf554aa5b553d2955902a01d3c49dfc7c732c4,26/06/2023 04:57:31,ESCANER
20072,"Alta Verapaz",16,"Chisec",13,3112,380,70,0,60,23,0,77,0,1,2,7,0,0,240,18,5,263,0,263,--,377,114,240,263,263,Algún campo sin dato,1,e92739628d3cebe11d553124a02c2ca1a384612b2cd43499e2ba34830e615ba0,26/06/2023 04:43:37,ESCANER
20073,"Alta Verapaz",16,"Chisec",13,3112,379,79,0,49,18,0,91,0,0,3,4,0,0,244,0,3,247,7,254,--,379,125,244,247,254,Algún campo sin dato,1,1464f9cd13bb107342f9e003d8c276435617e63efa7e83167304a99f576934d5,26/06/2023 04:33:42,ESCANER
20074,"Alta Verapaz",16,"Chisec",13,3112,379,90,0,51,26,0,74,1,0,2,7,0,0,251,11,2,264,0,264,0,376,112,251,264,264,,1,b0e81f7f155de5728f87bf546130eeabf399d9d805d93e9b082c6fb36f5660ae,26/06/2023 04:32:10,ESCANER
20075,"Alta Verapaz",16,"Chisec",13,3113,380,50,1,26,54,1,93,3,1,14,6,1,0,250,33,4,287,0,287,--,381,94,250,287,287,Algún campo sin dato,1,67588418bab56825b469d7db3a299a1058ef939731ff22038ee6672d236530d0,26/06/2023 00:51:47,ESCANER
20076,"Alta Verapaz",16,"Chisec",13,3113,380,53,2,38,42,1,84,0,0,8,8,0,0,236,27,4,267,0,267,--,380,113,236,267,267,Algún campo sin dato,1,1ef1fd59e991c905e71f7762e8a24469110067484c9d495ab08a05f588a1da52,26/06/2023 00:39:44,ESCANER
20077,"Alta Verapaz",16,"Chisec",13,3113,380,37,3,35,64,0,80,0,0,10,11,0,1,241,17,1,259,0,259,--,380,121,241,259,259,Algún campo sin dato,1,4e5923d61b08e9c4cbd7b48212635309044185dc39bab7a037006d82b985756b,26/06/2023 01:28:45,ESCANER
20078,"Alta Verapaz",16,"Chisec",13,3114,380,48,0,22,55,0,70,1,0,11,8,0,0,215,25,6,246,0,246,--,377,131,215,246,246,Algún campo sin dato,1,c50bf59d28f5db1a6a909083958bb2414d158742584c85a496c4892b0710da0a,25/06/2023 23:16:44,ESCANER
20079,"Alta Verapaz",16,"Chisec",13,3114,343,46,1,27,32,0,96,0,0,2,10,0,0,214,8,3,225,0,225,--,340,115,214,225,225,Algún campo sin dato,1,32186f0264da686cb2649e7794e0994b213140e7ebd0b96efedf63b1f9a41b57,25/06/2023 23:43:31,ESCANER
20080,"Alta Verapaz",16,"Chisec",13,3114,342,29,1,31,73,1,77,0,0,5,7,0,0,224,11,4,239,0,239,--,340,101,224,239,239,Algún campo sin dato,1,9a0b5983fa562febe851a87a807ab022c1c06e49f953eee84bc4d4d1454053c4,25/06/2023 23:58:02,ESCANER
20081,"Alta Verapaz",16,"Chisec",13,3115,380,122,1,104,6,0,78,0,0,21,4,0,0,336,14,4,354,0,354,--,380,26,336,354,354,Algún campo sin dato,1,ae1ef3e234db1dd9de178e5aa300bf24816cba5be23c2a4c8a844b53bd38b3b6,26/06/2023 00:48:50,ESCANER
20082,"Alta Verapaz",16,"Chisec",13,3115,380,112,1,101,1,1,85,1,0,18,5,0,0,325,19,5,349,0,349,1,380,30,325,349,349,,1,3519fb443fe3f24b47b936fd48e70f5edd65ded0c72281a6b7c756b21382a4ed,26/06/2023 00:17:27,ESCANER
20083,"Alta Verapaz",16,"Chisec",13,3115,380,99,0,109,5,0,94,0,0,21,8,0,0,336,18,1,355,0,355,2,380,25,336,355,355,,1,ea96955546dfe497efb0270f125c5448f0135d582d1d08ca10dced0144cb8431,26/06/2023 00:13:04,ESCANER
20084,"Alta Verapaz",16,"Chisec",13,3115,380,135,0,112,4,1,67,2,1,13,3,0,0,338,9,5,352,0,352,--,380,28,338,352,352,Algún campo sin dato,1,d742cf13c44c477e6186a899deafcca54b099d93b743276e03d6e260ef7cfea1,25/06/2023 22:58:47,ESCANER
20085,"Alta Verapaz",16,"Chisec",13,3116,380,87,2,86,1,0,105,2,0,19,7,1,0,310,26,3,339,0,339,--,380,41,310,339,339,Algún campo sin dato,1,31aec046d984597810b1c845f7cab51926be020b202638fc1db75d4324824320,26/06/2023 00:44:21,ESCANER
20086,"Alta Verapaz",16,"Chisec",13,3116,380,86,0,104,2,0,82,0,0,7,5,0,0,299,7,6,299,0,299,--,380,81,286,299,299,Sumas Asentadas sin cuadrar,1,cb783c9107783ec31baa2464d20d2b228631a7d7e40752fdd20b024b67493f17,26/06/2023 00:32:23,ESCANER
20087,"Alta Verapaz",16,"Chisec",13,3116,380,139,0,92,1,0,55,0,0,12,3,0,0,302,1,3,306,0,306,0,381,75,302,306,306,,1,9570b4a0043741cd05a5933633fdc366b1a841f8318de582359eaf00e29b6f18,25/06/2023 23:51:26,ESCANER
20088,"Alta Verapaz",16,"Chisec",13,3116,261,49,0,75,1,0,72,0,0,6,2,0,0,205,0,1,206,0,206,--,258,52,205,206,206,Algún campo sin dato,1,170f86e6dc0678aa38d336af5ce076a16cfb708afcf01a143cdce94b308920e0,25/06/2023 22:40:30,ESCANER
20089,"Alta Verapaz",16,"Chisec",13,3116,260,75,0,67,2,0,49,0,0,5,1,0,0,199,3,3,205,0,205,--,257,52,199,205,205,Algún campo sin dato,1,22d3d616cf7db57057d1c6374ca67a0d0dfc85738388a76d6042bd82077f4f97,25/06/2023 22:49:45,ESCANER
20090,"Alta Verapaz",16,"Chisec",13,3117,380,127,0,103,7,0,70,1,0,7,10,0,0,325,12,6,343,0,343,--,380,37,325,343,343,Algún campo sin dato,1,5a04ec220981e3ff2f041b8ac7e8c0bfdcd72236f9cafb31086049d46d676d05,26/06/2023 00:34:20,ESCANER
20091,"Alta Verapaz",16,"Chisec",13,3117,380,97,0,113,3,0,68,3,0,17,0,1,0,302,8,3,313,1,314,--,380,66,302,313,314,Algún campo sin dato,1,fbb17400334678c687dd94047f5124bb0b717404be1ec76633069ea22ee1d550,26/06/2023 02:00:58,ESCANER
20092,"Alta Verapaz",16,"Chisec",13,3117,380,114,0,80,8,0,75,3,0,12,3,0,0,295,5,9,309,0,309,--,380,71,295,309,309,Algún campo sin dato,1,4bde38e9f0428c6e1e3615fe5a4befa93a14009c26b9c9225c644ca5de605b64,26/06/2023 00:21:53,ESCANER
20093,"Alta Verapaz",16,"Chisec",13,3117,380,97,0,81,9,0,81,1,0,3,4,0,0,276,5,7,288,0,288,--,380,92,276,288,288,Algún campo sin dato,1,e0e40e5cd9f1421869400216dded5af2270c1edc78928981d737610a28e6ffc7,26/06/2023 02:14:05,ESCANER
20094,"Alta Verapaz",16,"Chisec",13,3117,380,123,0,77,3,0,75,2,0,9,9,0,0,298,10,7,315,0,315,--,380,65,298,315,315,Algún campo sin dato,1,b90fd72974b10b91ed3f877d25ddf0a93477741f0d5aba98d7247e8b10ea7f92,26/06/2023 04:21:11,ESCANER
20095,"Alta Verapaz",16,"Chisec",13,3118,380,104,0,75,2,0,76,1,0,11,10,0,0,279,0,10,289,12,301,--,380,79,279,289,301,Algún campo sin dato,1,622d77074904f52c6221c10f61e87fecf85d7c172dbe129ef9d33ed8885f67f5,26/06/2023 03:41:27,ESCANER
20096,"Alta Verapaz",16,"Chisec",13,3118,367,126,0,68,4,0,62,2,0,5,11,0,0,278,4,2,284,2,286,--,366,80,278,284,286,Algún campo sin dato,1,4700cff64c67836bd209ddf3e3185ba92d4fff91b96c9a7dead02c620cea428b,26/06/2023 03:49:22,ESCANER
20097,"Alta Verapaz",16,"Chisec",13,3118,366,108,0,84,3,0,63,0,0,6,4,0,0,268,2,4,274,0,274,--,363,89,268,274,274,Algún campo sin dato,1,d86222b8a2c7726fa18245e716beccf7c1b193ece9a5bfbec570fd86932552fa,26/06/2023 03:55:52,ESCANER
20098,"Alta Verapaz",16,"Chisec",13,3119,353,13,1,9,3,0,12,0,0,4,0,0,0,42,8,4,54,0,54,--,353,299,42,54,54,Algún campo sin dato,1,994bbb76fcaaaada7ce6c51128e7d72a40cece71a977686dcceb92b34259cd9d,25/06/2023 21:53:38,ESCANER
