TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
54,54,100.0000,54,100.0000,0,20327,14635,71.9978

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,CABAL,VAMOS,SAMAJEL,PODEMOS,MLP,UNE,VOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
6534,"Chimaltenango",3,"Patzicía",9,692,380,63,46,42,108,6,3,2,2,272,14,3,289,0,289,--,380,91,272,289,289,Algún campo sin dato,1,c1f065c79319c17d66ebedc4457d004fc4502ba6cc9eec0d8bdcd5e587ac991d,25/06/2023 23:57:21,ESCANER
6535,"Chimaltenango",3,"Patzicía",9,692,380,53,50,44,134,3,8,2,2,296,12,5,313,0,313,--,380,67,296,313,313,Algún campo sin dato,1,e84c2ccfa3c2ad422ff7eb6ca52eaf36ce6886923a8884cf6990cf51b12d281e,26/06/2023 00:32:00,ESCANER
6536,"Chimaltenango",3,"Patzicía",9,692,380,57,67,47,107,2,2,2,0,290,5,1,290,1,290,--,380,89,284,290,291,Sumas Asentadas sin cuadrar,1,fe389f0f7a4a52377a5da5e891f7ed87119acfe2cd5b483e7fd7433074b73194,26/06/2023 00:42:47,ESCANER
6537,"Chimaltenango",3,"Patzicía",9,692,380,40,56,35,106,2,3,4,4,250,5,0,255,0,255,--,377,122,250,255,255,Algún campo sin dato,1,b4869ee03f29c058f5f1b0b7aa6c6857104cd9ec0367ec429d92d5f90ef3453c,26/06/2023 00:52:36,ESCANER
6538,"Chimaltenango",3,"Patzicía",9,692,380,42,55,36,88,2,5,6,2,236,5,3,244,0,244,--,886,666,236,244,244,Algún campo sin dato,1,67e7534f066931d3ca5ecbceedfe95c55521923676135f06bc56ba7389cf65ce,26/06/2023 00:26:11,ESCANER
6539,"Chimaltenango",3,"Patzicía",9,692,310,31,58,30,95,2,4,1,1,225,2,1,308,0,308,--,308,83,222,225,225,Sumas Asentadas sin cuadrar,1,684cff7d9bb639434409ea118bb841b3d27d442e9506b0da46c7a86eceb32e3c,26/06/2023 01:24:07,ESCANER
6540,"Chimaltenango",3,"Patzicía",9,692,309,28,59,24,73,1,4,0,3,192,2,1,192,114,309,--,309,114,192,195,309,Sumas Asentadas sin cuadrar,1,fac0429652648c74feebb4bbaf791c03447490374a8d1665fda2e1afc76ef8b7,26/06/2023 00:54:46,ESCANER
6541,"Chimaltenango",3,"Patzicía",9,693,380,47,49,78,75,9,8,2,3,271,9,5,285,0,285,--,390,95,271,285,285,Algún campo sin dato,1,d20a0c6f5221c8427a9d893bd745fc287f135b894c58300c71c5d4d76c8bb942,26/06/2023 01:01:35,ESCANER
6542,"Chimaltenango",3,"Patzicía",9,693,380,45,50,74,105,5,11,7,4,301,3,2,306,0,306,--,380,74,301,306,306,Algún campo sin dato,1,970f0d54938ed78c23ac500860f51945e7fcf13aaa4f027901285ebd39020d45,25/06/2023 21:21:35,ESCANER
6543,"Chimaltenango",3,"Patzicía",9,693,380,19,47,90,109,5,11,3,3,287,5,2,294,0,294,--,380,86,287,294,294,Algún campo sin dato,1,7b6bd1823d508b6e9f48b1a06acebdc60f882d3b53b5552b259c32c6d9a4f331,26/06/2023 00:56:11,ESCANER
6544,"Chimaltenango",3,"Patzicía",9,693,380,29,53,88,92,3,6,1,8,280,4,2,286,0,286,--,380,94,280,286,286,Algún campo sin dato,1,8de1f1fa0a6737ffa537d5405ae2b33739be211b8461406a935a55a228f897f6,26/06/2023 00:29:04,ESCANER
6545,"Chimaltenango",3,"Patzicía",9,693,380,21,51,68,102,5,9,0,6,262,5,1,268,0,268,--,380,112,262,268,268,Algún campo sin dato,1,14e84d5550526fd9f89b925df4a5472d951e24716f8939a605e97df77934638f,25/06/2023 23:35:16,ESCANER
6546,"Chimaltenango",3,"Patzicía",9,693,245,28,34,48,58,3,5,0,7,183,1,2,186,0,186,0,245,59,183,186,186,,1,90ad49a0943f7251dd223ca04069aee5bd139b5d0016c752e44cc3600e6a38e1,25/06/2023 21:39:03,ESCANER
6547,"Chimaltenango",3,"Patzicía",9,693,244,10,24,57,74,2,3,3,1,174,1,0,175,0,175,--,244,69,174,175,175,Algún campo sin dato,1,5afdeaa477a8a405a072670fa9c2c4c56d73061bcbc6c4c5976dd96b3070b574,25/06/2023 21:51:00,ESCANER
6548,"Chimaltenango",3,"Patzicía",9,694,380,29,77,52,110,4,0,1,2,275,18,4,297,0,297,--,380,83,275,297,297,Algún campo sin dato,1,4e4b2591a72b7ddda0d4c579b44fdcec610b67c4b26a3ce6d55a84c81323ff03,26/06/2023 00:05:42,ESCANER
6549,"Chimaltenango",3,"Patzicía",9,694,216,24,39,35,65,3,4,3,0,173,6,0,179,0,179,--,216,37,173,179,179,Algún campo sin dato,1,2d6054289f2eb2a990ed34336296fcf47e3e034beecb78265f6cdd4bec59b8c3,25/06/2023 22:59:11,ESCANER
6550,"Chimaltenango",3,"Patzicía",9,694,216,17,46,30,63,2,1,3,2,164,1,0,165,0,165,--,216,51,164,165,165,Algún campo sin dato,1,de19033c74309adeb8f66a7e14d8ba7ef4e28519fba9ed4fc135876f38dd46ee,25/06/2023 23:14:42,ESCANER
6551,"Chimaltenango",3,"Patzicía",9,695,600,50,17,58,68,6,7,3,5,214,16,7,237,0,237,--,539,302,214,237,237,Algún campo sin dato,1,1e814057431605507cb47642a727c038cf8c3aeeefa67c93d55438290a6c74f9,26/06/2023 02:16:07,ESCANER
6552,"Chimaltenango",3,"Patzicía",9,695,364,24,17,31,43,2,8,2,6,133,6,5,144,0,144,--,360,212,133,144,144,Algún campo sin dato,1,586434573c070b32f6f8e9d0168d34c44ae006c234e85cf76072677a2e2d5986,26/06/2023 03:31:08,ESCANER
6553,"Chimaltenango",3,"Patzicía",9,695,363,18,22,22,59,3,2,3,1,130,2,1,133,0,133,--,363,230,130,133,133,Algún campo sin dato,1,538904d0d73365d31038bcc0c4b7cb9d6cb1e585e36741f4e2fecd7e076db2f9,25/06/2023 23:13:06,ESCANER
