TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
120,119,99.1666,118,98.3333,1,45728,25732,56.2718

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,UNE,TODOS,VAMOS,PODEMOS,VIVA,AZUL,VICTORIA,ELEFANTE,SEMILLA,PPN,FCN-NACION,PHG,MLP,BIEN,PIN,CAMBIO,VOS,VALOR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
11742,"Suchitepéquez",10,"Mazatenango",1,1578,400,22,26,69,38,12,8,5,4,14,5,11,3,5,2,14,1,2,6,8,255,21,3,279,0,279,--,400,121,255,279,279,Algún campo sin dato,1,12dbb40b16f8216f23399b91debc6a9f1c200a03579cd3e63b6eaf208d4b3a26,26/06/2023 01:54:50,ESCANER
11743,"Suchitepéquez",10,"Mazatenango",1,1578,400,21,18,54,44,13,9,9,4,21,11,9,1,8,3,12,0,1,7,10,255,14,3,272,0,272,1,400,127,255,272,272,,1,4efb25a3331047d7e941c8a609f6656a88312c218d011c7f8ef09f90e4da5869,26/06/2023 03:04:56,ESCANER
11744,"Suchitepéquez",10,"Mazatenango",1,1578,400,30,20,49,51,13,6,13,1,19,15,7,1,8,1,6,0,2,8,13,263,26,0,289,0,289,--,400,111,263,289,289,Algún campo sin dato,1,91211f23bd7b86e9f7f6ea31837b24f36f3cb755b70ffe8336877d47163e4040,26/06/2023 03:39:09,ESCANER
11745,"Suchitepéquez",10,"Mazatenango",1,1578,400,0,14,22,13,9,12,2,2,13,18,4,1,2,0,7,0,2,14,7,153,50,14,217,49,266,--,400,134,142,206,255,Sumas Asentadas sin cuadrar,1,c0df7150041d37575d89ff37926b1bc7c966335fb0097da9d5343040b3a04ec8,26/06/2023 03:26:18,ESCANER
11746,"Suchitepéquez",10,"Mazatenango",1,1578,400,24,33,53,39,10,8,9,3,24,17,3,0,6,3,7,0,2,7,13,261,18,3,282,0,282,--,400,118,261,282,282,Algún campo sin dato,1,fe611011faf03eab94ab2cfd1b49c69d97dff0d7708423b0b59bccb0c94c9121,26/06/2023 03:13:47,ESCANER
11747,"Suchitepéquez",10,"Mazatenango",1,1578,400,18,15,51,53,16,8,6,3,25,14,10,1,5,3,4,3,1,12,15,263,14,3,280,0,280,--,400,120,263,280,280,Algún campo sin dato,1,bba8394df6cbf9f1f12242e58abbc2ea149a9f6cbfc3c4acd8e386984f25ecfc,26/06/2023 01:26:20,ESCANER
11748,"Suchitepéquez",10,"Mazatenango",1,1578,400,28,32,50,56,16,8,5,5,14,11,7,0,3,0,10,4,1,10,11,271,23,4,298,0,298,--,400,102,271,298,298,Algún campo sin dato,1,31731a4005c44953dbf6dbf99a75293b5615b8a3ee11965fb5df1b6f23c6430f,26/06/2023 02:23:05,ESCANER
11749,"Suchitepéquez",10,"Mazatenango",1,1578,400,14,29,39,56,17,8,7,3,12,15,8,2,4,1,3,2,2,5,12,239,22,3,264,2,266,--,400,134,239,264,266,Algún campo sin dato,1,cdc30fe262b5ef32ff5ffdac9d2e716059f56fb5fa052f68faf3c6d07f91274d,26/06/2023 02:59:10,ESCANER
11750,"Suchitepéquez",10,"Mazatenango",1,1578,400,23,33,41,48,13,6,7,1,20,18,6,1,9,1,8,1,2,10,22,270,24,2,296,0,296,--,400,104,270,296,296,Algún campo sin dato,1,9c570504c5921732099d53334c7f3aed578865ef924c26d2b5061127e6de9120,26/06/2023 01:27:17,ESCANER
11751,"Suchitepéquez",10,"Mazatenango",1,1578,400,22,16,37,55,21,3,10,2,21,7,11,2,5,0,5,1,6,7,9,240,12,1,253,--,--,--,400,147,240,253,253,Algún campo sin dato,1,4074487e40c3cd7de04baaa125e15d0d5563ba3ee1b664781fb70ee30354f278,26/06/2023 02:12:26,ESCANER
