TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
130,130,100.0000,130,100.0000,0,46814,35012,74.7895

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,TODOS,CABAL,VIVA,SEMILLA,VOS,MLP,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
9260,"Sololá",7,"Nahualá",5,1130,400,150,0,3,86,5,4,7,2,0,257,2,0,259,0,259,--,400,141,257,259,259,Algún campo sin dato,1,0c8d04bbdbfc99e920eaf483149536ec5be8d774c0fdac62040044e1972fd3b1,25/06/2023 22:46:12,ESCANER
9261,"Sololá",7,"Nahualá",5,1130,264,99,1,0,61,4,0,6,2,0,173,1,2,176,0,176,--,261,85,173,176,176,Algún campo sin dato,1,a703bc2a7acf8f6c156045a012baf3148e75b4143f4e231c6f7ce33ec93a3bb7,25/06/2023 23:59:22,ESCANER
9262,"Sololá",7,"Nahualá",5,1130,264,96,3,1,53,5,0,2,2,1,163,3,3,169,0,169,--,264,95,163,169,169,Algún campo sin dato,1,b10f0bfd707ac7c5a3d78c379df9d469794db903065a3b9b059933a253ab9087,25/06/2023 22:52:29,ESCANER
9263,"Sololá",7,"Nahualá",5,1131,400,141,4,2,161,3,1,3,3,2,320,12,4,336,0,336,--,400,64,320,336,336,Algún campo sin dato,1,cd1375f996c2f4b012dfd996013b44b46ddcde642179c2b696ebdfac47c9a2c2,25/06/2023 23:44:14,ESCANER
9264,"Sololá",7,"Nahualá",5,1131,400,160,3,2,149,6,0,0,3,2,325,13,7,345,0,345,--,400,55,325,345,345,Algún campo sin dato,1,da02d05891031d60fc2782cdb9d39b6404245d7e0e033c8ec418cf03df16e484,26/06/2023 02:04:37,ESCANER
9265,"Sololá",7,"Nahualá",5,1131,400,170,2,0,155,4,2,3,2,4,342,9,3,354,0,354,--,400,47,342,354,354,Algún campo sin dato,1,c5233aef0afb6db8eb8bab02a8e08ff547cd8a7fa2b58eaf43fb9662c748c9c2,26/06/2023 01:51:32,ESCANER
9266,"Sololá",7,"Nahualá",5,1131,400,177,3,4,127,3,1,0,8,1,324,10,9,343,0,343,--,400,57,324,343,343,Algún campo sin dato,1,5a3555787058791fed6c3de0316bf55b0352114404a86169010f538e600400fd,26/06/2023 00:34:46,ESCANER
9267,"Sololá",7,"Nahualá",5,1131,400,141,5,1,185,3,1,1,2,2,341,7,14,362,0,362,--,400,38,341,362,362,Algún campo sin dato,1,5698f7872525af76837afdeb9b9177634ddf69a454582848a563499e2479622e,26/06/2023 00:04:00,ESCANER
9268,"Sololá",7,"Nahualá",5,1132,400,141,10,1,167,5,2,5,5,5,341,6,3,350,0,350,--,400,50,341,350,350,Algún campo sin dato,1,daacbc705d61f868609bd3d2bf2990ef4e9339f9ab4b862f972080eb306e0c87,26/06/2023 00:46:59,ESCANER
9269,"Sololá",7,"Nahualá",5,1132,400,139,5,2,170,9,1,0,1,3,330,4,8,342,0,342,--,400,58,330,342,342,Algún campo sin dato,1,68c7b13e17d7cf30976567cbfebdc09b254f1ca2dc4672c9d612aa4965e64921,25/06/2023 23:55:27,ESCANER
