TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
130,130,100.0000,130,100.0000,0,46814,35012,74.7895

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,TODOS,CABAL,VIVA,SEMILLA,VOS,MLP,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
9312,"Sololá",7,"Nahualá",5,1139,312,134,3,2,72,0,0,0,0,0,211,1,0,212,0,212,--,312,100,211,212,212,Algún campo sin dato,1,cad075533edbd81855366c36aee9acf12f89c6056a7dbca552570d81836a18c1,25/06/2023 23:21:41,ESCANER
9313,"Sololá",7,"Nahualá",5,1139,311,106,3,5,65,1,2,2,0,0,184,3,4,191,0,191,--,311,120,184,191,191,Algún campo sin dato,1,f401327d1a03a3359e856153a4c9da21f2c05753f6b2d249a9c43b3da2193b4b,25/06/2023 21:46:27,ESCANER
9314,"Sololá",7,"Nahualá",5,1140,380,189,3,0,95,1,6,0,1,2,297,7,2,306,0,306,--,380,74,297,306,306,Algún campo sin dato,1,cfd5df58580096dd492e42e40d2e07ab7f5bc25736641c7f45c1b6aa791ced68,26/06/2023 00:29:31,ESCANER
9315,"Sololá",7,"Nahualá",5,1140,380,218,7,0,74,1,4,0,0,1,305,5,5,315,0,315,--,380,65,305,315,315,Algún campo sin dato,1,5db6c9859a9c656d65d648dd9b494004eacd3ed045cc7dcf4835bf81957a26e6,26/06/2023 01:27:32,ESCANER
9316,"Sololá",7,"Nahualá",5,1140,380,207,5,1,87,2,1,0,1,2,306,14,8,328,0,0,--,380,52,306,328,328,Algún campo sin dato,1,4fc39ae9b8aa9c0530a26082c8c304a866cf258ea84e9270a15eb85160a62117,26/06/2023 01:13:54,ESCANER
9317,"Sololá",7,"Nahualá",5,1140,380,169,3,0,81,2,5,0,0,1,261,4,6,271,0,0,--,380,109,261,271,271,Algún campo sin dato,1,ccc88e68a24f76ddd04e4d607d659d98dca1032d313d4d7e066e8677a307655e,25/06/2023 23:51:02,ESCANER
9318,"Sololá",7,"Nahualá",5,1140,380,193,6,2,68,1,3,2,1,0,276,7,4,287,0,287,--,380,93,276,287,287,Algún campo sin dato,1,52c48e6f0c8a32e26be4970c217cca24a53917522fbade2f51695a59065e9775,26/06/2023 04:10:37,ESCANER
9319,"Sololá",7,"Nahualá",5,1140,380,185,5,3,57,3,4,1,2,1,261,14,16,291,1,292,--,380,88,261,291,292,Algún campo sin dato,1,5c2d107f8c9584e032e52df8a2d9d75edf0b1ba5cf27d89a034473b9a21497ec,26/06/2023 01:40:38,ESCANER
9320,"Sololá",7,"Nahualá",5,1140,341,176,1,0,61,0,0,0,0,0,238,5,1,244,0,244,--,341,97,238,244,244,Algún campo sin dato,1,158d52d25cf5d94d8ec9a5215ce26a5771b276601bc0dfde3a90b7ce752a58d0,26/06/2023 01:49:55,ESCANER
9321,"Sololá",7,"Nahualá",5,1140,341,175,1,0,48,0,6,0,1,1,232,0,1,233,0,0,--,341,108,232,233,233,Algún campo sin dato,1,93be4bed09af886c7b88bc7c680abdc594fcee5b395bd29fb2c413864a63e28e,25/06/2023 22:12:32,ESCANER
9322,"Sololá",7,"Nahualá",5,1141,380,153,8,1,126,0,0,0,0,0,288,14,6,308,0,308,--,380,72,288,308,308,Algún campo sin dato,1,132313c89a6305582377174ddd7c1897a9c6918873c462363338882e883cdf00,26/06/2023 06:30:39,ESCANER
9323,"Sololá",7,"Nahualá",5,1141,380,170,6,2,128,2,0,2,0,1,311,13,10,334,0,334,--,380,46,311,334,334,Algún campo sin dato,1,45127a2816e2709983ea20961d8d0910cc1f50c2073c2ab3d2b63038ea14b88b,26/06/2023 06:06:21,ESCANER
9324,"Sololá",7,"Nahualá",5,1141,380,179,3,0,111,4,0,2,0,0,299,12,9,320,0,320,--,380,60,299,320,320,Algún campo sin dato,1,9b7ef4d72e8f9381a4e7fbe65a6c6737b03569311e4098740e24ec08efae7574,26/06/2023 01:07:42,ESCANER
9325,"Sololá",7,"Nahualá",5,1141,380,160,2,1,108,1,0,6,0,1,279,8,8,295,0,295,--,380,85,279,295,295,Algún campo sin dato,1,dd100a29e9e92bb63dff2f4d3af18b584f338acfd60a76d0486ddbaac8ae9d64,26/06/2023 00:48:03,ESCANER
9326,"Sololá",7,"Nahualá",5,1141,380,150,4,3,104,2,0,4,1,0,268,7,9,284,0,284,--,379,95,268,284,284,Algún campo sin dato,1,445430a46012fac635e6fa04ff985a63765799b7f38221fc6cafa9b344b08c09,26/06/2023 00:42:24,ESCANER
9327,"Sololá",7,"Nahualá",5,1141,380,136,5,1,108,2,0,2,1,2,257,9,8,274,0,274,--,380,106,257,274,274,Algún campo sin dato,1,b574534cbf1edd93f5c04cbadd65c8da3a0dcc89e57e96fcfcd62039d0bb8106,26/06/2023 00:02:08,ESCANER
9328,"Sololá",7,"Nahualá",5,1141,380,132,3,1,95,5,0,3,0,1,240,14,11,265,0,265,--,380,115,240,265,265,Algún campo sin dato,1,3c272af17455a568889b547f9abb3d978f609a8da21221a2c1055b27da920cfc,26/06/2023 00:58:21,ESCANER
9329,"Sololá",7,"Nahualá",5,1141,380,151,3,1,102,1,0,5,0,0,263,3,3,269,0,269,--,380,111,263,269,269,Algún campo sin dato,1,89ddea0923c7db6bf5427da8816a07e467e45550396fff61242f190be9c7faa3,25/06/2023 23:04:39,ESCANER
9330,"Sololá",7,"Nahualá",5,1141,228,92,1,2,62,0,0,2,0,0,159,4,0,163,0,163,--,228,65,159,163,163,Algún campo sin dato,1,344f9471a74e47c8a135196506cadcb4fc8aba71d70ecb740d752b6f6142b296,26/06/2023 00:19:03,ESCANER
9331,"Sololá",7,"Nahualá",5,1141,227,79,1,1,48,0,0,2,0,0,131,5,3,139,0,139,0,227,85,131,139,139,,1,16ea375db81a639be3b9a0271c6fd15d92b212594487ba3f84352a5eb2961f1b,25/06/2023 22:24:25,ESCANER
9332,"Sololá",7,"Nahualá",5,1142,380,227,3,2,71,2,1,1,1,1,309,11,16,336,0,336,--,380,44,309,336,336,Algún campo sin dato,1,7e75290c377811eebc90b887bf8f7189e732dbf4b6893a2f6085737b9b00450d,26/06/2023 01:27:34,ESCANER
9333,"Sololá",7,"Nahualá",5,1142,216,125,1,1,41,0,0,0,1,0,169,2,5,176,0,176,--,215,39,169,176,176,Algún campo sin dato,1,090aeaa686dc2d1509d42d3ed6ae9a6f2ccb10a3e13643aa53583f3a9138e182,25/06/2023 23:19:20,ESCANER
9334,"Sololá",7,"Nahualá",5,1142,216,124,1,0,39,0,0,0,0,0,164,1,0,165,0,165,--,216,51,164,165,165,Algún campo sin dato,1,1d466237c820fae016d6976bf2fde889a7cdd1ff3303f7b7d4b8c84e3f5465e8,25/06/2023 23:28:12,ESCANER
9335,"Sololá",7,"Nahualá",5,1143,380,93,16,4,113,6,0,2,0,11,245,11,10,266,0,266,--,380,114,245,266,266,Algún campo sin dato,1,bd67468f1b8546373ace499e0c55424d6f16c14e180fb062c266155accc32ecf,26/06/2023 00:21:16,ESCANER
9336,"Sololá",7,"Nahualá",5,1143,380,76,15,6,99,3,0,0,0,16,215,10,15,240,0,240,--,380,140,215,240,240,Algún campo sin dato,1,bd6ff4643e4a5a0662486894ccdb6d45ccec8c8092cd038258c6ae05085e55ef,25/06/2023 23:42:36,ESCANER
9337,"Sololá",7,"Nahualá",5,1143,380,75,12,3,116,3,0,0,0,13,222,9,8,239,0,239,--,380,141,222,239,239,Algún campo sin dato,1,9babf9e4cfaa39030002e02bdf9fce3f7f1173bcf9acef2727a8b36f31fa9ab0,25/06/2023 23:11:24,ESCANER
9338,"Sololá",7,"Nahualá",5,1143,260,57,3,2,61,0,0,0,0,8,131,10,5,146,0,146,--,260,114,131,146,146,Algún campo sin dato,1,729713ae3dffc232423f4330cba0548c4bbaa2e1e9d0714192aedd62898faa0b,25/06/2023 22:02:34,ESCANER
9339,"Sololá",7,"Nahualá",5,1143,259,63,5,2,73,4,0,0,0,4,151,2,2,155,0,155,--,259,104,151,155,155,Algún campo sin dato,1,892dc9466f130093bcddbd86eadb6692e9d227298ffc8a00e51372df4400ac4f,26/06/2023 00:26:20,ESCANER
9340,"Sololá",7,"Nahualá",5,1144,380,211,1,3,99,1,0,0,0,2,317,5,10,332,0,332,--,380,48,317,332,332,Algún campo sin dato,1,bff7020a99d24ab9f52280388b602ade1149b6b389f5b615f66240f3cb29008b,25/06/2023 23:17:10,ESCANER
9341,"Sololá",7,"Nahualá",5,1144,236,115,1,1,62,0,0,0,0,0,179,4,5,188,0,188,--,236,48,179,188,188,Algún campo sin dato,1,5c634d22e885d3098904b9c031b2d339c9974e3437f7f24a5145f8c66ed53c88,25/06/2023 22:02:24,ESCANER
9342,"Sololá",7,"Nahualá",5,1144,236,125,1,0,52,0,0,0,0,0,178,3,0,181,0,181,--,236,55,178,181,181,Algún campo sin dato,1,fa1f7fb49d568884bd959793477c4597bf783a59cd9f41bb463fb04f2c8dcea0,25/06/2023 21:12:09,ESCANER
9343,"Sololá",7,"Nahualá",5,1145,380,166,12,2,104,3,0,2,2,0,291,15,8,314,1,315,--,380,65,291,314,315,Algún campo sin dato,1,872fb54baac78c346ca8080926d05429722214be82f1ac79a262e90e6b2cf4e8,26/06/2023 02:03:04,ESCANER
9344,"Sololá",7,"Nahualá",5,1145,380,152,16,3,131,4,1,2,0,0,309,7,11,327,0,327,--,380,53,309,327,327,Algún campo sin dato,1,b0614c1aab5afab3a07a6b673adc43a7b47b1048a6e2f0a2ba0f6812b22e51bc,26/06/2023 00:05:13,ESCANER
9345,"Sololá",7,"Nahualá",5,1146,380,156,9,3,108,5,0,0,2,0,283,4,8,295,0,295,--,380,85,283,295,295,Algún campo sin dato,1,203b6388619dcf53c69b3cd565b07b10e25d0fa271eaf2b7d1a940a1d920a117,26/06/2023 01:05:58,ESCANER
9346,"Sololá",7,"Nahualá",5,1146,212,81,3,1,63,1,0,1,1,2,153,0,0,153,0,153,--,212,59,153,153,153,Algún campo sin dato,1,f1ca782fdacad4160092faf2d601ff6db87cfa3a904b8a6fd3ed5072faff4249,25/06/2023 22:35:30,ESCANER
9347,"Sololá",7,"Nahualá",5,1146,212,87,2,0,57,1,0,0,0,0,147,0,0,147,0,147,--,212,65,147,147,147,Algún campo sin dato,1,5f3e8b5626e7cb48060db354ab0f29a4385ce5892b7de55d766075c9d68e7bf8,25/06/2023 21:53:13,ESCANER
9348,"Sololá",7,"Nahualá",5,1147,380,143,6,12,102,8,0,4,3,0,278,9,9,296,0,296,--,380,84,278,296,296,Algún campo sin dato,1,4c6da72b6b6cb91e6494d901f54a5fc749b34f6e0aa2d1fae7a210ecfb265aa2,26/06/2023 02:05:41,ESCANER
9349,"Sololá",7,"Nahualá",5,1147,380,137,10,17,110,4,0,3,6,0,287,18,9,314,0,314,--,380,66,287,314,314,Algún campo sin dato,1,e19929b94d3685432b0e746869ed6b846e44c90f9ee95376b30aee9dbe98170c,26/06/2023 00:53:10,ESCANER
9350,"Sololá",7,"Nahualá",5,1147,380,111,5,16,99,2,0,6,0,0,239,10,8,257,0,257,--,380,123,239,257,257,Algún campo sin dato,1,0f1692bd1b2d2ad3de0df0a9df7c885b466ebdd189a39019929a2a74e00f1e54,25/06/2023 22:35:53,ESCANER
9351,"Sololá",7,"Nahualá",5,1148,297,106,2,5,89,2,1,5,0,1,211,3,2,216,0,216,--,294,78,211,216,216,Algún campo sin dato,1,00c4cd97f57aa197ac0ff7fa57d40509d99c599cc8af983a94fbe379af3446cb,26/06/2023 01:41:29,ESCANER
9352,"Sololá",7,"Nahualá",5,1148,296,97,1,8,69,1,0,0,2,0,178,3,3,184,0,184,--,296,112,178,184,184,Algún campo sin dato,1,f7bbf5e8f364be2861271712d25bf2107ef74ad6de30e5bb0ec1e3eb89dd28ce,26/06/2023 01:29:39,ESCANER
9353,"Sololá",7,"Nahualá",5,1149,350,180,6,0,86,1,0,4,0,0,277,9,6,292,0,292,--,350,58,277,292,292,Algún campo sin dato,1,ed97a6e35dc74eb550fee9257a9cb7615dac0d2d5f814322c634482e24b1e631,26/06/2023 01:59:29,ESCANER
9354,"Sololá",7,"Nahualá",5,1149,350,152,2,0,101,1,1,0,1,0,258,1,2,261,0,261,--,350,89,258,261,261,Algún campo sin dato,1,d9b322805d5a0cb52f1eaa7cac8bec52478b0e8189f529f4ba1cf1c27d0f40f0,26/06/2023 02:11:06,ESCANER
9355,"Sololá",7,"Nahualá",5,1150,286,182,1,1,46,3,0,0,0,1,234,7,20,261,0,--,--,286,25,234,261,261,Algún campo sin dato,1,dae010c31476c91109f8a01a608a497af884cd053d3239613cc87dbc98debb5e,26/06/2023 03:34:51,ESCANER
9356,"Sololá",7,"Nahualá",5,1150,286,179,1,0,36,1,0,0,1,0,218,1,6,225,0,225,--,286,61,218,225,225,Algún campo sin dato,1,294731582ac1e53603e60cad76bedc32890f91601c72fcc1ca74372d3e769b89,26/06/2023 03:46:56,ESCANER
9357,"Sololá",7,"Nahualá",5,1151,333,17,1,1,34,2,0,1,1,1,58,2,1,61,0,61,--,333,272,58,61,61,Algún campo sin dato,1,53b05fa41d8ae93672821abd1e28d122a49ac8e44f3e9773af49f954376979e1,25/06/2023 21:51:23,ESCANER
9358,"Sololá",7,"Nahualá",5,1151,333,13,1,0,22,3,0,0,2,0,41,2,2,45,0,45,--,333,288,41,45,45,Algún campo sin dato,1,a7467c371e2f22e5587acbf9f4645fbe52e9bb61b6c50ae2f449502a7a7d171e,25/06/2023 21:22:58,ESCANER
