TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
174,174,100.0000,174,100.0000,0,65904,31957,48.4902

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VALOR UNIONISTA,AZUL,UNE,VAMOS,VICTORIA,ELEFANTE,PODEMOS,TODOS,CAMBIO,VIVA,P A N,SEMILLA,EL TAJAS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
22440,"Chiquimula",20,"Chiquimula",1,3499,220,1,2,15,3,24,2,3,1,0,1,1,1,1,0,55,5,5,65,0,65,--,217,152,55,65,65,Algún campo sin dato,1,b38324697034cdb91fdbc4832c6e66602598442219a52a734c78b1be4bee25ab,26/06/2023 01:48:18,ESCANER
22441,"Chiquimula",20,"Chiquimula",1,3500,380,5,23,7,13,56,2,18,1,1,15,4,0,0,13,158,18,9,185,0,370,--,380,195,158,185,185,Sumas Asentadas sin cuadrar,1,ec27614d210022d852e26bf08bc1064c0291f62c2b2daed8efa2b7705346e33b,26/06/2023 03:54:35,ESCANER
22442,"Chiquimula",20,"Chiquimula",1,3500,380,6,23,8,15,78,3,20,0,1,13,3,0,2,22,194,30,3,227,0,227,--,400,173,194,227,227,Algún campo sin dato,1,ddeebc26cd225a5d426f2a628a301121be99b149d5c8a8fb13692c4edf6afb07,25/06/2023 23:28:49,ESCANER
22443,"Chiquimula",20,"Chiquimula",1,3500,380,7,25,9,17,69,0,5,3,2,9,2,1,0,27,176,26,4,206,0,206,--,377,177,176,206,206,Algún campo sin dato,1,ef32d16cea70b23fe2e27fe347f56b8a906986accb53230205e6d988fe83b1c1,26/06/2023 02:21:20,ESCANER
22444,"Chiquimula",20,"Chiquimula",1,3500,380,7,29,10,8,74,3,21,0,3,11,5,2,0,33,206,20,7,233,0,233,--,397,164,206,233,233,Algún campo sin dato,1,5128ae838b7c1651fa8a0e138fd5bfb2d34a36bf63aa038522f063cc9c16fda9,26/06/2023 02:43:21,ESCANER
22445,"Chiquimula",20,"Chiquimula",1,3500,380,8,22,8,3,47,2,25,1,1,14,0,0,0,23,154,14,6,174,0,174,--,378,203,154,174,174,Algún campo sin dato,1,16cf458b537c2d4e491a8caee0628fecc7cf59d873766b2af7f20d065ddb79ec,26/06/2023 05:49:47,ESCANER
22446,"Chiquimula",20,"Chiquimula",1,3500,380,3,17,10,10,66,2,19,0,2,8,4,1,1,24,167,23,7,197,0,197,--,380,183,167,197,197,Algún campo sin dato,1,52e0ee2033fb43b93d4716552fc5921567f7b995da1c2948cb4249dbebec29f5,26/06/2023 01:19:06,ESCANER
22447,"Chiquimula",20,"Chiquimula",1,3500,380,1,22,9,8,55,0,24,2,3,11,2,0,5,33,175,4,4,183,0,183,--,377,197,175,183,183,Algún campo sin dato,1,97da27e60d54f2f4227bb8d63547c11c11cfbff7b8e56b8509fe654ce20ed6ad,26/06/2023 04:19:23,ESCANER
22448,"Chiquimula",20,"Chiquimula",1,3500,380,0,16,1,8,53,0,20,0,1,6,1,0,1,18,125,4,1,130,0,130,--,380,250,125,130,130,Algún campo sin dato,1,80f7e5c501491a7d3c162df8b76edcfe049cfe46483e3432b1e73b21edf134ed,26/06/2023 00:22:05,ESCANER
22449,"Chiquimula",20,"Chiquimula",1,3501,380,1,14,11,7,46,3,16,0,1,5,3,0,3,22,132,25,6,163,0,163,--,380,217,132,163,163,Algún campo sin dato,1,bcfd7b08675f6644fa3c0cdee4e7943970d47d406d29470c31e1cb96bc3084b2,25/06/2023 23:49:54,ESCANER
22450,"Chiquimula",20,"Chiquimula",1,3501,277,1,9,6,8,27,1,6,0,1,4,1,1,1,11,77,10,2,89,0,89,--,277,188,77,89,89,Algún campo sin dato,1,50db67db070a69ca05120045dddb9f8eda2efdc6ef5fde8dcb8dacd3b46f70ed,25/06/2023 22:39:35,ESCANER
22451,"Chiquimula",20,"Chiquimula",1,3501,277,1,8,4,3,35,0,11,0,1,6,1,2,1,8,81,8,1,90,0,90,--,277,187,81,90,90,Algún campo sin dato,1,9db07bac7ab5dcbf4fe6eb00f3fc868a615a6c75209a77cbaec4c53a24adb73e,25/06/2023 23:04:34,ESCANER
22452,"Chiquimula",20,"Chiquimula",1,3502,380,2,7,36,30,28,0,4,1,1,11,3,0,0,2,125,28,17,170,0,170,--,345,225,125,170,170,Algún campo sin dato,1,ed11661263f8fe885b09407951b8d4594a0c6cc05967d40d188dc39af8cf1af9,25/06/2023 23:13:48,MOVIL
22453,"Chiquimula",20,"Chiquimula",1,3502,380,0,4,29,34,38,1,4,1,1,16,5,1,0,2,136,39,6,181,0,181,--,380,199,136,181,181,Algún campo sin dato,1,0eb4f1f7479a5b5f510dba9a975ba2c194482a14ef8c5c821a14051185e4df70,25/06/2023 22:58:49,MOVIL
22454,"Chiquimula",20,"Chiquimula",1,3502,380,1,5,36,30,31,0,2,0,0,9,1,2,0,1,118,32,8,158,0,158,--,380,222,118,158,158,Algún campo sin dato,1,330434c1d74284c8a716ccaf05fae1949791db0b60f23c61cd7f37114a062d7b,25/06/2023 23:40:06,MOVIL
22455,"Chiquimula",20,"Chiquimula",1,3502,380,3,3,48,25,25,0,5,0,0,13,4,0,1,1,128,20,3,151,0,151,--,380,229,128,151,151,Algún campo sin dato,1,d4ddfd11c4344e25e2d45bf7d75382bbef4a7b0a5a4b7ef06a9fd21dd2e88c36,25/06/2023 23:25:38,MOVIL
22456,"Chiquimula",20,"Chiquimula",1,3502,380,4,6,54,15,29,2,6,1,1,10,2,0,1,1,132,26,14,172,0,172,--,380,208,132,172,172,Algún campo sin dato,1,4d8ae2fd8984fd376a87bb7c1b3d45f6538e0f8b2d0cad5b1860c8d5a897c2f6,26/06/2023 00:26:43,MOVIL
22457,"Chiquimula",20,"Chiquimula",1,3502,380,0,6,33,19,34,0,6,0,1,14,2,0,0,1,116,12,5,133,0,133,--,380,247,116,133,133,Algún campo sin dato,1,0ad0f5350f9b32fde7a9a4997782ad8924f5eb80d5150f7312909782b3098ea2,25/06/2023 22:32:55,MOVIL
22458,"Chiquimula",20,"Chiquimula",1,3502,380,2,6,36,15,23,0,4,1,2,8,0,0,0,4,101,35,4,140,0,140,--,365,225,101,140,140,Algún campo sin dato,1,651905bd6943b419fec858b68e603c1bb67d63e40f7f851905feff0dfa7fb0ab,26/06/2023 00:22:58,MOVIL
22459,"Chiquimula",20,"Chiquimula",1,3502,377,0,3,44,21,18,0,5,1,2,7,0,1,0,3,105,21,10,136,0,136,--,377,241,105,136,136,Algún campo sin dato,1,e81bf3a909c5da4a27b415a3908c8a02a4bc26ffbf7b108058e2d2d93d9b7f39,25/06/2023 23:59:45,MOVIL
22460,"Chiquimula",20,"Chiquimula",1,3502,377,0,5,34,19,22,2,2,0,1,6,1,1,0,3,96,20,6,122,0,122,--,374,252,96,122,122,Algún campo sin dato,1,9dab54e619574f0a7f2477dd3bf91fceb88fde99301603eedbd3e89144fceec8,26/06/2023 00:27:57,MOVIL
22461,"Chiquimula",20,"Chiquimula",1,3503,380,3,6,19,15,44,1,24,0,2,3,1,1,0,1,120,36,13,169,0,169,--,380,210,120,169,169,Algún campo sin dato,1,ac8027434317dfcffb557c07fd9b9f6fbc65083bf3f18317416416909fe85219,26/06/2023 05:07:44,ESCANER
22462,"Chiquimula",20,"Chiquimula",1,3503,380,6,9,24,10,41,2,16,1,0,4,3,0,1,2,119,44,2,165,1,166,--,380,215,119,165,166,Algún campo sin dato,1,b1a38de5170069bfaff3cec2e2a1da59ace4e53400baf9918924baf384575e0b,26/06/2023 04:44:45,ESCANER
22463,"Chiquimula",20,"Chiquimula",1,3503,380,0,2,36,20,48,2,14,1,1,1,3,1,1,3,133,48,9,190,--,--,--,380,190,133,190,190,Algún campo sin dato,1,aa151f2e85d2eade22f217cd173bf2616c0e6028204c8f91271ab55bad45c3b0,26/06/2023 04:59:37,ESCANER
