TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
85,85,100.0000,85,100.0000,0,31252,20761,66.4309

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,AZUL,ELEFANTE,TODOS,PODEMOS,CABAL,VOS,MI FAMILIA,P A N,URNG-MAIZ WINAQ,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
22756,"Chiquimula",20,"Camotán",5,3564,380,89,50,0,53,5,2,2,2,3,1,0,12,235,15,8,242,0,242,--,380,135,219,242,242,Sumas Asentadas sin cuadrar,1,c379e2a831b06fce4b3fb46f41412dc8eeee1994325d66547d51685c755dacea,26/06/2023 03:48:43,ESCANER
22757,"Chiquimula",20,"Camotán",5,3564,380,96,58,3,71,3,1,3,1,1,0,0,11,248,20,6,274,0,274,7,380,102,248,274,274,,1,a0dd8da20a3cbeb8b511db4c863077a462ca82d2568e201fdb266c03d0e1c13c,26/06/2023 01:27:59,MOVIL
22758,"Chiquimula",20,"Camotán",5,3564,380,102,78,2,55,2,1,0,0,1,0,0,15,256,19,6,281,0,281,--,--,--,256,281,281,Algún campo sin dato,1,e74e5fc9ffbcfd1cce9a9a0996569cff3138803f2c09a561c5eb25864a9958e4,26/06/2023 03:31:11,ESCANER
22759,"Chiquimula",20,"Camotán",5,3564,380,92,69,3,77,2,0,2,2,3,0,0,26,276,23,9,308,0,308,--,377,69,276,308,308,Algún campo sin dato,1,d985780beb7e50ee3e28adc5406f28a5eb9e7474b265a6dfad986216a0c9665a,26/06/2023 02:10:14,MOVIL
22760,"Chiquimula",20,"Camotán",5,3564,380,113,50,0,61,6,0,2,0,3,0,0,25,260,18,2,280,0,280,--,380,100,260,280,280,Algún campo sin dato,1,fa83ea8dba961e8c0d7c39b90c3ebcd414a511a1093dcc8ff0a762bfbad7a7a0,26/06/2023 01:53:34,MOVIL
22761,"Chiquimula",20,"Camotán",5,3565,380,93,41,0,53,8,0,0,0,2,0,0,13,210,15,5,230,0,230,--,380,150,210,230,230,Algún campo sin dato,1,141b50a59a6dba125edcbcc631937e88ea54eac4382599b9606b2d4670485492,26/06/2023 01:26:34,MOVIL
22762,"Chiquimula",20,"Camotán",5,3566,380,89,37,1,47,3,2,2,1,1,0,0,22,206,14,0,220,0,220,--,376,156,205,219,219,Sumas Asentadas sin cuadrar,1,51c6aa2570dc724d2db1e4f06527949cf618828fee7cbe811718e9890f249865,26/06/2023 03:52:49,ESCANER
22763,"Chiquimula",20,"Camotán",5,3566,380,82,37,1,53,3,0,0,0,0,0,0,14,190,5,2,197,0,197,--,380,183,190,197,197,Algún campo sin dato,1,9cde86e9afc79a5f8dc2f50422799d7d033cec5378ec9fe9cdf24d7c21aaf640,26/06/2023 04:00:45,ESCANER
22764,"Chiquimula",20,"Camotán",5,3566,380,82,36,1,51,1,0,0,0,2,0,0,20,193,8,6,207,0,207,--,380,173,193,207,207,Algún campo sin dato,1,acad8f2aec4ea89a810fa1abff509001732dac289bb1099895a77ea1b72bb20d,26/06/2023 03:32:06,ESCANER
22765,"Chiquimula",20,"Camotán",5,3567,252,47,42,0,39,1,0,0,0,0,0,0,5,134,3,115,252,0,137,--,252,115,134,252,252,Sumas Asentadas sin cuadrar,1,59b22ef322fea0569d7d8ab9c9b07ef18b0e49ee6d53fd42803e129d8ea4ae02,25/06/2023 20:10:15,MOVIL
22766,"Chiquimula",20,"Camotán",5,3567,252,60,25,1,23,4,0,0,0,0,0,0,7,120,11,4,135,1,136,--,249,113,120,135,136,Algún campo sin dato,1,17da9bad78b833691c9667f8264b9e787e6fd5376c913bdf4b760e8765694afb,26/06/2023 00:26:10,MOVIL
22767,"Chiquimula",20,"Camotán",5,3568,379,21,9,1,9,0,0,1,0,0,0,0,2,43,5,3,51,0,51,--,379,328,43,51,51,Algún campo sin dato,1,8119ea704d235d981d77ab7f558620fa325cc573d0edf6d20e6f9d6b9e067589,25/06/2023 21:35:43,ESCANER
