TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
85,85,100.0000,85,100.0000,0,31252,20761,66.4309

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,AZUL,ELEFANTE,TODOS,PODEMOS,CABAL,VOS,MI FAMILIA,P A N,URNG-MAIZ WINAQ,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
22700,"Chiquimula",20,"Camotán",5,3547,380,158,35,1,27,4,0,0,0,1,0,1,63,290,10,9,309,0,309,--,380,71,290,309,309,Algún campo sin dato,1,8c1cc8a01434089d545f04df6980b4e0df669812d2c23931bb595711d3e585bf,26/06/2023 00:44:16,ESCANER
22701,"Chiquimula",20,"Camotán",5,3547,380,164,24,4,20,2,0,3,0,0,0,1,37,255,11,12,278,3,281,--,380,100,255,278,281,Algún campo sin dato,1,4508a85d8e672d7dab629e833e1dcaa72017fb693a5cf37b38669e72b3907580,26/06/2023 01:14:07,ESCANER
22702,"Chiquimula",20,"Camotán",5,3548,380,145,54,2,27,5,0,1,1,0,0,1,54,290,13,5,308,0,308,--,380,72,290,308,308,Algún campo sin dato,1,3a929af02209fe4460b8d1eb02912af93fa0d308f5be067db9f3f86364d5eaf4,25/06/2023 23:27:17,ESCANER
22703,"Chiquimula",20,"Camotán",5,3548,380,154,36,3,30,2,0,1,0,1,1,0,46,274,13,3,290,0,290,--,380,90,274,290,290,Algún campo sin dato,1,43054f1e5f9170f6b197888bbb22bd82562cb43e46c113dfbc335ffe30cc7416,25/06/2023 23:35:06,ESCANER
22704,"Chiquimula",20,"Camotán",5,3548,380,132,26,2,23,2,0,1,0,1,0,0,73,260,8,6,274,0,274,--,380,116,260,274,274,Algún campo sin dato,1,88d33bb3d5a7a441ec3c72cb1098d7bdc025b322497eba51b540c1ddef5bd15b,25/06/2023 23:51:51,ESCANER
22705,"Chiquimula",20,"Camotán",5,3549,380,117,30,1,25,1,0,1,1,0,1,1,59,237,13,4,254,0,254,--,380,126,237,254,254,Algún campo sin dato,1,5891358ce5423c2cd2521bc8b39c1b8d6e5e27e327b959c8cdfd65c2cfc2bf01,26/06/2023 00:09:54,ESCANER
22706,"Chiquimula",20,"Camotán",5,3549,380,165,30,0,20,3,0,1,0,0,0,1,43,263,2,1,266,0,266,--,375,109,263,266,266,Algún campo sin dato,1,b631e74a9f4bfe527c9ed4e97b848ddfc76cca8f3c9a546bf5c34179639ac922,26/06/2023 00:02:19,ESCANER
22707,"Chiquimula",20,"Camotán",5,3549,380,128,46,0,24,1,0,0,0,0,0,0,56,255,3,7,265,0,265,--,380,115,255,265,265,Algún campo sin dato,1,80b6163470f02fa3760cb1c68fe9b846eed4590c6370800ca64e87b15f01eedf,26/06/2023 00:17:23,ESCANER
22708,"Chiquimula",20,"Camotán",5,3550,350,121,24,0,18,3,0,2,0,0,0,0,53,221,3,1,225,0,225,--,350,125,221,225,225,Algún campo sin dato,1,4e7663d263f1720ca407f04a3a6100a65d7248cf4fc6ed589a28930676145f46,26/06/2023 00:31:18,ESCANER
22709,"Chiquimula",20,"Camotán",5,3550,349,115,24,2,8,0,1,2,0,0,0,1,63,216,8,7,231,0,231,--,349,118,216,231,231,Algún campo sin dato,1,ff40fc1bb5016f5249cb48dc5bbb52b5aacd81a29e8f38568a58557b2c026b6d,25/06/2023 22:36:07,ESCANER
22710,"Chiquimula",20,"Camotán",5,3551,380,96,26,6,98,1,2,12,0,0,1,0,29,271,21,9,301,0,301,--,380,79,271,301,301,Algún campo sin dato,1,863fac3fb85ad2144106351098c264b23e2a932cb8155cce0ea9016c52c104ec,26/06/2023 01:52:11,ESCANER
