TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
48,48,100.0000,48,100.0000,0,17478,7658,43.8150

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,AZUL,CABAL,MLP,VAMOS,PPN,VIVA,TODOS,U R N G - MAIZ,VOS,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
10803,"Quetzaltenango",9,"San Carlos Sija",4,1434,193,3,16,0,8,9,0,13,1,0,8,58,2,1,61,0,61,--,193,132,58,61,61,Algún campo sin dato,1,aebc1e397a005009e03a10458e64eb5c1efd3a8bc1e59ee30bacd77ddc571874,26/06/2023 02:29:11,ESCANER
10804,"Quetzaltenango",9,"San Carlos Sija",4,1435,380,3,21,0,39,8,1,15,3,0,41,131,13,2,146,0,146,--,380,234,131,146,146,Algún campo sin dato,1,fad9d1f3d7228c68113df2c2ad69ad726ead7ad191b89a008076ae290b5674ef,25/06/2023 22:55:54,ESCANER
10805,"Quetzaltenango",9,"San Carlos Sija",4,1435,380,4,21,1,67,18,0,16,5,2,32,166,8,9,183,2,185,--,380,195,166,183,185,Algún campo sin dato,1,d1f604def4baa9a3c6a6fe83ad164b8c33e31faea1b47f31d2fae0ab556d1296,25/06/2023 23:41:15,ESCANER
10806,"Quetzaltenango",9,"San Carlos Sija",4,1435,380,2,12,0,60,7,0,16,3,2,40,142,8,9,159,0,159,--,380,221,142,159,159,Algún campo sin dato,1,2c1425b3ff25b04657de81622f2940e932ee62a747b90170a5e8cbd09c262ce3,25/06/2023 22:09:53,ESCANER
10807,"Quetzaltenango",9,"San Carlos Sija",4,1435,380,7,19,0,39,8,3,14,7,1,48,146,6,3,155,0,155,--,380,225,146,155,155,Algún campo sin dato,1,013b8ed028cc688ff3c6352a5c61993fe738ff4762550b8d6b7bb1c3e78724d3,25/06/2023 22:43:18,ESCANER
10808,"Quetzaltenango",9,"San Carlos Sija",4,1435,380,2,16,0,50,6,7,14,2,3,36,136,6,12,154,0,154,--,380,226,136,154,154,Algún campo sin dato,1,8ac66a2dd5ccc166e4e00ede07efb8fc725b1519f8add64349549510ced36f12,25/06/2023 22:50:56,ESCANER
10809,"Quetzaltenango",9,"San Carlos Sija",4,1435,315,8,13,0,31,11,1,10,3,0,23,100,4,1,105,0,105,--,315,210,100,105,105,Algún campo sin dato,1,62b295b6b59f8dd4c2033a6a7b8d6fa19a9845240d7c79c488a16a50c1c3f7f8,25/06/2023 22:14:06,ESCANER
10810,"Quetzaltenango",9,"San Carlos Sija",4,1435,315,3,10,0,21,5,1,6,0,0,36,82,2,0,84,2,86,--,315,229,82,84,86,Algún campo sin dato,1,0d88ad6973cec88b00e2cc7e43bcc1d7a75a38e3151291acd14d8f7c3f004b9c,25/06/2023 23:21:54,ESCANER
10811,"Quetzaltenango",9,"San Carlos Sija",4,1436,380,8,33,2,27,22,2,2,20,1,43,160,18,6,184,0,184,--,380,196,160,184,184,Algún campo sin dato,1,f7cb21fd5a786f91890b833eccdcbd3c0a08314b41c9ec3a94711d5dea39043a,26/06/2023 01:25:49,ESCANER
10812,"Quetzaltenango",9,"San Carlos Sija",4,1436,380,9,55,2,24,13,1,1,20,1,38,164,7,7,178,0,178,--,376,198,164,178,178,Algún campo sin dato,1,8d4751e7f39f6b817caee7c02a58148ee578f6ac18cbb98606efe5c5cb3c15f3,26/06/2023 02:04:21,ESCANER
10813,"Quetzaltenango",9,"San Carlos Sija",4,1436,380,10,36,0,21,22,3,1,21,1,36,151,10,5,166,0,166,--,376,210,151,166,166,Algún campo sin dato,1,55e89179294003b20aaf40289f5ea8ebdf745ff8c405cc7e054138c78013645f,26/06/2023 02:35:42,ESCANER
10814,"Quetzaltenango",9,"San Carlos Sija",4,1436,380,10,33,1,22,18,4,0,25,0,41,154,5,1,160,0,160,--,379,219,154,160,160,Algún campo sin dato,1,4e62425701355ce3d3c0bce074a3f703b87b42dd6c6199c621e04796ac2bf92c,26/06/2023 01:34:03,ESCANER
10815,"Quetzaltenango",9,"San Carlos Sija",4,1436,294,6,16,0,19,11,1,3,17,2,22,97,4,5,106,0,106,--,294,188,97,106,106,Algún campo sin dato,1,2344e8d87f163155255653f0509ccc4545db42ca9d2cbc71cf008b5f46078136,26/06/2023 01:52:05,ESCANER
10816,"Quetzaltenango",9,"San Carlos Sija",4,1436,293,8,23,0,16,12,3,1,16,0,17,96,3,0,99,0,99,--,293,194,96,99,99,Algún campo sin dato,1,7eb4c6e15bbd1b80d51eaa32ef765d151902c10bca85250d211304fd2839f078,26/06/2023 01:40:23,ESCANER
10817,"Quetzaltenango",9,"San Carlos Sija",4,1437,380,23,60,7,6,49,2,5,3,0,37,192,10,4,206,0,206,--,380,174,192,206,206,Algún campo sin dato,1,340b976483f9698dd6282333c5ac52636638dbfb83b91a3165cb53c1215744d4,26/06/2023 00:28:33,ESCANER
