TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
57,57,100.0000,57,100.0000,0,21598,12745,59.0100

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VALOR,VAMOS,MLP,UNE,VIVA,ELEFANTE,PIN,TODOS,UR,PPN,BIEN,CREO,URNG-MAIZ WINAQ SEMILLA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
12957,"Retalhuleu",11,"Champerico",7,1771,400,23,32,36,5,22,91,5,1,2,2,4,0,0,10,233,8,1,242,0,242,--,--,--,233,242,242,Algún campo sin dato,1,23701075ba2dcf5bcd80b75367f2f0acab47360b02662432f54a7aa647bdc159,26/06/2023 02:56:32,ESCANER
12958,"Retalhuleu",11,"Champerico",7,1771,400,31,31,31,1,17,112,1,0,0,0,4,0,3,12,243,8,3,254,0,254,1,404,149,243,254,254,,1,10c66ecd08975c443d53351f1916fedbd581449d719c662aa4ce6b03bf4715d8,26/06/2023 03:06:55,ESCANER
12959,"Retalhuleu",11,"Champerico",7,1771,400,26,48,33,8,21,97,4,1,3,1,5,0,1,10,258,10,1,269,0,269,--,404,135,258,269,269,Algún campo sin dato,1,442e3c3159444b6aaeac4fae098e614451db26d38fdd69f87ba332f553dba760,25/06/2023 23:44:51,ESCANER
12960,"Retalhuleu",11,"Champerico",7,1771,400,41,21,25,2,22,101,2,0,0,1,1,0,0,8,224,7,1,232,0,232,--,401,169,224,232,232,Algún campo sin dato,1,35f434d8743946246bfb3f9ea0834a9f382f9301127cb2b1e581ef2f6b425ec7,26/06/2023 03:20:12,ESCANER
12961,"Retalhuleu",11,"Champerico",7,1771,400,44,22,28,3,17,96,9,0,1,1,4,1,0,12,238,4,0,242,0,242,--,404,162,238,242,242,Algún campo sin dato,1,55056e8d2a9e40c051cc992fd9845a3850184ff82a79ae0cb012ac96cd1f37c1,26/06/2023 03:30:00,ESCANER
12962,"Retalhuleu",11,"Champerico",7,1771,400,38,30,17,2,18,102,7,0,0,0,2,0,0,7,223,3,0,226,0,226,--,404,178,223,226,226,Algún campo sin dato,1,7723717b4df70fb03826e8d355833f59c4d22265bc43c70851eb0ce840b617d8,26/06/2023 03:38:33,ESCANER
12963,"Retalhuleu",11,"Champerico",7,1771,392,35,33,27,2,23,105,10,0,0,0,5,0,0,11,251,4,1,256,0,256,--,388,132,251,256,256,Algún campo sin dato,1,2647b21ef5457ea037697d0942b5acff181fbf5bb147f8bad74c7e0fbcb7d651,26/06/2023 03:53:52,ESCANER
12964,"Retalhuleu",11,"Champerico",7,1771,392,33,26,29,3,16,65,7,0,0,2,2,0,0,7,190,2,2,194,0,194,--,393,199,190,194,194,Algún campo sin dato,1,e06104f5de354dd3b6d8bef4e13b4da27936b4987be3f351cbfa2d2a1751a5ef,26/06/2023 03:45:21,ESCANER
12965,"Retalhuleu",11,"Champerico",7,1772,380,31,42,24,20,19,35,9,0,0,0,4,3,1,24,212,22,6,240,0,240,0,380,140,212,240,240,,1,3ba5e815b90705f7ac85f4c9177b0778a95d4c86c4aba17b637c02710a0a4c9b,26/06/2023 00:34:38,ESCANER
12966,"Retalhuleu",11,"Champerico",7,1772,380,36,49,27,15,19,46,7,0,2,1,3,0,0,25,230,21,3,254,0,254,1,384,129,230,254,254,,1,cc004cc9f0e883c518d58a87f8d7b7774100b6cf252ba6e8b6fc1c3fca34e4d8,26/06/2023 01:22:32,ESCANER
12967,"Retalhuleu",11,"Champerico",7,1772,380,34,46,33,20,25,40,0,0,3,0,6,0,0,25,232,13,8,253,0,253,--,381,131,232,253,253,Algún campo sin dato,1,749235f4c0617b48cf8c3ffeed6cf10d671e3343b54055ac6689770aff493777,26/06/2023 02:33:28,ESCANER
12968,"Retalhuleu",11,"Champerico",7,1772,380,30,47,26,22,20,57,4,0,1,0,5,2,0,30,244,19,0,263,0,263,0,384,121,244,263,263,,1,b0a41b7ef27edc2d109a979c51ff31468f55489a808f4cedc0deb4124daf6e60,26/06/2023 02:36:58,ESCANER
12969,"Retalhuleu",11,"Champerico",7,1772,380,31,30,26,22,24,44,3,0,0,0,2,0,0,35,217,18,1,236,0,236,--,396,160,217,236,236,Algún campo sin dato,1,5d53a9877751cc79fb7d3f5e156bc8ce1a9fcbbd567dc2312a055aa1139765c7,26/06/2023 02:00:20,ESCANER
12970,"Retalhuleu",11,"Champerico",7,1772,380,26,40,15,20,19,52,1,0,0,0,4,0,0,22,199,13,2,214,0,214,--,383,169,199,214,214,Algún campo sin dato,1,fc766274e368bdd8202cb6e329a7c43ba8ebf03354a76276dddfe458ea5cf311,25/06/2023 23:38:59,ESCANER
12971,"Retalhuleu",11,"Champerico",7,1772,380,33,51,22,28,21,53,2,0,0,0,7,0,0,21,238,14,3,255,0,255,--,381,126,238,255,255,Algún campo sin dato,1,d301d89004c952bf3ae723517bf2f1d4907a3712ca7de92e25a9bdfefe20575a,26/06/2023 01:01:35,ESCANER
12972,"Retalhuleu",11,"Champerico",7,1772,380,32,43,28,21,25,36,2,0,0,0,6,1,0,37,231,17,4,252,0,252,1,384,129,231,252,252,,1,53f0cea404241fe67835e78362d59e19711663df94fef25fa8c24795ded704dc,26/06/2023 01:56:14,ESCANER
12973,"Retalhuleu",11,"Champerico",7,1772,380,32,42,22,27,18,45,5,0,0,0,4,0,0,25,220,13,11,244,0,244,0,383,139,220,244,244,,1,7a937d2d4cf56af80d115783d81cf7fa9bf956d9b747e2e287d36730ce7b233a,25/06/2023 23:06:59,ESCANER
12974,"Retalhuleu",11,"Champerico",7,1772,380,46,25,24,23,23,40,6,1,1,0,5,1,2,30,227,18,5,250,0,250,--,384,134,227,250,250,Algún campo sin dato,1,60ec1821cfc663897bb63d2938ec2e83e789b936ae786092b36059e6fc985bfb,26/06/2023 01:15:19,ESCANER
12975,"Retalhuleu",11,"Champerico",7,1772,380,32,61,23,18,17,38,1,0,0,0,4,1,0,25,220,16,6,242,0,242,--,--,--,220,242,242,Algún campo sin dato,1,d6131e2e13b3aba23f98bd1c47c5e0c8fafb87c00cb81961abd363d523933451,26/06/2023 00:07:22,ESCANER
12976,"Retalhuleu",11,"Champerico",7,1772,380,26,40,24,18,14,38,1,0,0,1,4,3,0,24,193,18,4,215,0,215,--,384,166,193,215,215,Algún campo sin dato,1,77c6c6919ba438e220846c785f56205a81ba27f5dce60d0d7f5e31b814238c4f,25/06/2023 23:13:34,ESCANER
12977,"Retalhuleu",11,"Champerico",7,1772,380,37,49,13,25,15,41,2,0,0,0,1,2,0,27,212,3,1,216,0,216,--,304,168,212,216,216,Algún campo sin dato,1,2217394b720d7930422d4e0b0958e9c8e27d123647e2bbb888f66d126303c010,26/06/2023 02:43:39,ESCANER
12978,"Retalhuleu",11,"Champerico",7,1772,380,44,54,16,16,25,34,2,0,0,0,3,0,0,30,224,2,3,229,0,229,--,381,152,224,229,229,Algún campo sin dato,1,b6fafc19bd754d9e0064faa126d3106ce00b04db18b748e1651cd7b1201c8d39,26/06/2023 01:27:47,ESCANER
