TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
745,745,100.0000,742,99.5973,3,296306,186114,62.8114

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,PPG,TODOS,VAMOS,AZUL,UNIONISTA,WINAQ,CAMBIO,PPN,VIVA,CABAL,MLP,PIN,ELEFANTE,P A N,VICTORIA,PODEMOS,CREO,VALOR,FCN-NACION,UR,BIEN,SEMILLA,VOS,MI FAMILIA,PHG,PODER,UNE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
2904,"Guatemala",1,"Mixco",8,269,204,44,0,1,8,2,5,1,2,3,1,0,0,7,2,3,1,0,6,0,2,2,38,2,0,0,0,0,130,0,1,131,0,131,--,204,73,130,131,131,Algún campo sin dato,1,aa5994bade6982e22ee95d2526265fe64749926b418836c803f9f926a87499bd,25/06/2023 21:32:07,ESCANER
2905,"Guatemala",1,"Mixco",8,269,204,27,1,2,5,5,2,3,5,2,1,0,1,5,1,2,0,1,5,1,1,1,20,2,0,0,1,1,95,4,1,100,0,100,--,204,104,95,100,100,Algún campo sin dato,1,434251570e0cdcf5d7458f147d2d36aff14f344ceb13e1ba95b31cc2be1df720,25/06/2023 22:38:52,ESCANER
2906,"Guatemala",1,"Mixco",8,270,400,71,8,7,27,6,6,3,6,9,6,2,0,19,6,14,6,2,18,0,2,4,36,7,2,2,1,0,270,23,0,293,0,293,--,400,107,270,293,293,Algún campo sin dato,1,a931c2526aadc98b30986ce16e0eafabd7d7ed3bc76ca0dca9d81e528a22ca36,26/06/2023 01:36:39,ESCANER
2907,"Guatemala",1,"Mixco",8,271,400,70,3,2,31,2,4,4,15,8,6,3,0,13,5,12,3,1,21,0,3,3,35,12,2,1,0,0,259,13,4,276,1,277,--,400,125,259,276,277,Algún campo sin dato,1,6f115c27c6a70456ad2f7a8745deeed036bf69244bfa4793372f7c8e4631589c,26/06/2023 00:19:48,ESCANER
2908,"Guatemala",1,"Mixco",8,271,400,73,6,7,21,4,9,3,11,11,6,1,1,26,2,11,0,1,27,1,5,4,18,14,1,0,0,2,265,15,2,282,0,282,--,400,117,265,282,282,Algún campo sin dato,1,2c184152197814efc079b2aada3098d8c923fae9cd40974369a3b68805422c00,26/06/2023 00:37:19,ESCANER
2909,"Guatemala",1,"Mixco",8,272,400,70,6,6,21,4,2,4,6,14,4,3,1,31,5,14,2,2,26,0,3,3,29,8,0,2,0,2,268,19,1,288,0,288,--,400,112,268,288,288,Algún campo sin dato,1,4cc338ebfc21cf59b47b18396b89e2a125c6c4f985cbf8adbff60609e0a5c8da,26/06/2023 00:31:12,ESCANER
2910,"Guatemala",1,"Mixco",8,272,400,66,3,1,31,2,3,2,15,9,8,0,0,23,1,14,2,2,19,0,6,0,26,7,3,0,0,1,244,28,2,274,1,275,--,400,125,244,274,275,Algún campo sin dato,1,80034263c19a6f8d82b54ef12b4cdcbb24412718866c6b7d5130b346276b01b9,26/06/2023 02:39:13,ESCANER
2911,"Guatemala",1,"Mixco",8,272,400,77,3,2,22,6,3,1,17,5,5,2,1,31,2,12,2,4,18,0,4,7,31,4,1,2,1,2,265,11,2,278,0,278,--,400,122,265,278,278,Algún campo sin dato,1,5115d86558d8d75220937604bada3465877858f78d393ddad1a712458d5174b3,26/06/2023 04:33:47,ESCANER
2912,"Guatemala",1,"Mixco",8,272,400,83,2,3,22,4,3,5,7,10,4,2,0,13,2,4,0,1,20,0,6,3,57,9,2,0,2,1,265,16,--,--,--,281,--,200,593,265,281,281,Algún campo sin dato,1,552405aac087f9573f232b747f3a1580fedb3495fa0089560f71dd6ec1c9e834,26/06/2023 02:42:29,ESCANER
2913,"Guatemala",1,"Mixco",8,272,400,84,6,10,22,6,3,6,5,9,1,1,1,5,2,10,4,0,21,1,1,3,34,13,1,1,0,4,293,17,1,293,0,293,--,--,--,254,272,272,Sumas Asentadas sin cuadrar,1,b960389961e1a6353ac2af5a1e5247124c40b839fe7585c0d66a994aa5c3e456,26/06/2023 04:04:52,ESCANER
2914,"Guatemala",1,"Mixco",8,272,400,74,2,2,26,4,9,5,14,12,4,1,2,12,5,11,2,2,17,1,5,4,51,11,1,1,0,0,278,18,0,296,0,296,--,400,104,278,296,296,Algún campo sin dato,1,37b40921f090d347212c4abd4ff3eeec9311be5e2fbcbd9c530a3fce17f38e5f,26/06/2023 01:04:40,ESCANER
2915,"Guatemala",1,"Mixco",8,272,400,87,7,6,15,6,15,0,9,3,6,1,2,14,3,0,0,3,31,1,4,2,34,12,2,0,0,0,274,15,0,289,0,289,--,400,111,263,278,278,Sumas Asentadas sin cuadrar,1,94a993377fb32b7da8845dc9a104aef4a35bf2b25278665841bf81f08508dec6,26/06/2023 01:13:38,ESCANER
2916,"Guatemala",1,"Mixco",8,272,400,89,6,4,26,4,5,1,9,7,9,1,0,21,2,6,5,1,24,0,1,6,37,9,1,1,0,5,280,10,1,291,1,292,--,400,108,280,291,292,Algún campo sin dato,1,d2d9dabb5643c9cc6f3797edaa5c16beeeac964bf80bef673e901a6be290d939,25/06/2023 23:22:03,ESCANER
2917,"Guatemala",1,"Mixco",8,272,400,90,3,1,22,4,5,6,14,8,5,2,0,16,3,5,3,2,20,0,5,5,34,12,6,1,0,1,273,13,0,286,0,286,--,400,114,273,286,286,Algún campo sin dato,1,1c6d47736c51bd3bee197f5606e4b4a5a9f55a91075bcf166e33e9fe52009597,26/06/2023 00:50:35,ESCANER
2918,"Guatemala",1,"Mixco",8,272,400,82,7,3,30,6,4,5,8,8,1,2,0,24,5,3,1,0,18,2,1,7,38,14,2,0,0,0,271,26,2,299,0,299,--,400,101,271,299,299,Algún campo sin dato,1,9d7c7daa629dff1d01e9d657c9219ca62c6832eb06e582aca6c3f22639900233,26/06/2023 02:07:56,ESCANER
2919,"Guatemala",1,"Mixco",8,273,400,74,5,6,23,10,5,4,12,8,2,1,1,20,6,8,6,0,27,0,6,4,44,14,0,0,1,1,288,15,1,304,0,304,--,400,96,288,304,304,Algún campo sin dato,1,359f832bf19fe38b6b1c468bb85e0702750298f68e662cd63c2d2a33ddcad1a3,26/06/2023 00:03:03,ESCANER
2920,"Guatemala",1,"Mixco",8,273,400,87,5,5,22,8,4,6,12,11,4,0,0,22,5,15,5,2,14,0,8,6,28,9,2,2,0,2,284,10,1,295,0,295,--,400,105,284,295,295,Algún campo sin dato,1,63c319ace1809996e8d121b262677c38258cd549c36f7def71e267de1dcb516c,26/06/2023 00:46:01,ESCANER
2921,"Guatemala",1,"Mixco",8,273,400,74,3,5,37,4,4,4,15,9,2,1,0,17,3,9,3,1,19,0,5,4,24,8,6,0,0,1,258,13,0,271,0,271,--,400,129,258,271,271,Algún campo sin dato,1,bc004a4fefd7e64b73cce024b3518976329f07f33972f2bea039c3cd34c7d5f1,26/06/2023 01:07:53,ESCANER
2922,"Guatemala",1,"Mixco",8,273,400,62,3,4,28,1,5,6,13,4,3,0,1,14,8,2,4,1,28,0,2,1,56,6,0,3,0,1,256,8,1,265,0,265,--,400,135,256,265,265,Algún campo sin dato,1,b730ad0ec1b544990e76a69cfd1dbd2ea2e089aea747095420aa39974b6f2d88,25/06/2023 23:18:52,ESCANER
2923,"Guatemala",1,"Mixco",8,274,400,81,3,2,26,3,4,3,17,5,4,1,0,12,3,4,2,1,24,1,4,3,70,4,0,2,0,0,279,7,0,286,0,286,--,400,114,279,286,286,Algún campo sin dato,1,d6a5abfc18df54198089054ae15ca11166ea92bf627ce09784bfaf39e6bb46cd,25/06/2023 23:58:03,ESCANER
2924,"Guatemala",1,"Mixco",8,274,400,84,3,1,32,0,3,0,16,3,2,3,1,20,1,1,4,1,16,0,2,3,81,5,0,0,0,0,282,8,0,290,0,290,--,400,110,282,290,290,Algún campo sin dato,1,51a608b5c601352b9bcaeb47b8e2895465efc678bc4cf35051fa73730e478fba,26/06/2023 00:30:31,ESCANER
2925,"Guatemala",1,"Mixco",8,274,400,74,2,4,19,2,3,2,5,2,1,1,0,11,0,2,3,1,8,0,0,7,67,13,1,0,0,0,228,9,0,237,0,237,--,400,163,228,237,237,Algún campo sin dato,1,e2f176f3ccefb8fe02f8ea92f9351556c5112fd5ae627cbdc0ca00dbda387a79,26/06/2023 00:29:14,ESCANER
2926,"Guatemala",1,"Mixco",8,274,290,68,1,4,13,0,0,2,16,2,3,0,1,13,4,4,2,1,10,0,0,2,36,5,0,0,0,0,187,12,2,201,0,201,--,290,89,187,201,201,Algún campo sin dato,1,a532a0f530de3b8c746d03885b333995436cdc6a4b0116dd2bc5eb3621630610,25/06/2023 23:27:46,ESCANER
2927,"Guatemala",1,"Mixco",8,274,289,53,0,0,17,2,2,0,9,2,3,2,0,11,3,4,2,0,5,0,1,2,59,3,0,2,0,0,182,3,0,185,1,186,--,293,107,182,185,186,Algún campo sin dato,1,e49d01219dcdadc85bc6387e722829fad2f0dd38c4a1692fb2b75c8b1d6df944,26/06/2023 00:16:28,ESCANER
2928,"Guatemala",1,"Mixco",8,275,400,70,2,8,21,3,3,12,6,12,6,0,0,14,14,12,1,2,20,0,18,0,19,9,3,2,0,5,264,27,1,292,0,292,--,400,108,262,290,290,Sumas Asentadas sin cuadrar,1,06c4773117e5ec596a42e34b5472a6fb3a70f07351743a4ed42063130f6301d0,26/06/2023 03:26:29,ESCANER
2929,"Guatemala",1,"Mixco",8,275,400,76,1,8,22,1,4,17,9,15,8,3,0,9,13,12,0,2,13,1,10,1,20,11,0,1,0,8,265,20,0,285,0,285,--,400,115,265,285,285,Algún campo sin dato,1,9602e31475eec84cb2a737ea0e85463381d29289f282ffb15e512f68295e3619,26/06/2023 02:33:01,ESCANER
2930,"Guatemala",1,"Mixco",8,275,400,63,1,7,11,2,7,12,10,15,8,1,0,15,11,16,2,0,19,3,14,5,22,5,5,1,0,6,261,18,4,283,0,283,--,400,117,261,283,283,Algún campo sin dato,1,4c6795fc4dedd7f81386ac9b8f698483b69adb45699d1edc13dd09bfa1f79865,26/06/2023 01:07:53,ESCANER
2931,"Guatemala",1,"Mixco",8,275,400,94,0,5,22,3,3,11,6,10,6,1,0,8,5,12,1,1,13,0,9,3,22,4,2,1,0,3,245,15,0,260,0,260,0,400,140,245,260,260,,1,9ee85a08037d8d2e279ad294bda0f36fd2648dc0d30b69b67e851c36bbea8d86,26/06/2023 00:52:29,ESCANER
2932,"Guatemala",1,"Mixco",8,275,400,71,2,10,15,3,1,8,6,9,4,0,0,11,6,10,2,1,19,3,15,2,12,12,3,0,1,1,227,12,4,243,0,243,--,400,157,227,243,243,Algún campo sin dato,1,105f43feaa8b320b5b3ad2bfc23ac8c305be7d79b2286ccc944272e6833532b4,26/06/2023 00:26:35,ESCANER
2933,"Guatemala",1,"Mixco",8,275,400,73,2,8,16,3,4,12,15,12,5,1,2,10,11,11,0,5,19,2,11,2,13,11,2,1,0,6,257,9,1,267,0,267,--,400,133,257,267,267,Algún campo sin dato,1,c4c3d976b8db6cde68a14830b10dd940a582c7a358f4cc4261852384b5c7a326,25/06/2023 23:45:16,ESCANER
2934,"Guatemala",1,"Mixco",8,276,400,77,0,5,28,0,4,7,4,7,2,2,0,9,17,11,0,1,12,1,5,5,25,9,3,0,0,7,241,10,2,253,0,253,--,400,147,241,253,253,Algún campo sin dato,1,e666c7065ce86ed1a659027bc54cc5048addd9b1020b90aba1ee8470e408b618,25/06/2023 23:59:18,ESCANER
2935,"Guatemala",1,"Mixco",8,276,400,88,2,5,8,0,3,10,8,11,2,0,1,14,11,10,0,1,17,2,15,4,29,9,0,3,1,3,257,19,3,279,0,279,--,400,121,257,279,279,Algún campo sin dato,1,2c1132eb23559e7ebe046614d424206cb6ca099558db188523433cc5b795f533,26/06/2023 01:53:07,ESCANER
2936,"Guatemala",1,"Mixco",8,276,400,72,1,10,12,1,4,12,9,10,6,0,1,11,8,16,1,5,13,1,13,3,26,9,2,1,0,5,252,13,1,266,0,266,--,400,134,252,266,266,Algún campo sin dato,1,b4d6b943b0f8867a09abac99d337ff55ae552789120200e6825b97c24143577c,26/06/2023 00:28:47,ESCANER
2937,"Guatemala",1,"Mixco",8,276,400,87,3,13,17,1,1,14,4,10,12,2,0,10,14,13,1,1,16,2,5,3,18,6,5,0,0,5,263,21,6,290,0,290,--,400,110,263,290,290,Algún campo sin dato,1,dd395beec2dabb267094a567bd9632310ccb1c0f68d4fe51b52d72974bc5ffbb,26/06/2023 02:27:21,ESCANER
2938,"Guatemala",1,"Mixco",8,276,400,86,5,6,23,2,1,10,9,8,5,3,--,11,6,10,2,2,8,1,9,2,20,4,1,--,--,2,236,17,1,254,0,254,--,397,143,236,254,254,Algún campo sin dato,1,433b2943e803065e76868b76e0067baa307318d1a0fca919e7629b1b1231a9dd,26/06/2023 04:27:05,ESCANER
2939,"Guatemala",1,"Mixco",8,277,400,78,3,4,10,1,2,12,7,8,2,1,0,13,6,16,3,0,9,0,11,1,24,4,2,0,1,2,220,18,1,239,0,239,0,400,161,220,239,239,,1,f872240856bcc8ce7be4ae554d309cac3d92b15fde4181734e277b80aec8f026,26/06/2023 00:23:44,ESCANER
2940,"Guatemala",1,"Mixco",8,277,400,86,4,2,17,3,2,9,12,10,3,1,0,10,10,8,0,2,7,4,12,3,23,4,0,1,0,2,235,10,3,248,0,248,--,395,147,235,248,248,Algún campo sin dato,1,195578d232286b15eccd5170178ab0d123247aa8ddc7ec439672fd84e12cbb50,25/06/2023 23:46:43,ESCANER
2941,"Guatemala",1,"Mixco",8,277,400,95,2,4,15,5,2,8,9,4,1,1,0,10,11,8,2,1,16,1,6,2,43,6,2,0,3,3,260,6,0,266,0,266,--,--,--,260,266,266,Algún campo sin dato,1,924e4890e32194593a2fc23fdfcfd64b16232b0703133bc7e0da6c160adb4aea,25/06/2023 23:56:00,ESCANER
2942,"Guatemala",1,"Mixco",8,277,400,76,1,0,16,1,2,7,11,7,2,1,1,5,15,4,1,1,18,0,6,1,40,5,2,1,1,1,226,10,0,236,0,236,--,400,164,226,236,236,Algún campo sin dato,1,0e319304c104f95c0e87170d07ec2ee375991a2283e4588b9b07a0134879e285,26/06/2023 00:39:20,ESCANER
2943,"Guatemala",1,"Mixco",8,277,252,50,1,1,12,0,3,3,5,5,1,0,0,1,5,2,0,0,7,0,3,0,20,3,0,0,0,0,122,1,0,123,0,123,--,249,126,122,123,123,Algún campo sin dato,1,ef0d11b56c4635aec73b63da7beee3cecf768f98ba9c720562fa0b12a2864b42,25/06/2023 21:52:11,ESCANER
2944,"Guatemala",1,"Mixco",8,277,251,47,2,1,10,1,0,8,2,2,0,0,0,6,3,4,0,1,7,1,3,3,29,3,0,0,0,1,134,2,0,136,0,136,--,251,115,134,136,136,Algún campo sin dato,1,6abf37f41b4acd0de9eb291467d10456380b2ceefacf7b12ab8b9cfeb14e8505,25/06/2023 23:03:00,ESCANER
2945,"Guatemala",1,"Mixco",8,278,400,75,4,6,44,7,5,5,9,16,4,0,2,12,2,5,6,2,15,0,4,4,33,10,6,1,0,0,277,17,0,294,0,294,--,--,--,277,294,294,Algún campo sin dato,1,134d2231a475e49e5b05e43891529496b3b715f665e922ffcdb4ccad822a67e0,26/06/2023 02:30:01,ESCANER
2946,"Guatemala",1,"Mixco",8,278,400,65,5,8,54,6,5,1,10,17,5,1,2,17,2,6,5,0,10,0,7,1,23,7,3,4,0,6,270,18,1,289,111,400,--,400,111,270,289,400,Algún campo sin dato,1,3cd6b62e342585d4bbf6595c81acd68e5908de610a98e9199ad91722ccd84b53,26/06/2023 02:04:47,ESCANER
2947,"Guatemala",1,"Mixco",8,278,400,59,2,9,40,8,6,4,20,11,7,0,1,15,3,8,5,1,18,2,5,6,21,8,3,1,1,5,269,15,1,285,0,285,--,400,115,269,285,285,Algún campo sin dato,1,dabac761cbf63d39a1336f02ee7f084043b28d37549a8c96dbf87a90a346c806,25/06/2023 23:39:10,ESCANER
2948,"Guatemala",1,"Mixco",8,278,400,69,2,8,46,7,3,6,5,16,9,4,1,16,5,8,4,3,16,2,5,2,21,11,1,3,0,3,276,20,2,298,0,298,--,400,102,276,298,298,Algún campo sin dato,1,218d522cb4efb3aee97d7c07b40aa0738c9d258933e60e83c11a3974f9fb7564,26/06/2023 02:34:38,ESCANER
2949,"Guatemala",1,"Mixco",8,278,400,59,3,5,41,4,0,5,13,12,7,2,1,19,5,12,3,1,10,2,6,1,32,10,3,1,0,8,265,30,3,298,0,298,--,400,102,265,298,298,Algún campo sin dato,1,24a4fc920673f1e42ca39ed251b350604ea3494ddabb7da337779678e761d6d1,26/06/2023 00:36:24,ESCANER
2950,"Guatemala",1,"Mixco",8,278,400,63,5,5,41,4,2,1,15,10,4,3,1,13,3,10,12,4,13,1,6,4,24,8,3,1,1,4,261,15,4,280,--,--,--,400,120,261,280,280,Algún campo sin dato,1,bb234d77f29d2bbfbb770249e1282ed5356e128db150cf1ac91eb405dad1deb8,26/06/2023 01:27:00,ESCANER
2951,"Guatemala",1,"Mixco",8,278,400,84,3,11,51,7,3,5,8,10,1,0,0,20,4,5,2,0,19,0,0,2,44,9,2,2,0,3,299,10,0,309,0,309,--,400,91,295,305,305,Sumas Asentadas sin cuadrar,1,993c613fd87974f57f2e9a92c75fec262106c0a9943bf219acf72ddcf558a070,26/06/2023 04:37:52,ESCANER
2952,"Guatemala",1,"Mixco",8,278,400,70,2,8,49,5,2,4,11,8,4,2,1,13,0,6,8,0,8,2,3,6,46,14,2,0,1,4,279,12,0,292,108,400,--,400,108,279,291,399,Sumas Asentadas sin cuadrar,1,af8b45cad4db10c0f8e9f2f8be5c416a9e20df857a1fdedaed062c2712ca86cf,26/06/2023 04:49:08,ESCANER
2953,"Guatemala",1,"Mixco",8,278,400,70,3,5,37,5,5,5,8,9,4,3,0,19,3,2,6,1,18,3,4,2,37,8,2,1,0,3,263,16,1,280,0,280,--,400,120,263,280,280,Algún campo sin dato,1,f7b101200ab05b35d5c2fee9ae6fff67704324add50e6838029beb44511838d6,26/06/2023 02:40:47,ESCANER
2954,"Guatemala",1,"Mixco",8,278,400,73,2,7,44,5,4,4,7,9,5,3,1,14,3,3,8,1,20,0,8,1,30,8,1,0,1,3,265,10,1,276,124,400,--,276,124,265,276,400,Algún campo sin dato,1,f4a281eddcfba576396273a446d025b94f8383c8f707e82d6255ac77b133ba9e,26/06/2023 01:39:27,ESCANER
2955,"Guatemala",1,"Mixco",8,278,400,82,2,6,39,10,4,8,13,10,7,2,2,22,6,5,3,0,15,0,4,2,29,10,1,3,1,1,287,9,0,296,0,296,--,--,--,287,296,296,Algún campo sin dato,1,eebee655dd8599d78f163d1e32c64582489db734868c020e5788f119f555ff36,26/06/2023 02:49:54,ESCANER
2956,"Guatemala",1,"Mixco",8,278,400,68,9,8,42,8,3,7,9,14,8,2,1,7,0,6,9,3,10,0,7,4,24,13,3,1,1,3,270,15,0,285,0,285,--,400,115,270,285,285,Algún campo sin dato,1,d501b9087ceeb4bf23493f967a414b0ada3972c0812c7a02b3634a562e13fdb6,26/06/2023 03:23:02,ESCANER
2957,"Guatemala",1,"Mixco",8,278,400,66,3,9,25,6,4,3,10,12,1,1,1,15,1,6,3,1,11,0,13,1,29,8,1,3,1,3,235,21,1,257,0,257,--,397,140,237,259,259,Sumas Asentadas sin cuadrar,1,f1bcda32585815d6d4cb5fca492e116ddbfef2f47b6a052df975f42edc9c63b9,26/06/2023 04:37:30,ESCANER
2958,"Guatemala",1,"Mixco",8,278,400,76,1,5,46,5,4,5,17,14,3,1,0,17,1,5,8,2,10,0,10,4,27,6,2,0,1,1,271,16,0,287,0,287,0,397,110,271,287,287,,1,3d1607a7767feb394a0db038351da6d4aa1c94205134b52c05f3c56d22c30173,26/06/2023 02:47:01,ESCANER
2959,"Guatemala",1,"Mixco",8,278,400,78,4,7,40,5,2,6,8,17,5,0,1,24,1,8,12,0,12,0,5,0,31,13,3,0,1,1,284,16,0,300,0,300,--,400,100,284,300,300,Algún campo sin dato,1,814a0d05809346caa9e5460c8f419c1464bee7994c520c300efcda49e7ce348a,25/06/2023 23:59:21,ESCANER
2960,"Guatemala",1,"Mixco",8,279,400,76,2,9,47,8,7,8,5,14,6,2,0,11,0,8,14,1,11,3,4,5,22,9,2,0,1,3,280,14,1,295,0,295,--,400,105,278,293,293,Sumas Asentadas sin cuadrar,1,4a66dd0c6967c7bc607187f111f724595ec08e7aa645f60f7478fbfd7703f250,26/06/2023 00:52:59,ESCANER
2961,"Guatemala",1,"Mixco",8,279,400,80,3,5,43,9,2,7,9,9,8,2,2,16,1,2,8,2,10,1,7,0,18,10,3,0,0,2,259,18,120,397,0,397,--,400,--,259,397,397,Algún campo sin dato,1,de5be41f9dbef5b596ffd159ab303b1862c2a7ed8ffe18e2d41e41a159c5d600,26/06/2023 01:58:52,ESCANER
2962,"Guatemala",1,"Mixco",8,279,400,64,1,10,48,10,6,10,10,13,7,1,1,12,0,5,11,1,9,1,6,3,25,8,3,2,0,0,267,13,0,280,0,280,--,400,120,267,280,280,Algún campo sin dato,1,db1131382cff42c162a834286c077955efedd65b4ec57d00cd1708cea5022eb6,26/06/2023 01:39:12,ESCANER
2963,"Guatemala",1,"Mixco",8,279,400,78,5,11,47,5,4,9,8,13,5,1,1,19,5,3,4,3,10,1,5,5,29,7,0,0,0,3,281,16,1,298,2,300,--,400,100,281,298,300,Algún campo sin dato,1,e26ba2b73657a6dded35b376b3dd786621d0a26aa76edc90b9e55c6f598f531b,26/06/2023 02:48:06,ESCANER
2964,"Guatemala",1,"Mixco",8,279,400,67,3,12,50,5,3,9,4,4,4,0,0,11,1,7,8,4,11,0,5,4,26,4,4,0,1,3,257,14,0,271,1,272,--,408,136,250,264,265,Sumas Asentadas sin cuadrar,1,8b49068c7601ad492101bb3701c302bacd246ec47f10435c5457f7f219ea7978,26/06/2023 02:33:13,ESCANER
2965,"Guatemala",1,"Mixco",8,279,400,57,6,7,44,2,2,5,9,18,4,2,1,17,2,4,1,1,10,0,4,5,29,8,4,3,0,2,247,12,0,259,0,259,--,400,141,247,259,259,Algún campo sin dato,1,0c249ccdbc70110999b4f9109985a8780241a3d80919af154c8a6cad3a2f4f5c,26/06/2023 02:28:00,ESCANER
2966,"Guatemala",1,"Mixco",8,279,400,67,4,8,39,7,5,7,14,11,5,1,2,15,3,3,6,0,13,0,7,5,33,3,2,2,1,4,267,10,0,--,0,--,--,400,277,267,277,277,Algún campo sin dato,1,a5ff13e227d3dcb6c6e504923f01e17a33946fb00f031a6edb446f15ad02c820,26/06/2023 01:24:30,ESCANER
2967,"Guatemala",1,"Mixco",8,280,400,56,3,4,46,2,1,6,7,6,2,2,0,11,4,3,5,1,9,2,0,3,45,2,3,1,0,0,226,14,2,242,0,242,--,242,158,224,240,240,Sumas Asentadas sin cuadrar,1,4f3dc784f9c32a48728039d96c4d53cc1d56c937d6a323cf626b6503678d9a0b,26/06/2023 00:44:28,ESCANER
2968,"Guatemala",1,"Mixco",8,280,400,81,2,6,56,2,5,5,11,5,5,1,0,13,0,2,3,0,9,0,5,5,58,3,0,2,0,0,279,7,0,286,0,286,--,399,112,279,286,286,Algún campo sin dato,1,6eec35085356fcf9eb5e0fb3ad094501c37769d57747c4d6d16e725e193a1e75,26/06/2023 00:15:38,ESCANER
2969,"Guatemala",1,"Mixco",8,280,400,70,2,8,47,4,1,6,8,10,4,0,0,7,4,1,2,0,6,1,3,1,57,6,2,4,1,1,256,4,0,260,0,260,--,--,--,256,260,260,Algún campo sin dato,1,3c185cd30797d43e7ce245144dc459db6837d663c8a7e24542c5a407defb7b9a,26/06/2023 00:08:08,ESCANER
2970,"Guatemala",1,"Mixco",8,280,400,61,3,5,34,2,1,5,11,9,4,1,1,10,2,3,3,1,5,1,3,2,40,6,2,2,1,0,218,10,0,228,0,228,--,403,175,218,228,228,Algún campo sin dato,1,473ada2cf6b033a9c0565937238098f675aee302988892c1564fdf26dc5ac2dc,25/06/2023 23:22:42,ESCANER
2971,"Guatemala",1,"Mixco",8,280,233,39,4,3,24,3,2,6,3,5,2,0,0,7,3,1,1,1,5,2,1,2,31,2,1,0,0,0,148,3,0,151,0,151,--,232,81,148,151,151,Algún campo sin dato,1,0bc6233b45b9f94d6cc67c9fb9d6ffc3783baae2f038ea88012ba5180968e14c,25/06/2023 23:44:20,ESCANER
2972,"Guatemala",1,"Mixco",8,280,233,34,1,2,17,2,0,4,6,10,0,1,0,5,0,1,0,0,1,0,2,4,28,7,0,1,0,3,129,5,0,134,0,134,--,233,99,129,134,134,Algún campo sin dato,1,18a1af914ac03a470039443efaccbf3926b0ecb38adb44c8d216dedf5e3b408e,25/06/2023 23:31:24,ESCANER
2973,"Guatemala",1,"Mixco",8,281,400,76,3,16,31,8,4,9,18,10,2,13,0,11,9,10,1,0,0,6,1,2,19,6,0,4,0,1,260,20,3,283,0,283,--,400,117,260,283,283,Algún campo sin dato,1,302ce011cc5303f25813ec1f9623141483a5d56332e675e87e4b9ed8355205f8,26/06/2023 02:46:37,ESCANER
2974,"Guatemala",1,"Mixco",8,281,400,73,0,14,32,7,3,7,14,17,3,1,0,13,12,17,1,0,16,4,7,5,16,7,2,0,1,4,276,31,0,307,0,307,--,400,93,276,307,307,Algún campo sin dato,1,0211d999d80d5dd868dffe540f4445dd9c5188aaefe7c2e4c91f856bf60e809c,26/06/2023 02:06:37,ESCANER
2975,"Guatemala",1,"Mixco",8,281,400,75,2,12,26,1,5,7,20,12,6,2,0,10,14,12,2,1,11,3,4,2,17,16,2,0,0,2,264,19,2,285,0,285,1,400,315,264,285,285,,1,20194e011379d1a8de30133da7e2ceb7ef9ff64c6904b8c552799488e956dcb9,26/06/2023 02:38:41,ESCANER
2976,"Guatemala",1,"Mixco",8,281,400,68,2,10,33,7,6,9,18,6,4,6,0,12,6,6,4,1,13,2,1,5,28,10,1,0,0,2,260,8,0,268,0,268,--,400,132,260,268,268,Algún campo sin dato,1,a962da0b329d62e1a7d48359830aad671c937965649b5751b29c7730cacffbaf,26/06/2023 02:26:24,ESCANER
2977,"Guatemala",1,"Mixco",8,281,400,62,0,12,32,5,4,5,14,15,4,1,2,3,14,8,2,1,17,6,4,6,23,16,2,0,1,3,262,16,1,279,0,279,--,400,121,262,279,279,Algún campo sin dato,1,a1fd7d377b28a4f09e82fb95f346725d6b82cdd0ef6c5fa65242cfa04fd648a3,26/06/2023 00:30:32,ESCANER
2978,"Guatemala",1,"Mixco",8,281,400,65,4,10,25,1,4,7,15,16,3,0,7,8,7,10,2,4,9,5,6,6,25,10,2,0,3,3,257,10,6,273,0,273,--,400,127,257,273,273,Algún campo sin dato,1,37e019b1e31d026a44fa135afcdc19ad1cc1fe7f9f23d2d91367780fa691d869,26/06/2023 01:08:24,ESCANER
