TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
745,745,100.0000,742,99.5973,3,296306,186114,62.8114

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,PPG,TODOS,VAMOS,AZUL,UNIONISTA,WINAQ,CAMBIO,PPN,VIVA,CABAL,MLP,PIN,ELEFANTE,P A N,VICTORIA,PODEMOS,CREO,VALOR,FCN-NACION,UR,BIEN,SEMILLA,VOS,MI FAMILIA,PHG,PODER,UNE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
2737,"Guatemala",1,"Mixco",8,246,400,95,2,2,20,2,3,4,5,7,6,0,0,4,3,8,1,2,10,0,4,3,17,5,1,6,0,6,216,11,0,227,0,227,--,400,173,216,227,227,Algún campo sin dato,1,5031fd48705b697b756113dc45bc521f1589b187a1cc043b0b2e4b3e73093904,26/06/2023 00:25:10,ESCANER
2738,"Guatemala",1,"Mixco",8,246,400,98,1,9,20,1,1,12,13,10,6,0,0,6,0,12,1,2,8,1,7,2,12,4,1,8,0,4,239,5,1,245,1,246,--,400,154,239,245,246,Algún campo sin dato,1,295b2a38f644825a03740c129737f3d84431e670410495f0dcd3f7344fca31cb,25/06/2023 23:58:15,ESCANER
2739,"Guatemala",1,"Mixco",8,246,400,87,3,2,23,2,3,4,11,6,4,1,0,11,2,5,1,2,6,1,8,4,28,11,1,4,0,1,231,7,0,238,0,238,--,404,166,231,238,238,Algún campo sin dato,1,a3f625df88f9685cb663778b764b8212ac63f0e7bee5f3436da226055cf4e9d5,26/06/2023 00:52:44,ESCANER
2740,"Guatemala",1,"Mixco",8,246,400,119,1,3,21,3,1,10,15,4,4,1,0,5,1,2,3,0,11,0,9,0,58,7,2,6,0,1,287,6,104,293,0,293,--,397,104,287,397,397,Sumas Asentadas sin cuadrar,1,8db37aed35e67ac0103a7999ecb8ece876b01f7636c4a8ae3e1e59dccebaf1f5,25/06/2023 22:55:25,ESCANER
2741,"Guatemala",1,"Mixco",8,246,365,121,0,2,21,3,3,7,8,4,6,0,0,5,1,5,2,0,15,0,2,1,19,3,0,6,0,3,237,3,0,240,0,240,--,365,125,237,240,240,Algún campo sin dato,1,e886ff246611378d02d4db77a79457f213e789bb7c475454a3f909112522b77f,25/06/2023 22:38:11,ESCANER
2742,"Guatemala",1,"Mixco",8,246,364,71,0,5,19,0,2,8,11,4,3,0,0,2,3,5,1,1,6,0,3,0,25,4,1,3,0,1,178,8,2,188,0,188,--,364,176,178,188,188,Algún campo sin dato,1,5ea698ced940a5db759017eaaf4bdd948b3b5164576d7785d276f6ea2ff056d2,25/06/2023 22:26:56,ESCANER
2743,"Guatemala",1,"Mixco",8,247,400,103,0,12,16,5,1,9,13,8,6,0,0,2,1,6,1,1,11,0,10,0,10,5,1,5,0,7,243,24,2,269,0,269,--,400,131,233,259,259,Sumas Asentadas sin cuadrar,1,f78665eb0e963c0d21b136bd19c36dc4e1195994affdf4d03183ad121a0e50a1,26/06/2023 01:39:16,ESCANER
2744,"Guatemala",1,"Mixco",8,247,400,79,3,13,31,3,6,7,7,13,3,0,2,5,0,12,2,0,11,2,4,1,12,2,1,24,0,5,248,17,2,267,0,267,--,399,132,248,267,267,Algún campo sin dato,1,1fcc1e59dea928f68df454148ed9c24419941841aa2e4ac4218fc5b3171584a0,26/06/2023 01:02:43,ESCANER
2745,"Guatemala",1,"Mixco",8,247,400,95,3,13,28,2,1,7,7,15,6,0,0,8,0,11,2,2,11,3,10,0,13,3,1,17,0,2,260,13,5,278,0,278,--,400,122,260,278,278,Algún campo sin dato,1,d8ba5d1e694f06b36a2b1760427704c36f7ff994b0d187687e4c052a6d1ef60d,26/06/2023 01:12:19,ESCANER
2746,"Guatemala",1,"Mixco",8,247,400,82,1,14,31,0,2,7,13,9,8,1,0,4,1,7,2,4,16,1,10,1,9,4,3,18,2,2,252,17,3,272,0,272,--,400,128,252,272,272,Algún campo sin dato,1,63d1702ed2d408becdde5d3e6b1c0400b21627cffec8c52af537f25262db93f3,26/06/2023 02:05:00,ESCANER
2747,"Guatemala",1,"Mixco",8,247,400,98,0,10,27,3,2,9,11,15,7,0,0,4,0,7,3,2,12,0,8,2,9,5,0,13,0,4,251,16,2,269,0,269,--,400,13,251,269,269,Algún campo sin dato,1,de0a94f0a1dfa85428aa6c66f13c3873490d4df23a06feaac318fd2ec515a69d,26/06/2023 01:21:24,ESCANER
2748,"Guatemala",1,"Mixco",8,247,400,86,3,10,27,5,2,10,11,10,5,0,1,4,1,9,4,2,17,0,8,3,9,4,2,14,1,4,275,22,3,300,0,300,--,--,--,252,277,277,Sumas Asentadas sin cuadrar,1,7144eaf9ffd0a5646f1bbcbcd8c996c525dace2d4675d4be6ea547fad8405606,26/06/2023 02:19:03,ESCANER
2749,"Guatemala",1,"Mixco",8,247,400,86,1,12,32,4,3,8,11,8,3,0,0,8,2,12,4,2,16,0,8,0,9,4,3,7,1,7,251,16,4,271,0,271,--,399,129,251,271,271,Algún campo sin dato,1,5e9a92b4bebaa774d866843695ed3cdb84903f947f8b93ab40ea41dc04263f3b,26/06/2023 02:05:29,ESCANER
2750,"Guatemala",1,"Mixco",8,247,400,85,3,12,37,5,3,12,13,11,8,3,0,4,1,9,5,4,9,0,8,1,16,4,1,13,0,3,270,9,2,281,119,400,--,400,119,270,281,400,Algún campo sin dato,1,6d5f2f0184dc4922da90ec8d04f3ff60841d4acb20048f9ca57e62f3502da153,26/06/2023 01:54:00,ESCANER
2751,"Guatemala",1,"Mixco",8,247,400,100,0,6,36,4,4,3,7,8,8,1,0,4,1,11,3,3,9,0,11,0,9,7,3,23,0,4,265,21,0,286,0,286,--,400,114,265,286,286,Algún campo sin dato,1,3f7ffc3deb4a799cc483d25fb5b5b73d42e9cc5583b63f6b798bff2ef22ad832,26/06/2023 00:37:44,ESCANER
2752,"Guatemala",1,"Mixco",8,247,400,103,2,12,24,3,3,2,12,7,11,0,0,6,0,9,2,2,7,0,15,1,8,6,1,13,0,3,252,15,3,270,0,270,--,400,130,252,270,270,Algún campo sin dato,1,302c265a9929f7c9941196269ebdc11a02dfca042259f2ba47e2e4cdeb156288,26/06/2023 02:05:43,ESCANER
2753,"Guatemala",1,"Mixco",8,247,400,92,3,7,38,1,2,3,12,8,14,0,1,3,1,16,5,2,12,1,7,2,9,6,0,15,1,3,265,20,2,287,0,287,--,400,113,264,286,286,Sumas Asentadas sin cuadrar,1,d02b20edf3a759386932908d0311d27b47ad28234862190b52d8fdcdbe4a2ce9,26/06/2023 01:37:36,ESCANER
2754,"Guatemala",1,"Mixco",8,247,400,90,4,6,35,4,1,7,12,10,8,0,0,3,0,11,2,1,17,0,8,2,11,7,3,20,2,2,264,12,1,277,0,277,--,400,123,266,279,279,Sumas Asentadas sin cuadrar,1,1826e97e768efbe91bd0553362aaa75c02d09a746cc8c4eb6aff45f68fb1516a,26/06/2023 01:43:52,ESCANER
2755,"Guatemala",1,"Mixco",8,247,400,97,1,9,30,4,3,8,8,8,5,0,1,3,0,6,3,2,17,1,13,0,12,7,1,18,1,3,262,14,2,278,0,278,--,396,118,261,277,277,Sumas Asentadas sin cuadrar,1,d6397291936cd6c9b3f97356c6fd41f791efde44f6085d6cf856a52cb9ffba78,26/06/2023 01:09:29,ESCANER
2756,"Guatemala",1,"Mixco",8,247,400,80,2,9,40,4,0,9,15,9,10,2,0,3,0,10,2,0,14,2,13,2,10,4,1,17,0,2,257,20,2,279,0,279,--,397,118,260,282,282,Sumas Asentadas sin cuadrar,1,75b88a6bdd7b8bca203fde6a2fad817759eaa0f9e2c9537f1ca0b6b7c4006906,26/06/2023 03:20:57,ESCANER
2757,"Guatemala",1,"Mixco",8,247,400,75,3,5,29,2,2,9,8,9,9,1,0,2,0,7,2,1,12,2,9,0,8,7,1,12,0,1,216,27,1,244,0,244,--,400,156,216,244,244,Algún campo sin dato,1,4d46c0bfa64f0f3fbc73ace1a1a7220cfd545555c671ec629fb2b6eb2f6ea0d4,26/06/2023 01:46:13,ESCANER
2758,"Guatemala",1,"Mixco",8,247,400,103,5,9,35,4,6,9,17,5,6,0,2,2,1,9,0,0,6,0,5,1,14,6,0,8,0,1,254,6,0,260,0,260,--,400,140,254,260,260,Algún campo sin dato,1,4ad65b9400ebc860bb79d805376bce4bd4360914adb8e6e6f81fc897d2abe785,26/06/2023 03:45:49,ESCANER
2759,"Guatemala",1,"Mixco",8,248,400,91,1,5,29,2,4,9,9,10,3,1,0,3,1,6,1,1,7,0,10,1,11,9,1,12,0,0,227,8,0,235,0,235,--,396,161,227,235,235,Algún campo sin dato,1,78aceedf040dc44ad0b05235c76e6df9e60fac54dc5cb713df512c1bd5b0750d,25/06/2023 23:31:16,ESCANER
2760,"Guatemala",1,"Mixco",8,248,400,97,3,6,36,2,2,7,10,6,6,1,0,3,0,3,3,2,10,1,17,0,13,4,1,12,0,2,247,7,1,255,0,255,--,404,149,247,255,255,Algún campo sin dato,1,9b7544d6e608aeadf6591abc0597ee5dc9942ab136b88461bd5c0bb57871dcc9,25/06/2023 23:26:09,ESCANER
