TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
47,47,100.0000,47,100.0000,0,17887,14428,80.6619

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,VAMOS,MLP,UNE,SEMILLA,VICTORIA,VIVA,AZUL,PPN,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
17406,"Quiché",14,"San Juan Cotzal",11,2641,340,84,63,0,0,0,1,17,1,2,52,220,5,2,227,0,227,0,340,113,220,227,227,,1,632b6ee215b312de6ff2d41b68e4311373a06f7bc80c1e8b9f3baf1cfbbb2f8c,26/06/2023 02:01:33,ESCANER
17407,"Quiché",14,"San Juan Cotzal",11,2642,400,99,101,1,4,1,3,12,0,0,104,325,9,3,337,0,337,0,402,65,325,337,337,,1,25bfb052cf299cb2bf347d306882612f57bb75417e36f780ac0e74bbbccab2d1,26/06/2023 01:11:11,ESCANER
17408,"Quiché",14,"San Juan Cotzal",11,2642,400,95,113,0,3,1,2,3,0,2,114,333,9,7,349,16,349,0,400,51,333,349,365,Sumas Asentadas sin cuadrar,1,89309c00576854be7ffae4892e9313f72494ec752561ef23129e10763b7feab4,26/06/2023 01:29:56,ESCANER
17409,"Quiché",14,"San Juan Cotzal",11,2642,400,136,76,4,2,9,1,16,2,1,115,362,6,2,370,0,370,0,401,31,362,370,370,,1,434ba6ecb82bbc724b4806d66c6a0974bc7e98681ddf5ac3cf92a8e25c1a610a,26/06/2023 01:39:19,ESCANER
17410,"Quiché",14,"San Juan Cotzal",11,2643,400,95,104,3,2,2,3,21,2,0,101,333,5,4,342,0,342,0,400,58,333,342,342,,1,0f660f26778cb938e06677874a7c2e0ec2a33e9edf291460242a114db461862b,26/06/2023 01:47:23,ESCANER
17411,"Quiché",14,"San Juan Cotzal",11,2643,400,89,101,0,2,1,0,26,1,0,98,318,5,0,323,0,323,0,380,57,318,323,323,,1,e2f02fcf56987d87155793a498d34f0b87054eb7ef05d5599a396b9e06b3fa09,26/06/2023 00:00:46,ESCANER
17412,"Quiché",14,"San Juan Cotzal",11,2643,400,108,89,2,2,2,0,11,0,0,107,321,0,1,322,0,322,--,--,--,321,322,322,Algún campo sin dato,1,0155e2adc046034bccabb56be021a1996eaa061a534ca60be4252b0c60447acf,26/06/2023 01:58:15,ESCANER
17413,"Quiché",14,"San Juan Cotzal",11,2643,379,96,82,1,1,2,0,17,1,1,95,296,2,0,298,0,298,0,379,81,296,298,298,,1,a20c3560bd1027c226bd3c6e705077935257c56e00cbeed7fe0f552c1ba34de0,26/06/2023 01:50:46,ESCANER
17414,"Quiché",14,"San Juan Cotzal",11,2643,378,96,110,1,3,1,0,15,0,1,72,299,3,1,303,0,303,0,378,75,299,303,303,,1,2c7707739f835f34ea2d3230a10e43bf2bea0a5ce41171b01f7e735da2404934,25/06/2023 23:55:34,ESCANER
17415,"Quiché",14,"San Juan Cotzal",11,2644,380,77,62,1,1,1,2,13,1,0,141,299,7,4,310,0,310,--,377,67,299,310,310,Algún campo sin dato,1,2bd8b1fb4f35c7dca764dcfe4d486e83e15eec54ff538e812866bfd9cf374dbf,26/06/2023 00:44:24,ESCANER
17416,"Quiché",14,"San Juan Cotzal",11,2644,380,70,53,4,1,0,0,18,1,0,145,292,12,6,310,0,310,0,380,70,292,310,310,,1,765580adb5d8b93120b1d471e6be735b75aec6ae0fe1442cb2fa8f96eaff5b0b,26/06/2023 00:14:26,ESCANER
17417,"Quiché",14,"San Juan Cotzal",11,2644,380,86,53,2,6,0,0,23,0,0,136,306,12,6,324,0,324,--,380,56,306,324,324,Algún campo sin dato,1,bc23123affb7ea3173223b16f4e7aa9e7c4898fa07729d75990307c10e866813,26/06/2023 00:38:23,ESCANER
17418,"Quiché",14,"San Juan Cotzal",11,2644,380,66,50,2,4,2,2,16,0,0,168,310,7,6,323,0,323,0,380,57,310,323,323,,1,d693409d26bf913993dd95aec69bff123de99ae4ebfc0754b7dcdc03623ab09d,26/06/2023 00:34:26,ESCANER
17419,"Quiché",14,"San Juan Cotzal",11,2644,380,59,58,0,3,1,1,16,2,0,174,314,7,2,323,0,323,--,323,54,314,323,323,Algún campo sin dato,1,b3c46be0d8695ba53b98d3ad7ea4ba8e7c8c424c0a25b16e91584ab67ca45f5a,26/06/2023 00:53:10,ESCANER
17420,"Quiché",14,"San Juan Cotzal",11,2645,380,85,52,6,3,3,2,8,1,0,168,328,7,5,340,0,340,0,380,40,328,340,340,,1,606937f0a8b1d04342c00ee01812e6dcb18a0af2fc5611a3aa41d1611d0168b2,26/06/2023 03:06:32,ESCANER
