TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
43,43,100.0000,42,97.6744,1,15445,10906,70.6118

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,CABAL,VAMOS,AZUL,PPN,ELEFANTE,BIEN,TODOS,CAMBIO,VALOR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
12411,"Suchitepéquez",10,"Santa Bárbara",15,1688,259,31,12,26,25,26,10,7,15,0,4,156,4,2,162,0,162,--,259,97,156,162,162,Algún campo sin dato,1,4b8b9dd592905ff22a6582cec15d190327f316f10cc45fb978acc581832b2a7e,26/06/2023 00:46:13,ESCANER
12412,"Suchitepéquez",10,"Santa Bárbara",15,1689,400,47,18,94,60,43,10,11,27,1,2,313,11,5,329,0,329,--,400,71,313,329,329,Algún campo sin dato,1,ea6f3b6c06ad3ef38c1ac068896e4a89f307973c8c34d737cff49ef5da8a63b1,26/06/2023 01:49:53,ESCANER
12413,"Suchitepéquez",10,"Santa Bárbara",15,1689,400,45,12,124,50,43,9,6,29,1,4,323,11,5,339,0,339,--,400,61,323,339,339,Algún campo sin dato,1,eddeb4a8bf830d479044846d38933931fb42bc7220bfca4769715bd5ca2ed32d,26/06/2023 02:01:14,ESCANER
12414,"Suchitepéquez",10,"Santa Bárbara",15,1689,400,54,15,76,45,33,10,6,21,0,1,261,9,4,274,--,--,1,400,125,261,274,274,Algún campo sin dato,1,a89baf2929e060ba802e52998743345237131d776530e4e9390cba6a6b1d00a3,26/06/2023 02:31:29,ESCANER
12415,"Suchitepéquez",10,"Santa Bárbara",15,1689,215,28,10,53,24,23,4,3,13,0,1,159,2,0,161,0,161,--,215,54,159,161,161,Algún campo sin dato,1,ee554d8e4a93c19caee492c87b4e0d06ae92b59c3f950961baac97aa3d0902af,25/06/2023 23:28:11,ESCANER
12416,"Suchitepéquez",10,"Santa Bárbara",15,1689,214,26,10,33,22,31,3,5,10,0,1,141,2,1,144,0,144,--,214,70,141,144,144,Algún campo sin dato,1,141da3d707ae347e9d4b3f9b8ea9a15a21d5ba49b251ffccaafbda492c146e77,26/06/2023 00:37:09,ESCANER
12417,"Suchitepéquez",10,"Santa Bárbara",15,1690,400,30,14,69,17,42,8,24,44,3,3,254,18,10,282,0,282,--,400,118,254,282,282,Algún campo sin dato,1,1ea7855518eebc61af22f7455e9b7bf08cebdd3d4ccd81c4228ef0fae574c622,26/06/2023 02:08:00,ESCANER
12418,"Suchitepéquez",10,"Santa Bárbara",15,1690,400,19,7,74,12,51,5,32,33,1,3,237,46,6,289,1,290,--,400,110,237,289,290,Algún campo sin dato,1,80c9c8301c69874c59d512f2dd0f3ed619f4aaa2218548c04ec0d691c732f928,26/06/2023 01:03:36,ESCANER
12419,"Suchitepéquez",10,"Santa Bárbara",15,1690,400,13,19,69,10,39,8,40,51,3,2,254,17,7,278,0,278,--,404,126,254,278,278,Algún campo sin dato,1,4ed30be66bbbb6e773c11aa9d0d50f75828d810533b5f100264e4cdf9aa55de7,26/06/2023 00:49:59,ESCANER
12420,"Suchitepéquez",10,"Santa Bárbara",15,1690,205,11,6,33,8,33,2,23,19,0,0,135,2,3,140,0,140,--,202,62,135,140,140,Algún campo sin dato,1,40267b7fd89dfd5c356fe128b0581eb698bd4ff69e0c691bc500718930ed1fab,26/06/2023 00:53:31,ESCANER
12421,"Suchitepéquez",10,"Santa Bárbara",15,1690,205,15,6,29,5,12,1,16,22,2,1,109,3,2,114,0,114,--,205,91,109,114,114,Algún campo sin dato,1,4433e3b0215ef28aba6704209bfb69fdf8f3525b79716be80deef6ece4deb49a,26/06/2023 00:29:56,ESCANER
12422,"Suchitepéquez",10,"Santa Bárbara",15,1691,380,32,17,93,22,55,2,16,17,7,0,261,16,8,285,0,285,--,400,115,261,285,285,Algún campo sin dato,1,aed496b428b2b1563dea8703d5b5ddccf215375dea0769a5539868d16b63b8cd,26/06/2023 01:56:40,ESCANER
12423,"Suchitepéquez",10,"Santa Bárbara",15,1691,380,40,9,76,37,70,4,17,29,5,2,289,24,4,317,0,317,--,396,79,289,317,317,Algún campo sin dato,1,6d51685b615150c5a1c2878d8b9c90b4f92f8a9af3aa68011ec75f770b2b1c5b,26/06/2023 01:44:50,ESCANER
12424,"Suchitepéquez",10,"Santa Bárbara",15,1691,380,37,21,80,28,73,6,12,28,6,1,292,13,6,311,0,311,--,380,69,292,311,311,Algún campo sin dato,1,d529f920e53b103151e05d5beea23f8698e144216812e4bc8c552e603c19c781,26/06/2023 01:57:26,ESCANER
12425,"Suchitepéquez",10,"Santa Bárbara",15,1691,380,27,23,101,37,73,1,11,14,4,2,293,13,7,313,0,313,--,380,67,293,313,313,Algún campo sin dato,1,4d60136dc0475339d0f8596edb8eb87b8465642c02b70fb65ee28a6a135db0da,26/06/2023 02:01:42,ESCANER
12426,"Suchitepéquez",10,"Santa Bárbara",15,1691,380,30,17,65,30,64,7,16,13,7,3,252,6,3,261,--,261,--,380,119,252,261,261,Algún campo sin dato,1,ca39be2f4a1ff5c24b92f7bf1880d7b8aac8d76b69d4952e2249c7d4e3b03746,26/06/2023 00:05:29,ESCANER
12427,"Suchitepéquez",10,"Santa Bárbara",15,1691,380,31,17,66,24,54,10,22,18,10,2,254,6,5,265,0,265,--,357,92,254,265,265,Algún campo sin dato,1,40fc1a349f61945f19c2a4c6a2cfd41e79c869168ba6b03980dd9d3ff44732b8,26/06/2023 00:37:33,ESCANER
12428,"Suchitepéquez",10,"Santa Bárbara",15,1691,380,36,21,65,30,58,8,8,20,7,3,256,5,10,271,0,271,--,380,109,256,271,271,Algún campo sin dato,1,d9c54ff7ba83c230a5c0180dfee55da3b177f105941ed71590045627971c08fa,26/06/2023 02:18:46,ESCANER
12429,"Suchitepéquez",10,"Santa Bárbara",15,1691,380,28,21,47,25,52,2,15,27,7,1,225,2,2,229,0,229,--,380,151,225,229,229,Algún campo sin dato,1,c26c5a8bc293dc520462fe0713c6a23cbf27bafe546f990e974bb07feb5efa92,26/06/2023 00:46:52,ESCANER
12430,"Suchitepéquez",10,"Santa Bárbara",15,1691,347,26,22,52,26,67,3,15,23,10,1,245,1,1,247,0,247,--,344,97,245,247,247,Algún campo sin dato,1,f2692840ad89bef5dc5adaa42b4557b69c5f00e75c4ba8b48c49d55949cc7fb0,26/06/2023 01:59:31,ESCANER
12431,"Suchitepéquez",10,"Santa Bárbara",15,1691,346,17,16,47,19,49,3,12,20,4,2,189,5,0,194,0,194,--,332,138,189,194,194,Algún campo sin dato,1,dc7d435a747b3ba3c2fd9b6935829cb6e543ef81084c4a16807d18db05d3df2e,26/06/2023 01:56:57,ESCANER
12432,"Suchitepéquez",10,"Santa Bárbara",15,1692,380,19,17,46,18,29,7,113,21,0,2,272,13,10,295,0,295,--,380,85,272,295,295,Algún campo sin dato,1,3b3213a9cc4c9a72b2f0e08d8e5fbd72f48634562453f77c05fe4e48b78f18fe,25/06/2023 23:45:23,MOVIL
12433,"Suchitepéquez",10,"Santa Bárbara",15,1692,380,17,21,55,25,16,4,122,26,1,4,291,13,4,308,0,308,--,357,49,291,308,308,Algún campo sin dato,1,249576799f6f94466eaf3ded677d05ad1338a01c66be263a84d9667400026370,26/06/2023 01:03:21,ESCANER
12434,"Suchitepéquez",10,"Santa Bárbara",15,1692,331,12,20,35,14,17,3,100,22,0,1,224,7,4,235,0,235,--,331,96,224,235,235,Algún campo sin dato,1,6f77323702c505fe08dd39bd737ce569d4c253c104d8a3ab3ecac7d56ee3bf80,26/06/2023 01:38:05,ESCANER
12435,"Suchitepéquez",10,"Santa Bárbara",15,1692,331,21,14,45,23,18,5,96,15,0,0,237,3,0,240,91,331,--,331,91,237,240,331,Algún campo sin dato,1,764de2166feef0c7e702f6d872b4e54dce3f07d8dfc17124c132b9b328d22d17,26/06/2023 00:36:51,ESCANER
12436,"Suchitepéquez",10,"Santa Bárbara",15,1693,532,14,11,39,29,13,5,14,10,2,1,138,8,7,153,0,153,--,532,379,138,153,153,Algún campo sin dato,1,5094816d02f7414c49cd1a8bd064bd2fb8fb48b0d44e83cf9f41d10314bbaaf2,26/06/2023 00:25:18,ESCANER
