TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
162,162,100.0000,161,99.3827,1,60558,34654,57.2244

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,TODOS,VALOR,MLP,UNE,ELEFANTE,VIVA,CAMBIO,BIEN,PPN,CABAL,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
21708,"Izabal",18,"Morales",4,3366,380,70,10,86,0,37,3,7,1,0,1,0,215,22,3,240,0,240,--,380,140,215,240,240,Algún campo sin dato,1,010749483ff4680749f81595311e425b8cf8c67939c75ca328dd9baffc7512ab,26/06/2023 00:57:36,ESCANER
21709,"Izabal",18,"Morales",4,3366,380,71,19,70,0,25,2,2,0,0,2,0,191,23,3,217,0,217,--,380,163,191,217,217,Algún campo sin dato,1,feca9206b0e0498edc0cab43dc774bbd21d4cefb6e06b2476765389068cc9fba,26/06/2023 01:08:33,ESCANER
21710,"Izabal",18,"Morales",4,3366,380,58,26,90,0,15,2,2,0,0,1,0,194,16,4,214,0,214,--,380,166,194,214,214,Algún campo sin dato,1,1bd822df519168cff1ddfa100cec0ebe59a96c621d3eb22efb5a279b6d88d850,26/06/2023 00:18:14,ESCANER
21711,"Izabal",18,"Morales",4,3366,380,75,34,107,0,16,1,0,0,0,2,0,235,7,2,244,0,244,--,380,136,235,244,244,Algún campo sin dato,1,b24667929b56001e55eae893da9dd6a9f93d078f1ad5ad2930d87170e912b107,26/06/2023 02:45:33,ESCANER
21712,"Izabal",18,"Morales",4,3366,367,66,30,111,0,15,2,0,0,1,0,0,225,5,0,230,0,230,--,367,137,225,230,230,Algún campo sin dato,1,7b26649d78db58f855896ca2e51ea73c74dce6c142134afd526b1743f551951d,26/06/2023 01:26:20,ESCANER
21713,"Izabal",18,"Morales",4,3366,366,55,20,75,0,17,1,3,1,1,1,0,174,11,5,190,0,190,--,366,176,174,190,190,Algún campo sin dato,1,8f065175f3afd2257685152071055a468a6b75e9ce1a98db0b51e2f75c5b2332,26/06/2023 00:28:12,ESCANER
21714,"Izabal",18,"Morales",4,3367,380,87,48,30,12,14,2,14,1,0,1,1,210,24,6,240,0,240,--,380,140,210,240,240,Algún campo sin dato,1,01a32e14f7b478dc36d075f3acff787738fbac2f5c3f3aa17e6db03a3d130518,26/06/2023 02:05:12,ESCANER
21715,"Izabal",18,"Morales",4,3367,380,73,47,35,8,28,0,20,0,3,1,2,217,25,7,249,0,249,--,380,131,217,249,249,Algún campo sin dato,1,c257a4fa24a54a4bc8751d89a0473766cc7d0bd61d659f5eb158a6732935c8d3,26/06/2023 04:53:13,ESCANER
21716,"Izabal",18,"Morales",4,3367,380,83,48,34,12,25,0,22,2,0,0,0,226,34,3,263,0,263,--,380,117,226,263,263,Algún campo sin dato,1,1062d15f9f5d60861da2777bfdc3e38796dd2907ba67876315408b7a2e70b8d5,26/06/2023 02:49:17,ESCANER
21717,"Izabal",18,"Morales",4,3367,380,81,57,30,5,27,1,21,0,1,0,0,223,26,2,251,1,252,--,380,129,223,251,252,Algún campo sin dato,1,aea28001c38537ec0b38578695b01009438a51761c45a3d87c2714764750422e,26/06/2023 00:52:20,ESCANER
21718,"Izabal",18,"Morales",4,3367,380,71,60,39,11,14,0,20,0,2,1,0,218,22,2,242,0,242,--,377,134,218,242,242,Algún campo sin dato,1,919d06383529108959d4edb8692feb90d97116fdc44a47e3b0fda4c9e904fea9,26/06/2023 03:21:51,ESCANER
21719,"Izabal",18,"Morales",4,3367,380,90,46,36,13,16,0,8,0,2,1,0,212,12,5,229,0,229,1,379,149,212,229,229,,1,cb0b771a05d269d1ae16eedc936c6c0ad83d991c501d42619199b64e89fd8c43,26/06/2023 04:57:42,ESCANER
21720,"Izabal",18,"Morales",4,3367,380,83,50,34,9,11,0,14,1,0,0,2,204,17,5,226,0,226,--,381,155,204,226,226,Algún campo sin dato,1,f4d2ddf05fec087ea732d71eecdbe63071af432e3fff0169586d76239d70a8a1,26/06/2023 03:46:36,ESCANER
21721,"Izabal",18,"Morales",4,3367,380,81,49,27,4,16,0,18,1,1,0,3,200,15,7,222,1,223,--,377,155,200,222,223,Algún campo sin dato,1,c5f27854695476b6fe26f8b57145fb92bd202561484ff938b45004df703a57b4,26/06/2023 03:30:13,ESCANER
21722,"Izabal",18,"Morales",4,3367,380,78,48,22,11,16,0,18,0,2,0,0,195,33,0,228,0,228,--,380,152,195,228,228,Algún campo sin dato,1,d0d309d568187d4a3295138a63fdba0fc2a7d123e6b66380072035d23dd9255d,26/06/2023 04:42:01,ESCANER
21723,"Izabal",18,"Morales",4,3367,380,74,51,14,3,21,0,10,0,2,0,0,175,27,3,205,1,206,--,380,174,175,205,206,Algún campo sin dato,1,9e97bf517120ee4b2eb069c55459d9e607347c952b7d65639c652933e8dde588,26/06/2023 02:33:45,ESCANER
21724,"Izabal",18,"Morales",4,3367,380,68,57,41,6,9,0,12,0,0,0,0,193,9,2,204,0,204,--,377,173,193,204,204,Algún campo sin dato,1,9d5669dee906c71d3177503ab8e1e43a919dffd1adf83a02f992b603e69b5892,26/06/2023 01:11:39,ESCANER
21725,"Izabal",18,"Morales",4,3367,380,59,77,56,2,9,0,11,0,1,0,0,215,6,0,221,0,221,--,377,156,215,221,221,Algún campo sin dato,1,0abbf60f8d0ec71efbeccb2b332bc31bf74546dac587edeb16d5a2ffb3f6800b,26/06/2023 01:26:21,ESCANER
21726,"Izabal",18,"Morales",4,3367,374,78,51,37,8,10,0,13,0,0,2,0,199,7,0,206,1,207,--,371,164,199,206,207,Algún campo sin dato,1,945638c607bf1c24613566f767057f1198e636c57eaa738c75e13fa4b19cab36,26/06/2023 01:56:49,ESCANER
21727,"Izabal",18,"Morales",4,3367,374,70,38,30,2,13,1,11,0,0,0,0,165,11,1,177,1,178,--,371,193,165,177,178,Algún campo sin dato,1,a478cc38092e38b6cb3c3249ae47609c8543b2927b5996135f3d9e3acfe25d9d,26/06/2023 04:44:28,ESCANER
21728,"Izabal",18,"Morales",4,3368,380,104,15,15,0,44,0,9,0,13,0,2,202,37,7,246,0,246,--,376,130,202,246,246,Algún campo sin dato,1,e548cab0cc0ec4d6200893fa39f1349cc417318a78eef775752181526929d141,26/06/2023 01:56:53,ESCANER
21729,"Izabal",18,"Morales",4,3368,380,125,28,24,1,30,2,3,0,4,2,1,220,31,3,254,0,254,--,379,125,220,254,254,Algún campo sin dato,1,2d1829a5e539fae267ef11925e72276adda88a999a50e824f394c94684138762,26/06/2023 01:24:11,ESCANER
21730,"Izabal",18,"Morales",4,3368,380,141,13,14,0,47,0,12,1,0,0,0,228,24,5,257,0,257,--,337,115,228,257,257,Algún campo sin dato,1,a4b93289a8f143b2382fccac4c51800ec99c6f429b1d07fcdfb12714fd91c6b7,26/06/2023 04:55:27,ESCANER
21731,"Izabal",18,"Morales",4,3368,380,114,22,23,0,41,0,6,0,8,0,0,214,2,3,219,17,236,--,377,141,214,219,236,Algún campo sin dato,1,0e2b790fc4ff7fc5fc89fa1b440f3cd13091b4945609b6cb4dc19d893a7c2336,26/06/2023 03:01:27,ESCANER
21732,"Izabal",18,"Morales",4,3368,380,117,16,14,40,1,13,7,1,0,0,0,209,15,2,226,0,226,--,377,151,209,226,226,Algún campo sin dato,1,3f318e43c1376be4bbbc3c6868ee559f63e202797d1be63a697ad2575083401c,26/06/2023 03:23:47,ESCANER
21733,"Izabal",18,"Morales",4,3368,380,120,9,10,0,35,0,5,1,2,0,0,182,27,4,213,0,213,--,380,167,182,213,213,Algún campo sin dato,1,425ce5852134f5cffebb14919a28b4ec456c396014ca2db3a48085786a221985,25/06/2023 23:41:50,ESCANER
21734,"Izabal",18,"Morales",4,3368,380,114,9,22,0,37,0,8,0,6,0,0,196,16,0,212,0,212,--,380,168,196,212,212,Algún campo sin dato,1,b5f2119c2acf7ff969e919757db7e8fc2dccde52c4645cf277ae1ca9991ef293,26/06/2023 00:46:27,ESCANER
21735,"Izabal",18,"Morales",4,3368,380,112,33,26,0,29,0,4,0,4,0,0,208,11,1,220,0,220,--,380,160,208,220,220,Algún campo sin dato,1,36c5a62ea255dbcbe5c51fa4937fb41b0936e8cf9c61c1cbed2c3ded7548fdda,26/06/2023 00:05:39,ESCANER
21736,"Izabal",18,"Morales",4,3368,215,63,9,14,0,25,0,1,0,0,0,0,112,6,2,120,0,120,--,212,92,112,120,120,Algún campo sin dato,1,3d0000c5ab2c2fd790d4db99c30b951947f37a06992649730d8627ce45fa425e,25/06/2023 23:18:18,ESCANER
21737,"Izabal",18,"Morales",4,3368,214,51,12,8,0,17,0,0,0,2,0,0,90,16,3,109,0,109,--,211,102,90,109,109,Algún campo sin dato,1,513544d466b0122f77d9ab10709900669711f1453d53244a08580100ccca328a,26/06/2023 00:05:45,ESCANER
21738,"Izabal",18,"Morales",4,3369,380,97,36,21,5,28,0,6,0,2,0,4,199,34,5,238,0,238,--,380,142,199,238,238,Algún campo sin dato,1,f0f1206aef1759aa3ada6ba096f175e4e9d2d4635ebac36aa8b40784c2b368f1,25/06/2023 23:22:58,ESCANER
21739,"Izabal",18,"Morales",4,3369,380,111,52,10,0,27,0,10,0,3,1,0,214,29,9,252,0,252,--,380,128,214,252,252,Algún campo sin dato,1,8279acb0860ae80197a71c128e33be1dc4e5804868b005622d2c6b22239f56cf,26/06/2023 01:40:42,ESCANER
21740,"Izabal",18,"Morales",4,3369,380,106,48,18,1,18,0,8,0,2,0,2,203,24,4,231,0,231,--,380,149,203,231,231,Algún campo sin dato,1,2fce6efb04905d67ff645d2b854193a36a13161e075d2fa2c2b640435fc47415,26/06/2023 02:39:07,ESCANER
21741,"Izabal",18,"Morales",4,3369,380,138,45,11,0,18,0,3,2,2,0,0,219,9,2,230,16,246,--,380,134,219,230,246,Algún campo sin dato,1,7c0e408f52b38d9b3bf69b7e79f9ebe97cab6216b76e16eaa276da6bac6225e9,26/06/2023 00:20:49,ESCANER
21742,"Izabal",18,"Morales",4,3369,380,112,41,15,2,19,0,6,0,1,0,4,200,13,1,214,0,214,--,380,166,200,214,214,Algún campo sin dato,1,08649020ebbe0c08222cc46633aeae2bf467748efdfe5880db3ce676d8db7219,25/06/2023 23:59:13,ESCANER
21743,"Izabal",18,"Morales",4,3369,380,85,39,24,2,25,1,6,1,2,1,0,186,16,7,209,0,209,--,381,171,186,209,209,Algún campo sin dato,1,36eb1d76a229313de8a2aed64665df602b5a9084bb2e2e6153723155f80f403d,26/06/2023 02:22:52,ESCANER
21744,"Izabal",18,"Morales",4,3369,380,112,43,17,1,25,3,7,0,1,0,0,209,22,3,234,0,234,--,380,146,209,234,234,Algún campo sin dato,1,c67c2e89980fb7f682438bcda9a7dc9d8eee462b58a7e1a2a8f053520d7b4f6a,26/06/2023 00:13:28,ESCANER
21745,"Izabal",18,"Morales",4,3369,380,101,35,15,1,23,1,5,0,0,1,2,184,22,4,210,0,210,--,380,170,184,210,210,Algún campo sin dato,1,60d1431811ef2554ef35795ffff878b9d78f52fd51602133e3e77b6f30eb5ac2,26/06/2023 01:49:32,ESCANER
21746,"Izabal",18,"Morales",4,3369,380,116,33,16,0,22,0,4,0,0,0,2,193,26,4,223,0,223,--,380,157,193,223,223,Algún campo sin dato,1,eeed715998937541f650bf7601df52f2cc95807f7920de2d37268741cdd63b67,26/06/2023 02:00:18,ESCANER
21747,"Izabal",18,"Morales",4,3369,380,97,35,14,2,17,0,5,0,3,0,2,175,22,6,203,0,203,--,380,177,175,203,203,Algún campo sin dato,1,cfa92c3880d813abd5624dcf9c0e267d3b6fc760bd722540bda0e5fe44fd2cea,26/06/2023 02:29:34,ESCANER
21748,"Izabal",18,"Morales",4,3369,380,115,65,25,1,15,0,5,0,1,0,6,233,4,1,238,0,238,--,380,142,233,238,238,Algún campo sin dato,1,67153632feafe1a2113b0f78e62e6948c624240f22f549f34a086deae2f49910,26/06/2023 00:58:55,ESCANER
21749,"Izabal",18,"Morales",4,3369,359,118,32,29,0,18,0,7,0,0,0,0,204,5,3,212,0,212,--,359,147,204,212,212,Algún campo sin dato,1,6ec247f24c8cf451f91aa00adfa4d187b289a9bf0c9a8750310e673c81b7af5a,26/06/2023 01:04:45,ESCANER
21750,"Izabal",18,"Morales",4,3369,358,78,19,21,0,15,0,2,0,3,0,1,139,17,3,159,0,159,--,358,199,139,159,159,Algún campo sin dato,1,d46a4c00e0cb49a1f9a431449ca1bd8a471c75fc170984570e5e3836adb2e695,25/06/2023 23:50:17,ESCANER
21751,"Izabal",18,"Morales",4,3370,380,122,15,15,0,19,2,7,2,0,0,0,182,35,7,224,0,224,--,377,153,182,224,224,Algún campo sin dato,1,53bc85799bf94f42b988f577a5584389f4eabfb1dabd775f60a77518272bb93f,26/06/2023 00:21:16,ESCANER
21752,"Izabal",18,"Morales",4,3370,380,102,23,27,0,24,3,6,1,2,0,3,191,26,5,222,0,222,--,380,158,191,222,222,Algún campo sin dato,1,fea5efc24d37b2ef1b5b86fb465d3a289573436157d144fe73a4fa3e7c74907c,25/06/2023 23:47:16,ESCANER
21753,"Izabal",18,"Morales",4,3370,380,92,11,11,0,23,0,7,0,7,1,0,152,21,5,178,0,178,--,397,219,152,178,178,Algún campo sin dato,1,eca0f3be03e2c24cb303f055f05324719dd1e7eb3ed62aa7dfb80c4fc198bef0,25/06/2023 23:08:32,ESCANER
21754,"Izabal",18,"Morales",4,3370,380,110,13,19,0,24,0,5,1,0,0,1,173,24,8,205,0,205,--,370,165,173,205,205,Algún campo sin dato,1,fe29a980ddc608f265c30bb86461ad2bc93f8a3b88a728b92876236352e81b73,25/06/2023 23:41:01,ESCANER
21755,"Izabal",18,"Morales",4,3370,380,94,12,27,1,31,1,2,0,0,0,1,169,26,4,199,0,199,--,378,179,169,199,199,Algún campo sin dato,1,56e93068fdd42ad989849b182e71fd139cba542c03edec963d9679fa3e228690,26/06/2023 00:50:17,ESCANER
21756,"Izabal",18,"Morales",4,3370,330,101,15,33,0,19,0,3,0,1,1,0,173,7,2,182,0,182,--,330,148,173,182,182,Algún campo sin dato,1,7cf0a76d1418459d362c0b6f763f19fc91c11ecca94256e3903bc3ecb0d8269a,25/06/2023 23:33:55,ESCANER
21757,"Izabal",18,"Morales",4,3370,330,83,13,13,0,28,1,4,0,1,0,0,143,15,0,158,1,159,--,331,169,143,158,159,Algún campo sin dato,1,9c168fcbdd792d6d5a365484d254071e87aaff0ecf430557a36c8b8d1858e576,26/06/2023 00:01:01,ESCANER
21758,"Izabal",18,"Morales",4,3371,380,83,51,15,1,59,1,7,1,3,0,3,224,31,9,264,0,264,--,381,117,224,264,264,Algún campo sin dato,1,a251bf0ac93bccdf2591dd0ef4378e9c3c14e3c05ce3bec9cc3f5836e4b3eb3c,26/06/2023 01:00:13,ESCANER
21759,"Izabal",18,"Morales",4,3371,380,83,55,38,1,27,0,12,0,2,1,0,219,28,4,251,0,251,--,380,129,219,251,251,Algún campo sin dato,1,d5209559b2dfa465e1cdf90b88069b6bf26743707fcd6a43d4cdab28dda2893a,26/06/2023 02:29:38,ESCANER
21760,"Izabal",18,"Morales",4,3371,380,98,72,25,0,13,3,9,3,3,0,2,228,21,9,258,0,258,--,380,122,228,258,258,Algún campo sin dato,1,2a74c762d05f8ad727b9058d5bf8ecf4631500974f42d49d945640ed2c6c7c07,26/06/2023 02:16:05,ESCANER
21761,"Izabal",18,"Morales",4,3371,380,64,81,22,0,22,1,7,0,1,1,1,200,23,3,226,0,226,--,380,154,200,226,226,Algún campo sin dato,1,81a436ed410cf30ebd638fba4a66631cd2cd27485c5a909ae63984e49589beb3,26/06/2023 00:39:12,ESCANER
21762,"Izabal",18,"Morales",4,3371,380,77,52,34,1,27,2,3,0,0,0,0,196,15,4,215,0,215,--,380,165,196,215,215,Algún campo sin dato,1,016dbd70334fd7204f73e4c96522e0c9d34232ce7a887cffcd242df78c41883d,26/06/2023 02:25:05,ESCANER
21763,"Izabal",18,"Morales",4,3371,380,74,49,28,1,28,4,7,1,2,1,0,195,19,2,216,0,216,--,380,164,195,216,216,Algún campo sin dato,1,0cd574e1da90fc402344aaa32bea58c0b92765bc96952b42aefb4b60daa96b21,26/06/2023 02:37:59,ESCANER
21764,"Izabal",18,"Morales",4,3371,380,64,46,28,0,20,0,9,0,2,0,2,171,18,6,195,1,196,--,376,180,171,195,196,Algún campo sin dato,1,ca93e44907b90e203a4580fc3a0b20a5ae4509accff6d9827a4b1de67aa1b8d6,26/06/2023 01:58:47,ESCANER
21765,"Izabal",18,"Morales",4,3371,380,61,46,20,0,19,1,7,1,3,0,0,158,25,8,191,1,192,--,380,188,158,191,192,Algún campo sin dato,1,2c3dd005c9bb26e6346a8e7484deeb835b1b242d8434dc81fe5d4c56a4018450,26/06/2023 01:18:20,ESCANER
21766,"Izabal",18,"Morales",4,3371,380,69,61,46,1,21,1,5,1,3,0,0,208,16,2,226,0,226,--,381,155,208,226,226,Algún campo sin dato,1,a3ab63793b31158f17682f84101b89bfd2110395c76baea85ff420f848119683,26/06/2023 02:20:45,ESCANER
21767,"Izabal",18,"Morales",4,3371,380,60,59,24,0,25,1,4,0,0,0,0,173,13,0,186,0,186,--,379,193,173,186,186,Algún campo sin dato,1,38336851b985ebeae75986e9b00a08acfd323bf82abae17a7aeffe87b05b31a4,25/06/2023 23:35:28,ESCANER
21768,"Izabal",18,"Morales",4,3371,223,24,21,12,0,19,1,3,0,0,0,0,80,7,1,88,0,88,--,223,135,80,88,88,Algún campo sin dato,1,36d27591366cfef75b87ce0ef2f0740d4a50c59ea68135ddeef4e9ad74b82e07,26/06/2023 00:03:38,ESCANER
21769,"Izabal",18,"Morales",4,3371,223,28,32,15,0,10,1,4,0,1,0,0,91,9,0,100,0,100,--,222,122,91,100,100,Algún campo sin dato,1,b7b6e1694c1012523ba7eb2632b4467098674987af820cac31a59ca9a3f3c811,25/06/2023 23:39:20,ESCANER
21770,"Izabal",18,"Morales",4,3372,380,57,23,21,3,82,0,6,2,3,1,2,200,24,1,225,0,225,--,380,155,200,225,225,Algún campo sin dato,1,45c49aa8d19990c597d68d3d4b072d1e591d0498615a801854c39dd10589f040,26/06/2023 01:49:04,ESCANER
21771,"Izabal",18,"Morales",4,3372,380,55,19,31,0,87,3,3,0,0,1,0,199,33,3,235,0,235,--,380,145,199,235,235,Algún campo sin dato,1,cf178d0e2edd5b6a5d6d16c1d87f24ad46d1f3a409688181f1fac023bcb7bad1,26/06/2023 04:38:08,ESCANER
21772,"Izabal",18,"Morales",4,3372,380,41,26,28,1,64,1,14,0,4,0,0,179,22,1,202,0,202,--,380,178,179,202,202,Algún campo sin dato,1,ee75b8363812543ccff70321d7dee8387bb44d2220c5c4b3abb650f3c0b1a978,26/06/2023 02:06:10,ESCANER
21773,"Izabal",18,"Morales",4,3372,370,46,21,18,1,55,1,7,1,0,1,0,151,23,6,180,0,180,0,370,190,151,180,180,,1,4f87f82e31224e3838329370b0f073534da7e1d0c5422759ba90a7bd53e11f2d,26/06/2023 03:58:11,ESCANER
21774,"Izabal",18,"Morales",4,3372,369,43,27,34,0,59,3,0,1,3,0,1,171,12,0,183,0,183,--,366,183,171,183,183,Algún campo sin dato,1,2d6bef42008b5aebea3bd37a06a335cc110ed199196be993b8360bcdcacd285c,26/06/2023 01:32:06,ESCANER
21775,"Izabal",18,"Morales",4,3373,380,96,29,27,1,14,18,15,1,1,0,1,203,41,7,251,0,251,--,380,129,203,251,251,Algún campo sin dato,1,00eeb1388d1c86eb272ba974cdf7c8c8ab7b8df65126d9514e0e85c060cac62c,26/06/2023 00:42:45,ESCANER
21776,"Izabal",18,"Morales",4,3373,380,60,61,37,2,15,19,6,1,1,0,0,202,24,9,235,0,235,--,381,146,202,235,235,Algún campo sin dato,1,fcc4b8a2318051f450ec7595d1ed7c77f140ffbd9ac6806d9d505cb95546859b,26/06/2023 00:24:40,ESCANER
21777,"Izabal",18,"Morales",4,3373,380,70,36,33,6,11,19,7,0,4,0,0,186,25,6,217,0,217,--,381,164,186,217,217,Algún campo sin dato,1,cc109e8b839d16adb1c22f70abed7bf7c2ce101289bf9c695222456ae7321f24,26/06/2023 01:22:28,ESCANER
21778,"Izabal",18,"Morales",4,3373,380,63,33,36,1,10,13,9,0,0,0,0,165,26,3,194,0,194,--,380,186,165,194,194,Algún campo sin dato,1,31564dae1f8c7ad52515ef7ea9830675ffd7b76049a53e2d1268f467d75a3e09,25/06/2023 23:05:33,ESCANER
21779,"Izabal",18,"Morales",4,3373,227,46,37,19,1,8,12,5,1,0,0,0,129,8,2,139,0,139,--,227,88,129,139,139,Algún campo sin dato,1,171d1b2e1f21f956d1738fbaa67b363a31bd511530d4f89610b67bb778c34fb3,25/06/2023 22:03:43,ESCANER
21780,"Izabal",18,"Morales",4,3373,226,38,16,15,1,7,6,1,0,0,0,0,84,12,2,98,0,98,--,226,128,84,98,98,Algún campo sin dato,1,0d36a73644bdf5d670b3830186de61f50a02d6af4139b3c63797860965889101,25/06/2023 22:57:37,ESCANER
21781,"Izabal",18,"Morales",4,3374,380,118,64,12,4,30,1,3,0,0,0,2,234,25,2,261,0,261,--,380,119,234,261,261,Algún campo sin dato,1,16c249e0845c160144098eb37c7aa60d35d668837a50bc403c165a54d18c3dec,26/06/2023 00:53:12,ESCANER
21782,"Izabal",18,"Morales",4,3374,380,91,76,9,12,19,1,8,0,2,3,0,221,18,1,240,0,240,--,400,160,221,240,240,Algún campo sin dato,1,19eacd2b1f50daab969db6dcf64c449e7bfaadb7e5d20d5551b62feb9d545a14,26/06/2023 00:16:45,ESCANER
21783,"Izabal",18,"Morales",4,3374,255,79,44,9,6,8,0,8,0,1,0,1,156,14,1,171,0,171,--,255,84,156,171,171,Algún campo sin dato,1,910ab54fe0753cf7f6a258943faddf1e88f8ba06f25d8ac980c35c02b09db3c9,25/06/2023 22:46:32,ESCANER
21784,"Izabal",18,"Morales",4,3374,254,83,29,7,4,10,0,10,0,1,0,1,145,12,1,158,0,158,--,252,94,145,158,158,Algún campo sin dato,1,491a52361ec66cefcdb163591e796e4efe8cbb4a27e3fb04eb526fe117a3e534,26/06/2023 00:27:02,ESCANER
21785,"Izabal",18,"Morales",4,3375,600,36,31,15,0,21,2,8,1,3,0,1,118,28,3,149,0,149,--,600,451,118,149,149,Algún campo sin dato,1,86de58c68122717756f20187db8b0b3c862e9e0747020fbff52275b57ac856f8,26/06/2023 01:59:41,ESCANER
21786,"Izabal",18,"Morales",4,3375,600,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,Acta ilegible,0,2a033dd68206f362cd3151712950669d6c7ad866b6af3bf090e2794d43d81661,26/06/2023 05:51:35,ESCANER
21787,"Izabal",18,"Morales",4,3375,600,44,15,24,2,35,2,11,0,3,0,1,137,11,3,151,0,151,--,600,449,137,151,151,Algún campo sin dato,1,d831331c114d5808ebb05c8e2c6feeacc9c69bd403b77d5d2d9dddb08e910a59,26/06/2023 00:00:54,ESCANER
21788,"Izabal",18,"Morales",4,3375,600,42,19,25,0,38,2,16,2,2,0,1,147,14,4,165,5,170,--,600,430,147,165,170,Algún campo sin dato,1,b21fd39bcd1496ac7be770bcc85974adb04325b2b7619148e33f21a693054eab,26/06/2023 01:07:37,ESCANER
21789,"Izabal",18,"Morales",4,3375,600,34,18,14,0,28,2,6,0,0,0,1,103,11,3,117,1,118,--,600,482,103,117,118,Algún campo sin dato,1,b407e9904b2862428785fb03ed8c3749b34c583b94732bc9b0ae9caa90cfcb50,26/06/2023 00:23:15,ESCANER
21790,"Izabal",18,"Morales",4,3375,600,17,7,13,0,14,3,5,0,1,0,0,60,8,1,69,0,69,--,600,531,60,69,69,Algún campo sin dato,1,645f6f35613bd7090e49d631d0620dc2aaae461748f28c6fc2e76aa6d3223db7,25/06/2023 23:17:22,ESCANER
21791,"Izabal",18,"Morales",4,3375,515,4,5,7,0,4,0,2,0,1,0,0,23,1,0,24,0,24,--,--,--,23,24,24,Algún campo sin dato,1,efa66467b55d1fb056b5d5a396b44ff91ee2ef46f9b33444d33eb7480e2b52bd,25/06/2023 22:10:29,ESCANER
21792,"Izabal",18,"Morales",4,3375,514,5,4,4,--,--,--,--,--,--,--,--,13,3,--,--,--,16,--,514,498,13,16,16,Algún campo sin dato,1,1d1e83a1cfa1ed51a6c98b9d8931fa4679d23a921d9effd42d01948204796acf,25/06/2023 21:11:12,ESCANER
