TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
162,162,100.0000,161,99.3827,1,60558,34654,57.2244

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,TODOS,VALOR,MLP,UNE,ELEFANTE,VIVA,CAMBIO,BIEN,PPN,CABAL,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
21641,"Izabal",18,"Morales",4,3357,400,59,45,56,1,40,5,3,0,2,0,5,216,11,0,227,0,227,--,400,173,216,227,227,Algún campo sin dato,1,561466c4dc585c9b93c9b000b2c24523cd85e417ab354785ac46bc14feda25ab,26/06/2023 01:33:42,ESCANER
21642,"Izabal",18,"Morales",4,3357,400,68,60,44,0,49,5,10,1,1,1,0,239,19,1,259,0,259,--,400,141,239,259,259,Algún campo sin dato,1,e9c0b9a9af71932e04bbb67dac5b5815349fa0d9f26209217428e078a553c290,26/06/2023 00:56:38,ESCANER
21643,"Izabal",18,"Morales",4,3357,400,88,45,46,0,50,0,10,0,2,2,1,244,23,1,268,0,268,--,400,132,244,268,268,Algún campo sin dato,1,8e088cc60d3df31e201e506f3521ccc3030fda9c37234ace21077acb3d369157,25/06/2023 23:37:38,ESCANER
21644,"Izabal",18,"Morales",4,3357,400,70,59,51,2,32,2,5,1,1,2,1,226,19,4,249,1,250,--,399,149,226,249,250,Algún campo sin dato,1,a772648a66f64c0e4687d26cb456ef4670908876cb9fb3319517e3eac2834c26,26/06/2023 03:46:23,ESCANER
21645,"Izabal",18,"Morales",4,3357,400,76,37,45,1,48,5,7,2,2,0,3,226,20,2,248,0,248,--,400,152,226,248,248,Algún campo sin dato,1,a209e848f0943f5d6c527d16be314d3f8646dc30abac52cef078b356159e4243,26/06/2023 01:47:09,ESCANER
21646,"Izabal",18,"Morales",4,3357,400,86,45,40,0,43,5,8,3,3,0,1,234,22,1,257,0,257,--,400,143,234,257,257,Algún campo sin dato,1,6436d66a9934cbfe3b1401fc98d51507fa90b8f35613d47d50cc3b05dfbac303,26/06/2023 01:57:13,ESCANER
21647,"Izabal",18,"Morales",4,3357,400,92,43,59,0,56,2,4,2,0,0,0,258,29,4,291,0,291,0,400,109,258,291,291,,1,fe6ff8a3e8ba9c199ed10be5e1dc89835a0f718ff10c1e44c432aa961b6261e6,26/06/2023 00:31:46,ESCANER
21648,"Izabal",18,"Morales",4,3357,400,90,40,37,1,52,3,7,3,1,2,1,237,12,7,256,0,256,--,400,144,237,256,256,Algún campo sin dato,1,22ecfb3cac5d33bb74a2a7bd6b131f83265e1e0bc585cf07a8e1e1caf4500804,26/06/2023 01:01:49,ESCANER
21649,"Izabal",18,"Morales",4,3357,400,91,45,37,0,51,5,4,0,2,0,0,235,20,3,258,0,258,--,400,142,235,258,258,Algún campo sin dato,1,501f843f7a7b09713f169f53224a8683f365082a82f3aade180bb108463d83d4,26/06/2023 02:23:40,ESCANER
21650,"Izabal",18,"Morales",4,3357,400,84,36,31,0,45,2,5,0,2,0,2,207,20,0,227,1,228,--,379,151,207,227,228,Algún campo sin dato,1,ea606b41c524af312e540c822446a3136df9b84758fa6be157b2cb412060de60,26/06/2023 03:00:52,ESCANER
21651,"Izabal",18,"Morales",4,3357,400,94,38,39,0,48,3,7,0,0,0,2,231,18,0,249,0,249,--,400,--,231,249,249,Algún campo sin dato,1,a1524b32156db96361860fd7acc11e3c3b77415e116e43a6438019c422cea8b1,26/06/2023 02:08:59,ESCANER
21652,"Izabal",18,"Morales",4,3357,400,74,43,45,0,43,3,6,1,1,2,0,218,12,1,231,0,231,--,400,169,218,231,231,Algún campo sin dato,1,761960d3256ff7dec6fc55445ce84b4dd766641b61067fa1c2e9756420600d58,26/06/2023 00:14:28,ESCANER
21653,"Izabal",18,"Morales",4,3357,400,58,55,44,0,44,2,4,1,4,0,0,212,19,0,231,0,231,--,400,169,212,231,231,Algún campo sin dato,1,7d885bbd6a95c027ea07f7d9d3a2e9229691e0adcefdce01b36bf28407f29a60,25/06/2023 22:45:06,ESCANER
21654,"Izabal",18,"Morales",4,3357,400,70,40,49,0,36,3,3,3,1,1,0,206,7,3,216,0,216,--,400,184,206,216,216,Algún campo sin dato,1,b21ae6aee3f0112598c355a0be97871e61e622525882f1efdf4f12e00efc31b2,25/06/2023 23:07:30,ESCANER
21655,"Izabal",18,"Morales",4,3357,400,91,74,61,0,42,0,2,1,3,0,0,274,6,0,280,6,286,--,397,111,274,280,286,Algún campo sin dato,1,61d7a269ad3ab734ba6cf2bb7aa91ee37f6400d728a00a8ec763c8bcbe30388f,26/06/2023 00:07:34,ESCANER
21656,"Izabal",18,"Morales",4,3357,400,68,58,55,1,45,6,5,2,1,1,1,243,10,0,253,0,253,--,400,147,243,253,253,Algún campo sin dato,1,77338ae58cee5f62a0455723b9d3db120f90f9049c169faf7cda06add77a3c90,26/06/2023 00:49:41,ESCANER
21657,"Izabal",18,"Morales",4,3357,400,92,51,48,0,28,4,3,3,4,1,0,234,6,1,241,0,241,--,400,159,234,241,241,Algún campo sin dato,1,9c7ecc6072f118e1225ff00c5193e70d46ee2a95acb8bc6661a46d67f038afe4,26/06/2023 00:16:52,ESCANER
21658,"Izabal",18,"Morales",4,3357,400,84,41,47,1,26,3,6,1,3,0,0,212,12,2,226,0,226,--,400,174,212,226,226,Algún campo sin dato,1,465ca1a49a44b5b9a127fd4eacd182a68b22ee327f1c514410dbbc8ce5e2e06f,26/06/2023 01:29:35,ESCANER
21659,"Izabal",18,"Morales",4,3357,311,70,24,28,0,26,3,3,1,3,1,3,162,8,0,170,0,170,--,311,141,162,170,170,Algún campo sin dato,1,dbc617d09483d8e3d03ebf8e89f5f53e2ccdfcd905efdca31d79efa00baf1f03,26/06/2023 00:11:21,ESCANER
21660,"Izabal",18,"Morales",4,3357,311,43,14,18,0,19,2,2,0,0,0,1,99,11,5,115,0,115,--,311,196,99,115,115,Algún campo sin dato,1,83a8e6fef150bb13ea32c887cf9ea176b96e59a3980e8d872cf25d799718cd85,25/06/2023 23:51:37,ESCANER
21661,"Izabal",18,"Morales",4,3358,400,87,37,57,2,45,2,6,1,8,1,3,249,27,2,278,0,278,--,400,122,249,278,278,Algún campo sin dato,1,9ea8953686287ce63e519f7d623fb11db7f01325d8dd06d7acdf15d646894efe,26/06/2023 02:37:15,ESCANER
21662,"Izabal",18,"Morales",4,3358,400,74,27,45,0,79,4,8,1,7,1,2,248,25,0,273,1,274,1,400,126,248,273,274,,1,96eb74156ee43203941950307f9e472b6d36a77a326397393f95c0efb76ed45f,26/06/2023 02:43:56,ESCANER
21663,"Izabal",18,"Morales",4,3358,400,99,44,44,0,45,6,5,0,4,0,2,249,14,2,265,0,265,--,400,135,249,265,265,Algún campo sin dato,1,67bb4f674ff6c9e60c89dc270e15c16e134736f27753e2821fd21d12275cbe43,26/06/2023 02:46:38,ESCANER
21664,"Izabal",18,"Morales",4,3358,400,87,32,56,1,45,8,7,2,4,0,2,244,19,3,266,0,266,--,400,134,244,266,266,Algún campo sin dato,1,34a21ee467f1f902a4617e11f92d04a3d59c45baa822c6fbd31904d1d27a0dc6,26/06/2023 02:51:06,ESCANER
21665,"Izabal",18,"Morales",4,3358,400,69,44,51,1,58,8,9,2,3,4,2,251,25,2,278,0,278,--,400,122,251,278,278,Algún campo sin dato,1,e81cdb5a946a7fdf89ee09dfe2cee954f4f470405a5bdec91496f563a342e34c,26/06/2023 02:56:28,ESCANER
21666,"Izabal",18,"Morales",4,3358,400,86,38,48,2,46,4,9,1,3,0,2,239,20,5,264,0,264,--,399,135,239,264,264,Algún campo sin dato,1,728356de28f44fbd11fff058927b822a90c1fb97ab664ce9515407d0d423231b,26/06/2023 03:30:27,ESCANER
21667,"Izabal",18,"Morales",4,3358,400,80,43,48,1,49,6,2,1,3,0,2,235,17,0,252,0,252,--,400,148,235,252,252,Algún campo sin dato,1,4582597866b938e3a790981fb3eab88dec2b3a72a18f50d6bca4dc87cc688d9d,26/06/2023 02:59:36,ESCANER
21668,"Izabal",18,"Morales",4,3358,211,59,26,23,0,22,2,4,2,6,0,0,144,9,0,153,0,153,1,211,57,144,153,153,,1,9b1d2e2f71032fb69768f117a39bd367b5a5f1fd87c379fd57dd7227d2ae141e,26/06/2023 02:33:22,ESCANER
21669,"Izabal",18,"Morales",4,3358,210,30,25,22,0,19,1,3,0,4,0,0,104,9,1,114,0,114,--,210,96,104,114,114,Algún campo sin dato,1,b61b1f45b35683ab89c24774c0384490ea4bcf003e731d15fad1ac9edb6a6205,25/06/2023 21:21:23,ESCANER
21670,"Izabal",18,"Morales",4,3359,220,62,28,23,0,37,2,1,1,2,0,2,158,4,1,163,0,163,--,220,57,158,163,163,Algún campo sin dato,1,27f289151d59b2a8853bdf57faeb1b0d75a804172ccff12063d92bc6d85c431e,25/06/2023 22:28:46,MOVIL
21671,"Izabal",18,"Morales",4,3359,220,45,25,30,0,32,0,1,0,3,1,0,137,10,1,148,0,148,--,220,72,137,148,148,Algún campo sin dato,1,ae8119753313cec6080725a5026b3058eb599a9714452c8cf69466aa1313e685,26/06/2023 02:35:01,ESCANER
21672,"Izabal",18,"Morales",4,3360,400,74,42,42,4,51,2,7,1,2,0,2,227,26,3,256,0,256,--,400,144,227,256,256,Algún campo sin dato,1,20a3282ee05032029c52bc75c333b2431ac0557dcd24ab84a157295b689190a5,26/06/2023 00:48:52,ESCANER
21673,"Izabal",18,"Morales",4,3360,400,76,40,39,2,50,2,9,1,6,--,--,225,21,3,249,0,249,--,400,151,225,249,249,Algún campo sin dato,1,b8233b537896980a789ccdb114b4d8ded0d8b00043355ce6c9d80089996b7cf1,26/06/2023 00:16:08,ESCANER
21674,"Izabal",18,"Morales",4,3360,400,62,42,38,--,58,5,9,--,4,1,2,221,28,9,258,--,258,--,396,138,221,258,258,Algún campo sin dato,1,793e1a3b22d380977dc795826336c40881e8962cd7e3bfb32511a2ad2e4b6b4d,26/06/2023 02:04:51,ESCANER
21675,"Izabal",18,"Morales",4,3360,400,59,37,37,1,45,3,7,0,4,1,1,195,23,2,220,2,222,--,400,178,195,220,222,Algún campo sin dato,1,2a594088887fc594c0a6bdd68eb73c930ebbddfc32c9412c2ee1064160485ca7,26/06/2023 01:48:56,ESCANER
21676,"Izabal",18,"Morales",4,3360,319,59,38,42,0,33,2,3,1,3,0,0,181,12,0,193,0,193,--,319,126,181,193,193,Algún campo sin dato,1,411e4dc37344674749cc0c2294bfe83ca957cb09fc49b6131980247e2d6c934c,26/06/2023 01:45:11,ESCANER
21677,"Izabal",18,"Morales",4,3360,318,47,28,36,0,37,1,10,0,3,0,1,163,13,1,177,0,177,--,318,141,163,177,177,Algún campo sin dato,1,70c862dcf135d52ad8f59f8644a6ba2c7bffd7f2706499946cc1ba1d651e43b0,26/06/2023 00:56:03,ESCANER
21678,"Izabal",18,"Morales",4,3361,400,109,30,39,0,48,3,21,4,3,2,3,262,29,4,295,0,295,--,400,105,262,295,295,Algún campo sin dato,1,7afcc3002a5f6d8139efcc556fe97b8f9a2b8dc9ce7f2a9afc983e20117f3996,26/06/2023 02:31:27,ESCANER
21679,"Izabal",18,"Morales",4,3361,400,91,43,59,1,38,1,6,3,3,1,0,246,29,5,280,0,280,--,400,120,246,280,280,Algún campo sin dato,1,2cf5bfbfd36bc764c24bd8f71cef6b63fdca56da6d2971512bb0dc2504b569e0,26/06/2023 03:00:28,ESCANER
21680,"Izabal",18,"Morales",4,3361,351,71,26,42,0,41,2,8,1,2,0,2,195,16,4,215,0,215,--,351,136,195,215,215,Algún campo sin dato,1,91d2198e112b819450f234ef02c297d8b9e1c202e70f511c6b0acb37e3413ed1,26/06/2023 02:54:54,ESCANER
21681,"Izabal",18,"Morales",4,3361,350,88,32,46,0,25,2,9,0,3,0,0,205,9,1,215,0,215,--,350,135,205,215,215,Algún campo sin dato,1,1cca5b7011b0e8ba84bdab53114adbe22c868616169f64a23316ce3591f0472a,26/06/2023 03:47:26,ESCANER
21682,"Izabal",18,"Morales",4,3362,306,20,4,29,2,24,5,7,1,2,0,2,96,8,3,107,8,115,--,306,191,96,107,115,Algún campo sin dato,1,a41c2bce0e4cad7b8297871a101753a347fbef13161926d6f3c297f0270f543e,25/06/2023 23:56:22,ESCANER
21683,"Izabal",18,"Morales",4,3362,305,25,12,24,0,16,2,2,1,2,1,0,85,8,3,96,2,98,--,305,207,85,96,98,Algún campo sin dato,1,528003e84265f9bd525c2a9f2ee535d46656805edfcd409704ed4e55fe06afb9,26/06/2023 00:18:17,ESCANER
21684,"Izabal",18,"Morales",4,3363,400,58,28,18,1,69,4,8,2,1,1,3,193,36,4,233,0,233,--,400,167,193,233,233,Algún campo sin dato,1,b062eb5cd895f5842421baa5f3954ad3b6aeb43748c506eadf8303217b42f23b,25/06/2023 23:35:51,ESCANER
21685,"Izabal",18,"Morales",4,3363,400,76,23,38,0,57,3,6,0,2,0,2,207,33,6,246,0,246,--,400,154,207,246,246,Algún campo sin dato,1,cda21db31fc8d5a46b791f894be20ff3d94745e84efe018e9dca55edf965f4af,25/06/2023 22:58:31,ESCANER
21686,"Izabal",18,"Morales",4,3363,400,74,29,31,2,54,2,3,0,7,0,2,204,23,5,232,0,232,--,400,168,204,232,232,Algún campo sin dato,1,0b899d6c86b58adcc21f0ba863881259da68bbf82cf8ab9d6f61fc092fa364e5,26/06/2023 00:28:56,ESCANER
21687,"Izabal",18,"Morales",4,3363,400,78,25,25,1,61,4,4,0,2,1,1,202,20,3,225,1,226,--,400,174,202,225,226,Algún campo sin dato,1,298a90baf60774eabfb63b423ac65703e34e7b6e934cd7ad7231199db205a044,26/06/2023 01:14:33,ESCANER
