TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
85,85,100.0000,85,100.0000,0,33332,18504,55.5142

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,COCIMI,CABAL,AZUL,CAMBIO,UNE,VALOR,VOS,MLP,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
23931,"Jutiapa",22,"Asunción Mita",5,3756,400,113,28,4,5,1,57,0,0,208,3,0,211,0,211,--,397,186,208,211,211,Algún campo sin dato,1,5963cd3b0558f638a5423ddac1a4e2f4c32eee5a551e05ff8b7cf79b32f6a704,26/06/2023 00:01:28,ESCANER
23932,"Jutiapa",22,"Asunción Mita",5,3756,400,149,38,6,6,1,57,1,2,260,13,2,275,0,275,--,400,125,260,275,275,Algún campo sin dato,1,6402417271cd7fd6ecbd5a1b78dbf71f5110daab0ee683f56ba7e007c0cf258b,26/06/2023 01:47:44,ESCANER
23933,"Jutiapa",22,"Asunción Mita",5,3756,400,118,45,3,4,4,60,1,3,238,13,0,251,0,251,--,400,149,238,251,251,Algún campo sin dato,1,81177de4f2507637f9e76cb913dc3f02ade22bb5d6402ab2cc963ecbad1f43ff,26/06/2023 01:46:12,ESCANER
23934,"Jutiapa",22,"Asunción Mita",5,3756,400,125,48,3,8,2,51,3,2,242,3,0,245,0,245,--,400,155,242,245,245,Algún campo sin dato,1,a62ce7b0e20da8ba6636bca6fba742d52f9cb357e9a18a153b48570881cec8b8,26/06/2023 04:10:03,ESCANER
23935,"Jutiapa",22,"Asunción Mita",5,3756,400,133,47,4,13,4,68,4,0,273,9,1,283,0,283,--,400,117,273,283,283,Algún campo sin dato,1,85d3e0d134f8febaa07dc5b7ac1b4cc19c04211b0cf2ec0e1b14ee25816c45e5,26/06/2023 00:32:59,ESCANER
23936,"Jutiapa",22,"Asunción Mita",5,3756,400,117,54,3,11,1,46,3,1,236,15,2,253,0,253,--,400,147,236,253,253,Algún campo sin dato,1,ee14d22ebdf5d0339a275092cebfaaf4c7fedce32fdfa29a99f09103c7998184,26/06/2023 00:26:11,ESCANER
23937,"Jutiapa",22,"Asunción Mita",5,3756,400,134,46,5,7,5,55,3,2,257,8,3,268,0,268,--,400,132,257,268,268,Algún campo sin dato,1,05200e64425be11960c78602c8112e5953bc557a20ac8ced37b8d6b79c94c33f,25/06/2023 23:18:05,ESCANER
23938,"Jutiapa",22,"Asunción Mita",5,3756,400,112,49,6,15,4,52,3,0,241,11,4,256,0,256,--,400,144,241,256,256,Algún campo sin dato,1,bddfad0698aaaf02a8cafe9e66c66de5b514e45416df6f37a5a1dbf72e2af4e9,25/06/2023 22:56:11,ESCANER
23939,"Jutiapa",22,"Asunción Mita",5,3756,400,110,53,5,8,3,64,2,3,248,15,2,265,0,265,--,400,135,248,265,265,Algún campo sin dato,1,3b4f8f3040efd8562a9bc776352392352198bf482e853cc93eff7ed9a265a31d,26/06/2023 00:34:28,ESCANER
23940,"Jutiapa",22,"Asunción Mita",5,3756,400,120,44,2,6,2,56,6,0,236,11,1,248,0,248,--,400,152,236,248,248,Algún campo sin dato,1,b14b08057486d2ce08145943f1ddfaacc577fdd932ff47a0113fc10323e49282,26/06/2023 01:48:43,ESCANER
23941,"Jutiapa",22,"Asunción Mita",5,3756,400,107,45,1,13,3,54,2,0,225,11,1,237,0,237,--,400,160,225,237,237,Algún campo sin dato,1,1a95461de4a6d7d0e9832a2cd3982dbfc69e2d63982751f698f5c65c1ee0f412,26/06/2023 00:55:55,ESCANER
23942,"Jutiapa",22,"Asunción Mita",5,3756,400,118,50,4,9,6,44,2,0,233,19,0,252,0,252,--,400,148,233,252,252,Algún campo sin dato,1,971f823d0b012bde06fb17cfb7a824384eee08c67eed9acc7e323066c46c8a14,25/06/2023 22:56:36,ESCANER
23943,"Jutiapa",22,"Asunción Mita",5,3756,400,104,39,5,14,3,57,1,2,225,7,2,234,0,234,--,400,166,225,234,234,Algún campo sin dato,1,b19056fe152c63423a4c4005a89cc594627cb167f65b5fe5ee01489ae60a7049,26/06/2023 01:48:07,ESCANER
23944,"Jutiapa",22,"Asunción Mita",5,3756,400,106,42,1,2,4,63,2,0,220,2,0,222,0,222,--,400,178,220,222,222,Algún campo sin dato,1,b14e8c0c16207709140a778b0e01a4b7fdad4b88b853e37354403ff545bc61bc,26/06/2023 00:24:57,ESCANER
23945,"Jutiapa",22,"Asunción Mita",5,3756,400,110,44,2,5,5,55,3,0,224,7,1,232,0,232,--,400,168,224,232,232,Algún campo sin dato,1,07ddfb51de601cad07e59ae7625f47202b0b4e2621c1ce917a0342c9bf8d9f0b,26/06/2023 01:44:01,ESCANER
23946,"Jutiapa",22,"Asunción Mita",5,3756,400,106,30,3,3,3,54,2,0,201,3,0,204,1,205,--,400,195,201,204,205,Algún campo sin dato,1,a1191db64e6e4d7b98da0dbc2bb2443d4f7d8ee98a433ac348cea90b6ec0649e,26/06/2023 01:04:51,ESCANER
23947,"Jutiapa",22,"Asunción Mita",5,3756,400,100,51,3,7,2,85,1,1,250,1,0,251,0,251,--,400,149,250,251,251,Algún campo sin dato,1,3662e65c75cb9444d092e11004f17f34013c202cdaeecd9e5c7b74d1429375c1,26/06/2023 00:46:09,ESCANER
23948,"Jutiapa",22,"Asunción Mita",5,3756,400,130,31,3,9,1,64,1,1,240,1,0,241,1,242,--,400,158,240,241,242,Algún campo sin dato,1,277e7930eaf2686d43a268a35bbe1382d29991a8c480946e5677c3db3a51fe45,26/06/2023 00:04:33,ESCANER
23949,"Jutiapa",22,"Asunción Mita",5,3756,377,114,29,4,4,2,51,2,0,206,6,1,213,0,213,--,377,164,206,213,213,Algún campo sin dato,1,5c1d5bef288f9a4647fcc03210647c9ff3609eb9025be5163743e842a310392c,26/06/2023 00:46:35,ESCANER
23950,"Jutiapa",22,"Asunción Mita",5,3756,377,62,19,1,7,1,44,1,0,135,1,4,140,0,140,--,377,237,135,140,140,Algún campo sin dato,1,e8418e003f7cbf3fa1205f758ba65f08877526f7831aa1b64272b688132822d1,26/06/2023 00:01:08,ESCANER
23951,"Jutiapa",22,"Asunción Mita",5,3757,380,85,68,30,6,8,33,0,0,230,19,6,255,0,255,--,380,125,230,255,255,Algún campo sin dato,1,c9c3c3361c4d788e9c9cc17e24147b2738142e2f2240bccc3e184f9e0bc8d9eb,26/06/2023 00:11:03,ESCANER
23952,"Jutiapa",22,"Asunción Mita",5,3757,380,87,69,31,10,6,30,0,0,233,16,7,256,0,256,--,380,124,233,256,256,Algún campo sin dato,1,d5e8068795b453069079fdd4624df65d1add0a17b2ea90b65491da3193b0f7d6,25/06/2023 22:36:51,ESCANER
23953,"Jutiapa",22,"Asunción Mita",5,3757,380,84,66,27,9,6,27,2,1,222,16,3,241,0,241,--,382,141,222,241,241,Algún campo sin dato,1,33c22132a8001f1ff012543b8d950221b9b44d15609be690ac12f9d73822d9cb,26/06/2023 00:20:33,ESCANER
23954,"Jutiapa",22,"Asunción Mita",5,3757,380,79,72,36,13,9,38,1,0,248,5,3,256,0,256,--,380,124,248,256,256,Algún campo sin dato,1,3f8b3b5627975e913820019e56c5a64cc7dc3d9bb4f5c9fde686358c7af4fc99,26/06/2023 00:05:10,ESCANER
23955,"Jutiapa",22,"Asunción Mita",5,3757,380,76,68,30,2,13,40,2,0,231,17,3,251,0,251,--,380,129,231,251,251,Algún campo sin dato,1,961a0487da95110c82b847913dfbcb6427c8c804e66036e599bfbaf0c364f1e3,26/06/2023 00:25:59,ESCANER
