TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
88,88,100.0000,87,98.8636,1,31971,25329,79.2249

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,PPN,AZUL,VAMOS,PHG,VIVA,CABAL,VICTORIA,UNE,CAMBIO,FCN-NACION,MLP,VALOR,CREO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
19756,"Alta Verapaz",16,"San Juan Chamelco",10,3016,400,118,5,93,3,3,3,25,6,1,0,1,2,1,261,7,0,268,1,269,--,--,--,261,268,269,Algún campo sin dato,1,81ffd9480116bc2fb18f6f2e10a41aae915edb86cb4749a8892831769f6ec011,26/06/2023 00:16:38,ESCANER
19757,"Alta Verapaz",16,"San Juan Chamelco",10,3016,400,147,6,99,5,1,4,19,8,0,1,2,5,0,297,1,1,299,0,299,--,400,101,297,299,299,Algún campo sin dato,1,acc3e3ceec83a83d11ceb6ff8fc89a799cf3aa36bd311004b5d6521d8df9b983,26/06/2023 02:06:59,ESCANER
19758,"Alta Verapaz",16,"San Juan Chamelco",10,3016,400,111,7,97,4,7,1,27,6,1,1,1,3,0,266,5,1,272,0,272,--,400,128,266,272,272,Algún campo sin dato,1,d86bb4f67dcc051af5fce0714ad39789c6e568e63e0b463e349e90baa4507abd,26/06/2023 02:44:55,ESCANER
19759,"Alta Verapaz",16,"San Juan Chamelco",10,3016,400,127,5,78,3,3,6,12,13,1,0,1,3,0,252,4,0,252,0,256,--,400,144,252,256,256,Sumas Asentadas sin cuadrar,1,99ea5318054143b3d7fa01f4271ceb25a0b50a454ce20f64b208c750ee08079c,26/06/2023 00:32:56,ESCANER
19760,"Alta Verapaz",16,"San Juan Chamelco",10,3016,328,100,1,73,1,5,5,16,6,1,3,0,1,0,212,4,0,216,0,216,--,328,112,212,216,216,Algún campo sin dato,1,a57e40847b1b4ce512d5bdc4a5c6679ba2ae217896ca8b0cdb9f1d9124411b79,25/06/2023 23:51:30,ESCANER
19761,"Alta Verapaz",16,"San Juan Chamelco",10,3016,328,90,2,79,2,3,2,11,10,2,1,0,2,2,206,7,0,213,0,213,--,328,115,206,213,213,Algún campo sin dato,1,2dca779b8bedd92e472661fc224dcd2c9619dd066db7b953fdb8ce921558eca9,26/06/2023 02:40:23,ESCANER
19762,"Alta Verapaz",16,"San Juan Chamelco",10,3017,400,132,3,87,2,1,0,44,12,2,0,0,1,4,288,27,11,326,0,326,--,400,74,288,326,326,Algún campo sin dato,1,30c8e915d959537c9fd97972efb56c4c7f88c22c8768f0117acfbfd88ceddc94,26/06/2023 01:00:33,ESCANER
19763,"Alta Verapaz",16,"San Juan Chamelco",10,3017,400,127,2,94,12,2,1,72,9,2,3,0,1,3,328,12,2,342,0,342,--,400,58,328,342,342,Algún campo sin dato,1,420608899a0aedd415229fb7cae3f90187f3c6e8d9b51cb97794eb35dba049b9,26/06/2023 02:18:30,ESCANER
19764,"Alta Verapaz",16,"San Juan Chamelco",10,3017,400,126,1,103,6,3,5,49,18,0,2,1,1,2,317,23,8,348,0,348,--,400,52,317,348,348,Algún campo sin dato,1,a8d143fd23c2293a5b4ab2af7fb034de73e779adda906b34cb79f0ad7be25f1c,26/06/2023 02:12:43,ESCANER
19765,"Alta Verapaz",16,"San Juan Chamelco",10,3018,400,131,1,95,6,8,6,65,13,1,2,1,2,0,331,13,3,347,0,347,--,400,53,331,347,347,Algún campo sin dato,1,94d8d7eab3a69dac269cfd85329e4051cb2ccd859c4830d5b4d26f0b95062d61,26/06/2023 00:35:56,ESCANER
