TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
49,49,100.0000,49,100.0000,0,18338,11593,63.2184

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,UNE,BIEN,VALOR,MLP,AZUL,VAMOS,TODOS,VIVA,PODEMOS,SEMILLA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
12769,"Retalhuleu",11,"San Sebastián",2,1741,380,104,20,10,59,0,7,43,1,6,3,1,254,25,5,284,1,285,--,380,95,254,284,285,Algún campo sin dato,1,3500c1504d8ca2f6323ceea5f54a52c3a2b0bcddef4e2b742b1ed06939d90050,26/06/2023 03:15:57,ESCANER
12770,"Retalhuleu",11,"San Sebastián",2,1741,380,81,35,13,55,2,10,45,4,4,3,3,255,26,5,286,0,286,--,380,94,255,286,286,Algún campo sin dato,1,79d92a82c232bdd23da0334f78f7d11d06bd4decbe054a2404eeb1431427ac59,26/06/2023 02:37:37,ESCANER
12771,"Retalhuleu",11,"San Sebastián",2,1741,380,119,18,6,60,2,6,48,1,6,3,2,271,19,5,295,0,295,--,380,85,271,295,295,Algún campo sin dato,1,a59a6acf9ba19feed7f014b0e551aa26767659dd859c3319fa23761eb46cd9a3,26/06/2023 01:42:50,ESCANER
12772,"Retalhuleu",11,"San Sebastián",2,1741,380,91,20,12,39,2,11,40,5,3,2,1,226,12,4,242,0,242,--,380,--,226,242,242,Algún campo sin dato,1,2de1e9e3664397dca2585acdcd9033ea6dbfd760a79fd7576a9943ed0e0e5498,26/06/2023 04:09:03,ESCANER
12773,"Retalhuleu",11,"San Sebastián",2,1741,380,93,20,20,49,1,3,31,1,1,5,1,225,23,4,252,0,252,--,380,128,225,252,252,Algún campo sin dato,1,a17757ace02f9fe3246e5724063a46a30ef60808445ebe3c65ef0732f26e7da4,26/06/2023 03:23:12,ESCANER
12774,"Retalhuleu",11,"San Sebastián",2,1741,380,96,30,12,53,2,5,32,2,3,3,0,238,11,2,251,0,251,--,380,129,238,251,251,Algún campo sin dato,1,974cd9214bc9637a8412be79921cc34aaeae970906855b673caca2510401b750,26/06/2023 03:32:51,ESCANER
12775,"Retalhuleu",11,"San Sebastián",2,1741,380,87,22,7,54,3,10,32,1,6,4,0,226,15,3,244,0,244,--,380,136,226,244,244,Algún campo sin dato,1,a244cc648e9c2b0572cc7b2c7b1b4f74666ac085474400ecc045b436383d9f82,26/06/2023 00:36:55,ESCANER
12776,"Retalhuleu",11,"San Sebastián",2,1741,380,64,33,8,58,0,10,3,43,3,3,2,227,32,4,263,0,263,--,380,117,227,263,263,Algún campo sin dato,1,c4bb0ba92cbaa74c8a9d890019b7f17830bfa0e76c9b9bff3b060451b9dc1b1b,26/06/2023 03:06:20,ESCANER
12777,"Retalhuleu",11,"San Sebastián",2,1741,380,86,22,8,50,0,19,36,0,0,2,3,226,11,1,238,0,238,--,380,142,226,238,238,Algún campo sin dato,1,0efdd3b03a5560731bd1b5f194124228d8ccd5d3f75cfc5bf7cdd8c3893bbcd0,26/06/2023 03:45:56,ESCANER
12778,"Retalhuleu",11,"San Sebastián",2,1741,380,87,24,11,40,1,19,36,1,2,6,3,230,7,1,238,0,238,--,376,138,230,238,238,Algún campo sin dato,1,aa600e0b365f43d5e32ffc9dc927cf8e5b7eaa4ae9748a518f0414cbc8744476,26/06/2023 02:17:19,ESCANER
12779,"Retalhuleu",11,"San Sebastián",2,1741,297,72,22,12,41,0,8,28,0,0,0,0,183,3,0,186,0,186,--,297,111,183,186,186,Algún campo sin dato,1,6e9aab17861e379334812742f6f47575627834db8faf6bdb107b07956a083c48,26/06/2023 02:05:26,ESCANER
12780,"Retalhuleu",11,"San Sebastián",2,1741,296,59,17,6,27,1,6,23,0,1,2,3,145,12,1,158,0,158,--,296,138,145,158,158,Algún campo sin dato,1,6df79ac5176cb8b0d99f26386e6b323e13819fdd2a9d15f828567846ecff8f30,26/06/2023 01:00:49,ESCANER
12781,"Retalhuleu",11,"San Sebastián",2,1742,380,59,48,6,66,3,14,19,2,4,0,7,228,37,4,269,0,269,--,380,111,228,269,269,Algún campo sin dato,1,31452f95c655b940c52d930678fe309a1406d00ff034e4964585ed957092820b,26/06/2023 01:18:35,ESCANER
12782,"Retalhuleu",11,"San Sebastián",2,1742,380,68,46,5,46,0,11,21,2,3,0,8,210,33,3,247,0,247,1,380,133,210,246,246,Sumas Asentadas sin cuadrar,1,72e60f9496be289fae62d0b582f4fd74fb1aefb14d427d6452641a6179231728,26/06/2023 01:55:03,ESCANER
12783,"Retalhuleu",11,"San Sebastián",2,1742,380,60,43,3,69,2,6,24,4,2,0,4,217,23,4,244,0,244,--,380,136,217,244,244,Algún campo sin dato,1,272e33078584dba6449a3482faeb18f956c85997466cf9386a6c2c80bae65a80,25/06/2023 23:50:01,ESCANER
12784,"Retalhuleu",11,"San Sebastián",2,1742,310,51,31,6,57,2,13,15,2,1,0,7,185,17,4,206,0,206,--,310,104,185,206,206,Algún campo sin dato,1,f9f9307387d7dd84badb938e73a87910494563ed79284957e0fb15487add944f,26/06/2023 00:49:34,ESCANER
12785,"Retalhuleu",11,"San Sebastián",2,1742,310,67,30,5,31,1,12,12,1,1,0,2,162,15,0,177,0,177,--,310,133,162,177,177,Algún campo sin dato,1,4bc1a8f06b7e6f2dec7060c677b24d8f4ac0729e9c09f0150ffaf0a8b8c11fd7,26/06/2023 00:07:57,ESCANER
12786,"Retalhuleu",11,"San Sebastián",2,1743,482,33,13,3,19,4,12,20,2,1,0,5,112,34,1,147,0,147,--,482,335,112,147,147,Algún campo sin dato,1,9edcbac4567eb331f7d6d2f5891b6295c8305784442ba4223dfb431fe38f748d,26/06/2023 01:49:55,ESCANER
12787,"Retalhuleu",11,"San Sebastián",2,1743,482,32,11,0,30,1,17,14,0,2,2,4,113,15,3,131,0,131,--,486,355,113,131,131,Algún campo sin dato,1,9a8faa5135cdc14e79d925c062835f1f634b13ded6d2dda28e14c7e1dce50461,26/06/2023 01:33:46,ESCANER
