TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
138,138,100.0000,138,100.0000,0,52409,37118,70.8237

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,SUD,U R N G - MAIZ,TICC,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
9110,"Sololá",7,"Sololá",1,1113,380,50,141,104,3,298,5,6,309,0,309,--,380,71,298,309,309,Algún campo sin dato,1,cc1c1ae69d4143cc580ee833ce6746ff0a3c7b5a2fa7913faa9f3ae096d5d707,26/06/2023 04:03:11,ESCANER
9111,"Sololá",7,"Sololá",1,1113,380,46,126,86,2,260,5,6,271,0,271,--,377,106,260,271,271,Algún campo sin dato,1,628a68e93fe51badb0251ca6b93cb8065cb3b108404b76fb3af0e3d6e8007583,26/06/2023 02:13:58,ESCANER
9112,"Sololá",7,"Sololá",1,1113,380,48,99,149,7,303,3,1,307,0,307,--,380,73,303,307,307,Algún campo sin dato,1,0b9f872af878c2a6d65ff2401f245971006305d9820359e88c57130c51b58216,25/06/2023 23:06:53,ESCANER
9113,"Sololá",7,"Sololá",1,1113,380,52,133,90,11,286,4,6,296,0,296,--,380,84,286,296,296,Algún campo sin dato,1,be5470e00292b4986af2fb70a72fc6f9fa971471203775457b8bc491f1f6c365,26/06/2023 01:47:02,ESCANER
9114,"Sololá",7,"Sololá",1,1113,380,34,163,64,8,269,11,0,280,0,280,--,380,100,269,280,280,Algún campo sin dato,1,64f51fbce32830473f11cc2bd799350a68a565985e2b6cc0180de491704870f7,26/06/2023 03:28:54,ESCANER
9115,"Sololá",7,"Sololá",1,1113,380,40,154,73,2,269,7,4,280,0,280,--,380,100,269,280,280,Algún campo sin dato,1,0d8f257b65e7331b1b65b174a360d9852e1fe2b7b1c20b98d753e4e0297d0b5d,26/06/2023 03:57:14,ESCANER
9116,"Sololá",7,"Sololá",1,1113,380,30,110,152,3,295,9,2,306,0,306,--,380,74,295,306,306,Algún campo sin dato,1,f94a415e4afaed975848f9591b55aafa4cd6510c30a188738c76a0302e68c605,26/06/2023 03:41:43,ESCANER
9117,"Sololá",7,"Sololá",1,1113,380,36,131,98,6,271,7,1,279,0,--,--,380,101,271,279,279,Algún campo sin dato,1,5485a81a1b95e97e67244fe7d177dae4359e25b09d9fdfe1d1947eae1d96568a,26/06/2023 00:26:40,ESCANER
9118,"Sololá",7,"Sololá",1,1113,380,26,104,84,4,218,7,0,225,0,225,--,380,155,218,225,225,Algún campo sin dato,1,d61bfd61b896dd55e46b219d268c62043085b606a7633ed5942edb3fa0e8a341,25/06/2023 23:12:51,ESCANER
9119,"Sololá",7,"Sololá",1,1113,380,34,114,84,3,235,6,4,245,0,245,--,380,135,235,245,245,Algún campo sin dato,1,8d113fe0275a6731c395bd4df557a5030924c87c80361b8d9937d46e0d00f279,26/06/2023 02:37:04,ESCANER
