TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
138,138,100.0000,138,100.0000,0,52409,37118,70.8237

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,SUD,U R N G - MAIZ,TICC,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
9043,"Sololá",7,"Sololá",1,1103,400,44,137,100,11,292,9,1,302,0,302,--,400,98,292,302,302,Algún campo sin dato,1,cad2c723ef6fde0f64e46dd9b7f74203e4e3e46032e32ed97fcc8a15c1dc0bc7,25/06/2023 22:24:59,MOVIL
9044,"Sololá",7,"Sololá",1,1103,400,46,115,115,9,285,6,9,300,0,300,--,400,100,285,300,300,Algún campo sin dato,1,178142fedb14ec39bc55afbc147c2da40dafbfb2af9a01c69b1f5fc79f3b15e0,26/06/2023 02:54:44,ESCANER
9045,"Sololá",7,"Sololá",1,1103,400,33,120,130,8,291,16,3,310,0,310,--,400,90,291,310,310,Algún campo sin dato,1,b89c2e0a64ed96914cce749e1c92ffbf0b614cba1abfae5d72a97a45596a5225,26/06/2023 03:32:17,ESCANER
9046,"Sololá",7,"Sololá",1,1103,400,45,109,131,15,300,12,3,315,0,315,--,400,85,300,315,315,Algún campo sin dato,1,75fcf2744a73446ec0e175713b6368df0150f3d90043968e1b5b6bc6160d976a,26/06/2023 03:02:48,ESCANER
9047,"Sololá",7,"Sololá",1,1103,400,36,136,130,17,319,8,1,328,0,328,--,400,72,319,328,328,Algún campo sin dato,1,4abec972aadcb6acf6e3a5bc75cf180a9980852aa4a2ba4048642f6f7a030922,26/06/2023 03:00:35,ESCANER
9048,"Sololá",7,"Sololá",1,1103,400,46,134,94,25,299,9,1,309,0,309,--,400,91,299,309,309,Algún campo sin dato,1,71827157ec44f1a102d4a150e187546fb8d4ae52c16a67f8c6fb42547eca662f,26/06/2023 03:48:40,ESCANER
9049,"Sololá",7,"Sololá",1,1103,400,38,138,90,16,282,7,1,290,0,290,--,400,110,282,290,290,Algún campo sin dato,1,e4fa556630686cd4d4c20ca419e0c3ab6f621748d084b9cc61a498f4341ecb56,26/06/2023 00:25:10,ESCANER
9050,"Sololá",7,"Sololá",1,1103,400,43,118,116,7,284,5,1,290,0,290,--,400,110,284,290,290,Algún campo sin dato,1,b929c751baec4b21c90ff57e538eb2fa3c32c3b51832b4b7736e3bdebb4d4895,26/06/2023 02:44:01,ESCANER
9051,"Sololá",7,"Sololá",1,1103,400,32,149,75,15,271,5,4,280,1,281,--,400,119,271,280,281,Algún campo sin dato,1,309a03d3bf67d80729f40328f04358035485e599cb3fa79dae1c908dad5c1aef,26/06/2023 00:06:17,ESCANER
9052,"Sololá",7,"Sololá",1,1103,400,32,135,116,11,294,13,2,309,0,309,--,400,91,294,309,309,Algún campo sin dato,1,6adb734dd678a1791da0c7063396b413c8f2237449408c952dcf88c6c6ebf846,26/06/2023 03:48:11,ESCANER
9053,"Sololá",7,"Sololá",1,1103,400,31,137,99,13,280,13,2,295,0,295,--,400,105,280,295,295,Algún campo sin dato,1,83764d6ed5e1e6836d60b72c8f175b20b322d55454bbd9917502a5aaae78ab11,25/06/2023 23:26:47,ESCANER
9054,"Sololá",7,"Sololá",1,1103,400,38,136,96,12,282,12,2,296,0,296,--,400,104,282,296,296,Algún campo sin dato,1,e940375405ceed0daa76df6b89720e4902c65ac1b84e375571b75fe0b27e3f66,26/06/2023 03:10:13,ESCANER
9055,"Sololá",7,"Sololá",1,1103,400,41,135,80,11,267,6,1,274,0,274,--,400,126,267,274,274,Algún campo sin dato,1,8616411b3712c418bbe14abb7d132868b4ca3c0c2285ca6db510790b7e8b9fc0,26/06/2023 01:59:02,ESCANER
9056,"Sololá",7,"Sololá",1,1103,400,27,145,62,13,247,2,2,251,0,251,--,400,149,247,251,251,Algún campo sin dato,1,fe537bc64e0e4782434d80f82521818b6289a612a6a6a280ab76dc87883fe9be,26/06/2023 02:52:52,ESCANER
9057,"Sololá",7,"Sololá",1,1103,400,47,119,84,16,266,3,0,269,0,269,--,397,128,266,269,269,Algún campo sin dato,1,ec689bbcc889be3b690baf45b9aec641a8d341760e65e1e0a7ad0ebe8e2f82c3,26/06/2023 01:21:44,ESCANER
9058,"Sololá",7,"Sololá",1,1103,249,16,83,51,9,159,2,1,162,0,162,--,248,86,159,162,162,Algún campo sin dato,1,5528b752cea04b535fcd38d5c8bbd53ef8ed65deb8f5b36a20e78a98e3a03257,26/06/2023 00:25:02,ESCANER
9059,"Sololá",7,"Sololá",1,1103,248,16,66,59,4,145,2,0,147,0,147,--,248,101,145,147,147,Algún campo sin dato,1,0337c06489819418d1e832ac67f576292d49e1f9d332e0e33e5bae5e38edc987,26/06/2023 00:43:46,ESCANER
9060,"Sololá",7,"Sololá",1,1104,400,47,119,122,12,300,8,3,311,0,311,--,400,89,300,311,311,Algún campo sin dato,1,4e426f32e684ac6c051af5e38b4f93a68771b708a7091bac184e419b93ab21f6,26/06/2023 01:10:37,ESCANER
9061,"Sololá",7,"Sololá",1,1104,400,62,108,117,10,300,5,5,310,0,310,--,400,90,297,307,307,Sumas Asentadas sin cuadrar,1,8cffc603b1726fbfbc3ff3ace5b5e350b40f997e423603b7170fa7ec6945dcfc,26/06/2023 03:14:36,ESCANER
9062,"Sololá",7,"Sololá",1,1104,400,43,117,124,5,289,11,4,304,0,304,2,400,96,289,304,304,,1,b079c51d6d2fd8cf10d611d2773f23d57a9ced257a7d23023d43f830bc8fe302,26/06/2023 01:29:55,ESCANER
9063,"Sololá",7,"Sololá",1,1104,400,38,93,176,8,315,11,3,329,0,329,--,400,68,315,329,329,Algún campo sin dato,1,6236eba9d095b081f5f5a1166526e560f27b4e42d1ebcb99f3e147d0f5c71418,26/06/2023 04:16:40,ESCANER
9064,"Sololá",7,"Sololá",1,1104,400,40,113,143,13,309,13,4,326,0,326,--,400,74,309,326,326,Algún campo sin dato,1,b6175546a2deed875028ad00856688db8d83188c18653f99192191a258630b6a,26/06/2023 00:57:13,ESCANER
9065,"Sololá",7,"Sololá",1,1104,400,60,110,135,12,317,10,2,329,0,329,--,400,71,317,329,329,Algún campo sin dato,1,74be0e526d706a08adffa021fe13e3cf894ccfd23ddb5d316a78909a4470f85a,26/06/2023 02:11:23,ESCANER
9066,"Sololá",7,"Sololá",1,1104,400,28,110,169,16,323,3,3,329,0,329,--,400,71,323,329,329,Algún campo sin dato,1,feff31173ade4cca86185c220cddf5733d7f3d4a03a79b3a95077920908ba677,25/06/2023 23:56:53,ESCANER
9067,"Sololá",7,"Sololá",1,1105,400,41,110,150,8,309,9,2,320,0,320,--,--,--,309,320,320,Algún campo sin dato,1,c3af0b57a9fec4fbfcdc69f529f6b87878be5896f0c6666d25fb99a64bd13526,25/06/2023 23:55:02,ESCANER
9068,"Sololá",7,"Sololá",1,1105,400,26,86,180,7,299,10,5,314,0,314,--,396,82,299,314,314,Algún campo sin dato,1,4f6617c357b7aa1a7222a4c8c7d75dc3501c97e411038cd19265880d5506998c,26/06/2023 01:05:48,ESCANER
9069,"Sololá",7,"Sololá",1,1105,400,28,127,150,6,311,7,3,321,0,321,--,400,79,311,321,321,Algún campo sin dato,1,7cd5e0465b2aeb23f83256ffce0d2e6d90c37dfc3f0e1c4509fafe65c534ed0a,25/06/2023 23:21:00,ESCANER
9070,"Sololá",7,"Sololá",1,1105,400,47,133,124,16,320,9,4,333,0,333,--,100,67,320,333,333,Algún campo sin dato,1,fb033c295c3ddd811cdb6c2e7086d7df40606b07fbd7e2d2a6b5f61924ac7fad,26/06/2023 00:15:24,ESCANER
9071,"Sololá",7,"Sololá",1,1105,400,36,121,118,15,290,8,5,303,0,303,--,400,97,290,303,303,Algún campo sin dato,1,620d845181cd90cc66669cf20ec358bcd82c6b3658f97b0749c41d2f4deaa29f,26/06/2023 01:36:52,ESCANER
9072,"Sololá",7,"Sololá",1,1105,400,34,94,144,8,280,3,2,285,0,400,--,400,115,280,285,285,Sumas Asentadas sin cuadrar,1,85436b7fc4c507d27c1c48383d6a809d2e63b0640f9adeeeba88cd05afbcccbe,26/06/2023 01:25:53,ESCANER
9073,"Sololá",7,"Sololá",1,1106,400,27,119,112,10,268,5,0,273,0,273,--,400,127,268,273,273,Algún campo sin dato,1,f8ef59c694cd9670c2e7d0246fbf94a067d5a255b72aebbf8e84d494a2981d29,26/06/2023 01:35:59,ESCANER
9074,"Sololá",7,"Sololá",1,1106,400,41,120,116,10,287,6,2,295,1,296,--,400,104,287,295,296,Algún campo sin dato,1,eeaee8f375e437f59c513980b2a044139dbf32a5904602789207d753549680ed,26/06/2023 01:21:16,ESCANER
9075,"Sololá",7,"Sololá",1,1106,400,38,130,112,14,294,10,2,306,0,306,--,400,94,294,306,306,Algún campo sin dato,1,b3d89ee13b14287738e62daa5161bbd01f69f2c4fe054824f344963d54795a6b,26/06/2023 01:16:35,ESCANER
9076,"Sololá",7,"Sololá",1,1106,400,28,131,102,13,274,4,4,282,0,282,0,400,118,274,282,282,,1,a5923f1b6b9e28947d89654f628c02f9ee4c03aac8375966dfc7d193f32a8875,26/06/2023 00:10:17,ESCANER
9077,"Sololá",7,"Sololá",1,1106,400,31,104,131,6,272,4,0,276,0,276,--,400,124,272,276,276,Algún campo sin dato,1,5eb745a1a04ed2cc5f908c335341d9e0cd6a86c273b41a45b9ea9b1974b23de3,25/06/2023 22:37:22,ESCANER
9078,"Sololá",7,"Sololá",1,1107,400,37,123,110,7,277,1,0,278,1,279,--,400,121,277,278,279,Algún campo sin dato,1,208ec681228b68d4354789967109fd887022fe116a90f033fd2be4accfeee531,26/06/2023 02:15:59,ESCANER
9079,"Sololá",7,"Sololá",1,1107,400,46,119,104,14,283,2,1,286,0,0,--,400,114,283,286,286,Algún campo sin dato,1,6e635d592ba1703e30c69a379584aa937c0cf9b11e4ca5e2739a1b880be65713,26/06/2023 02:29:11,ESCANER
9080,"Sololá",7,"Sololá",1,1108,400,34,126,109,6,275,2,0,277,0,277,--,401,124,275,277,277,Algún campo sin dato,1,3862ae5f45151049d56bd6247d38a92e950a43632852c2d98746f07113b0283a,26/06/2023 02:38:06,ESCANER
9081,"Sololá",7,"Sololá",1,1109,400,22,101,139,7,269,6,0,275,0,275,--,400,125,269,275,275,Algún campo sin dato,1,5dac5abc36e08200380c45b1b60c8291e35d0eb65f38c4d584c1e7e99d692fe2,26/06/2023 00:27:29,ESCANER
9082,"Sololá",7,"Sololá",1,1109,245,20,47,92,5,164,1,0,165,0,165,--,245,80,164,165,165,Algún campo sin dato,1,80d13dbe6fb91ee4ae0d8681a4f5e81a61a59b39eaa32fed8ee5524a260d16bf,26/06/2023 00:10:41,ESCANER
9083,"Sololá",7,"Sololá",1,1109,244,17,73,82,4,176,4,0,180,0,180,--,244,64,176,180,180,Algún campo sin dato,1,d0f3e16a21dfbd4541ea381b7e46ade5d618ac06e67d2a2f756e46cf968ed507,25/06/2023 23:48:55,ESCANER
9084,"Sololá",7,"Sololá",1,1110,400,145,82,77,9,313,3,3,319,0,319,--,400,81,313,319,319,Algún campo sin dato,1,9304b7115595254d00c5d7fb64b8d37ce3d8353bdd93857426bd13931e4ef940,26/06/2023 00:02:18,ESCANER
9085,"Sololá",7,"Sololá",1,1110,400,140,96,72,11,319,6,9,334,0,334,--,400,66,319,334,334,Algún campo sin dato,1,2d4f6e9b19962bc6b84792752c39a29c302b83f0ba89d068fa0a115b8d17c8f7,25/06/2023 23:25:07,ESCANER
9086,"Sololá",7,"Sololá",1,1110,400,152,77,90,8,327,11,6,344,0,344,--,400,56,327,344,344,Algún campo sin dato,1,4bad8a9bca48eb6b663bb837195593e34848a92721b5d65b01ef1a22f116d616,26/06/2023 02:57:37,ESCANER
9087,"Sololá",7,"Sololá",1,1110,400,131,73,111,5,320,2,2,324,0,324,--,400,76,320,324,324,Algún campo sin dato,1,9027f11560d64287a27f0399f14b32c5b9fe38d7e810e8940d9dc063953d2a6a,25/06/2023 23:45:45,ESCANER
9088,"Sololá",7,"Sololá",1,1110,400,140,93,72,4,309,8,7,324,0,324,--,400,76,309,324,324,Algún campo sin dato,1,dd2e75254e980ce1dc7802c11f7182b2b81a0392a7043ad217187f64850a9764,26/06/2023 01:47:18,ESCANER
9089,"Sololá",7,"Sololá",1,1110,400,116,111,85,6,318,9,12,339,0,339,--,400,61,318,339,339,Algún campo sin dato,1,cc145df84d57c91eb727d84a3314404dd75a89d1402730919663b7c8dda1dfa3,26/06/2023 01:34:40,ESCANER
9090,"Sololá",7,"Sololá",1,1110,400,110,97,98,3,308,6,7,321,0,321,--,400,79,308,321,321,Algún campo sin dato,1,e392b4ea205b5ca58922509a32f9c152fd8421c49cb2f8360827584e83b507ce,26/06/2023 01:09:41,ESCANER
9091,"Sololá",7,"Sololá",1,1110,400,139,118,69,3,329,3,0,332,0,332,--,400,68,329,332,332,Algún campo sin dato,1,2487651e785359ad28ea7b8a5181d535cfbadda3e55e8bb2d475f1a2e07f2e25,26/06/2023 00:58:48,ESCANER
9092,"Sololá",7,"Sololá",1,1110,400,138,120,41,12,311,6,2,319,0,319,--,400,81,311,319,319,Algún campo sin dato,1,40ebd6ab1e5688518b548d2adab437086e0b33178ddbdfcdcac5b51b9c03f8f1,26/06/2023 03:08:08,ESCANER
9093,"Sololá",7,"Sololá",1,1110,400,125,90,95,7,317,10,4,331,0,331,--,400,69,317,331,331,Algún campo sin dato,1,ae1a344afaa65109359b43a2ed5b78f06f445f2b4f1c730aa02c5853617e60da,26/06/2023 00:17:31,ESCANER
