TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
95,95,100.0000,95,100.0000,0,35822,18636,52.0238

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VALOR,AZUL,UNE,CAMBIO,MLP,PODEMOS,VICTORIA,TODOS,UR,BIEN,PR,PPN,VAMOS,VIVA,VOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
7722,"Escuintla",5,"Tiquisate",6,870,400,41,49,6,39,14,1,54,1,0,2,0,11,2,4,2,2,228,15,1,244,0,244,0,400,156,228,244,244,,1,0ea943d8f2028be10c8e09f222c6e4d62985abfa8728b641d1ebdbd801db6993,26/06/2023 00:43:44,ESCANER
7723,"Escuintla",5,"Tiquisate",6,870,400,33,50,8,27,12,1,58,4,3,0,1,17,3,3,13,0,233,11,3,247,0,247,0,400,153,233,247,247,,1,ef8cda606791c08ea8379c0d68d2631b308be88670db29760ea8e0ba0bad672a,26/06/2023 00:20:14,ESCANER
7724,"Escuintla",5,"Tiquisate",6,870,400,43,51,7,33,13,0,50,1,1,1,0,10,5,3,5,0,223,10,0,233,0,233,0,400,167,223,233,233,,1,490e38490ec27d8efd4f571da310690d91765f5defaed3a2ae8bac37da9ea9d2,26/06/2023 00:14:13,ESCANER
7725,"Escuintla",5,"Tiquisate",6,870,400,41,55,12,28,15,1,55,1,0,3,0,17,6,1,7,0,243,16,3,262,0,262,--,400,138,242,261,261,Sumas Asentadas sin cuadrar,1,f0e0f4205f53eb723027b4872eba8b30ef984d122645d9f5259a84f79f5714d1,26/06/2023 01:23:05,ESCANER
7726,"Escuintla",5,"Tiquisate",6,870,400,52,45,7,28,10,0,52,2,1,1,2,11,2,0,3,0,216,15,2,233,0,233,0,400,167,216,233,233,,1,a49c8ed864d4678637c32e538fc07062f67c629cddfe6312c2a35749de95b163,26/06/2023 00:27:13,ESCANER
7727,"Escuintla",5,"Tiquisate",6,871,400,30,48,6,38,11,0,54,5,0,0,0,0,0,2,4,0,230,12,4,246,0,246,0,397,151,198,214,214,Sumas Asentadas sin cuadrar,1,ef3fea48c44fada99f00fee6dfacb5a809af5edd9fe605e10bfa3001415f5437,26/06/2023 00:55:20,ESCANER
7728,"Escuintla",5,"Tiquisate",6,871,400,47,40,7,23,10,2,29,1,1,1,2,8,2,2,3,0,178,13,7,198,0,198,0,397,199,178,198,198,,1,86bd1772be8e30f320814949e026246801a1a2e81e88946689a28dc30d408d6b,26/06/2023 01:07:22,ESCANER
7729,"Escuintla",5,"Tiquisate",6,871,400,45,42,8,31,10,1,50,5,0,4,0,9,4,4,2,0,215,5,2,222,0,222,0,400,178,215,222,222,,1,812d06502ba081233f80442c607867ca4174715ba7394b39687965b18f39a984,26/06/2023 00:34:08,ESCANER
7730,"Escuintla",5,"Tiquisate",6,871,400,48,44,4,17,20,3,42,0,0,2,1,8,4,1,5,1,200,4,0,204,0,204,0,400,196,200,204,204,,1,5b5f4059bf56ce6a349cb005d1645c8d377c4724fb0394d5e1151e31dce4bd0c,26/06/2023 01:46:32,ESCANER
7731,"Escuintla",5,"Tiquisate",6,871,400,38,47,9,27,9,0,61,1,1,1,0,7,3,4,1,1,207,8,0,215,0,215,0,400,188,210,218,218,Sumas Asentadas sin cuadrar,1,c48dc08d1c662c2778fc2c5a71a0ae86bdc4dda181fa08ac29efcac059f21280,26/06/2023 01:43:16,ESCANER
