TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
95,95,100.0000,95,100.0000,0,35822,18636,52.0238

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VALOR,AZUL,UNE,CAMBIO,MLP,PODEMOS,VICTORIA,TODOS,UR,BIEN,PR,PPN,VAMOS,VIVA,VOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
7773,"Escuintla",5,"Tiquisate",6,878,207,21,11,3,13,0,0,15,1,0,0,0,2,1,0,0,0,67,7,0,74,0,74,0,207,133,67,74,74,,1,1f4906e8662ce889a2534a8979795df18cb59d42313a016ef2e53bfc1c3de78a,25/06/2023 22:24:06,ESCANER
7774,"Escuintla",5,"Tiquisate",6,879,380,97,4,0,30,1,0,20,1,1,1,0,3,1,8,3,0,170,1,5,192,16,176,--,380,188,170,176,192,Sumas Asentadas sin cuadrar,1,0759f1276bb5fbb68e5b41ba1e4534c8af6e12e7640771e6f8b233666829d17f,26/06/2023 05:51:31,ESCANER
7775,"Escuintla",5,"Tiquisate",6,879,380,141,6,2,32,3,0,8,2,1,0,0,2,0,16,3,1,217,21,3,241,0,241,--,380,139,217,241,241,Algún campo sin dato,1,4253df41f84beadc11dccbd22a9f4e2a2430af70bae175a723eec95f82ff39bd,26/06/2023 05:57:00,ESCANER
7776,"Escuintla",5,"Tiquisate",6,879,380,102,6,2,20,8,1,8,2,0,2,0,0,2,2,2,1,158,11,1,170,0,170,--,380,210,158,170,170,Algún campo sin dato,1,6a6180a977170e11973487b46306a285eefd39bbaebcd9f9867fecff906c3c44,26/06/2023 05:51:10,ESCANER
7777,"Escuintla",5,"Tiquisate",6,879,380,105,5,1,35,1,3,24,6,0,0,2,0,0,9,4,2,197,28,2,227,0,227,--,380,103,197,227,227,Algún campo sin dato,1,6a71399fee443e0da613bb32dfe6075a0dedd5d0132a43a0050fa516044d781a,26/06/2023 04:52:08,ESCANER
7778,"Escuintla",5,"Tiquisate",6,879,380,102,5,1,23,3,3,19,6,0,0,0,2,1,10,0,0,175,22,4,201,0,201,--,380,179,175,201,201,Algún campo sin dato,1,1433500cfeafcd2f2c022ee6abfd5645e68f3aa7152870c1619272d218b15d75,26/06/2023 04:50:42,ESCANER
7779,"Escuintla",5,"Tiquisate",6,879,380,120,4,1,29,0,0,11,2,1,1,0,1,0,5,2,0,177,5,1,183,0,183,0,380,197,177,183,183,,1,a3cb3fcc550a0ef3e326281034321f8c9646f542f273bf026c927a4e0aaba52a,25/06/2023 23:22:20,ESCANER
7780,"Escuintla",5,"Tiquisate",6,879,380,124,3,1,26,1,1,15,3,0,0,0,2,0,7,1,0,184,21,4,209,0,209,0,380,171,184,209,209,,1,47c47d6b0a0c8e2e13eb5966e5f5ab5ddd2ca0ec022bd3b846695b2f0edc7c1d,25/06/2023 22:31:13,ESCANER
7781,"Escuintla",5,"Tiquisate",6,879,380,112,5,4,17,0,2,12,1,0,1,0,1,1,6,3,0,165,13,5,183,0,183,--,380,197,165,183,183,Algún campo sin dato,1,347581d0d9cac01d0cb460a9f4db54d187d25b6b4465a4d377764d9d1c9baf7a,26/06/2023 05:53:01,ESCANER
7782,"Escuintla",5,"Tiquisate",6,879,380,117,6,1,30,1,0,9,1,0,1,0,2,0,2,2,0,172,15,5,192,0,192,--,380,188,172,192,192,Algún campo sin dato,1,0a1118402061cd70d754fb623cb51a59972ad1c85e15fdf8497afee32c297ee8,26/06/2023 00:40:43,ESCANER
7783,"Escuintla",5,"Tiquisate",6,879,380,91,4,1,32,0,0,12,2,0,0,0,0,0,6,3,0,151,17,4,172,0,172,--,380,208,151,172,172,Algún campo sin dato,1,e0e012cefb1bf5adc8a805965a58371ef07ccfd4a7ee08f4077243027a38b0f1,26/06/2023 05:53:20,ESCANER
7784,"Escuintla",5,"Tiquisate",6,879,380,114,4,2,35,1,0,10,0,0,0,0,0,0,2,3,0,171,18,6,195,0,195,0,380,185,171,195,195,,1,11961746eeb46a500d43060235193fb89d99a1ff2b83fe0cd85c1920b3611e1e,25/06/2023 23:19:59,ESCANER
7785,"Escuintla",5,"Tiquisate",6,879,380,75,5,1,33,0,3,7,1,1,0,0,0,0,6,0,0,132,18,7,157,0,157,--,380,223,132,157,157,Algún campo sin dato,1,65a06931a9bbca9c9ea8e1f0b72f5c61c7a0b557565184f905887356edf1642a,26/06/2023 05:51:41,ESCANER
7786,"Escuintla",5,"Tiquisate",6,879,380,94,2,1,31,1,0,11,3,1,0,0,2,0,10,1,0,157,14,1,172,0,172,0,380,208,157,172,172,,1,cb96b29e62a5503dcf5e81829350c64b30cb2bd18f4f91cb37dca9c6e04e2694,26/06/2023 00:47:51,ESCANER
7787,"Escuintla",5,"Tiquisate",6,879,380,102,3,2,19,0,0,16,0,0,0,0,1,0,2,1,1,147,7,0,154,0,154,0,380,226,147,154,154,,1,45727d54d60271eb3addb1a52bee80f5b96a75165c6408231caee08e12d2b505,26/06/2023 00:38:38,ESCANER
7788,"Escuintla",5,"Tiquisate",6,880,380,104,4,2,30,2,1,19,1,0,0,0,2,0,1,3,0,169,5,0,174,0,174,0,380,206,169,174,174,,1,3081387c24e0a9336792c8ba12a51ab783cb24415e939cca661877273e11c53e,26/06/2023 00:27:06,ESCANER
7789,"Escuintla",5,"Tiquisate",6,880,355,67,4,1,23,0,0,12,1,1,0,0,1,0,2,0,0,112,5,2,119,0,119,0,355,236,112,119,119,,1,f8111e438a0400ee5ffff76648ef379279b5b640a8ca8322380d2eed3a2c5d72,26/06/2023 00:00:56,ESCANER
7790,"Escuintla",5,"Tiquisate",6,880,354,72,3,1,14,1,0,8,1,0,0,2,0,0,1,1,0,104,5,0,109,0,109,0,354,245,104,109,109,,1,00a28bd6e1713b48c67007f67446fdfefd131951f9feb9b67ab86397f0f66d52,25/06/2023 23:59:24,ESCANER
7791,"Escuintla",5,"Tiquisate",6,881,353,27,18,2,47,3,5,12,0,0,0,1,1,0,2,7,1,126,10,0,136,0,136,2,350,212,126,136,136,,1,a29a70721a77933fd8d085422088dd0c5e31dc20f93b42d923e6bed76f1369cf,25/06/2023 23:07:38,ESCANER
7792,"Escuintla",5,"Tiquisate",6,881,353,31,11,5,28,0,0,14,0,0,0,0,2,1,0,5,1,100,10,0,110,0,110,0,253,243,98,108,108,Sumas Asentadas sin cuadrar,1,b18c160f2b8dd3413c3c97a708df9b250eb185aae22393a6851b8af2c5ae968d,25/06/2023 23:09:56,ESCANER
7793,"Escuintla",5,"Tiquisate",6,882,380,26,27,20,47,9,5,38,1,2,0,0,8,2,2,5,1,193,22,4,219,0,219,0,380,161,193,219,219,,1,63085c420230039ac8ee5c7ae3392f3cfb1c02b479fc2e8df7256adcdf2f7b94,26/06/2023 00:38:40,ESCANER
7794,"Escuintla",5,"Tiquisate",6,882,380,35,24,18,45,10,3,35,3,0,0,1,5,4,1,7,1,192,20,5,217,0,217,0,380,163,192,217,217,,1,937c775b9803431351d7da224eae27bf4bea4409eea232df7e3e7d85e403d163,26/06/2023 00:53:26,ESCANER
7795,"Escuintla",5,"Tiquisate",6,882,380,35,21,24,30,8,6,22,2,1,0,0,5,4,4,6,1,169,19,1,189,0,189,0,371,182,169,189,189,,1,67ba92c56de1d11dced73ec292620a135c1037777ad843c3a6a35938098ce990,26/06/2023 02:07:09,ESCANER
7796,"Escuintla",5,"Tiquisate",6,882,380,32,11,24,37,7,4,34,2,2,1,1,5,3,1,7,0,171,10,4,185,0,0,0,0,0,171,185,185,,1,d733db35e81ed645eeeedd504e5d708bb51e03aadb42205071d4dd4b721f4d9b,26/06/2023 01:31:41,ESCANER
7797,"Escuintla",5,"Tiquisate",6,882,247,15,12,7,13,9,1,17,4,0,0,0,1,4,0,3,1,87,3,2,92,5,97,0,247,150,87,92,97,,1,61895e616b180e8a23956c33ba7ef405b88556e60fbcdd697a0604b1d2be42f7,26/06/2023 00:11:31,ESCANER
7798,"Escuintla",5,"Tiquisate",6,882,247,27,8,11,17,5,1,12,0,0,1,0,4,2,1,1,0,90,4,0,94,0,94,0,247,153,90,94,94,,1,40ab19a9d3e9cd19e640dc2cf9560fe320c15dfdeffef5083bc76d4ba4290589,25/06/2023 23:02:47,ESCANER
7799,"Escuintla",5,"Tiquisate",6,883,600,45,38,4,20,11,2,39,4,0,1,0,6,4,3,4,0,181,15,1,197,0,197,0,600,403,181,197,197,,1,0f15ab5e61f1ab97829f63c1c469c0a52e7cca7bcd29446a6a62b4566b9a3e91,26/06/2023 00:07:12,ESCANER
7800,"Escuintla",5,"Tiquisate",6,883,600,41,49,10,17,13,3,48,4,1,0,1,7,1,2,5,1,203,21,3,227,0,227,0,597,370,203,227,227,,1,3dbdacc8b9407d12b02f8b6206ea7717909e79806fbfe03ce7cc21cb80a328f7,26/06/2023 00:23:01,ESCANER
7801,"Escuintla",5,"Tiquisate",6,883,600,34,45,7,17,16,4,49,4,1,3,1,10,5,3,6,0,206,10,3,218,0,218,0,597,379,205,218,218,Sumas Asentadas sin cuadrar,1,875238e9e8e1e97809c06b4495611371f1a568807c5d8d38243735726e9a8921,25/06/2023 23:36:50,ESCANER
7802,"Escuintla",5,"Tiquisate",6,883,600,42,66,8,19,13,0,59,6,0,3,1,9,5,2,8,0,241,14,2,257,0,257,0,0,0,241,257,257,,1,d7ce8836a19168fe96182881c0c02edaf7d2458335df2962212cca51a6688e97,26/06/2023 00:26:26,ESCANER
7803,"Escuintla",5,"Tiquisate",6,883,600,26,34,8,19,12,0,31,5,0,1,1,5,3,2,4,0,151,11,3,165,0,165,0,600,435,151,165,165,,1,5c999b81ab42c3674b1f164e129deef74add0e43863fba2ba24e963cb00bf873,25/06/2023 23:19:57,ESCANER
7804,"Escuintla",5,"Tiquisate",6,883,600,12,19,5,10,0,0,7,2,0,0,0,6,1,2,0,0,64,11,0,75,2,77,0,600,523,64,75,77,,1,f326aebea4fa5b7aa2bd6f85cdd25f0f44e36690d1bd845e717e660dd9b925f1,25/06/2023 22:52:01,ESCANER
7805,"Escuintla",5,"Tiquisate",6,883,363,4,4,--,5,2,--,4,1,--,--,--,1,--,--,--,--,21,--,--,--,--,21,--,363,342,21,21,21,Algún campo sin dato,1,8695938e702857c813811ce3b7fde12b125f7bf3cc43a067e8167957f4f19200,25/06/2023 21:01:33,ESCANER
7806,"Escuintla",5,"Tiquisate",6,883,363,6,3,1,3,3,--,2,--,--,--,--,1,--,--,--,--,19,--,1,20,--,20,--,20,343,19,20,20,Algún campo sin dato,1,fc3ec39e482ac570e31120da5e2a4254ba3e2551e87d3fef097a563faeff890c,25/06/2023 20:12:08,ESCANER
