TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
104,104,100.0000,104,100.0000,0,38583,23091,59.8476

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,MLP,UNE,BIEN,PODEMOS,CABAL,AZUL,MI FAMILIA,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
8744,"Santa Rosa",6,"Chiquimulilla",8,1048,232,86,0,24,2,0,4,0,0,0,116,7,2,125,0,125,--,232,107,116,125,125,Algún campo sin dato,1,a1ac17dcf2412df27bafe34bfa7b82b0ecfd3edb8b7f9f58efdff3a13eb2ff2c,25/06/2023 23:03:07,ESCANER
8745,"Santa Rosa",6,"Chiquimulilla",8,1048,231,88,0,38,0,0,4,0,0,1,131,10,1,142,0,142,--,231,89,131,142,142,Algún campo sin dato,1,8396c7cff8a044cefa6c46a3d5b346d3bfb2b65f2b9290b499a87a6a2986bdfd,26/06/2023 00:51:42,ESCANER
8746,"Santa Rosa",6,"Chiquimulilla",8,1049,380,97,17,83,2,1,9,1,0,0,210,21,9,240,0,240,--,375,135,210,240,240,Algún campo sin dato,1,5992240c9563e9d45614d23326ef841cf0ef8e33a23b89bcbe0b2cf2670581a4,25/06/2023 23:24:48,ESCANER
8747,"Santa Rosa",6,"Chiquimulilla",8,1049,380,106,18,79,1,1,9,3,0,2,219,13,2,234,22,256,1,375,119,219,234,256,,1,1b797fa668891330f22b74d624bbc86e71bc9bc1b74a76dc5d55b889dc5a361a,26/06/2023 01:43:53,ESCANER
8748,"Santa Rosa",6,"Chiquimulilla",8,1049,380,100,10,57,2,0,1,1,1,0,172,21,1,196,0,196,--,375,179,172,194,194,Sumas Asentadas sin cuadrar,1,e5a91c370f1313acee94d37504968d5cf336e658f1c6d9c31eabe014a20627e2,26/06/2023 00:33:26,ESCANER
8749,"Santa Rosa",6,"Chiquimulilla",8,1049,380,85,12,54,0,1,6,1,0,0,159,16,9,184,0,184,--,375,191,159,184,184,Algún campo sin dato,1,35cfdb1b5917e3d06e59d7847a27317e011ae96b25a16beceb6bd74d51042a4a,26/06/2023 01:28:59,ESCANER
8750,"Santa Rosa",6,"Chiquimulilla",8,1049,220,52,16,41,0,0,5,0,0,0,114,3,1,118,0,118,--,220,102,114,118,118,Algún campo sin dato,1,24397311430c9ab5003f2601a5929c4a585b1c6223536ec0504b733e2b786926,25/06/2023 23:58:23,ESCANER
8751,"Santa Rosa",6,"Chiquimulilla",8,1049,219,55,6,41,--,--,6,--,--,--,108,4,1,113,0,113,--,220,107,108,113,113,Algún campo sin dato,1,f70877f32636d17da5fd1e32de67a27e4069e6f054934703e1e135dbabb941a7,26/06/2023 00:55:09,ESCANER
8752,"Santa Rosa",6,"Chiquimulilla",8,1050,380,104,13,128,0,0,10,0,0,0,255,19,5,279,0,279,--,374,95,255,279,279,Algún campo sin dato,1,2ed7fc8fc1306d5b1ac599cf92f5441e664e7fa317a66034526178a4eb3606d1,26/06/2023 00:04:33,ESCANER
8753,"Santa Rosa",6,"Chiquimulilla",8,1050,380,102,24,86,2,1,8,0,0,0,223,15,5,243,0,243,--,375,132,223,243,243,Algún campo sin dato,1,d66988559b9ede0ac3015b2f616fac0e44349a7b718081ce77ad61f7e2838c0a,25/06/2023 23:46:54,ESCANER
8754,"Santa Rosa",6,"Chiquimulilla",8,1050,370,89,19,92,1,1,3,1,1,0,207,19,5,231,0,231,--,370,139,207,231,231,Algún campo sin dato,1,85afaa5dfd12726c2419e58a614e263862be687ff9c7ce0fb1d537a4aa2f9886,26/06/2023 00:42:14,ESCANER
8755,"Santa Rosa",6,"Chiquimulilla",8,1050,369,92,14,101,2,0,6,1,0,0,216,8,0,224,0,224,--,361,145,216,224,224,Algún campo sin dato,1,eb8c3fce54205c1a4d7c0188bb4e2aa356277c0afe98722ef2e520e4b3e9d49a,26/06/2023 00:54:21,ESCANER
8756,"Santa Rosa",6,"Chiquimulilla",8,1051,380,140,1,77,3,2,15,0,1,2,241,26,5,272,1,273,--,375,102,241,272,273,Algún campo sin dato,1,acb51443106938ed63a9bd69028264c5a6fd6c77ee935fcf9a519eaaa501fb69,26/06/2023 01:20:44,ESCANER
8757,"Santa Rosa",6,"Chiquimulilla",8,1051,380,145,0,89,3,0,8,3,1,3,252,29,2,283,0,283,--,375,92,252,283,283,Algún campo sin dato,1,09dceb7662dce82a0a63403aff83fc3810ab6a3f212c3e08e6b6a599fd29e518,26/06/2023 02:20:15,ESCANER
8758,"Santa Rosa",6,"Chiquimulilla",8,1051,380,153,0,74,4,1,21,1,1,5,260,19,3,282,0,282,--,375,93,260,282,282,Algún campo sin dato,1,6267f8d247f3140e122ff97d8a0919b4fbc2335ce744ae8edb617135f670ec31,26/06/2023 03:40:23,ESCANER
8759,"Santa Rosa",6,"Chiquimulilla",8,1051,380,124,3,82,4,0,12,2,0,6,233,9,3,245,0,245,--,375,130,233,245,245,Algún campo sin dato,1,bb7d0c2329ff74d98680874178e1b9f3fe4db640594a26e0990aad47ef5b2385,25/06/2023 23:59:20,ESCANER
8760,"Santa Rosa",6,"Chiquimulilla",8,1051,380,139,3,68,6,0,11,2,1,4,234,12,3,249,0,249,--,375,126,234,249,249,Algún campo sin dato,1,2e7e03a16e9673d461aa9a61acd4a5d85bf98774e6089abd44f51160a4ada795,25/06/2023 23:57:40,ESCANER
8761,"Santa Rosa",6,"Chiquimulilla",8,1051,380,126,0,82,3,1,12,0,1,2,227,16,4,247,0,247,--,375,128,227,247,247,Algún campo sin dato,1,7b33b4963612b95644152406c880b86a473dd3742d63d48b5e01552626faf074,26/06/2023 01:58:52,ESCANER
8762,"Santa Rosa",6,"Chiquimulilla",8,1051,380,120,0,75,4,0,8,3,0,1,211,26,0,237,0,237,--,375,138,211,237,237,Algún campo sin dato,1,2b28a9587cb57855b95b85866a354f172e3340a19911905a3d0a9f0416d2c35f,26/06/2023 02:04:41,ESCANER
8763,"Santa Rosa",6,"Chiquimulilla",8,1051,380,146,1,53,3,0,14,0,0,4,221,3,0,224,1,225,--,367,142,221,224,225,Algún campo sin dato,1,ac7f8eb980f8efaccc3264394e23eeb8970b4504f5d0f698adddabe8becce47b,26/06/2023 04:29:37,ESCANER
8764,"Santa Rosa",6,"Chiquimulilla",8,1051,205,76,0,31,4,0,2,1,0,1,115,5,0,120,1,121,--,205,84,115,120,121,Algún campo sin dato,1,bed3d775335ab2e060062b477ed049eb0b83a6e1b457f1bc585de2eaf18a5eda,26/06/2023 00:38:38,ESCANER
8765,"Santa Rosa",6,"Chiquimulilla",8,1051,205,68,1,30,2,0,7,0,0,2,110,5,1,116,0,116,--,205,89,110,116,116,Algún campo sin dato,1,77e32367bd06c08c6d963c21407c9e1801e207d49abc8998b342716336690964,25/06/2023 22:16:21,ESCANER
8766,"Santa Rosa",6,"Chiquimulilla",8,1052,380,162,0,63,5,1,3,2,2,0,238,29,4,271,0,271,--,375,104,238,271,271,Algún campo sin dato,1,0793d6598b84acd548cc4e73727f352d83484afb41042e11c0b799e489ee5bb2,25/06/2023 22:47:53,ESCANER
8767,"Santa Rosa",6,"Chiquimulilla",8,1052,380,149,2,50,1,0,8,3,0,1,214,19,5,238,1,239,--,375,136,214,238,239,Algún campo sin dato,1,ffebe732d5133747ad471761809a0c0e73a0f0d14c06c2fa1565ed1363fd40cb,26/06/2023 00:35:01,ESCANER
8768,"Santa Rosa",6,"Chiquimulilla",8,1052,334,127,1,36,5,0,7,1,0,0,177,22,136,335,0,335,--,335,130,177,335,335,Algún campo sin dato,1,d161519271e2a038c999b737a0b9609a743110262643deb2da3dd070db8efabe,26/06/2023 01:35:31,ESCANER
8769,"Santa Rosa",6,"Chiquimulilla",8,1052,334,141,0,32,2,0,3,0,0,1,179,3,2,184,0,184,--,334,150,179,184,184,Algún campo sin dato,1,4b2022ee299d319e4a72d70fc795756c8827bf005773e73dfcfd2dbc5ddbbd06,26/06/2023 00:26:58,ESCANER
8770,"Santa Rosa",6,"Chiquimulilla",8,1053,600,71,2,45,0,0,6,3,0,5,132,13,2,147,0,147,--,600,453,132,147,147,Algún campo sin dato,1,4e9aedd49d265001e769fb42e615a3297b7d183405b9f832f2c2d77011882664,26/06/2023 01:10:46,ESCANER
8771,"Santa Rosa",6,"Chiquimulilla",8,1053,600,63,0,29,2,1,2,0,1,2,100,10,0,110,0,110,--,600,487,100,110,110,Algún campo sin dato,1,d361e092b3426092f33a4c83b39fc5d575ccc4af740c1c3d0dfbfcd0d663ab64,26/06/2023 01:59:41,ESCANER
8772,"Santa Rosa",6,"Chiquimulilla",8,1053,600,50,1,24,0,1,6,0,1,1,84,12,1,97,0,97,--,616,519,84,97,97,Algún campo sin dato,1,f17e2dc6cc137752829c2271b43a2399ec71f73dde9a8c92ef417c19fb73f32b,26/06/2023 02:44:19,ESCANER
8773,"Santa Rosa",6,"Chiquimulilla",8,1053,464,11,1,8,0,0,0,0,0,2,22,5,1,28,0,28,--,464,436,22,28,28,Algún campo sin dato,1,7fd923b223a599a643b6c3974b8cb68793821c8ede3b7f4038867a87edc3c703,25/06/2023 20:53:18,ESCANER
8774,"Santa Rosa",6,"Chiquimulilla",8,1053,464,8,2,2,0,0,0,0,0,1,13,0,0,13,0,13,--,465,452,13,13,13,Algún campo sin dato,1,a5afb18fa3a5b7ac8a69f281c36020491c21439d65ce8bb992f537643d89a2d6,25/06/2023 23:03:32,ESCANER
