TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
167,167,100.0000,167,100.0000,0,66139,40684,61.5128

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VALOR,AZUL,UNE,CAMBIO,VAMOS,VIVA,CABAL,SEMILLA,MLP,TODOS,PPN,PR,ELEFANTE,VOS,PODER,BIEN,PHG,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
7382,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,824,400,13,38,52,5,66,5,34,13,1,2,7,9,3,7,1,0,0,256,24,2,282,0,282,0,400,118,256,282,282,,1,4b33f75624e5f861408f6f78c672811eb568b4608a0a481633a6eb5242d30345,26/06/2023 02:11:18,ESCANER
7383,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,824,400,21,46,53,5,68,6,21,11,0,3,12,3,5,3,0,0,0,257,23,3,283,0,283,0,400,117,257,283,283,,1,b7f6d2178e6e1edd4fed3b27632c138cc66013c37b6fa7896c0ab0a0975c00a7,26/06/2023 02:34:25,ESCANER
7384,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,824,400,15,36,46,6,73,6,37,17,0,7,13,4,1,8,1,0,0,270,21,3,294,0,294,1,400,105,270,294,294,,1,abd46280e36bcacc77bffde4dd7343618cbbf86c97f979a9dabb6d97a0f35977,26/06/2023 03:25:09,ESCANER
7385,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,824,400,12,45,52,7,73,9,32,6,0,4,10,6,6,4,1,2,0,269,15,116,284,0,284,0,400,116,269,400,400,Sumas Asentadas sin cuadrar,1,d55fca60db7eb265c6249f6fe59e840fa27a72560333645d8e19924f51a8ac69,26/06/2023 03:06:37,ESCANER
7386,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,824,400,6,47,44,4,65,3,40,12,2,2,9,3,5,9,0,0,0,251,20,0,271,0,271,--,396,125,251,271,271,Algún campo sin dato,1,c5988d07d0a9278a669828314d839337d9c72b29900514c81f0e1a55495bbb92,26/06/2023 03:31:02,ESCANER
7387,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,824,400,11,39,47,7,79,2,27,9,1,0,5,7,3,5,0,0,1,243,7,4,254,0,254,0,400,146,243,254,254,,1,091bfeca633342edc8e52ebeaeb8acfe155c2e6bf63347e813a54e1bcd57c659,26/06/2023 00:53:55,ESCANER
7388,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,824,400,12,42,47,5,69,2,29,9,1,3,8,5,4,4,0,0,1,241,11,3,255,0,255,0,400,145,241,255,255,,1,6d9099cd694953309a738583802a44965fd33276bcfb468b3c25b2cb22d03129,26/06/2023 01:52:21,ESCANER
7389,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,824,400,15,44,41,4,77,2,38,8,0,2,10,1,2,4,1,0,1,250,11,0,261,0,261,0,398,137,250,261,261,,1,ad578f02d7378f6962601c458f9762eb12a32507728516fc26b5a8dc53bc425d,26/06/2023 04:39:40,ESCANER
7390,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,824,400,12,41,45,6,67,8,25,6,0,5,11,4,3,5,3,1,1,243,23,0,266,0,266,0,400,134,243,266,266,,1,75030aaf9ce6e7131f61712eca4a9e12d82cc51fa282e4254d2eb5859d9e1a05,26/06/2023 03:13:09,ESCANER
7391,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,825,400,14,43,44,5,62,27,27,7,1,7,9,0,1,2,0,3,0,239,17,3,259,1,260,0,400,140,252,272,273,Sumas Asentadas sin cuadrar,1,25739d29646a6f541cd5787e829401c11e485282fa31f54c157696946c13b48a,26/06/2023 02:33:49,ESCANER
