TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
67,67,100.0000,67,100.0000,0,25526,15285,59.8801

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VALOR,VAMOS,UNE,PODEMOS,CABAL,VIVA,VICTORIA,MI FAMILIA,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
7838,"Escuintla",5,"La Gomera",7,886,400,16,80,19,36,8,37,4,0,0,200,37,2,239,0,239,--,400,161,200,239,239,Algún campo sin dato,1,ddc5aee8b512343f83baa7a31de891e7ac9346c2631dc32e3b3b860c44f49abc,25/06/2023 22:30:56,ESCANER
7839,"Escuintla",5,"La Gomera",7,886,400,27,81,18,52,5,21,6,0,2,212,33,1,246,0,246,--,400,154,212,246,246,Algún campo sin dato,1,b904f0fb3ee09af03d62c466fb8a7f2924bfc45c1838752e3f489ccb796c7a77,25/06/2023 22:59:31,ESCANER
7840,"Escuintla",5,"La Gomera",7,886,400,18,96,26,39,2,24,3,1,1,210,32,2,244,0,244,--,400,156,210,244,244,Algún campo sin dato,1,f0207fd09f6b00b6fbdf5afcef1040ad97f326246a49105ed1e983b2e337a4cd,25/06/2023 23:24:18,ESCANER
7841,"Escuintla",5,"La Gomera",7,887,400,21,70,20,45,8,22,6,0,0,192,35,4,231,0,231,0,400,165,192,231,231,,1,461e40225330964970995df963671673b1b2ae23faaedcbba44de7ee01477289,26/06/2023 00:13:51,ESCANER
7842,"Escuintla",5,"La Gomera",7,887,400,18,87,25,39,8,18,3,3,2,203,36,1,240,0,240,0,400,160,203,240,240,,1,e7ae513a73264ed29eaa9b37c579868923656e3a8bc6d2c31c4696a64c988fbe,25/06/2023 21:09:51,ESCANER
7843,"Escuintla",5,"La Gomera",7,887,400,16,78,15,58,4,19,0,0,2,192,32,2,226,0,226,0,397,171,192,226,226,,1,d380cedf4e061078d47e6239cc959d3c20a81eabb82faaaee69b006191436a17,26/06/2023 00:50:10,ESCANER
7844,"Escuintla",5,"La Gomera",7,887,233,16,51,10,38,0,13,0,1,0,129,21,0,150,0,150,0,233,83,129,150,150,,1,8938156e56c7f5e2d0a55bccfe04c57bfbe59b521b624b356b9d07687b165bfd,26/06/2023 00:30:18,ESCANER
7845,"Escuintla",5,"La Gomera",7,887,233,13,35,7,24,2,9,0,0,1,111,19,1,111,0,111,0,230,119,91,111,111,Sumas Asentadas sin cuadrar,1,e30bd2fafde634c717b505b765a4a402108d1e3618a08bd403dbc5b6412aab77,25/06/2023 21:50:28,ESCANER
7846,"Escuintla",5,"La Gomera",7,888,400,72,68,16,26,12,24,6,2,0,226,22,7,255,0,255,0,400,145,226,255,255,,1,19acc852661786a307e04c8b22e3c0ab62c96cf77417a5f7e2d42ec4275e6733,25/06/2023 22:45:15,ESCANER
7847,"Escuintla",5,"La Gomera",7,888,296,44,48,8,19,7,11,4,2,1,144,15,8,167,0,167,0,292,125,144,167,167,,1,7bcbc6f992d90ccd4aca28268b16dfce608aa503d33dd2bff6e1561020e5752d,25/06/2023 22:13:00,ESCANER
