TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
27,27,100.0000,27,100.0000,0,10092,7511,74.4252

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,PPG,PPN,CABAL,UNE,MLP,SEMILLA,UR,MI FAMILIA,VAMOS,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
5691,"Sacatepéquez",2,"Santa Lucía Milpas Altas",9,588,400,74,22,141,3,0,9,2,2,2,18,273,16,1,290,0,290,--,400,110,273,290,290,Algún campo sin dato,1,34f3fc67b138ff1654edb74777dd7f0ee0f377db8e78a43c735897d73090fa67,26/06/2023 01:27:58,ESCANER
5692,"Sacatepéquez",2,"Santa Lucía Milpas Altas",9,588,400,88,29,159,9,2,6,0,1,1,7,302,1,0,303,0,303,--,396,93,302,303,303,Algún campo sin dato,1,ccb8f2695c2970519ad87c12f47e2fca7750eaa18523e7b00b0fcb2b4262538b,26/06/2023 00:56:44,ESCANER
5693,"Sacatepéquez",2,"Santa Lucía Milpas Altas",9,588,400,115,23,118,9,0,16,2,3,0,10,296,3,0,299,0,299,--,400,101,296,299,299,Algún campo sin dato,1,43d8c78b69bef4deb44fabe605f97ac832b03fab26e292c5b59adb9a0bc7b78b,26/06/2023 00:11:29,ESCANER
5694,"Sacatepéquez",2,"Santa Lucía Milpas Altas",9,588,254,57,17,89,6,0,3,1,2,0,9,184,3,1,188,0,188,1,--,--,184,188,188,Algún campo sin dato,1,1a637ba03cfadf4d32522ea16c5f7c50a6c75a875e2774e42729cd2a78014f81,26/06/2023 00:00:15,ESCANER
5695,"Sacatepéquez",2,"Santa Lucía Milpas Altas",9,588,254,53,16,59,6,0,11,0,0,0,8,153,2,1,156,0,156,--,254,98,153,156,156,Algún campo sin dato,1,3f0fa23723fb4fd87de041519638637221b36af27184f2f90710c4624fcac01f,25/06/2023 23:59:40,ESCANER
5696,"Sacatepéquez",2,"Santa Lucía Milpas Altas",9,589,380,72,41,89,22,1,4,4,1,1,39,274,3,3,280,0,280,--,380,100,274,280,280,Algún campo sin dato,1,9df5a894ce9d454c0e12e969d508b9050ba53ec9429261fc18477d06991d9cc5,25/06/2023 23:47:52,ESCANER
5697,"Sacatepéquez",2,"Santa Lucía Milpas Altas",9,589,380,88,53,97,40,2,1,3,0,0,23,307,6,2,315,0,315,--,380,65,307,315,315,Algún campo sin dato,1,2670653cd5ac3a7745eb2d024ec8bc7e6a3b38b3b384dcbf64cfaa62d65e63fa,25/06/2023 23:51:51,ESCANER
5698,"Sacatepéquez",2,"Santa Lucía Milpas Altas",9,589,380,77,66,100,22,3,1,4,1,3,31,308,7,1,316,64,380,--,380,64,308,316,380,Algún campo sin dato,1,1a36407fbc0572d2f652d99a742aee4d79296ad8b1ae7fea859e6c12c8ea434f,25/06/2023 23:37:57,ESCANER
5699,"Sacatepéquez",2,"Santa Lucía Milpas Altas",9,589,380,73,58,96,20,2,5,2,2,2,34,294,10,2,306,0,306,--,380,74,294,306,306,Algún campo sin dato,1,79d8bd81918fcba94b6c14396b5e7a8f7592503cce74b5afa1541aa2710ccd03,26/06/2023 00:34:17,ESCANER
5700,"Sacatepéquez",2,"Santa Lucía Milpas Altas",9,589,380,69,55,98,22,2,4,6,1,1,34,292,5,2,299,0,299,--,380,81,292,299,299,Algún campo sin dato,1,a2a5ffa3d3192486c5ad84244c589f870b30868a2f535db14acfb71be0c218ee,26/06/2023 00:14:59,ESCANER
5701,"Sacatepéquez",2,"Santa Lucía Milpas Altas",9,589,380,88,34,80,23,3,1,7,2,2,30,270,3,0,273,0,273,--,380,107,270,273,273,Algún campo sin dato,1,a96c53be1c5098dbdc60abb9f7161858a08df46b84bd30866225704a0eed422c,25/06/2023 22:41:48,ESCANER
5702,"Sacatepéquez",2,"Santa Lucía Milpas Altas",9,589,380,96,37,82,33,2,3,6,0,2,29,290,9,3,302,0,302,--,376,74,290,302,302,Algún campo sin dato,1,287070f4e4177fae077af9b66eb280bf58498d0bcce617d3cc6a006238d1568b,25/06/2023 23:27:26,ESCANER
5703,"Sacatepéquez",2,"Santa Lucía Milpas Altas",9,589,380,77,43,87,26,3,3,2,0,2,36,279,9,1,289,0,289,--,380,91,279,289,289,Algún campo sin dato,1,2c428d111e0a8bd8bb9d4d4880bec01afe48e201cfa4f1e46e6f9050f4cffa4e,25/06/2023 22:49:30,ESCANER
5704,"Sacatepéquez",2,"Santa Lucía Milpas Altas",9,589,380,71,45,85,19,3,4,4,3,5,31,270,4,1,275,0,275,--,380,105,270,275,275,Algún campo sin dato,1,d74a11f7eff0811950e54541cc41ba0ca00f7ca165a7f7e2f96cc21476e8c560,25/06/2023 22:24:40,ESCANER
5705,"Sacatepéquez",2,"Santa Lucía Milpas Altas",9,589,347,80,38,66,13,3,13,2,0,1,31,247,7,0,254,0,254,--,347,93,247,254,254,Algún campo sin dato,1,37a5797c689cbf8458671f20537ba92830152d42082cce52bec35dd25d246a99,25/06/2023 21:32:34,ESCANER
5706,"Sacatepéquez",2,"Santa Lucía Milpas Altas",9,589,346,101,39,69,20,2,6,4,2,1,22,266,2,1,269,0,269,--,346,77,266,269,269,Algún campo sin dato,1,e69165d3e934c84753a3ea31ced43a5058a3451fb42259175d5038fb262da814,25/06/2023 23:51:25,ESCANER
5707,"Sacatepéquez",2,"Santa Lucía Milpas Altas",9,590,271,31,7,35,8,0,4,1,0,0,20,106,4,0,110,0,110,--,271,161,106,110,110,Algún campo sin dato,1,027e7ad61f935677c027a5b0c864c7b7620b0048526a3029fab25a036aefd5a3,26/06/2023 00:01:57,ESCANER
