TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
40,40,100.0000,40,100.0000,0,14257,8028,56.3091

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,VICTORIA,PHG,CREO,AZUL,VIVA,UNE,ELEFANTE,U R N G - MAIZ,BIEN,CABAL,TODOS,PODEMOS,PPN,VALOR,UR,MLP,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
14453,"San Marcos",12,"El Quetzal",20,2027,272,13,2,16,3,1,2,23,10,0,18,7,5,28,0,15,1,0,1,145,4,1,150,0,150,0,272,122,145,150,150,,1,19c132f1727c01b8aa5323dd156af4645839c72ef6555618a19e195a41f4a1f5,25/06/2023 23:06:25,ESCANER
14454,"San Marcos",12,"El Quetzal",20,2027,272,18,7,12,10,1,1,23,3,2,14,4,5,18,0,5,2,1,3,129,8,3,140,0,140,--,272,132,129,140,140,Algún campo sin dato,1,1b200fcd420561c07716ee434b0cf4a3d5cc042dc1f4bc30f97218b833cc3a04,25/06/2023 22:39:59,ESCANER
14455,"San Marcos",12,"El Quetzal",20,2028,380,42,20,8,3,4,4,7,7,6,2,6,9,45,24,8,9,2,1,207,32,7,246,0,246,0,380,134,207,246,246,,1,eb04b6fccd0a9eda620d866d5bac986a9538cbae624376bc970e389e4341a09c,26/06/2023 01:44:08,ESCANER
14456,"San Marcos",12,"El Quetzal",20,2028,380,51,10,8,7,6,2,8,13,15,0,3,10,54,17,12,11,1,3,231,17,3,251,0,251,0,380,129,231,251,251,,1,736a1f503b9b939941f1f627faf0eb31ba27b665f1be257ede7d453423036346,26/06/2023 02:56:20,ESCANER
14457,"San Marcos",12,"El Quetzal",20,2028,380,53,15,16,1,2,3,8,6,12,5,8,17,54,29,4,7,0,1,241,13,6,260,0,260,0,380,120,241,260,260,,1,d8eb6b090b220cfe07eac51de19120040cefefe407853c1bee31e78d86a04184,26/06/2023 03:34:14,ESCANER
14458,"San Marcos",12,"El Quetzal",20,2028,380,53,19,6,3,5,3,11,8,10,1,2,15,42,22,10,14,2,2,228,21,6,255,0,255,0,380,125,228,255,255,,1,78141134b4ca2c120e3e47b790e8dcc3e3eee0f5b1b7de6f2ed9f79b7ea4a309,26/06/2023 03:05:39,ESCANER
14459,"San Marcos",12,"El Quetzal",20,2028,380,39,11,7,5,1,3,6,8,9,2,7,11,37,21,7,13,0,2,190,11,5,206,0,206,0,380,174,189,205,205,Sumas Asentadas sin cuadrar,1,d826d1c8fc508aaea370b1466fd616e1a86ecf1563051290f774bf6c81ed05b0,26/06/2023 00:36:03,ESCANER
14460,"San Marcos",12,"El Quetzal",20,2028,380,50,10,10,4,3,3,8,10,10,1,4,7,46,21,7,10,1,5,210,20,5,235,0,235,--,380,145,210,235,235,Algún campo sin dato,1,d1791841846830413305ec1113b20206faa09f18ba005f091424f7ef0c0f46ca,26/06/2023 02:47:57,ESCANER
14461,"San Marcos",12,"El Quetzal",20,2028,380,46,14,6,10,4,7,7,4,7,3,9,14,54,25,8,4,0,1,223,17,8,248,0,248,0,380,132,223,248,248,,1,5d5f5100736b43f20c24cb90586573090c1321d12679cbe7866e2e15149a4769,26/06/2023 01:29:04,ESCANER
14462,"San Marcos",12,"El Quetzal",20,2028,380,45,14,9,1,5,1,8,9,9,3,4,6,41,25,8,13,0,1,202,11,5,218,0,218,0,404,186,202,218,218,,1,5926f83015d6d56be18020d9efcad72796020008fcb5f0b5b221e74a653bd493,25/06/2023 23:34:15,ESCANER
14463,"San Marcos",12,"El Quetzal",20,2028,380,49,20,5,3,3,2,12,6,11,1,6,6,53,14,10,15,0,3,225,0,0,225,0,225,0,--,--,219,219,219,Sumas Asentadas sin cuadrar,1,8dd84b361f2353c2d19f0e8674e58c1cc6e01c6b8495949f2bf09bcfb7d009be,26/06/2023 09:24:34,ESCANER
14464,"San Marcos",12,"El Quetzal",20,2028,242,27,9,3,0,4,1,4,2,2,0,0,7,19,22,6,12,0,3,121,6,0,127,0,127,0,242,115,121,127,127,,1,78523eb6109aa4adfa2636c016556b37ae09fd849c497bb15bea64884863faa4,25/06/2023 23:44:11,ESCANER
14465,"San Marcos",12,"El Quetzal",20,2028,241,25,8,6,2,2,1,1,5,3,1,1,3,39,11,11,11,0,0,130,4,5,139,0,139,0,241,102,130,139,139,,1,62c27b036edef1f542aebbb5f9198089052f480f84e5233c5aa760529639a77b,26/06/2023 02:57:31,ESCANER
14466,"San Marcos",12,"El Quetzal",20,2029,307,78,0,48,1,0,9,21,13,0,3,0,15,21,2,1,3,1,0,216,8,8,232,0,232,--,307,75,216,232,232,Algún campo sin dato,1,c85c83b6530b50ebff83699f0dddfb98dc3ab92d8d90e71e44f204213c2ff8d4,25/06/2023 22:23:41,ESCANER
14467,"San Marcos",12,"El Quetzal",20,2029,306,85,1,38,1,2,6,21,12,0,1,0,7,10,0,1,4,0,0,189,11,0,200,0,200,--,306,106,189,200,200,Algún campo sin dato,1,c8e5f6f4980eb0674a5e451c51dcd41f8cbb6e470de409dd8fc148dadaae467d,25/06/2023 21:39:26,ESCANER
14468,"San Marcos",12,"El Quetzal",20,2030,380,28,5,5,2,1,12,13,10,0,9,0,6,37,36,1,31,1,3,200,20,4,224,0,224,0,404,180,200,224,224,,1,a050b5cafc620b244958da2c11322960b5bc794323a523a87df74f4ec52a1e6d,26/06/2023 01:34:42,ESCANER
14469,"San Marcos",12,"El Quetzal",20,2030,380,49,3,5,5,6,15,8,7,0,7,0,9,48,29,4,27,1,0,223,14,9,246,0,246,0,403,157,223,246,246,,1,e711913f69bb420585f64a3013ada85dad4312d27c9c257b9590dabbac11432c,25/06/2023 23:37:12,ESCANER
14470,"San Marcos",12,"El Quetzal",20,2030,380,28,8,18,4,7,9,9,5,1,10,1,7,31,18,8,28,1,1,194,5,8,207,0,207,0,380,173,194,207,207,,1,52634a90e2a07dd1a6228eb0097e6ce0a79dbef596c01002bb48a576949b3a39,25/06/2023 23:18:15,ESCANER
14471,"San Marcos",12,"El Quetzal",20,2030,380,45,6,3,2,6,7,9,6,2,2,0,5,49,23,1,11,1,1,179,7,4,190,0,190,0,379,189,179,190,190,,1,9f45e5e907a02bda2c7cdad6d506c2eb8fae32085683824f8a2e59dec869e65c,26/06/2023 01:56:04,ESCANER
14472,"San Marcos",12,"El Quetzal",20,2030,380,40,13,4,1,4,13,10,3,1,8,1,7,31,24,4,20,0,4,188,9,2,199,0,199,0,380,181,188,199,199,,1,3d994f96a07ec8da2955f31393ef64aa5d447f2ad9cfda6a76cd5483ac1cc975,26/06/2023 01:44:38,ESCANER
14473,"San Marcos",12,"El Quetzal",20,2030,239,20,1,7,6,2,7,5,4,0,6,1,6,25,21,5,21,1,3,141,1,3,145,0,145,0,239,94,141,145,145,,1,ea8d8a4d0688df8a8bbec7b90f5e94fc03e48bee7334bf496a9e0b1e173eca17,26/06/2023 00:23:59,ESCANER
14474,"San Marcos",12,"El Quetzal",20,2030,238,23,2,5,3,7,12,6,2,2,5,1,8,28,14,3,22,0,1,144,4,1,149,0,149,--,238,89,144,149,149,Algún campo sin dato,1,f7a389c5c22fe9cb381bf2a682fd883ffcd39f3885243b428323710eecaf95d9,25/06/2023 22:04:22,ESCANER
14475,"San Marcos",12,"El Quetzal",20,2031,402,6,1,11,3,1,7,5,3,0,5,0,2,8,1,2,4,1,0,60,1,2,63,0,63,0,402,339,60,63,63,,1,6528e6f332d4a0cdf4b3edd72537b3f2e822e3f1c9aee88b79d57b8ff3145d5f,25/06/2023 23:37:51,ESCANER
14476,"San Marcos",12,"El Quetzal",20,2031,402,3,1,5,1,1,1,4,2,1,2,0,2,6,3,3,1,1,0,37,2,1,40,0,40,--,402,362,37,40,40,Algún campo sin dato,1,d79939d8c91c5eec6583c1328a30a160078a6ebe124cdc440dc6b29ecfadd14c,25/06/2023 21:49:53,ESCANER
