TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
151,151,100.0000,151,100.0000,0,57726,36048,62.4467

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNIONISTA,TODOS,VAMOS,AZUL,VALOR,VOS,CH ICH,MANO. L. O.,CAMBIO,UNE,PODEMOS,PPN,URNG-MAIZ WINAQ SEMILLA,COLIBRI,MI FAMILIA,VIVA,ELEFANTE,FCN-NACION,VICTORIA,UR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
5903,"Chimaltenango",3,"Chimaltenango",1,621,400,4,10,37,4,20,4,53,6,41,9,2,4,3,4,2,13,0,0,8,3,227,16,2,245,0,0,0,400,155,227,245,245,,1,f234ff3e19f6c93c96f80bafab214864a592daac0dc5bab798c49b136c84a8cd,26/06/2023 01:42:34,ESCANER
5904,"Chimaltenango",3,"Chimaltenango",1,621,400,2,13,61,5,12,7,42,16,30,20,7,4,10,6,0,15,4,2,5,2,263,14,4,281,0,281,0,416,135,263,281,281,,1,8ade1c7dec3a7bff18e60a9b2521cb006d8e860aa3bb4e48d18fa9873c01b1cc,26/06/2023 01:41:50,ESCANER
5905,"Chimaltenango",3,"Chimaltenango",1,621,400,1,5,42,2,13,9,58,14,31,9,8,8,5,1,4,9,6,2,11,2,240,18,2,260,--,--,1,400,140,240,260,260,Algún campo sin dato,1,322e8e520cb762aed82341232c3a6d09c001198f294857ca430aacffc9e6790c,26/06/2023 00:11:56,ESCANER
5906,"Chimaltenango",3,"Chimaltenango",1,621,400,7,8,57,3,11,13,52,14,33,12,5,5,8,6,0,11,5,1,6,5,262,12,2,276,0,276,0,400,124,262,276,276,,1,422f1eccd54592235597f8b8189b0ec0f3b5739a75031b0ec029246725dd8f85,25/06/2023 23:57:31,ESCANER
5907,"Chimaltenango",3,"Chimaltenango",1,621,400,2,17,37,2,12,9,71,7,37,11,3,2,9,5,0,14,3,1,6,3,251,8,2,261,0,261,0,400,139,251,261,261,,1,7c12b64713ae15b5744df364ab2ff03a7782e7bd08d86dc0c50a255f62b8a815,26/06/2023 00:38:58,ESCANER
5908,"Chimaltenango",3,"Chimaltenango",1,621,400,2,8,46,1,6,5,41,9,43,12,4,6,9,8,3,19,1,1,9,0,233,13,1,247,0,247,--,400,153,233,247,247,Algún campo sin dato,1,c0f56c725ffb7e77a02dff84cc4efe562ac3e478cff26a39244d0a2ef6d18350,26/06/2023 00:26:12,ESCANER
5909,"Chimaltenango",3,"Chimaltenango",1,621,400,2,7,55,7,9,7,52,7,23,11,7,3,5,3,1,13,3,0,8,3,226,17,0,243,0,243,0,396,154,226,243,243,,1,fd32c0fb8ec93e1c0cfc925fb4ae85265ffca9e2a8d36a29fcda74ac96bcb757,26/06/2023 00:20:34,ESCANER
5910,"Chimaltenango",3,"Chimaltenango",1,621,400,2,17,38,2,8,10,57,5,39,10,2,5,12,3,0,5,2,1,6,1,225,11,0,236,0,236,--,400,164,225,236,236,Algún campo sin dato,1,c28a91fdd2334905531f033b89000cfe4d2db5af9f204165285db3ce4fa2f3c5,26/06/2023 01:16:29,ESCANER
5911,"Chimaltenango",3,"Chimaltenango",1,621,400,0,8,46,5,8,12,66,15,55,12,1,6,10,2,1,8,0,0,5,0,260,6,0,266,0,266,--,400,131,260,266,266,Algún campo sin dato,1,9959e40c55833e799ecd89001dc8bd966c4efaf941ae51a04a25fd4597f32906,26/06/2023 01:50:45,ESCANER
5912,"Chimaltenango",3,"Chimaltenango",1,621,269,1,4,28,2,7,7,38,6,20,2,0,1,13,0,1,3,1,0,1,1,136,7,0,143,0,143,0,269,126,136,143,143,,1,2c1485e408dba2281c4a619ff3522b1320b3947047dda49587895c9e00bfd107,25/06/2023 22:50:21,ESCANER
