TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
43,43,100.0000,43,100.0000,0,15988,9587,59.9637

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,CABAL,MLP,UNE,BIEN,PPN,SEMILLA,VIVA,CAMBIO,MI FAMILIA,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
8624,"Santa Rosa",6,"Oratorio",6,1024,363,10,35,0,92,7,34,0,10,0,0,1,189,14,4,207,0,207,--,364,157,189,207,207,Algún campo sin dato,1,a410939fd623fe2a6832742c8c982edf5f2dc6ec096102f5e24e95f0a8b70171,26/06/2023 00:23:28,ESCANER
8625,"Santa Rosa",6,"Oratorio",6,1024,362,5,43,--,88,7,31,2,8,--,--,--,184,5,0,189,174,363,--,--,--,184,189,363,Algún campo sin dato,1,ac67df20e4eb61d689a82c6d8020d26b69854fbb093d4cdcb3bc62d7b7aff77e,26/06/2023 00:17:04,ESCANER
8626,"Santa Rosa",6,"Oratorio",6,1025,380,89,16,4,76,3,45,3,2,0,0,0,238,17,4,259,0,259,--,384,125,238,259,259,Algún campo sin dato,1,9b82aa510e200199de051e6bbd6be08e3b8f6ca35c04bbeeb35ee19158c2ec1b,25/06/2023 22:46:54,ESCANER
8627,"Santa Rosa",6,"Oratorio",6,1025,380,77,18,1,78,11,42,0,4,1,0,1,233,30,13,276,0,276,--,--,--,233,276,276,Algún campo sin dato,1,d1db793b6eeee1100f7542c441ae8a610237021c71d3e48269efdfc296e28281,25/06/2023 22:58:57,ESCANER
8628,"Santa Rosa",6,"Oratorio",6,1025,380,89,31,2,69,11,46,3,4,1,--,--,256,24,4,284,--,284,--,381,97,256,284,284,Algún campo sin dato,1,8a0044ea3561317f42d0b81e3b89b517b65f300957010ae5e59b6f276b88a1f4,26/06/2023 01:08:28,ESCANER
8629,"Santa Rosa",6,"Oratorio",6,1025,380,99,12,2,91,10,35,2,5,2,1,0,259,19,3,281,0,281,--,380,--,259,281,281,Algún campo sin dato,1,098ef716d53f5d90b48d4cf5c04da90b971916741a94bf58d23f3d7a676486f5,26/06/2023 00:51:14,ESCANER
8630,"Santa Rosa",6,"Oratorio",6,1025,380,108,18,3,70,6,39,1,6,0,0,3,254,13,7,274,0,274,--,380,106,254,274,274,Algún campo sin dato,1,f46fda2b41638bdde81658d914b8d3b313157ce5667080e5df1d276085a87f94,26/06/2023 00:16:45,ESCANER
8631,"Santa Rosa",6,"Oratorio",6,1025,380,74,9,1,66,6,48,4,3,3,0,1,215,5,2,222,0,222,--,384,162,215,222,222,Algún campo sin dato,1,2be9be0247f23f859441cadaaaf1e09bce872398bd8db34ca43669369c829dad,25/06/2023 22:05:11,ESCANER
8632,"Santa Rosa",6,"Oratorio",6,1025,380,67,16,2,75,9,56,2,5,0,0,1,233,15,2,250,0,250,--,384,134,233,250,250,Algún campo sin dato,1,d9021ff600a5871177d6a322b5e5f88b71c76c960d8963a9bd62d96cf1b115f1,26/06/2023 01:31:09,ESCANER
8633,"Santa Rosa",6,"Oratorio",6,1025,380,78,18,2,68,10,55,4,3,0,1,0,239,4,4,247,13,260,--,384,--,239,247,260,Algún campo sin dato,1,414acd8a33c3a3d4d79a49fc524949d5054f51d7ba54323fcbf7af5fc5e9ec63,26/06/2023 01:50:18,ESCANER
8634,"Santa Rosa",6,"Oratorio",6,1026,380,87,12,0,87,8,46,1,3,1,0,1,246,13,3,262,0,262,--,384,122,246,262,262,Algún campo sin dato,1,a8b1501698741d343fae09020fe5dea713088f7088983ab23119d57ee2a832e9,25/06/2023 23:25:22,ESCANER
8635,"Santa Rosa",6,"Oratorio",6,1026,380,75,13,2,71,6,44,0,0,0,0,0,211,10,1,222,0,222,--,384,162,211,222,222,Algún campo sin dato,1,fccd937fa60d7c6e7ca9a79b825d24e2cc7f517c95bf6056452e282872e3c2d8,25/06/2023 22:18:07,ESCANER
8636,"Santa Rosa",6,"Oratorio",6,1026,380,82,13,1,88,5,43,4,2,0,0,2,240,5,0,245,0,245,--,381,136,240,245,245,Algún campo sin dato,1,487ffc0f5ce932c502eec526eaee3ddb9158f70ab922b9ec4794dcac98fce7e3,25/06/2023 23:06:03,ESCANER
8637,"Santa Rosa",6,"Oratorio",6,1026,314,58,13,0,71,8,43,2,2,0,0,0,197,7,1,205,0,205,--,315,110,197,205,205,Algún campo sin dato,1,55496fe1d1b354e1cb2533f9212db937f6a675110fb029e7533cd53a4d9ba891,25/06/2023 21:40:10,ESCANER
8638,"Santa Rosa",6,"Oratorio",6,1026,314,47,14,1,54,5,35,1,1,0,0,2,160,7,0,167,0,167,--,314,147,160,167,167,Algún campo sin dato,1,5dbd7db8c20758903d112859dd4c6a30588b6acf348dd3736b26f4cff4195c40,25/06/2023 22:12:33,ESCANER
8639,"Santa Rosa",6,"Oratorio",6,1027,380,42,75,0,82,2,12,3,6,4,0,0,226,14,4,244,0,244,0,384,140,226,244,244,,1,57e046325c4be91d91466f9b4e53794546650189e2900054ed09b91e14390e90,26/06/2023 00:04:37,MOVIL
8640,"Santa Rosa",6,"Oratorio",6,1027,380,32,60,0,88,2,15,0,11,2,2,2,214,16,3,233,0,233,--,384,151,214,233,233,Algún campo sin dato,1,5ff48ce6041bfa5c87169832ee198f9919c5eb76ab001e40f5adb16b4f6a0b52,26/06/2023 00:02:21,MOVIL
8641,"Santa Rosa",6,"Oratorio",6,1027,280,20,53,0,56,3,7,0,5,2,2,2,150,12,4,166,0,166,--,284,118,150,166,166,Algún campo sin dato,1,4875a187b49f684c5ca74594096abbdbac3d8b0a7b44ccca7b4686a274e440bd,26/06/2023 00:04:29,MOVIL
8642,"Santa Rosa",6,"Oratorio",6,1027,280,22,52,0,67,2,6,1,9,3,2,2,166,1,0,167,0,167,--,280,113,166,167,167,Algún campo sin dato,1,d30fede69c67a9fc42bf1af1ec71655f16c3dd010a6c9a04408d9461c200a790,26/06/2023 00:42:41,ESCANER
8643,"Santa Rosa",6,"Oratorio",6,1028,380,31,56,1,73,8,28,0,7,1,1,3,209,30,10,249,0,249,--,381,132,209,249,249,Algún campo sin dato,1,33b37fc812c140063d6e2a9068dbafadf0e65855be4ae2df9856437ec7a5f605,26/06/2023 02:41:20,ESCANER
8644,"Santa Rosa",6,"Oratorio",6,1028,380,26,59,3,76,14,29,5,15,3,2,6,238,13,1,252,0,252,--,381,129,238,252,252,Algún campo sin dato,1,915ce8a5c8991beec5ad377094068633c3aed5208f3d53201871a655ea705dc2,26/06/2023 03:57:34,ESCANER
8645,"Santa Rosa",6,"Oratorio",6,1028,380,24,53,1,72,10,39,0,14,5,0,0,218,13,2,233,0,233,--,381,148,218,233,233,Algún campo sin dato,1,18ee96f53fd57c7569558b4fa35ef30229d877f4aaa65280874dbac1633f2df8,26/06/2023 04:09:19,ESCANER
8646,"Santa Rosa",6,"Oratorio",6,1028,240,11,28,1,42,4,29,0,9,0,0,1,125,10,0,135,0,135,--,241,106,125,135,135,Algún campo sin dato,1,3cfb5d81d1e11308a3ae6b3b1e2c69f612541151dac6fef46bd95a290dd49399,26/06/2023 00:06:37,ESCANER
8647,"Santa Rosa",6,"Oratorio",6,1028,239,18,36,0,32,3,22,4,7,2,1,1,126,5,1,132,0,132,--,236,104,126,132,132,Algún campo sin dato,1,7b2ee31d020ed55ae2b7bf3623722bac83fde2ad693dcbb10d9a984a53194937,26/06/2023 01:29:19,ESCANER
8648,"Santa Rosa",6,"Oratorio",6,1029,556,27,25,2,37,7,20,0,7,9,1,10,145,13,4,162,0,162,--,557,395,145,162,162,Algún campo sin dato,1,9ea0a3dc13f0442d90accb21f90aa85b522eceb988adf3801227fd98884e565e,26/06/2023 00:53:15,ESCANER
8649,"Santa Rosa",6,"Oratorio",6,1029,555,16,15,1,16,3,12,1,2,3,3,8,80,3,1,84,0,84,0,556,472,80,84,84,,1,115622e82656621aebaf9efb3c2cdfe2586dfef40c8c8f29d95d933a477450a9,26/06/2023 01:07:22,ESCANER
