TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
34,34,100.0000,34,100.0000,0,12683,8475,66.8217

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,PPN,CREO,VOS,MI FAMILIA,UNE,TODOS,CCLE,BIEN,VAMOS,PHG,VIVA,CAMBIO,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
11683,"Quetzaltenango",9,"La Esperanza",23,1565,236,34,6,8,6,2,0,6,15,18,16,24,29,1,0,165,2,0,167,0,167,--,235,68,165,167,167,Algún campo sin dato,1,dbe060291b7e477b6ebcd2b224c17f7dbc6e6aabc4ccf60a7311f40a876bbad1,25/06/2023 22:17:35,ESCANER
11684,"Quetzaltenango",9,"La Esperanza",23,1565,235,18,4,7,8,2,1,5,5,7,15,23,14,1,0,110,1,0,111,0,111,--,236,125,110,111,111,Algún campo sin dato,1,87744987fc08fa13eafdfb834a9c7fe8f0911087290ff103d596ec82c3ba659a,25/06/2023 22:34:08,ESCANER
11685,"Quetzaltenango",9,"La Esperanza",23,1566,400,92,2,7,16,10,2,7,43,22,20,13,28,4,1,267,14,4,285,0,285,--,401,116,267,285,285,Algún campo sin dato,1,016367ed4d3af78ccc7f6dce63d4ea90450fd6f10923fb48ec7bf014641418a2,25/06/2023 23:06:44,ESCANER
11686,"Quetzaltenango",9,"La Esperanza",23,1566,400,80,1,9,15,12,1,9,38,22,28,31,28,7,0,281,15,2,298,0,298,--,400,102,281,298,298,Algún campo sin dato,1,086fcdd38e3a17dbcea05388a32525e695968d1d38b138b70d0f1642381e304f,26/06/2023 00:30:34,ESCANER
11687,"Quetzaltenango",9,"La Esperanza",23,1566,400,90,6,4,11,5,2,12,40,25,35,22,38,2,1,293,8,7,308,0,308,--,399,91,293,308,308,Algún campo sin dato,1,1d658696dcf76c696de7a8642ea9c2d5d58c8facc7265ce111fb51a3779663b5,26/06/2023 02:12:58,ESCANER
11688,"Quetzaltenango",9,"La Esperanza",23,1566,400,85,0,9,4,10,2,10,49,25,18,34,30,1,3,280,12,1,293,0,293,--,400,107,280,293,293,Algún campo sin dato,1,f80ab49b7e8258465d021f5e40efeb12cf114181d2fe29d953bac59068408534,26/06/2023 01:53:57,ESCANER
11689,"Quetzaltenango",9,"La Esperanza",23,1566,400,73,2,10,9,8,2,17,26,27,35,27,18,3,3,260,10,1,271,0,271,--,400,129,260,271,271,Algún campo sin dato,1,5cf7314c3427e67974bc73fee0aed960f11726e609c05e0ce92b3c602183d997,26/06/2023 00:44:34,ESCANER
11690,"Quetzaltenango",9,"La Esperanza",23,1566,400,53,5,8,18,6,1,12,54,25,21,27,22,6,1,259,12,1,272,0,272,--,401,129,259,272,272,Algún campo sin dato,1,f85d5249d4245769ea98c0a1450160473cf74cf46c1e722fa5fba747423c5f27,26/06/2023 01:57:50,ESCANER
11691,"Quetzaltenango",9,"La Esperanza",23,1566,400,75,3,6,9,7,0,12,36,20,27,29,31,5,2,262,11,3,276,0,276,--,400,124,262,276,276,Algún campo sin dato,1,f0d645efab76dbabae3709761cc3f171a5b4d9e3074bd42326ed885f136ea0b0,26/06/2023 00:50:03,ESCANER
11692,"Quetzaltenango",9,"La Esperanza",23,1566,400,84,5,10,11,12,1,3,20,28,24,34,33,5,1,271,0,3,274,9,283,--,401,118,271,274,283,Algún campo sin dato,1,d291e86f55a6812da68b3dfa1bcc48b8da0a75a50566c5ebd1583ee24c5f9722,26/06/2023 02:06:22,ESCANER
11693,"Quetzaltenango",9,"La Esperanza",23,1566,400,80,6,2,9,2,0,10,35,25,27,25,26,4,3,254,5,0,259,0,259,--,399,140,254,259,259,Algún campo sin dato,1,950dbf6a80a1aa1559acb30fcc93208c0b0c6b1f1eea0e169319e8064c5c459d,26/06/2023 01:32:12,ESCANER
11694,"Quetzaltenango",9,"La Esperanza",23,1567,400,49,4,4,14,2,2,10,25,35,20,22,23,3,2,224,9,0,224,0,224,--,401,174,215,224,224,Sumas Asentadas sin cuadrar,1,f6b833bcdf37d52067c11b7fc9e3ec8becb8885aaf828667c157fa2de752915b,26/06/2023 00:54:57,ESCANER
11695,"Quetzaltenango",9,"La Esperanza",23,1567,230,46,1,4,4,2,0,4,20,16,15,14,26,1,0,153,4,0,157,0,157,--,230,73,153,157,157,Algún campo sin dato,1,4f97ab51232b81c1bd018268e1d2182b46b0b5279791e16c1947f4cc92bd8262,25/06/2023 22:18:13,ESCANER
11696,"Quetzaltenango",9,"La Esperanza",23,1567,230,31,6,5,6,3,1,5,13,15,13,15,17,0,0,130,3,0,133,0,133,--,230,97,130,133,133,Algún campo sin dato,1,b5b1b7c5d31e20b09e1fbf4a973796c162cb4a5a452c38daec3936877e0281b5,25/06/2023 23:30:48,ESCANER
11697,"Quetzaltenango",9,"La Esperanza",23,1568,290,56,3,3,3,4,1,10,16,38,10,23,12,4,2,196,11,0,207,0,207,1,290,94,185,196,196,Sumas Asentadas sin cuadrar,1,01bb05b00a9b6095f3e2820f446d065cfa08e0f7f4a08fd8cea013cb20a0ae45,26/06/2023 03:27:02,ESCANER
11698,"Quetzaltenango",9,"La Esperanza",23,1568,290,54,4,2,0,2,3,6,12,25,10,15,14,1,0,148,6,1,155,0,155,--,287,135,148,155,155,Algún campo sin dato,1,596a6c75a671a7c1fc50139d0c4953c1064d5c9d968660f16cff5fd77bee3cba,26/06/2023 02:03:57,ESCANER
11699,"Quetzaltenango",9,"La Esperanza",23,1569,386,44,3,9,5,13,1,2,25,6,6,20,25,2,0,161,6,4,171,0,171,--,386,215,161,171,171,Algún campo sin dato,1,7e0bed029fa25c9f9db9237e54568e66ca877d95808c0f22037a01bd425dae5e,26/06/2023 00:11:31,ESCANER
11700,"Quetzaltenango",9,"La Esperanza",23,1569,386,26,2,1,3,0,0,4,10,8,5,6,21,1,1,88,2,1,91,0,91,--,--,--,88,91,91,Algún campo sin dato,1,49678b93f3ef7557b839d7d010ccb2d5e917f2f318c8283be5ca1c8a35fbffed,26/06/2023 00:41:50,ESCANER
